"","state","X","city","city_state","lon","lat","state_name"
"1","AZ",10,"Phoenix","Phoenix AZ",-112.0740373,33.4483771,"Arizona"
"2","CA",12,"San Francisco","San Francisco CA",-122.4194155,37.7749295,"California"
"3","CO",5,"Denver","Denver CO",-104.990251,39.7392358,"Colorado"
"4","FL",8,"Miami","Miami FL",-80.1917902,25.7616798,"Florida"
"5","GA",2,"Atlanta","Atlanta GA",-84.3879824,33.7489954,"Georgia"
"6","IL",4,"Chicago","Chicago IL",-87.6297982,41.8781136,"Illinois"
"7","MA",3,"Boston","Boston MA",-71.0588801,42.3600825,"Massachusetts"
"8","MI",6,"Detroit","Detroit MI",-83.0457538,42.331427,"Michigan"
"9","NC",7,"Durham","Durham NC",-78.898619,35.9940329,"North Carolina"
"10","OR",11,"Portland","Portland OR",-122.6764816,45.5230622,"Oregon"
"11","PA",9,"Philadelphia","Philadelphia PA",-75.1652215,39.9525839,"Pennsylvania"
"12","TX",1,"Austin","Austin TX",-97.7430608,30.267153,"Texas"
"13","WA",13,"Seattle","Seattle WA",-122.3320708,47.6062095,"Washington"
