"","fip","link_fip","file"
"1","C1206","http://www.bls.gov/cew/data/api/2012/1/area/C1206.csv","downloads/_C1206_1_.csv"
"2","C1206","http://www.bls.gov/cew/data/api/2013/1/area/C1206.csv","downloads/_C1206_2_.csv"
"3","C1206","http://www.bls.gov/cew/data/api/2014/1/area/C1206.csv","downloads/_C1206_3_.csv"
"4","C1206","http://www.bls.gov/cew/data/api/2015/1/area/C1206.csv","downloads/_C1206_4_.csv"
"5","C1206","http://www.bls.gov/cew/data/api/2016/1/area/C1206.csv","downloads/_C1206_5_.csv"
"6","C1206","http://www.bls.gov/cew/data/api/2012/2/area/C1206.csv","downloads/_C1206_6_.csv"
"7","C1206","http://www.bls.gov/cew/data/api/2013/2/area/C1206.csv","downloads/_C1206_7_.csv"
"8","C1206","http://www.bls.gov/cew/data/api/2014/2/area/C1206.csv","downloads/_C1206_8_.csv"
"9","C1206","http://www.bls.gov/cew/data/api/2015/2/area/C1206.csv","downloads/_C1206_9_.csv"
"10","C1206","http://www.bls.gov/cew/data/api/2016/2/area/C1206.csv","downloads/_C1206_10_.csv"
"11","C1206","http://www.bls.gov/cew/data/api/2012/3/area/C1206.csv","downloads/_C1206_11_.csv"
"12","C1206","http://www.bls.gov/cew/data/api/2013/3/area/C1206.csv","downloads/_C1206_12_.csv"
"13","C1206","http://www.bls.gov/cew/data/api/2014/3/area/C1206.csv","downloads/_C1206_13_.csv"
"14","C1206","http://www.bls.gov/cew/data/api/2015/3/area/C1206.csv","downloads/_C1206_14_.csv"
"15","C1206","http://www.bls.gov/cew/data/api/2016/3/area/C1206.csv","downloads/_C1206_15_.csv"
"16","C1206","http://www.bls.gov/cew/data/api/2012/4/area/C1206.csv","downloads/_C1206_16_.csv"
"17","C1206","http://www.bls.gov/cew/data/api/2013/4/area/C1206.csv","downloads/_C1206_17_.csv"
"18","C1206","http://www.bls.gov/cew/data/api/2014/4/area/C1206.csv","downloads/_C1206_18_.csv"
"19","C1206","http://www.bls.gov/cew/data/api/2015/4/area/C1206.csv","downloads/_C1206_19_.csv"
"20","C1206","http://www.bls.gov/cew/data/api/2016/4/area/C1206.csv","downloads/_C1206_20_.csv"
"21","C1242","http://www.bls.gov/cew/data/api/2012/1/area/C1242.csv","downloads/_C1242_1_.csv"
"22","C1242","http://www.bls.gov/cew/data/api/2013/1/area/C1242.csv","downloads/_C1242_2_.csv"
"23","C1242","http://www.bls.gov/cew/data/api/2014/1/area/C1242.csv","downloads/_C1242_3_.csv"
"24","C1242","http://www.bls.gov/cew/data/api/2015/1/area/C1242.csv","downloads/_C1242_4_.csv"
"25","C1242","http://www.bls.gov/cew/data/api/2016/1/area/C1242.csv","downloads/_C1242_5_.csv"
"26","C1242","http://www.bls.gov/cew/data/api/2012/2/area/C1242.csv","downloads/_C1242_6_.csv"
"27","C1242","http://www.bls.gov/cew/data/api/2013/2/area/C1242.csv","downloads/_C1242_7_.csv"
"28","C1242","http://www.bls.gov/cew/data/api/2014/2/area/C1242.csv","downloads/_C1242_8_.csv"
"29","C1242","http://www.bls.gov/cew/data/api/2015/2/area/C1242.csv","downloads/_C1242_9_.csv"
"30","C1242","http://www.bls.gov/cew/data/api/2016/2/area/C1242.csv","downloads/_C1242_10_.csv"
"31","C1242","http://www.bls.gov/cew/data/api/2012/3/area/C1242.csv","downloads/_C1242_11_.csv"
"32","C1242","http://www.bls.gov/cew/data/api/2013/3/area/C1242.csv","downloads/_C1242_12_.csv"
"33","C1242","http://www.bls.gov/cew/data/api/2014/3/area/C1242.csv","downloads/_C1242_13_.csv"
"34","C1242","http://www.bls.gov/cew/data/api/2015/3/area/C1242.csv","downloads/_C1242_14_.csv"
"35","C1242","http://www.bls.gov/cew/data/api/2016/3/area/C1242.csv","downloads/_C1242_15_.csv"
"36","C1242","http://www.bls.gov/cew/data/api/2012/4/area/C1242.csv","downloads/_C1242_16_.csv"
"37","C1242","http://www.bls.gov/cew/data/api/2013/4/area/C1242.csv","downloads/_C1242_17_.csv"
"38","C1242","http://www.bls.gov/cew/data/api/2014/4/area/C1242.csv","downloads/_C1242_18_.csv"
"39","C1242","http://www.bls.gov/cew/data/api/2015/4/area/C1242.csv","downloads/_C1242_19_.csv"
"40","C1242","http://www.bls.gov/cew/data/api/2016/4/area/C1242.csv","downloads/_C1242_20_.csv"
"41","C1446","http://www.bls.gov/cew/data/api/2012/1/area/C1446.csv","downloads/_C1446_1_.csv"
"42","C1446","http://www.bls.gov/cew/data/api/2013/1/area/C1446.csv","downloads/_C1446_2_.csv"
"43","C1446","http://www.bls.gov/cew/data/api/2014/1/area/C1446.csv","downloads/_C1446_3_.csv"
"44","C1446","http://www.bls.gov/cew/data/api/2015/1/area/C1446.csv","downloads/_C1446_4_.csv"
"45","C1446","http://www.bls.gov/cew/data/api/2016/1/area/C1446.csv","downloads/_C1446_5_.csv"
"46","C1446","http://www.bls.gov/cew/data/api/2012/2/area/C1446.csv","downloads/_C1446_6_.csv"
"47","C1446","http://www.bls.gov/cew/data/api/2013/2/area/C1446.csv","downloads/_C1446_7_.csv"
"48","C1446","http://www.bls.gov/cew/data/api/2014/2/area/C1446.csv","downloads/_C1446_8_.csv"
"49","C1446","http://www.bls.gov/cew/data/api/2015/2/area/C1446.csv","downloads/_C1446_9_.csv"
"50","C1446","http://www.bls.gov/cew/data/api/2016/2/area/C1446.csv","downloads/_C1446_10_.csv"
"51","C1446","http://www.bls.gov/cew/data/api/2012/3/area/C1446.csv","downloads/_C1446_11_.csv"
"52","C1446","http://www.bls.gov/cew/data/api/2013/3/area/C1446.csv","downloads/_C1446_12_.csv"
"53","C1446","http://www.bls.gov/cew/data/api/2014/3/area/C1446.csv","downloads/_C1446_13_.csv"
"54","C1446","http://www.bls.gov/cew/data/api/2015/3/area/C1446.csv","downloads/_C1446_14_.csv"
"55","C1446","http://www.bls.gov/cew/data/api/2016/3/area/C1446.csv","downloads/_C1446_15_.csv"
"56","C1446","http://www.bls.gov/cew/data/api/2012/4/area/C1446.csv","downloads/_C1446_16_.csv"
"57","C1446","http://www.bls.gov/cew/data/api/2013/4/area/C1446.csv","downloads/_C1446_17_.csv"
"58","C1446","http://www.bls.gov/cew/data/api/2014/4/area/C1446.csv","downloads/_C1446_18_.csv"
"59","C1446","http://www.bls.gov/cew/data/api/2015/4/area/C1446.csv","downloads/_C1446_19_.csv"
"60","C1446","http://www.bls.gov/cew/data/api/2016/4/area/C1446.csv","downloads/_C1446_20_.csv"
"61","C1698","http://www.bls.gov/cew/data/api/2012/1/area/C1698.csv","downloads/_C1698_1_.csv"
"62","C1698","http://www.bls.gov/cew/data/api/2013/1/area/C1698.csv","downloads/_C1698_2_.csv"
"63","C1698","http://www.bls.gov/cew/data/api/2014/1/area/C1698.csv","downloads/_C1698_3_.csv"
"64","C1698","http://www.bls.gov/cew/data/api/2015/1/area/C1698.csv","downloads/_C1698_4_.csv"
"65","C1698","http://www.bls.gov/cew/data/api/2016/1/area/C1698.csv","downloads/_C1698_5_.csv"
