"area_fips","industry_code","own_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg","NAICS.4","NAICS.Industry","area_title","state","city","state_name","city_state"
"C1206","334515",5,48,0,2016,1,"",13,189,187,186,4344800,1683630,18951,1784,"",0.71,0.29,0.28,0.28,0.22,0.19,0.11,0.77,"N",1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334515",5,48,0,2016,4,"N",15,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336350",5,48,0,2016,3,"N",11,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334513",5,48,0,2016,2,"",28,1427,1428,1436,21922586,2439243,31880,1179,"",0.87,1.32,1.33,1.34,1.05,1.09,1.05,0.79,"",2,7.7,-243,-14.6,-244,-14.6,-224,-13.5,-2291826,-9.5,230008,10.4,-5011,-13.6,62,5.6,3345,"Variables  Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325412",5,48,0,2015,3,"",39,598,599,599,9897971,273691,5027,1272,"",1.04,0.17,0.17,0.17,0.09,0.1,0.09,0.55,"",6,18.2,-13,-2.1,2,0.3,4,0.7,-186070,-1.8,-103065,-27.4,-2649,-34.5,-19,-1.5,3254,"Pharmaceutical Preparation Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325413",5,48,0,2012,3,"N",5,0,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3254,"In-Vitro Diagnostic Substance Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334513",5,48,0,2012,3,"",18,1556,1551,1541,19926958,798123,25226,989,"",0.63,1.52,1.52,1.54,0.97,1.03,1.26,0.64,"",0,0,112,7.8,115,8,88,6.1,582016,3,92503,13.1,5782,29.7,-41,-4,3345,"Variables  Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334519",5,48,0,2015,4,"",13,191,190,187,3268216,360108,2264,1328,"",0.66,0.3,0.3,0.29,0.23,0.86,0.28,0.77,"",3,30,-19,-9,-21,-10,-25,-11.8,128705,4.1,173201,92.7,-3203,-58.6,183,16,3345,"Other Measuring and Controlling Device Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334513",5,48,0,2013,3,"",22,1620,1592,1596,21666985,813587,21075,1040,"",0.75,1.56,1.53,1.56,1.01,0.85,0.96,0.65,"",4,22.2,64,4.1,41,2.6,55,3.6,1740027,8.7,15464,1.9,-4151,-16.5,51,5.2,3345,"Variables  Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334290",5,48,0,2015,4,"",11,96,98,94,1352317,108935,3138,1084,"",0.99,0.3,0.31,0.29,0.19,0.55,0.65,0.64,"N",2,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,"Other Communications Equipment Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
