"area_fips","area_title","area_descr","msa_state","msa","msa_states","msa_cities"
"C1018","Abilene, TX MSA","Abilene","TX","MSA","TX","Abilene"
"C1038","Aguadilla-Isabela, PR MSA","Aguadilla-Isabela","PR","MSA","PR","Aguadilla"
"C1038","Aguadilla-Isabela, PR MSA","Aguadilla-Isabela","PR","MSA","PR","Isabela"
"C1042","Akron, OH MSA","Akron","OH","MSA","OH","Akron"
"C1050","Albany, GA MSA","Albany","GA","MSA","GA","Albany"
"C1054","Albany, OR MSA","Albany","OR","MSA","OR","Albany"
"C1058","Albany-Schenectady-Troy, NY MSA","Albany-Schenectady-Troy","NY","MSA","NY","Albany"
"C1058","Albany-Schenectady-Troy, NY MSA","Albany-Schenectady-Troy","NY","MSA","NY","Schenectady"
"C1058","Albany-Schenectady-Troy, NY MSA","Albany-Schenectady-Troy","NY","MSA","NY","Troy"
"C1074","Albuquerque, NM MSA","Albuquerque","NM","MSA","NM","Albuquerque"
"C1078","Alexandria, LA MSA","Alexandria","LA","MSA","LA","Alexandria"
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA","Allentown-Bethlehem-Easton","PA-NJ","MSA","PA","Allentown"
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA","Allentown-Bethlehem-Easton","PA-NJ","MSA","PA","Bethlehem"
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA","Allentown-Bethlehem-Easton","PA-NJ","MSA","PA","Easton"
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA","Allentown-Bethlehem-Easton","PA-NJ","MSA","NJ","Allentown"
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA","Allentown-Bethlehem-Easton","PA-NJ","MSA","NJ","Bethlehem"
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA","Allentown-Bethlehem-Easton","PA-NJ","MSA","NJ","Easton"
"C1102","Altoona, PA MSA","Altoona","PA","MSA","PA","Altoona"
"C1110","Amarillo, TX MSA","Amarillo","TX","MSA","TX","Amarillo"
"C1118","Ames, IA MSA","Ames","IA","MSA","IA","Ames"
"C1126","Anchorage, AK MSA","Anchorage","AK","MSA","AK","Anchorage"
"C1130","Anderson, IN MSA","Anderson","IN","MSA","IN","Anderson"
"C1134","Anderson, SC MSA","Anderson","SC","MSA","SC","Anderson"
"C1146","Ann Arbor, MI MSA","Ann Arbor","MI","MSA","MI","Ann Arbor"
"C1150","Anniston-Oxford-Jacksonville, AL MSA","Anniston-Oxford-Jacksonville","AL","MSA","AL","Anniston"
"C1150","Anniston-Oxford-Jacksonville, AL MSA","Anniston-Oxford-Jacksonville","AL","MSA","AL","Oxford"
"C1150","Anniston-Oxford-Jacksonville, AL MSA","Anniston-Oxford-Jacksonville","AL","MSA","AL","Jacksonville"
"C1154","Appleton, WI MSA","Appleton","WI","MSA","WI","Appleton"
"C1164","Arecibo, PR MSA","Arecibo","PR","MSA","PR","Arecibo"
"C1170","Asheville, NC MSA","Asheville","NC","MSA","NC","Asheville"
"C1202","Athens-Clarke County, GA MSA","Athens-Clarke County","GA","MSA","GA","Athens"
"C1202","Athens-Clarke County, GA MSA","Athens-Clarke County","GA","MSA","GA","Clarke County"
"C1206","Atlanta-Sandy Springs-Roswell, GA MSA","Atlanta-Sandy Springs-Roswell","GA","MSA","GA","Atlanta"
"C1206","Atlanta-Sandy Springs-Roswell, GA MSA","Atlanta-Sandy Springs-Roswell","GA","MSA","GA","Sandy Springs"
"C1206","Atlanta-Sandy Springs-Roswell, GA MSA","Atlanta-Sandy Springs-Roswell","GA","MSA","GA","Roswell"
"C1210","Atlantic City-Hammonton, NJ MSA","Atlantic City-Hammonton","NJ","MSA","NJ","Atlantic City"
"C1210","Atlantic City-Hammonton, NJ MSA","Atlantic City-Hammonton","NJ","MSA","NJ","Hammonton"
"C1222","Auburn-Opelika, AL MSA","Auburn-Opelika","AL","MSA","AL","Auburn"
"C1222","Auburn-Opelika, AL MSA","Auburn-Opelika","AL","MSA","AL","Opelika"
"C1226","Augusta-Richmond County, GA-SC MSA","Augusta-Richmond County","GA-SC","MSA","GA","Augusta"
"C1226","Augusta-Richmond County, GA-SC MSA","Augusta-Richmond County","GA-SC","MSA","GA","Richmond County"
"C1226","Augusta-Richmond County, GA-SC MSA","Augusta-Richmond County","GA-SC","MSA","SC","Augusta"
"C1226","Augusta-Richmond County, GA-SC MSA","Augusta-Richmond County","GA-SC","MSA","SC","Richmond County"
"C1242","Austin-Round Rock, TX MSA","Austin-Round Rock","TX","MSA","TX","Austin"
"C1242","Austin-Round Rock, TX MSA","Austin-Round Rock","TX","MSA","TX","Round Rock"
"C1254","Bakersfield, CA MSA","Bakersfield","CA","MSA","CA","Bakersfield"
"C1258","Baltimore-Columbia-Towson, MD MSA","Baltimore-Columbia-Towson","MD","MSA","MD","Baltimore"
