"","area_fips","state","city","state_name","city_state","msa_states","msa_cities","area_title"
"1","C1206","GA","Atlanta","Georgia","Atlanta GA","GA","Roswell","Atlanta-Sandy Springs-Roswell, GA MSA"
"2","C1206","GA","Atlanta","Georgia","Atlanta GA","GA","Atlanta","Atlanta-Sandy Springs-Roswell, GA MSA"
"3","C1206","GA","Atlanta","Georgia","Atlanta GA","GA","Sandy Springs","Atlanta-Sandy Springs-Roswell, GA MSA"
"4","C1242","TX","Austin","Texas","Austin TX","TX","Round Rock","Austin-Round Rock, TX MSA"
"5","C1242","TX","Austin","Texas","Austin TX","TX","Austin","Austin-Round Rock, TX MSA"
"6","C1446","MA","Boston","Massachusetts","Boston MA","NH","Newton","Boston-Cambridge-Newton, MA-NH MSA"
"7","C1446","MA","Boston","Massachusetts","Boston MA","NH","Cambridge","Boston-Cambridge-Newton, MA-NH MSA"
"8","C1446","MA","Boston","Massachusetts","Boston MA","MA","Boston","Boston-Cambridge-Newton, MA-NH MSA"
"9","C1446","MA","Boston","Massachusetts","Boston MA","MA","Cambridge","Boston-Cambridge-Newton, MA-NH MSA"
"10","C1446","MA","Boston","Massachusetts","Boston MA","MA","Newton","Boston-Cambridge-Newton, MA-NH MSA"
"11","C1446","MA","Boston","Massachusetts","Boston MA","NH","Boston","Boston-Cambridge-Newton, MA-NH MSA"
"12","C1698","IL","Chicago","Illinois","Chicago IL","WI","Elgin","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"13","C1698","IL","Chicago","Illinois","Chicago IL","WI","Chicago","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"14","C1698","IL","Chicago","Illinois","Chicago IL","IN","Chicago","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"15","C1698","IL","Chicago","Illinois","Chicago IL","WI","Naperville","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"16","C1698","IL","Chicago","Illinois","Chicago IL","IL","Chicago","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"17","C1698","IL","Chicago","Illinois","Chicago IL","IL","Elgin","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"18","C1698","IL","Chicago","Illinois","Chicago IL","IN","Naperville","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"19","C1698","IL","Chicago","Illinois","Chicago IL","IN","Elgin","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"20","C1698","IL","Chicago","Illinois","Chicago IL","IL","Naperville","Chicago-Naperville-Elgin, IL-IN-WI MSA"
