"Program","Location","Companies","Exits","Funding","Average","link","city","state","country","area_fips","area_title","area_descr","msa_state","msa"
"10-xcelerator","Columbus, OH US",19,"$                   0","$           7,815,000","$             411,315","http://www.seed-db.com/accelerators/viewall?acceleratorid=1001","Columbus","OH","US","C1814","Columbus, OH MSA","Columbus","OH","MSA"
"500startups","Silicon Valley, CA US",614,"$          21,300,000","$       1,058,288,968","$           1,723,597","http://www.seed-db.com/accelerators/viewall?acceleratorid=2001","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
"9Mile Labs","Seattle, WA US",36,"$                   0","$           9,202,500","$             255,625","http://www.seed-db.com/accelerators/viewall?acceleratorid=5643323087781888","Seattle","WA","US","C4266","Seattle-Tacoma-Bellevue, WA MSA","Seattle-Tacoma-Bellevue","WA","MSA"
"Acceleprise","Washington, DC US",6,"$                   0","$           8,948,302","$           1,491,383","http://www.seed-db.com/accelerators/viewall?acceleratorid=263002","Washington","DC","US","C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA"
"Accelerate Baltimore","Baltimore, MD US",26,"$                   0","$          11,430,000","$             439,615","http://www.seed-db.com/accelerators/viewall?acceleratorid=136003","Baltimore","MD","US","C1258","Baltimore-Columbia-Towson, MD MSA","Baltimore-Columbia-Towson","MD","MSA"
"AccelFoods","New York City, NY US",4,"$                   0","$           5,200,000","$           1,300,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=6234857592061952","New York","NY","US","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA","New York-Newark-Jersey City","NY-NJ-PA","MSA"
"AlphaLab","Pittsburgh, PA US",66,"$          40,000,000","$          56,762,151","$             860,032","http://www.seed-db.com/accelerators/viewall?acceleratorid=3001","Pittsburgh","PA","US","C3830","Pittsburgh, PA MSA","Pittsburgh","PA","MSA"
"Amplify.LA","Los Angeles, CA US",36,"$          57,000,000","$         316,820,737","$           8,800,576","http://www.seed-db.com/accelerators/viewall?acceleratorid=95004","Los Angeles","CA","US","C3108","Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles-Long Beach-Anaheim","CA","MSA"
"Amplify.LA","Los Angeles, CA US",36,"$          57,000,000","$         316,820,737","$           8,800,576","http://www.seed-db.com/accelerators/viewall?acceleratorid=95004","Los Angeles","CA","US","C3110","Los Angeles-Long Beach-Santa Ana, CA MSA","Los Angeles-Long Beach-Santa Ana","CA","MSA"
"AngelPad","San Francisco, CA / New York, NY US",122,"$         451,750,000","$         868,852,971","$           7,121,745","http://www.seed-db.com/accelerators/viewall?acceleratorid=2002"," New York","NY","US",,,,,
"Arizona Furnace","Scottsdale, AZ US",0,"$                   0","$                   0",,"http://www.seed-db.com/accelerators/viewall?acceleratorid=5637945855836160","Scottsdale","AZ","US","C3806","Phoenix-Mesa-Scottsdale, AZ MSA","Phoenix-Mesa-Scottsdale","AZ","MSA"
"autoXLR8R","Spring Hill, TN US",9,"$                   0","$           2,885,000","$             320,555","http://www.seed-db.com/accelerators/viewall?acceleratorid=747001","Spring Hill","TN","US",,,,,
"Betaspring","Providence, RI US",71,"$          14,000,000","$          43,227,379","$             608,836","http://www.seed-db.com/accelerators/viewall?acceleratorid=1002","Providence","RI","US","C3930","Providence-Warwick, RI-MA MSA","Providence-Warwick","RI-MA","MSA"
"Bizdom","Detroit, MI US",42,"$                   0","$          19,411,760","$             462,184","http://www.seed-db.com/accelerators/viewall?acceleratorid=6001","Detroit","MI","US","C1982","Detroit-Warren-Dearborn, MI MSA","Detroit-Warren-Dearborn","MI","MSA"
"Blue Startups","Honolulu, HI US",42,"$                   0","$          23,165,750","$             551,565","http://www.seed-db.com/accelerators/viewall?acceleratorid=299008","Honolulu","HI","US","C2618","Honolulu, HI MSA","Honolulu","HI","MSA"
"Blueprint Health","New York, NY US",78,"$                   0","$          76,512,392","$             980,928","http://www.seed-db.com/accelerators/viewall?acceleratorid=2003","New York","NY","US","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA","New York-Newark-Jersey City","NY-NJ-PA","MSA"
"BoomStartup","Sandy, Utah US",28,"$                   0","$           1,397,500","$              49,910","http://www.seed-db.com/accelerators/viewall?acceleratorid=3002","Sandy","UT","US",,,,,
"Boost VC","Silicon Valley, CA US",138,"$                   0","$         192,233,899","$           1,392,999","http://www.seed-db.com/accelerators/viewall?acceleratorid=928008","San Jose","CA","US","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose-Sunnyvale-Santa Clara","CA","MSA"
