"","Program","Location","Companies","Exits","Funding","Average","link"
"1","10-xcelerator","Columbus, OH US",19,"$                   0","$           7,815,000","$             411,315","http://www.seed-db.com/accelerators/viewall?acceleratorid=1001"
"2","33entrepreneurs","Bordeaux City FR",4,"$                   0","$             635,648","$             158,912","http://www.seed-db.com/accelerators/viewall?acceleratorid=6078336098893824"
"3","500startups","Silicon Valley, CA US",614,"$          21,300,000","$       1,058,288,968","$           1,723,597","http://www.seed-db.com/accelerators/viewall?acceleratorid=2001"
"4","88mph","Pan-Africa N/A",17,"$                   0","$           3,286,240","$             193,308","http://www.seed-db.com/accelerators/viewall?acceleratorid=272016"
"5","9Mile Labs","Seattle, WA US",36,"$                   0","$           9,202,500","$             255,625","http://www.seed-db.com/accelerators/viewall?acceleratorid=5643323087781888"
"6","Acceleprise","Washington, DC US",6,"$                   0","$           8,948,302","$           1,491,383","http://www.seed-db.com/accelerators/viewall?acceleratorid=263002"
"7","Accelerate Baltimore","Baltimore, MD US",26,"$                   0","$          11,430,000","$             439,615","http://www.seed-db.com/accelerators/viewall?acceleratorid=136003"
"8","AccelFoods","New York City, NY US",4,"$                   0","$           5,200,000","$           1,300,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=6234857592061952"
"9","AlphaLab","Pittsburgh, PA US",66,"$          40,000,000","$          56,762,151","$             860,032","http://www.seed-db.com/accelerators/viewall?acceleratorid=3001"
"10","Amplify.LA","Los Angeles, CA US",36,"$          57,000,000","$         316,820,737","$           8,800,576","http://www.seed-db.com/accelerators/viewall?acceleratorid=95004"
"11","angelcube","Melbourne AU",7,"$                   0","$           1,765,000","$             252,142","http://www.seed-db.com/accelerators/viewall?acceleratorid=4001"
"12","AngelPad","San Francisco, CA / New York, NY US",122,"$         451,750,000","$         868,852,971","$           7,121,745","http://www.seed-db.com/accelerators/viewall?acceleratorid=2002"
"13","Arizona Furnace","Scottsdale, AZ US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=5637945855836160"
"14","autoXLR8R","Spring Hill, TN US",9,"$                   0","$           2,885,000","$             320,555","http://www.seed-db.com/accelerators/viewall?acceleratorid=747001"
"15","Axel Springer Plug and Play","Berlin DE",62,"$                   0","$          31,080,862","$             501,304","http://www.seed-db.com/accelerators/viewall?acceleratorid=5394508585893888"
"16","betaFactory","Oslo NO",8,"$                   0","$             300,000","$              37,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=120002"
"17","Betaspring","Providence, RI US",71,"$          14,000,000","$          43,227,379","$             608,836","http://www.seed-db.com/accelerators/viewall?acceleratorid=1002"
"18","Bethnal Green Ventures","London UK",33,"$                   0","$          12,260,806","$             371,539","http://www.seed-db.com/accelerators/viewall?acceleratorid=5001"
"19","Bizdom","Detroit, MI US",42,"$                   0","$          19,411,760","$             462,184","http://www.seed-db.com/accelerators/viewall?acceleratorid=6001"
"20","Black Forest Accelerator","Schwarzwald region DE",4,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=5678385120411648"
"21","Blue Startups","Honolulu, HI US",42,"$                   0","$          23,165,750","$             551,565","http://www.seed-db.com/accelerators/viewall?acceleratorid=299008"
"22","Blueprint Health","New York, NY US",78,"$                   0","$          76,512,392","$             980,928","http://www.seed-db.com/accelerators/viewall?acceleratorid=2003"
"23","BoomStartup","Sandy, Utah US",28,"$                   0","$           1,397,500","$              49,910","http://www.seed-db.com/accelerators/viewall?acceleratorid=3002"
