"","city","state","city_state","lon","lat"
"1","Austin","TX","Austin TX",-97.7430608,30.267153
"2","Atlanta","GA","Atlanta GA",-84.3879824,33.7489954
"3","Boston","MA","Boston MA",-71.0588801,42.3600825
"4","Chicago","IL","Chicago IL",-87.6297982,41.8781136
"5","Denver","CO","Denver CO",-104.990251,39.7392358
"6","Detroit","MI","Detroit MI",-83.0457538,42.331427
"7","Durham","NC","Durham NC",-78.898619,35.9940329
"8","Miami","FL","Miami FL",-80.1917902,25.7616798
"9","Philadelphia","PA","Philadelphia PA",-75.1652215,39.9525839
"10","Phoenix","AZ","Phoenix AZ",-112.0740373,33.4483771
"11","Portland","OR","Portland OR",-122.6764816,45.5230622
"12","San Francisco","CA","San Francisco CA",-122.4194155,37.7749295
"13","Seattle","WA","Seattle WA",-122.3320708,47.6062095
