"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"10","1434634285000","<p>All who interested in Spark - let's meet. I plan to do Spark presentation for beginners - architecture overview, ways to run spark and etc. You can propose your presentations as well.</p> ","","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","","223331861","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/223331861/","","Introduction to Spark","","","","past","1437062400000","1437118354000","7200000","Ameriska ulica 8","","Ljubljana","si","23909967","46.066890716552734","Slovenia","14.541290283203125","IBM Office","","False","","","public","0","40"
"0","1462129098000","<p><i><b>THIS MEETUP AND LIVE STREAMING IS US PACIFIC STANDARD TIME (PST). PLEASE CONVERT TO YOUR TIME ZONE.</b></i></p> <p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here: </p> <p><b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>We realize you may not be able to attend in person, however, we are <b>live streaming</b> the event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","","230793219","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/230793219/","","Apache Spark Maker Community Event","","","","past","1465227000000","1465244773000","7200000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","3"
"0","1472505556000","<p>On September 27, 2016, leading minds in data and analytics will come together and unveil the latest in cloud technology, enabling you to more efficiently put data to work. Experience how Spark, Hadoop, Python, and more are being used to bring together all types of data professionals –from data engineers, to data scientists, developers and business analysts –to work in new collaborative ways.</p> <p>The IBM DataFirst Launch Event will unite data and analytics leaders and practitioners from the open source community, startups, and enterprises. Check the <i><b><a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html"">event site</a></b></i> for the latest lineup of guest speakers. The event takes place @ 6pm at the Hudson Mercantile Building, NYC.</p> <p>Here’s the plan:<br/>• The Big Reveal –Experience new ways to work for data engineers, data scientist, developers, and business analysts, both individually and collectively.</p> <p>•Hands-on sessions – With interactive experiences for each of these professions.</p> <p>•Use Cases –Community leaders and guest speakers will share their expertise and vision<br/>•Networking Opportunity – Food, drinks, data, collaborative demos, and a party on the rooftop</p> <p>Learn more here:<a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html#"">  <i><b>DataFirst Launch Event</b></i></a></p> <p>Check-in and networking begins at 6:00 PM.  Food and drinks will be served. You must register for this event.</p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/ibm-datafirst-launch-event-registration-26725283041"">HERE</a></b>.  </p> <p>Can't attend in person? We'll be live streaming this event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-ibm-datafirst-launch-event-registration-26906650516"">LIVE STREAM </a></b>and we'll send you a calendar update and login link. </p> ","14400000","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","zip 10018","233721024","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/233721024/","","DataFirst Launch Event – Experience new ways to put your data to work","","","","past","1474992000000","1475009052000","7200000","500 West 36th Street","","New York","us","24745891","40.755863189697266","USA","-73.99864959716797","Hudson Mercantile Bldg","","False","NY","","public","0","2"
"0","1476785788000","<p>Hello,</p> <p><br/>Please join us as Industry Experts from <a href=""http://www.kratoes.com/"">KRATOES</a> share their experience and provide a live demonstration on the topic ""<a href=""http://unbouncepages.com/pigvsmapreduce/"">PIG VS MAPREDUCE</a>""</p> <p><br/>We'd like to invite you for an expert live Webinar on '<a href=""http://unbouncepages.com/pigvsmapreduce/"">Pig vs. MapReduce</a>' scheduled on 20th Oct Thursday 2016, 9 PM to 10 PM IST .</p> <p><br/>TOPICS</p> <p>*INTRODUCTION TO BIG DATA AND IT'S CHALLENGES</p> <p>*INTRODUCTION TO HADOOP AND IT'S CHARACTERISTICS</p> <p>*HADOOP ECOSYSTEM</p> <p>*HADOOP IMPORTANCE AND IT'S COMPONENTS</p> <p>*HDFS ARCHITECTURE</p> <p>*HISTORY OF PIG</p> <p>*WHAT IS PIG AND WHY PIG</p> <p>*PIG VS. MAPREDUCE</p> <p>*FEATURES OF PIG AND IT'S APPLICATION</p> <p>*PIG DATA MODEL AND PIG OPERATIONS</p> <p>This promises to be an extremely enriching session and we hope you can make it - <a href=""http://unbouncepages.com/pigvsmapreduce/"">Register Now</a></p> <p>In case you can't make it sign-up anyway, we'll send you the recording. [ <a href=""http://unbouncepages.com/pigvsmapreduce/""><a href=""http://unbouncepages.com/pigvsmapreduce/"" class=""linkified"">http://unbouncepages.com/pigvsmapreduce/</a></a>]</p> <p>Cheers</p> ","3600000","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","","234937839","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/234937839/","","Attend Free Live Webinar on Pig vs MapReduce by Industry Expert","","","","past","1476990000000","1476995944000","7200000","N/A","","N/A","si","24488202","46.151241302490234","Slovenia","14.995463371276855","Online Event","","False","","","public","0","8"
"0","1476873750000","<p>Hi,</p> <p>After the tremendous success of our last event on Big Data &amp; Hadoop.</p> <p><a href=""http://www.kratoes.com/"">KRATOES</a> is launching <a href=""http://unbouncepages.com/hadoopvsspark/"">HADOOP VS SPARK &amp; SCALA</a> Session on demand. Join to learn and get mentored in Big Data journey and Broaden your skills.</p> <p>Focus on:-</p> <p>  * Introduction to Big Data.<br/>  * Challenges of Big Data and Introduction to Hadoop.<br/>  * Hadoop components and its characteristics.<br/>  * Hadoop echo system and its Architecture.<br/>  * MapReduce (YARN).<br/>  * Advantage and Dis-advantages of Hadoop.<br/>  * Why Spark and Scala?<br/>  * Data Loading using RDD<br/>  * Difference between Spark and Hadoop.</p> <p>This promises to be an extremely enriching session and we hope you can make it - <a href=""http://unbouncepages.com/hadoopvsspark/"">Register Now</a></p> <p>In case you can't make it sign-up anyway, we'll send you the recording.</p> <p>[ <a href=""http://unbouncepages.com/hadoopvsspark/""><a href=""http://unbouncepages.com/hadoopvsspark/"" class=""linkified"">http://unbouncepages.com/hadoopvsspark/</a></a> ]</p> <p><br/>Cheers!</p> ","3600000","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","","234963897","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/234963897/","","WEBINAR INVITATION: APACHE SPARK GOING TO REPLACE HADOOP?","","","","past","1477076400000","1477080212000","7200000","N/A","","N/A","si","24488202","46.151241302490234","Slovenia","14.995463371276855","Online Event","","False","","","public","0","3"
"1","1475788798000","<p>Join The Brussels Data Science Community, <a href=""https://spark-summit.org/eu-2016/"">Spark Summit Europe</a> attendees, and Spark ML and machine learning experts Nick Pentreath and Jean-Francois Puget for a talk on an Apache Spark–based, end-to-end machine learning system. A round of Spark and machine learning lightning talks will follow.</p> <p>Many resources are available for building basic recommendation models using Spark. But how does a practitioner go from the basics to creating an end-to-end machine learning system, including deployment and management of models for real-time serving? In this session, we’ll demonstrate how to build such a system based on Spark ML and Elasticsearch. In particular, we’ll focus on how to go from data ingestion to model training to a real-time predictive system.</p> <p><b>Agenda</b></p> <p>18:30 – Welcome, food and drink</p> <p>18:40 – Update on the preparation and workshops of the <a href=""http://www.denguehack.org/"">Data4Good Hackathon</a>, and <a href=""https://datasciencebe.com/tag/philippe-van-impe/"">Philippe Van Impe</a>, founder, European Data Innovation Hub and the Brussels Data Science Community</p> <p>18:50 – Introduction: <a href=""https://spark-summit.org/eu-2016/speakers/berni-schiefer/"">Berni Schiefer</a>, IBM Fellow</p> <p>19:00 – Creating an end-to-end Recommender System with Spark ML: <a href=""https://spark-summit.org/eu-2016/speakers/nick-pentreath/"">Nick Pentreath</a>, principal engineer at the IBM Spark Technology Center, Apache Spark PMC member and author of Machine Learning with Spark, and <a href=""https://www.linkedin.com/in/jfpuget"">Jean-François Puget</a>, distinguished engineer at IBM and chief architect for IBM Analytics Solutions.</p> <p>19:45 – Lightning talks: 10 minute Spark and machine learning discussions, including new projects from Belgium. Details are coming soon. </p> <p>20:45 – Networking and refreshments</p> <p><b>PARKING - at GRAND PLACE</b><br/>Rue Marché aux Herbes 104, 1000 Brussels<br/>Boulevard de l'Impératrice - Keizerinlaan Brussels</p> ","9000000","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","","234678250","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/234678250/","","Spark and Machine Learning","","","","past","1477585800000","1477596264000","7200000","Rue Marché aux Herbes 110","","Brussels 1000","be","24839304","50.846458435058594","Belgium","4.355463981628418","NH CARREFOUR DE L'EUROPE ","","False","","","public","0","3"
"0","1477485763000","<p>Hello Everyone,</p> <p>Please join us as Industry Experts from <a href=""http://www.kratoes.com/"">KRATOES</a> share their experience and provide a live demonstration on the topic ""<a href=""http://unbouncepages.com/5critical-commands/"">5 Critical Topics in Hadoop</a>""</p> <p><br/>Scheduled on below Mentioned date:-27thOctober 2016, Thursday 09:00 PM To 10:00 PM [ IST ].</p> <p>Focus on:- <br/>    • Introduction to Big Data &amp; Hadoop <br/>    • Hadoop 2.0 Architecture <br/>    • Data Loading via HDFS <br/>    • Scripting Commands - MapReduce &amp; Hive <br/>    • Live Programming Tutorial <br/>    • Future &amp; Possibilities of Big Data</p> <p>This promises to be an extremely enriching session and we hope you can make it - <a href=""http://unbouncepages.com/5critical-commands/"">Register Now</a></p> <p>If you require any further information, feel free to contact us on +91 96910 76472 or mail us on <a href=""mailto:sales@kratoes.com"">sales@kratoes.com</a> <a href=""mailto:brajesh@kratoes.com"">.</a></p> <p>Cheers.!</p> ","3600000","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","","235124717","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/235124717/","","Everything You Need to Know About Working with ""5 Critical Commands in Hadoop""","","","","past","1477594800000","1477599028000","7200000","","","","","","","","","","","","","","public","0","2"
"0","1479815074000","<p>Hi,</p> <p>After the Tremendous Success of our last event on Big Data &amp; Hadoop. Premium Classroom Training's on below Courses [<i>HUGE DISCOUNTED COURSES</i>]</p> <p>   1. <a href=""http://unbouncepages.com/angularjs-course"">ANGULARJS</a></p> <p>   2. <a href=""http://unbouncepages.com/hadoop-course/"">HADOOP</a></p> <p>   3. <a href=""http://unbouncepages.com/spark-course/"">APACHESPARK</a></p> <p>DISCOUNT PRICE IS APPLIED ON THIS DIFFERENT DATES AND ABOVE BATCHES ONLY</p> <p> Batch 1: <i>26th Nov 2016 </i></p> <p> Batch 2: <i>03rd Dec 2016 </i></p> <p>__________Saturday &amp; Sunday (Week-End) Batch__________</p> <p>WORK ON YOUR OWN PROJECTS IN THE COMPANY OF LIKE-MINDED PEOPLE.</p> <p>This promises to be an extremely enriching session and we hope you can make it -</p> <p>===FOR ANGULARJS-----------<a href=""http://unbouncepages.com/angularjs-course"">Register Now</a>=====</p> <p>====FOR HADOOP----------------<a href=""http://unbouncepages.com/hadoop-course/"">Register Now</a>=====</p> <p>====FOR APACHE SPARK-----<a href=""http://unbouncepages.com/spark-course/"">Register Now</a>=====</p> <p>In case you can't make it sign-up anyway, we'll send you the recording. </p> <p>If you require any further information, feel free to contact us on +91 9691076472 or mail us on sales at kratoes (dot) com.</p> <p>Cheers..!</p> ","10800000","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","","235753890","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/235753890/","","BOOST UP YOUR SKILLS WITH THIS PREMIUM BATCHES OF KRATOES","","","","past","1480791600000","1480802709000","3600000","","","","","","","","","","","","","","public","0","1"
"0","1485441167000","<p>The demand for machine learning is booming! </p> <p>Calling all IT executives, data scientists, Chief Data Officers, data architects and other data geeks.  Join us on <b>February 15th from 2:00-5:30 pm ET </b>via livestream  (replay available starting February 16th) , and discover how machine learning is fundamentally changing the way we work and live.  Hear about cognitive applications that anticipate behavior and learn from data without being explicitly programmed.</p> <p>You'll learn about the latest breakthrough developments on machine learning as well as Spark, data and analytics. Mike Gualtieri, Vice President and Principal Analyst, Forrester, will present his view on how to best leverage technologies such as big data, predictive analytics, Hadoop/Spark, machine learning, data science, and AI.  Rob Thomas, General Manager, IBM Analytics will host an agenda which will include guest speakers and cover the following topics:</p> <p>•  Machine Learning Overview</p> <p>•  Top Trends in Machine Learning &amp; Cognitive Applications</p> <p>•  Cognitive Analytics and Machine Learning for the Enterprise</p> <p>•  Live Product Demonstration &amp; Client Roundtable on Machine Learning</p> <p>•  Data Innovation with Hybrid Transaction/Analytical Processing</p> <p>•  Spark &amp; Machine Learning for Enterprise Systems</p> <p>For additional details and to REGISTER, please visit <i><b><a href=""http://www.ibm.com/analytics/us/en/events/machine-learning/"">MACHINE LEARNING.</a></b></i></p> <p>Register NOW and we'll send you a reminder!</p> ","12600000","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","Livestream is Eastern Standard Time (EST) - Adjust to your time zone","237216040","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/237216040/","","Machine Learning Launch","","","","past","1487163600000","1487177126000","3600000","http://ibm.co/MLevent","","Ljubljana","si","25013458","0.0","Slovenia","0.0","LIVESTREAM","","False","","","public","0","5"
"0","1491988663000","<p>Dear Learner,</p> <p>We'd like to invite you for an expert live Class <a href=""http://unbouncepages.com/hadoop-insights/"">Detailed understanding of Big Data</a>' scheduled on 25th April Thursday.</p> <p>Having the best-skilled training faculty with vast knowledge in providing the best knowledge among their students.</p> <p>Time: <b>08:30 am PT</b> / <b>11:20am ET</b> / <b>9:00pm IST</b></p> <p><b>Session Objectives </b></p> <p>·  Detailed understanding of Big Data. <br/>·  Get hands-on experience in setting up different      configurations of Hadoop cluster<br/>·  Work on real-life industry based projects using Hadoop<br/>·  Acquire in-depth understanding of Hadoop Ecosystem including Flume, Apache Oozie workflow scheduler, etc.<br/>·  Master the concepts of Hadoop framework and its deployment in a cluster environment <a href=""http://unbouncepages.com/hadoop-insights/"">Register Now</a></p> <p>In case if miss the class, we'll send you the recording. </p> <p><br/>Cheers.!</p> ","","1434576791000","18680533","open","46.060001373291016","14.510000228881836","Apache Spark Slovenia Meetup","Apache-Spark-Ljubljana-Meetup","Spark meetupers","","239152491","https://www.meetup.com/Apache-Spark-Ljubljana-Meetup/events/239152491/","","JOIN NOW - Real Time Training on Hadoop Classes taken by Industry Expert","","","","past","1492542000000","1492553357000","7200000","","","","","","","","","","","","","","public","0","1"
