"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"1","1383340881000","<p><i>IBM</i> <b><i><a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/"">InfoSphere Streams V3.2</a></i></b> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:<br/><i>Usability:</i></p> <p>• Remote Development with Streams Studio for Windows and Linux</p> <p>• User Defined Parallelism</p> <p>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i></p> <p>• Operational Decision Management adapter for business rules</p> <p>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i></p> <p>• MQTT adapters</p> <p>• Hadoop Big SQL support</p> <p>• HP Vertica Analytic Database support</p> <p>Who should attend:</p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a> or review some of the <a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a>.</p> <p><b>WHEN:</b></p> <p><b>Webcast on Thursday November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</p> <p><i>NOTE: There will be no physical location for this meetup and it will all be online.</i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the  <a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a><b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">.</a></b></p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p><b>Please join us on the live LotusLive meeting <a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</b></p> <p><b>To ask questions during Q&amp;A periods, please use the following conference information:</b></p> <p><b>USA Toll-Free: 1-888-426-6840</b></p> <p><b>USA Caller Paid: 1-215-861-6239</b></p> <p><b>For Other Countries call in numbers use this <a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">.</a></b></p> <p><b>Participant Code: 7821035</b></p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","148669622","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/148669622/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470281000","3600000","THIS IS A VIRTUAL EVENT via Big Data University","","San Jose","us","16664422","37.339385986328125","USA","-121.89495849609375","  WEB CONFERENCE ONLY.  See Description for details.","","False","CA","","public","0","9"
"0","1399459656000","<p>Come learn about IBM's new cloud development platform: Codename: BlueMix.</p> <p>Registration is required:<br/><a href=""http://www-304.ibm.com/events/idr/idrevents/register.action?meid=16628&amp;ieid=9603"" class=""linkified"">http://www-304.ibm.com/events/idr/idrevents/register.action?meid=16628&amp;ieid=9603</a></p> <p>BlueMix is an open-standards, cloud-based platform for building, managing and running apps and services of all types (web, mobile, big data, new smart devices). It supports numerous runtimes (Node.js, Liberty, Ruby, Python, PHP, ...) and many services from both IBM and our partners (Mobile backend development, ) as a Platform-as-a-service model in the cloud.</p> <p>Take the opportunity to build and deploy applications and services like DevOps and Data in a matter of hours on BlueMix (built on SoftLayer)! As part of this workshop you will be able to:</p> <p>- Learn the fundamentals of building and deploying your application in the Cloud (DevOps Services for BlueMix)<br/>- Work with BlueMix experts on how to use the product and migrate your application<br/>- Help shape BlueMix with your input and feedback<br/>- Data Management Services hands-on lab</p> <p>Bring your own laptop for the labs. The following stack is required:</p> <p>- eclipse 4.3.2 SR2 (Kepler) Java EE version : (<a href=""http://www.eclipse.org/downloads/packages/eclipse-ide-java-ee-developers/keplersr2"" class=""linkified"">http://www.eclipse.org/downloads/packages/eclipse-ide-java-ee-developers/keplersr2</a>)<br/>- Android Development Tools : (<a href=""http://developer.android.com/sdk/index.html"" class=""linkified"">http://developer.android.com/sdk/index.html</a>)<br/>- CloudFoundry command line tools (version 6.0.2 or later) : (https:/github.com/cloudfoundry/cli/releases)<br/>- git : (<a href=""http://git-scm.com/downloads"" class=""linkified"">http://git-scm.com/downloads</a>)<br/>- Node.js runtime : (<a href=""http://nodejs.org/download/"" class=""linkified"">http://nodejs.org/download/</a>)<br/>- MongoDB : (<a href=""http://www.mongodb.org/downloads"" class=""linkified"">http://www.mongodb.org/downloads</a>)</p> ","28800000","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","181655582","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/181655582/","","IBM BlueMix Workshop in Barcelona","","","","past","1400482800000","1400512769000","7200000","Avd. Diagonal 571","","Barcelona","es","19978652","41.389705657958984","Spain","2.133758068084717","IBM Innovation Center Barcelona","","False","","","public","0","1"
"0","1415647008000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","218599264","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/218599264/","","Big Data for Social Good Challenge","","","","past","1415660400000","1415672400000","3600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","2"
"0","1415748135000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","218625383","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/218625383/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425420000000","1425432055000","3600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","23"
"0","1434253369000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:<br/>  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","223231134","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/223231134/","","IBM | Spark - The start of something big in data & design (Web Conference Only))","","","","past","1434420000000","1434428598000","7200000","","","","","","","","","","","","","","public","0","14"
"5","1444387264000","<p>En esta ocasión, contaremos con Chris Fregly, @cfregly, Principle Data Solutions Engineer @ IBM Spark Technology Center <a href=""https://www.linkedin.com/in/cfregly"" class=""linkified"">https://www.linkedin.com/in/cfregly</a></p> <p>El meetup será en ingles casi en su totalidad, como vereis en la agenda ;).</p> <p>18.30 - 19:00 Como siempre, si alguien se quiere pasar a las 18:30 y escuchar una breve introducción a la plataforma Bluemix, @ManuAtIBM y @jmordax comentarán los basics y novedades del PaaS.</p> <p>19:00 - 20:00 @cfregly ""How Spark beat Hadoop@100TB Sort: Optimize Shuffle+Network+Nett­y+CPU Cache aware"". Deep Dive into How Spark Beat Hadoop @ 100TB Daytona GraySort Challenge; code-level Deep Dive into the optimizations that allowed Spark to win the Daytona GraySort Challenge.</p> <p>20:00 - 20:30 @luisrei, Además de Spark, hay otros componentes en hadoop que también están evolucionado. Luis nos contara varios componentes no muy conocidos: text analytics, big sql y big sheets.</p> <p>20:30 - 21:00 Spark as a Service @Bluemix. Una de las grandes novedades de este año es la posibilidad de usar el motor de analítica Spark como servicio desde la nube. Cool!!! Apache Spark Starter</p> <p>Brainstorming</p> <p>Pizza y cerves para comentar entre todos la jugada...</p> <p>¡Os esperamos!</p> ","9000000","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","225943527","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/225943527/","","Spark y el ecosistema Hadoop","","","","past","1445531400000","1445543414000","7200000","Calle Corazón de María, 44 (esquina con Santa Hortensia)","","Madrid","es","24141725","40.44420623779297","Spain","-3.667175054550171","IBM Client Center Madrid","","False","","","public","0","18"
"0","1462127143000","<p><i><b>THIS MEETUP AND LIVE STREAMING IS US PACIFIC STANDARD TIME (PST). PLEASE CONVERT TO YOUR TIME ZONE.</b></i></p> <p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here: </p> <p><b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>We realize you may not be able to attend in person, however, we are <b>live streaming</b> the event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","230792427","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/230792427/","","Apache Spark Maker Community Event","","","","past","1465227000000","1465244772000","7200000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","36"
"13","1473263099000","<p>Contaremos con la presencia de:<br/>- Nikolay Manchev, Data Scientist de IBM, que realizará una introduccion a Machine Learning y Data Science (en Inglés)<br/>- Armand Ruiz , Product Manager Data Science Experience mundial de IBM, que realizará en español una demo utilizando una plataforma en la nube que aúna todas las herramientas que necesita un científico de datos para crear, aprender y colaborar: herramientas Open Source más populares como Spark, RStudio y Jupyter notebooks, formación online y la parte más importante colaboración en línea con otros Data Scientists.</p> <p>.. y al término del meet up serviremos comida y bebida</p> <p>

Os animamos a que vengais con vuestros PCs para realizar la demo con Armand. Registraros de forma gratuita en <a href=""http://datascience.ibm.com/"" class=""linkified"">http://datascience.ibm.com/</a></p> ","7200000","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","233941875","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/233941875/","","Data Science en acción","","100","","past","1474302600000","1474324060000","7200000"," Edificio l'Illa Diagonal. Diagonal 571","","Barcelona","es","12410082","41.389991760253906","Spain","2.1348350048065186","IBM Client Center 8th Floor","","False","","","public","0","90"
"1","1472501260000","<p>On September 27, 2016, leading minds in data and analytics will come together and unveil the latest in cloud technology, enabling you to more efficiently put data to work. Experience how Spark, Hadoop, Python, and more are being used to bring together all types of data professionals –from data engineers, to data scientists, developers and business analysts –to work in new collaborative ways.</p> <p>The IBM DataFirst Launch Event will unite data and analytics leaders and practitioners from the open source community, startups, and enterprises. Check the <i><b><a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html"">event site</a></b></i> for the latest lineup of guest speakers. The event takes place @ 6pm at the Hudson Mercantile Building, NYC.</p> <p>Here’s the plan:<br/>• The Big Reveal –Experience new ways to work for data engineers, data scientist, developers, and business analysts, both individually and collectively.</p> <p>•Hands-on sessions – With interactive experiences for each of these professions.</p> <p>•Use Cases –Community leaders and guest speakers will share their expertise and vision<br/>•Networking Opportunity – Food, drinks, data, collaborative demos, and a party on the rooftop</p> <p>Learn more here:<a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html#"">  <i><b>DataFirst Launch Event</b></i></a></p> <p>Check-in and networking begins at 6:00 PM.  Food and drinks will be served. You must register for this event.</p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/ibm-datafirst-launch-event-registration-26725283041"">HERE</a></b>.  </p> <p>Can't attend in person? We'll be live streaming this event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-ibm-datafirst-launch-event-registration-26906650516"">LIVE STREAM </a></b>and we'll send you a calendar update and login link. </p> ","14400000","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","zip 10018","233719168","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/233719168/","","DataFirst Launch Event – Experience new ways to put your data to work","","","","past","1474992000000","1475009051000","7200000","500 West 36th Street","","New York","us","24745891","40.755863189697266","USA","-73.99864959716797","Hudson Mercantile Bldg","","False","NY","","public","0","16"
"11","1475787591000","<p>Join The Brussels Data Science Community, <a href=""https://spark-summit.org/eu-2016/"">Spark Summit Europe</a> attendees, and Spark ML and machine learning experts Nick Pentreath and Jean-Francois Puget for a talk on an Apache Spark–based, end-to-end machine learning system. A round of Spark and machine learning lightning talks will follow.</p> <p>Many resources are available for building basic recommendation models using Spark. But how does a practitioner go from the basics to creating an end-to-end machine learning system, including deployment and management of models for real-time serving? In this session, we’ll demonstrate how to build such a system based on Spark ML and Elasticsearch. In particular, we’ll focus on how to go from data ingestion to model training to a real-time predictive system.</p> <p><b>Agenda</b></p> <p>18:30 – Welcome, food and drink</p> <p>18:40 – Update on the preparation and workshops of the <a href=""http://www.denguehack.org/"">Data4Good Hackathon</a>, and <a href=""https://datasciencebe.com/tag/philippe-van-impe/"">Philippe Van Impe</a>, founder, European Data Innovation Hub and the Brussels Data Science Community</p> <p>18:50 – Introduction: <a href=""https://spark-summit.org/eu-2016/speakers/berni-schiefer/"">Berni Schiefer</a>, IBM Fellow</p> <p>19:00 – Creating an end-to-end Recommender System with Spark ML: <a href=""https://spark-summit.org/eu-2016/speakers/nick-pentreath/"">Nick Pentreath</a>, principal engineer at the IBM Spark Technology Center, Apache Spark PMC member and author of Machine Learning with Spark, and <a href=""https://www.linkedin.com/in/jfpuget"">Jean-François Puget</a>, distinguished engineer at IBM and chief architect for IBM Analytics Solutions.</p> <p>19:45 – Lightning talks: 10 minute Spark and machine learning discussions, including new projects from Belgium. Details are coming soon. </p> <p>20:45 – Networking and refreshments</p> <p><b>PARKING - at GRAND PLACE</b><br/>Rue Marché aux Herbes 104, 1000 Brussels<br/>Boulevard de l'Impératrice - Keizerinlaan Brussels</p> ","9000000","1380486764000","10477712","open","41.400001525878906","2.1700000762939453","Big Data Developers in Barcelona","Big-Data-Developers-in-Barcelona","members","","234677871","https://www.meetup.com/Big-Data-Developers-in-Barcelona/events/234677871/","","Spark and Machine Learning","","","","past","1477585800000","1477596263000","7200000","Rue Marché aux Herbes 110","","Brussels 1000","be","24839304","50.846458435058594","Belgium","4.355463981628418","NH CARREFOUR DE L'EUROPE ","","False","","","public","0","24"
