"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"12","1392906907000","<p>Welcome to greater Denver's inaugural Big Data/Hadoop meetup.  A portion of this meeting will be devoted to networking and discussing subjects for future meetups.  One of the plans for future meetups is to include additional Big Data technologies from IBM and the technical development team as well as hands-on labs. </p> <p>



RSVP here and join us for the important first meetup for the greater Denver/Boulder area.</p> <p>


<b>Agenda:</b></p> <p>


<b>6:30 pm</b> - Doors open</p> <p><b>7:00 pm - 7:30 pm</b> - Open Forum, Networking, Introductions</p> <p><b>7:30 pm - 8:30 pm</b> - [Updated] Presentation regarding Big Data Platform, Big Data use cases and Intro to Hadoop. Speaker: Derrel J (DJ) Zemp </p> <p><b>8:30 pm - 9:00 pm</b> - Networking</p> <p><br/><b>9:00 pm</b> - Close &amp; Thank you for Attending</p> <p>



See you there !</p> ","9000000","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","This meeting scheduled in East/West Conference Room","167287672","https://www.meetup.com/Big-Data-Developers-in-Denver/events/167287672/","","Big Data/Hadoop Meetup","","","","past","1395793800000","1395843719000","-21600000","1062 Delaware Street","","Denver","us","18558262","39.73353576660156","USA","-104.99261474609375","Galvanize","","False","CO","80204","public","0","29"
"3","1401488308000","<p>Join us and participate in an exclusive Big Data Developer Day hosted by the IBM Big Data team.   Open source Apache Hadoop is a great framework for distributed processing of large data sets. But there’s a difference between ""playing"" with big data versus solving real problems. The reality is that Hadoop alone might not be enough. Experience IBM’s enterprise-class Hadoop product, InfoSphere BigInsights, which enhances open source Hadoop with required enterprise capabilities including: analytics, visualization, security, standard SQL, enterprise HBase, developer/admin tools, learn about the role of Big Data in Motion, Big Data Exploration and more. The morning session will include interactive <a href=""http://www-01.ibm.com/software/data/bigdata/use-cases.html"">Big Data use case</a> discussions, an overview of what is big data, live demonstrations of key Big Data components (Big Data at Rest, Big Data in Motion).</p> <p><br/><a href=""http://www.youtube.com/watch?v=B27SpLOOhWw"" class=""embedded"">http://www.youtube.com/watch?v=B27SpLOOhWw</a></p> <p>and, in the afternoon, get hands-on with Big Data using <a href=""http://ibm.co/quickstart"">InfoSphere BigInsights Quick Start Edition</a> and <a href=""http://ibm.co/streamsqs"">InfoSphere Streams Quick Start Edition</a> with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p>This event will have snacks and we are working through lunch logistics, stay tuned.</p> <p>Agenda (subject to change) </p> <p><br/>8:30 am to 9:00 am Breakfast &amp; Registration</p> <p>9:00 am to 10:00 am   Welcome and Keynote - Big Data Overview</p> <p>10:00 am to 10:45 am  Big Data @ Rest (Hadoop) &amp; Demo</p> <p>10:45 am to 11:30 am   Big Data in Motion &amp; Demo</p> <p> 11:30 pm to 1:00 pm Lunch</p> <p>1:00 pm to 5:00 pm Hands-on Lab - tentative labs</p> <p>            • Getting started with Hadoop</p> <p>            • Leveraging the full power of SQL with Hadoop, Text Analytics, etc ..</p> <p>            • Get started with Stream Analytics</p> <p>Labs will use <a href=""http://ibm.co/quickstart"">BigInsights Quickstart VM</a> and <a href=""http://ibm.co/streamsqs"">Streams Quickstart VM</a>.  Here is a video on how to <a href=""http://www.youtube.com/watch?v=imIVJjUhrVo"">setup the BigInsights Quickstart VM</a>. To learn more before hand and get hands on go to <a href=""http://bigdatauniversity.com/"">Big Data University</a>. </p> <p>5:00 PM Close Thank You for Attending </p> <p>Seating is limited, please adjust your RSVP accordingly.</p> <p>Thanks and we look forward to seeing you soon!</p> ","30600000","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","","186172622","https://www.meetup.com/Big-Data-Developers-in-Denver/events/186172622/","","Big Data Developer Day","","30","","past","1402583400000","1402615636000","-21600000","996 Regent Drive, 419 UCB, ","","Boulder","us","20428072","40.01573944091797","USA","-105.27924346923828","University of Colorado Boulder -  Koelbel Building, Room 320","","False","CO","","public","0","17"
"0","1415647088000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","","218599293","https://www.meetup.com/Big-Data-Developers-in-Denver/events/218599293/","","Big Data for Social Good Challenge","","","","past","1415653200000","1415664138000","-25200000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","1"
"0","1415748268000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","","218625425","https://www.meetup.com/Big-Data-Developers-in-Denver/events/218625425/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425448800000","1425459892000","-25200000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","5"
"7","1433367770000","<p>Right now, IBM is placing its biggest bet on open source innovation since we led the adoption of Linux through hundreds of business solutions. On June 15th, we are announcing our commitment to Apache Spark, an in-memory compute engine that delivers eye-opening speed and flexibility to data scientists and developers working with big data at scale.</p> <p>In fact, we are bringing the speed, agility and power of Spark into our Analytics Platform to make sure we're meeting the emerging needs of data-driven enterprises.</p> <p>After our initial launch on June 15th in San Francisco, we will be hosting a <b>regional Spark Signature Moment Event in Denver on June 18th, 2015</b>.</p> <p>Join Us for lunch to Learn More About Our Commitment to Open Source and How to Spark Innovation</p> <p><b>Agenda</b></p> <p>*  Reception and introduction by IBM regional executive<br/>*  Highlights from IBM Signature Moment Round Table in San Francisco<br/>*  Presentation by IBM Apache Spark Expert<br/>  - The use cases for Big Data platform and the benefits of Apache Spark<br/>  -  Why IBM? IBM’s innovations for Apache Spark, hybrid architecture<br/>  -  Open Data Platform (ODP)<br/>  -  IBM’s Analytics Platform for Apache Spark<br/>*  Lunch<br/>*  Real customer use cases and signature business partners</p> <p><b>Time: </b>  June 18th 2015, Noon to 2:00pm</p> <p><b>Where:</b>  Downtown Denver Restaurant</p> <p>Contact <b>Kyle Ferraioli</b> - <b>kferr@us.ibm.com</b> - Tel: 908-268-2548 to RSVP and confirm your participation for this event and to get details about the restaurant location.</p> <p>We look forward to having you join us and Sparking your own Innovation as part of something big for data and design! </p> <p><b>#SparkInsight</b></p> ","7200000","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","","222997855","https://www.meetup.com/Big-Data-Developers-in-Denver/events/222997855/","","IBM | Spark - The start of something big in data and design.","","20","","past","1434650400000","1434659939000","-21600000","","","","","","","","","","","","","","public","0","20"
"2","1462514463000","<p><i>REMINDER.  YOU MUST REGISTER FOR DATAPALOOZA in order to confirm your seat. Click here:  <a href=""http://www.spark.tc/datapalooza/denver/""><b>Datapalooza Denver</b></a></i></p> <p>Datapalooza is a full day immersive experience for the data science community. Join IBM, Galvanize and a diverse community of data professionals and create inspirational data products.</p> <p>Want to build super-powered data products? Want to have algorithmic inspiration with new data sources like Weather, Twitter and more? Trying to figure out what to do with Internet of Things, machine learning and other emerging technologies? </p> <p>This will be an amazing of forum for learning how to be a data innovator. Whether you’ve been a data scientist for years or whether you are just getting started, we have experts from leading research institutes and industry leaders.</p> <p>Register &amp; check out more information here: <b><a href=""https://www.eventbrite.com/e/datapalooza-denver-tickets-24231320532"">Datapalooza Denver - May 19</a></b></p> <p>Agenda will be posted shortly here:  <i><b><a href=""http://www.spark.tc/datapalooza/denver/"">Datapalooza Denver Agenda</a></b></i></p> <p><i><b>Call for speakers is open through May 10th. Submit your data science, data engineering or app dev session today!</b></i></p> <p>If you want to submit a talk, submit it here: </p> <p><br/><b><a href=""https://docs.google.com/forms/d/10dVxO7X-1TgQPtGui3h43u9sxhWwW7OOsPRMc-VvPec/viewform?c=0&amp;w=1"">Denver Call for Speakers - Datapalooza</a></b></p> <p><br/>ROCK YOUR DATA!</p> ","","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","Zip 80206","230919521","https://www.meetup.com/Big-Data-Developers-in-Denver/events/230919521/","","Datapalooza Denver","","","","past","1463666400000","1463761518000","-21600000","2510 E. Colfax Ave.","","Denver","us","24531002","39.739906311035156","USA","-104.95693969726562","SIE Film Center","","False","CO","","public","0","21"
"0","1462025830000","<p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here:  <b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>Registration begins at 5:30 PM and the discussion starts at 6:30 PM; food and drinks will be served. You must register for this event. </p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/apache-sparktm-maker-community-event-registration-24742595770?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">HERE</a></b>. </p> <p>Can't attend in person? We'll be live streaming this event on a computer screen near you! Register for the  <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","","230766203","https://www.meetup.com/Big-Data-Developers-in-Denver/events/230766203/","","Apache Spark Maker Community Event","","","","past","1465255800000","1465271298000","-21600000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","9"
"0","1464823865000","<p><b>THIS IS A GLOBAL ON-LINE HACKATHON THAT BEGINS MAY 23, 2016 AND <i>NOW ENDS AUGUST 23, 2016</i>.  SUBMISSIONS DUE AUGUST 23rd BY 5:00 PM EST. </b></p> <p><b>We’re extending the hackathon deadline to August 23</b> - that’s 20 additional days to build your Spark enterprise app. (View the revised competition calendar <b><a href=""http://apachespark.devpost.com/details/dates"">HERE</a></b><b>.  </b>We're giving you more time because....</p> <p>We’re adding <b>new enterprise data resources</b> to the site and we want to give you a chance to incorporate these into your projects, if you so choose.  Our awesome data co-sponsors <b><a href=""http://www.yelp.com/nyc"">Yelp</a></b> and <b><a href=""https://uncharted.software/"">Uncharted Software</a></b> have generously shared some of their enterprise data sets for you to use during the hackathon.</p> <p>Yelp’s data includes 2.2M reviews by 552K users for 77K businesses. The Uncharted data includes Bitcoin network transactions from processing the Bitcoin blockchain as of mid-2014 <i>and</i> Amazon product reviews from 1995 through 2003. For a fuller description and data access, visit our <b><a href=""http://apachespark.devpost.com/details/resources#datasets"">resources page</a></b>.</p> <p>Uncharted Software also has a couple cool Spark data visualization libraries you should check out: <b><a href=""http://unchartedsoftware.github.io/salt/"">Salt</a></b> and <b><a href=""http://unchartedsoftware.github.io/sparkpipe-core/"">SparkPipe.</a></b></p> <p>And, in case you’d like to weigh the effects of weather on business operations, we’re also offering access to the full suite of <b><a href=""http://apachespark.devpost.com/details/weather_data"">Weather Company APIs</a></b> for the duration of the hackathon.</p> <p>Finally, if you’re looking for a hosting solution for your Spark app, we’re now offering <b>extended Bluemix trials for all hackathon participants</b>. Using Bluemix services to build your project is <b><i>totally optional</i></b>, but might be a good way to get your app up and running — particularly with the IBM Analytics for Apache Spark service.</p> <p><b><a href=""http://apachespark.devpost.com/details/bluemix_promo"">You can request your extended Bluemix trial code here.</a> </b> For all hackathon participants, trials will extend through November 1, 2016. <i>Now go forth and optimize for the enterprise!</i></p> <p>---------------------</p> <p>Build an Apache Spark application to address a real business problem or core concern related to customer care, marketing, risk management or operations. Join IBM and Devpost for a global hackathon using <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">Apache Spark Makers Build</a></b>.  There are $100,000 in cash prizes.  Submissions can be sent in up to August 23rd.</p> <p><i>Participation Details: </i>To participate in the global virtual hackathon, you can <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">register here</a></b>.  Please review all registration guidelines.</p> <p>For the hack, you will apply Apache Spark's powerful analytics capabilities to enterprise and other relevant data so data scientists and software developers can build an analytics or mobile/web app that tackles a key business problem in marketing, customer case, operations or risk management.  The grand prize is $50,000, and the top three winners each get a meeting with the judge or<br/>Spark community expert of their choice; the judging panel includes data experts from Tesla, Netflix, and Silicon Valley Data Science.</p> <p>Go to <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">apachespark.devpost.com</a></b> for full details and registration.  Please review all registration rules.</p> <p><b> <i>Questions?</i></b></p> <p>We're here to help. If you have any questions about the hackathon, post on the <b><a href=""http://apachespark.devpost.com/forum_topics"">discussion forum</a></b> or email <b><i>support@devpost.com</i></b> and we'll respond as soon as we can.</p> ","","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","","231579056","https://www.meetup.com/Big-Data-Developers-in-Denver/events/231579056/","","Show Us Your Apps - Apache Spark Maker Build Global Hackathon","","","","past","1471993200000","1472005663000","-21600000","Any Street","","Any City","us","24581652","36.77825927734375","USA","-119.41793060302734","Global Online Hackathon","","False","CA","","public","0","4"
"1","1472497456000","<p>On September 27, 2016, leading minds in data and analytics will come together and unveil the latest in cloud technology, enabling you to more efficiently put data to work. Experience how Spark, Hadoop, Python, and more are being used to bring together all types of data professionals –from data engineers, to data scientists, developers and business analysts –to work in new collaborative ways.</p> <p>The IBM DataFirst Launch Event will unite data and analytics leaders and practitioners from the open source community, startups, and enterprises. Check the <i><b><a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html"">event site</a></b></i> for the latest lineup of guest speakers. The event takes place @ 6pm at the Hudson Mercantile Building, NYC.</p> <p>Here’s the plan:<br/>• The Big Reveal –Experience new ways to work for data engineers, data scientist, developers, and business analysts, both individually and collectively.</p> <p>•Hands-on sessions – With interactive experiences for each of these professions.</p> <p>•Use Cases –Community leaders and guest speakers will share their expertise and vision<br/>•Networking Opportunity – Food, drinks, data, collaborative demos, and a party on the rooftop</p> <p>Learn more here:<a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html#"">  <i><b>DataFirst Launch Event</b></i></a></p> <p>Check-in and networking begins at 6:00 PM.  Food and drinks will be served. You must register for this event.</p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/ibm-datafirst-launch-event-registration-26725283041"">HERE</a></b>.  </p> <p>Can't attend in person? We'll be live streaming this event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-ibm-datafirst-launch-event-registration-26906650516"">LIVE STREAM </a></b>and we'll send you a calendar update and login link. </p> ","14400000","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","zip 10018","233717443","https://www.meetup.com/Big-Data-Developers-in-Denver/events/233717443/","","DataFirst Launch Event – Experience new ways to put your data to work","","","","past","1475020800000","1475036748000","-21600000","500 West 36th Street","","New York","us","24745891","40.755863189697266","USA","-73.99864959716797","Hudson Mercantile Bldg","","False","NY","","public","0","5"
"0","1481832614000","<p>RSVP: <a href=""http://bit.ly/2gOcufe""><a href=""http://bit.ly/2gOcufe"" class=""linkified"">http://bit.ly/2gOcufe</a></a></p> <p>This webinar will cover an overview of Watson Data Platform capabilities and how to empower users across the organization to make the most out of their data. What if you can shorten the time it takes to create value out of your existing organizational data ? </p> <p>What if you can provision a common analytic engine with managed services that will enable you to embrace multiple cloud platforms ? IBM Watson Data Platform is the first cloud-based data and analytics platform to support cognitive businesses. It enables access, collaboration and paths to insights by connecting all users through trusted access to a variety of data, discovering new possibilities and opportunities with built-in intelligence, automation and machine learning and accelerating outcomes with rapid deployment of new data models and fast embedding of insights into processes, applications and services. </p> <p>Let us show you how Watson Data Platform can be the milestone of your organization analytics strategy and empower your organization into the new Cognitive analytics era.</p> <p><b>Speaker Bio: </b><br/>Gerardo Rodríguez Díaz – is an avid traveler, technologist enthusiast and Big data and Analytics cloud solution specialist focused on communications and computer systems integrations industries across North America. GRD areas of specialization are IT, Marketing and Business Intelligence having worked across European, North and South American markets.</p> ","3600000","1392314227000","12864852","open","39.70000076293945","-105.08000183105469","Big Data Developers in Denver","Big-Data-Developers-in-Denver","Members","Time is Eastern Standard Time","236264410","https://www.meetup.com/Big-Data-Developers-in-Denver/events/236264410/","","Making Data Simple in the Cognitive Era","","","","past","1482260400000","1482265306000","-25200000","http://bit.ly/2gOcufe","","Denver","us","24947676","0.0","USA","0.0","Live Webinar","","False","CO","","public","0","20"
