"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"0","1383417322000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <b><a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/"">InfoSphere Streams V3.2</a></b> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time</b>.</p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a></b>.</p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","148799632","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/148799632/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470282000","3600000","See Description for Details","BDU University","San Jose","us","16729312","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","9"
"17","1398775569000","<p><b>Agenda del Meetup</b></p> <p>- ¿Qué es Hadoop?<br/>-  El Ecosistema Entorno a Hadoop<br/>-  IBM BigInsights<br/>-  Laboratorio de Big SQL (ver requisitos)</p> <p><b>Requisitos</b></p> <p>Quien quiera hacer el laboratorio deberá traer un ordenador portátil con el siguiente software:</p> <p><br/>Imagen VMware de BigInsights descargada de la siguiente pag web:</p> <p><a href=""http://www.ibm.com/software/data/infosphere/biginsights/quick-start/index.html"" class=""linkified"">http://www.ibm.com/software/data/infosphere/biginsights/quick-start/index.html</a></p> <p>elegid la opción: <b>""InfoSphere BigInsights Quick Start Edition VMWare image</b></p> <p>2. Si no disponéis del software VMware se puede descargar la versión gratuita VMware Player de 64 bits de la siguiente pag web:</p> <p><a href=""https://my.vmware.com/web/vmware/free#desktop_end_user_computing/vmware_player/6_0"" class=""linkified"">https://my.vmware.com/web/vmware/free#desktop_end_user_computing/vmware_player/6_0</a></p> <p>Nota: Se requiere tener un portátil y sistema operativo de 64 bits (e.g. Windows o Linux).</p> <p> </p> <p> </p> ","14400000","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","http://www.ibm.com/es/clientcenter/quienes/location.html","180001802","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/180001802/","","Cluster de Hadoop con BigSQL","PT24H","80","","past","1402039800000","1402096802000","7200000","Calle Corazón de María, 44 (esquina con Santa Hortensia)","","Madrid","es","19821722","40.44414520263672","Spain","-3.6672608852386475","IBM Client Center Madrid","","False","","","public","0","71"
"0","1415645054000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","218598487","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/218598487/","","Big Data for Social Good Challenge","","","","past","1415660400000","1415672400000","3600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","6"
"0","1415738942000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","218622438","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/218622438/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425420000000","1425432055000","3600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","35"
"36","1433855586000","<p>• <b>Agenda del Meetup</b>:</p> <p>- Apache Spark</p> <p><br/>- IBM Open Hadoop Distribution: BigInsights</p> <p>- Demo de Minería de Texto con Hadoop: Text Analytics</p> <p>- Ejecutando Lenguaje R en Hadoop: Big R</p> <p>- Laboratorio de Big R con Pizzas y Cervezas (ver Requisitos).</p> <p><br/>Nota: Empezaremos a las 9:00 y durará hasta las 13:30 aprox.</p> <p>

• <b>Requisitos:</b></p> <p>- Quien quiera hacer el laboratorio deberá traer un ordenador portátil con el siguiente software:</p> <p>- Imagen VMware de BigInsights descargada de la siguiente pag web:</p> <p><a href=""https://www-01.ibm.com/marketing/iwm/iwm/web/preLogin.do?source=swg-beta-iibob""><a href=""https://www-01.ibm.com/marketing/iwm/iwm/web/preLogin.do?source=swg-beta-iibob"" class=""linkified"">https://www-01.ibm.com/marketing/iwm/iwm/web/preLogin.do?source=swg-beta-iibob</a></a></p> <p><br/>elegid la opción: ""InfoSphere Biginsights Quick Start Edition V3.0.0.2 (single node ONLY VMware Image) - VMDK format""</p> <p>....y los requisitos para  tomar cerveza es ser mayor de 18.</p> <p><br/>2. Si no disponéis del software VMware se puede descargar la versión gratuita VMware Player de 64 bits de la siguiente pag web:</p> <p><a href=""https://my.vmware.com/web/vmware/free#desktop_end_user_computing/vmware_player/6_0""><a href=""https://my.vmware.com/web/vmware/free#desktop_end_user_computing/vmware_player/6_0"" class=""linkified"">https://my.vmware.com/web/vmware/free#desktop_end_user_computing/vmware_player/6_0</a></a></p> <p>Nota: Se requiere tener un portátil y sistema operativo de 64 bits (e.g. Windows o Linux), y 8GB de RAM es recomendable.</p> ","16200000","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","223125453","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/223125453/","","IBM Open Platform with Apache Hadoop","","62","","past","1437116400000","1437475947000","7200000","Calle Corazón de María, 44 (esquina con Santa Hortensia)","","Madrid","es","19821722","40.44414520263672","Spain","-3.6672608852386475","IBM Client Center Madrid","","False","","","public","0","58"
"12","1444038289000","<p>Hola!</p> <p>El Jueves 22 de Octubre vamos a organizar un nuevo Meetup de <b>Spark </b>y <b>BlueMix</b>.</p> <p><br/>Tenemos la suerte de contar en Madrid con Chris Fregly que es un ingeniero del <b>IBM Spark Technology Center</b> en San Francisco. (Principle Data Solutions Engineer @ IBM Spark Technology Center <a href=""https://www.linkedin.com/in/cfregly""><a href=""https://www.linkedin.com/in/cfregly"" class=""linkified"">https://www.linkedin.com/in/cfregly</a></a> )</p> <p>El Meetup tendrá la parte de Spark en Inglés.</p> <p>Será por la tarde empezando a las 18:30, para que los que trabajáis vengáis.</p> <p><br/>Además hablaremos de un tema muy interesante I<b>BM Bluemix</b>: Que es una plataforma en la nube basada en estándares abiertos para crear, gestionar y ejecutar todo tipo de aplicaciones: web, móvil, Big Data, dispositivos inteligentes…</p> <p><br/><b>AGENDA</b>:</p> <p><br/><b>18.30 - 19:00 Introducción a la plataforma </b><a href=""http://www.ibm.biz/BluemixES""><b>Bluemix</b> </a>,  <b><a href=""https://twitter.com/ManuAtIBM"">@ManuAtIBM</a> y <a href=""https://twitter.com/jmordax"">@jmordax</a></b>. (en español</p> <p><br/><b>19:00 - 20:00 </b> <b>Spark</b>, <b><a href=""https://twitter.com/cfregly"">@cfregly</a> </b> ""How Spark beat Hadoop@100TB Sort: Optimize Shuffle+Network+Nett­y+CPU Cache aware"". Deep Dive into How Spark Beat Hadoop @ 100TB <a href=""http://sortbenchmark.org/"">Daytona GraySort Challenge</a>; code-level Deep Dive into the optimizations that allowed Spark to win the Daytona GraySort Challenge. (en inglés)</p> <p><b>20:00 - 20:30</b> IBM Open Data Platform y Ecosistema Hadop <a href=""https://twitter.com/luisrei""><b>@luisrei</b></a> Además de Spark, hay otros componentes de Hadoop que también están evolucionado. mencionaremos: Text Analytics, Big Sql y Big Sheets. (en español)</p> <p><br/><b>20:30 - 21:00</b> Spark as a Service <a href=""http://www.ibm.biz/BluemixES"">@Bluemix. </a>Una de las grandes novedades de este año es la posibilidad de usar el motor de analítica Spark como servicio desde la nube. Cool!!!  <a href=""https://console.ng.bluemix.net/catalog/apache-spark-starter/"">Apache Spark Starter </a>. (en español)</p> <p><br/><b>Brainstorming</b></p> <p>Pizza y cerves para comentar entre todos la jugada...</p> ","","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","225840331","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/225840331/","","Spark y Bluemix","","80","","past","1445531400000","1445600693000","7200000","Calle Corazón de María, 44 (esquina con Santa Hortensia)","","Madrid","es","19821722","40.44414520263672","Spain","-3.6672608852386475","IBM Client Center Madrid","","False","","","public","0","71"
"23","1453896828000","<p><b>Agenda del Meetup:</b></p> <p><br/>• Introduction to Spark Technology Center: <a href=""http://www.spark.tc/""><a href=""http://www.spark.tc/"" class=""linkified"">http://www.spark.tc/</a></a></p> <p><br/> ( John Gairhan, World Wide Leader Big Data at IBM)</p> <p>


• Qué es Spark y cómo lo utilizamos a diario.</p> <p>(  Juantomás García Molina, Director Big Data Division en ASPgems)</p> <p>


• Ejecutando Spark as a service</p> <p>( Arancha Ocaña, CTP Big Data en IBM)</p> <p><br/>• Pizzas y Cervezas (para ser un meetup que se precie...)</p> <p>

Fecha: 4/2/2015</p> <p><br/>Ubicación: Ubicación: Client Center IBM</p> <p><br/>Corazón de María 44, 28002 Madrid</p> <p><br/>Empezaremos a las 17:00 y durará hasta las 19:30 aprox</p> ","9000000","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","228397026","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/228397026/","","Spark","","130","","past","1454601600000","1454962480000","3600000","Calle Corazón de María, 44 (esquina con Santa Hortensia)","","Madrid","es","19821722","40.44414520263672","Spain","-3.6672608852386475","IBM Client Center Madrid","","False","","","public","0","130"
"25","1456766038000","<p>AGENDA:<br/>- iniciativa Hadoop Open Data Platform (Fernando Cortes).<br/>- Spark for dummies (Luis Reina).<br/>- Facilitando el Accesso a Spark con SPSS , con demo (Ramiro Rego).<br/>- Lab de Spark (con pizzas y cervezas!).<br/>Nota: Añadiremos instrucciones para hacer el lab de Spark.</p> <p>Será el Jueves 31 de Marzo a las 9:00 en el IBM Client Center.</p> ","18000000","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","229230134","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/229230134/","","Spark y SPSS","PT72H","80","","past","1459407600000","1459427453000","7200000","Calle Corazón de María, 44 (esquina con Santa Hortensia)","","Madrid","es","19821722","40.44414520263672","Spain","-3.6672608852386475","IBM Client Center Madrid","","False","","","public","0","57"
"11","1459772069000","<p>DIA: 12 de abril de 6 a 8 pm aprox.</p> <p>AGENDA:<br/>1. <b>Introducción a Infosphere Streams</b> - Isaac Moreno (15 min)<br/>2. <b>Real life use cases</b> - Jerome Chailloux e Isaac Moreno (30 min) - &gt;Inglés<br/>3. <b>Streams on the edge: Quarks</b> - Jerome Chailloux (30 min) -&gt; Inglés<br/>5. <b>Demo</b> - Isaac Moreno (30 min)</p> <p>... y por supuesto con Pizzas!!  :-)</p> <p><br/>Nota1 : Isaac presenta en Español y Jernome en Inglés.</p> <p>Nota2: Aunque la publico yo, la organiza Victoria Gomez (mvgomez.f@es.ibm.com) por si teneis alguna duda os podéis dirigir a ella.</p> <p><br/>Nota3: No tiene lab así que cabremos muchos más.</p> ","","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","230113000","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/230113000/","","Streams/Quarks","","100","","past","1460476800000","1460554718000","7200000","Calle Corazón de María, 44 (esquina con Santa Hortensia)","","Madrid","es","19821722","40.44414520263672","Spain","-3.6672608852386475","IBM Client Center Madrid","","False","","","public","0","41"
"38","1462305727000","<p>Contaremos con la visita de un experto Data Scientist de IBM. No te lo pierdas!!</p> <p>Agenda</p> <p>*PRIMERA PARTE<br/>- Presentación de ponentes, Victoria Gómez - 5 min (Español)<br/>- Introducción a Machine Learning, Nikolay Manchev - 25min (INGLÉS)<br/>- Demo de como funciona Spark en vivo! con Arancha Ocaña - 15 min (Español)<br/>- Preguntas de la primera parte - 15 min</p> <p>*DESCANSO - 10 min</p> <p>*SEGUNDA PARTE, profundizamos en Machine learning</p> <p>- SystemML: Open source, scalable machine learning platform, Nikolay Manchev - 45 min (INGLÉS)<br/>- Preguntas de la segunda parte, 15 min</p> <p>No habrá Lab, con ello esperamos caber más asistentes</p> <p>..Sí que habrá pizzas y bebida como es habitual! Nos vemos allí!!</p> ","10800000","1364206309000","7770922","open","40.41999816894531","-3.7100000381469727","Big Data Developers in Madrid","Big-Data-Developers-in-Madrid","Developers","","230849478","https://www.meetup.com/Big-Data-Developers-in-Madrid/events/230849478/","","MACHINE LEARNING meet-up","","150","","past","1463589000000","1464112332000","7200000","Calle Corazón de María, 44 (esquina con Santa Hortensia)","","Madrid","es","19821722","40.44414520263672","Spain","-3.6672608852386475","IBM Client Center Madrid","","False","","","public","0","128"
