"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"8","1365629953000","<p>Limited seating of 50—to guarantee a seat, register today at <b><a href=""http://www.ibm.com/events/bigdatadevdayminneapolis2013"">www.ibm.com/events/bigdatadevdayminneapolis2013</a></b><b>.</b> Participate in an exclusive Big Data Developer Day hosted by the IBM Big Data Development team. Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data for social media and log analytics, then get hands-on with text analytics, stream computing, and app development with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p>Registration is required on <b><a href=""http://www.ibm.com/events/bigdatadevdayminneapolis2013"">www.ibm.com/events/bigdatadevdayminneapolis2013</a></b>. This event is limited to only 50 seats.</p> <p> </p> <p> </p> ","","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","113718512","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/113718512/","","IBM Big Data Developer Day—Minneapolis 2013","","","","past","1371128400000","1371483017000","-18000000","","","","","","","","","","","","","","public","0","18"
"0","1383577147000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","149081872","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/149081872/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384485924000","-21600000","See Description for Details","BDU University","San Jose","us","16729132","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","4"
"3","1408784297000","<p><b>PLEASE NOTE CHANGE IN AGENDA.  TO CONFIRM YOUR SEAT, YOU MUST REGISTER THROUGH THE LINK BELOW.</b></p> <p><br/>Join us for a Big Data Developer Day - SQL on Hadoop.  This event is co-sponsored by <b>Concord, an IBM Premiere Business Partner</b> and the Big Data Developer Team. </p> <p><br/>In order to CONFIRM your seat at this event, you must register through the link here:</p> <p><b><a href=""http://ibm.co/1qADVX1""><a href=""http://ibm.co/1qADVX1"" class=""linkified"">http://ibm.co/1qADVX1</a></a></b></p> <p><br/>We will discuss the various SQL on Hadoop alternatives and explore why such technologies have become an area of keen interest for many organizations. We will discuss the various alternatives (Drill, Impala, Hive, Hadapt, Tajo, Shark, HAWQ, Presto, Phoenix, Big SQL) and their pros/cons. We will share customer use cases for Warehouse Modernization and the role of SQL for Hadoop in this space, as well as discuss performance characteristics of SQL on Hadoop when running common query workloads. We will provide an intro to <a href=""http://www.ibm.com/developerworks/library/bd-bigsql/"">Big SQL</a> and demo. Big SQL delivers some exciting capabilities including comprehensive SQL functionality that leverages advanced SQL compiler/runtime all with low latency and high performance.</p> <p>This will be a hands on event.   Please download the <a href=""http://ibm.co/quickstart"">BigInsights Hadoop distribution</a> to get hands on with Big SQL.  </p> <p>Learn more about <a href=""http://www.livestream.com/newchannel/popoutplayer?channel=ibmiod&amp;clip=pla_e4b28ad8-f647-4a02-88ad-6679b78f7e8b&amp;time=1481"">Big SQL</a> here. Check out new <a href=""http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?subtype=WH&amp;infotype=SA&amp;appname=SWGE_SW_SW_USEN&amp;htmlfid=SWW14019USEN&amp;attachment=SWW14019USEN.PDF#loaded"">SQL on Hadoop white paper</a>.</p> <p>Breakfast and lunch will be provided at the event.</p> <p><br/>Agenda (subject to change)</p> <p>8:30 am to 9:00 am - Breakfast &amp; Registration </p> <p>9:00 am to 11:30 am - Discussion/Demonstration of IBM Big SQL 3.0</p> <p>11:30 am to 12:00 pm - Concord Big Data Story</p> <p>12:00 pm to 1:00 pm - Lunch</p> <p>1:00 pm to 5:00 pm - Hands-on Lab (please bring your own laptop if you plan to participate)</p> <p>5:00 PM Close Thank You for Attending</p> <p>

Please register at this link in order to confirm your seat at the event:</p> <p><b><a href=""http://ibm.co/1qADVX1""><a href=""http://ibm.co/1qADVX1"" class=""linkified"">http://ibm.co/1qADVX1</a></a></b></p> <p><br/>We look forward to seeing you at the event.</p> ","30600000","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","202666302","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/202666302/","","Big Data Developer Day - A Leap Forward for SQL on Hadoop","","","","past","1412170200000","1412202022000","-18000000","509 2nd Avenue South","","Hopkins","us","22135412","44.91646957397461","USA","-93.40235900878906","Concord","","False","MN","","public","0","29"
"0","1415646813000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","218599206","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/218599206/","","Big Data for Social Good Challenge","","","","past","1415649600000","1415661776000","-21600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","1"
"0","1415747499000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","218625166","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/218625166/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425445200000","1425456465000","-21600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","24"
"4","1426266740000","<p><b>PLEASE NOTE THAT THIS HANDS-ON WORKSHOP HAS BEEN RESCHEDULED TO JUNE 3, 2015.  LOCATION AND CONTENT, AND REGISTRATION LINK REMAINS THE SAME.</b></p> <p>


Join the Evolving Solutions technical team and experts from IBM for a hands-on workshop on June 3, 2015 at the Minneapolis Marriott Southwest.  In this session we will install and configure a Hadoop cluster in a cloud environment provided by Evolving Solutions.  We will discuss common enterprise use cases and the preparation and planning needed to ensure a cluster meets the needs of your organization.  Take this opportunity to better understand the infrastructure challenges and considerations for Hadoop in your business, without having to build your own lab.  This hands-on workshop is designed for System Admins, Infrastructure Architects and Big Data Enthusiasts.</p> <p><br/>This workshop is a customer event.  In order to confirm your registration for this workshop, please go to this link:  <b><a href=""http://ibm.co/1b84KO7""><a href=""http://ibm.co/1b84KO7"" class=""linkified"">http://ibm.co/1b84KO7</a></a></b>&lt;a&gt;&lt;/a&gt;</p> <p>What is Hadoop? Apache™ Hadoop® is an open source software project that enables distributed processing of large data sets across clusters of commodity servers. It is designed to scale up from a single server to thousands of machines, with very high degree of fault tolerance. Rather than relying on high-end hardware, the resiliency of these clusters comes from the software's ability to detect and handle failures at the application layer.</p> <p><br/>Please bring your own laptop for this workshop.  An IBM Softlayer cloud environment will be provided to get you started.  Questions about the cloud environment can be directed to Amber Murphy at amber.m@evolvingsol.com.</p> <p><br/>The workshop will begin at 12:00 pm with registration and lunch and will conclude at 5:00 pm.  Join Evolving Solutions following the meeting for networking with appetizers and beverages in the Marriott lobby lounge.</p> <p><br/>Evolving Solutions is a leading IT infrastructure, software and cloud services provider in the Minneapolis/St. Paul metro area and has spent 20 years building relationships with many medium and large enterprises in North America.  Evolving Solutions has become a strategic partner that clients are able to depend upon for assistance in key solutions throughout the technology lifecycle.  From assessing and planning to implementation and maintenance, they have professional skills, consultants and engineers to be trusted technology advisors.  <a href=""http://www.evolvingsol.com"">www.evolvingsol.com</a></p> <p>

In order to confirm your registration, you must register here:</p> <p><b><a href=""http://ibm.co/1b84KO7""><a href=""http://ibm.co/1b84KO7"" class=""linkified"">http://ibm.co/1b84KO7</a></a></b></p> <p><br/>We look forward to seeing you there.</p> ","18000000","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","221129727","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/221129727/","","Big Data & Analytics Developer Day","","","","past","1433350800000","1433377211000","-18000000","5801 Opus Pkwy","","Minnetonka","us","14912712","44.89772415161133","USA","-93.40635681152344","Minneapolis Marriott Southwest ","","False","MN","55343","public","0","42"
"3","1434248775000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:</p> <p>•  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","223230173","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/223230173/","","IBM | Spark - The start of something big in data & design (Web Conference Only)","","","","past","1434420000000","1434428597000","-18000000","","","","","","","","","","","","","","public","0","18"
"2","1441842305000","<p><b>JUST A REMINDER THAT YOU MUST REGISTER AT THE URL BELOW IN ORDER TO CONFIRM YOUR SEAT AT THIS EVENT.</b></p> <p><br/>Join the Evolving Solutions technical team and experts from IBM for a Big Data hands-on workshop. This workshop is all about using a <b>Hadoop cluster</b> to analyze data collected. We’ll dive in and use IBM tools to explore large data sets, use traditional SQL with a Hadoop cluster and try out Text Analytics capabilities to gain insights to unstructured data such as social media.</p> <p><b>Click here to register to attend. </b> <b><i>This workshop is for customers only</i></b>.</p> <p><b><a href=""http://www.evolvingsol.com/events-and-education/big-data-hands-on-workshop-october-8""><a href=""http://www.evolvingsol.com/events-and-education/big-data-hands-on-workshop-october-8"" class=""linkified"">http://www.evolvingsol.com/events-and-education/big-data-hands-on-workshop-october-8</a></a></b></p> <p><br/>Attending this Big Data hands-on workshop is a great opportunity to better understand how to get business value from Hadoop in your business without having to build your own lab.</p> <p>We recommend attending this workshop if you are: a business intelligence or analytics team members, an application developers interested in big data, part of the technical team for marketing or part of a data warehouse team. Or, anyone else interested in learning about analyzing large amounts of data in simplified processes.</p> <p><b><i>Please bring your laptop for this workshop.  We will provide an environment to get you started.  Questions about this can be directed to Amber Murphy at amber.m@evolvingsol.com.</i></b></p> <p>Check-in for the workshop will begin at 11:30am on Thursday, October 8th with an Introduction and Lunch starting at 12pm.  <b><i><br/></i></b></p> <p>Our workshop will conclude at 5pm.  Join us following the meeting for networking with appetizers and beverages in the Marriott lobby lounge.</p> <p><b><i>Agenda:</i></b></p> <p>11:30am       Registration<br/>12:00pm     Welcome – Introduction - Lunch<br/>12:30pm      Overview of Enterprise Hadoop<br/>1:30pm        Hands-on Labs &amp; Presentations - bring a laptop to participate<br/>5:00pm       Conclusion of Workshop - Networking in Marriott lobby lounge</p> <p><b><i> To ensure you have a seat at this workshop, please register here:</i></b></p> <p><b><i><a href=""http://www.evolvingsol.com/events-and-education/big-data-hands-on-workshop-october-8""><a href=""http://www.evolvingsol.com/events-and-education/big-data-hands-on-workshop-october-8"" class=""linkified"">http://www.evolvingsol.com/events-and-education/big-data-hands-on-workshop-october-8</a></a></i></b></p> <p>Hope to see you there.<b><i><br/></i></b></p> ","18000000","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","225242712","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/225242712/","","Big Data Hands-on Workshop","","","","past","1444323600000","1444343620000","-18000000","5801 Opus Pkwy","","Minnetonka","us","14912712","44.89772415161133","USA","-93.40635681152344","Minneapolis Marriott Southwest ","","False","MN","55343","public","0","32"
"1","1458942339000","<p>Join Evolving Solutions and IBM for a Big Data &amp; Apache Spark Developer Day on April 28th at the Minneapolis Marriott Southwest.  This is a customer event only.</p> <p><br/>The Developer Day will introduce the open source processing engine, Apache Spark, highlighting not only it's awesome power but how it fits within the larger data landscape. You will learn why Spark was developed to crunch through Big Data, what MapReduce is, and why Spark can beat the pants off of it in terms of performance and ease of use. You will learn how non-programmers can get started with Spark (warning: there is no escaping code, but you can do it, we promise), with a hands on lab exploring Spark and the Spark Machine Learning library. </p> <p>Specifically, the lab will introduce the data science methodology cycle through the implementation of one specific analytic approach: text classification.  Through concrete examples, you will use Apache Spark and its machine learning library to develop and train a Naeve Bayes classifier.  During this lab, we will also use a Jupyter Notebook to interact with a Spark cluster and explore text data as well as access data from files, object storage and through SQL to learn when each method is useful.   </p> <p><i><b>Agenda:</b></i></p> <p>12:00 to 01:00 pm - Registration and Lunch<br/>01:00 to 02:00 pm - Overview of Apache Spark<br/>02:00 to 05:00 pm - Hands-on Lab - Spark Machine Learning/Text Classifier</p> <p>To confirm your seat, please register here:  <b><a href=""http://ibm.co/1MGVQ6b""><a href=""http://ibm.co/1MGVQ6b"" class=""linkified"">http://ibm.co/1MGVQ6b</a></a></b></p> <p><br/>Lunch will be provided.  Join Evolving Solutions and IBM for some networking and refreshments after the hands-on lab.</p> ","18000000","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","zip 55343","229874912","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/229874912/","","Big Data & Apache Spark Developer Day","","","","past","1461862800000","1461887003000","-18000000","5801 Opus Pkwy","","Minnetonka","us","14912712","44.89772415161133","USA","-93.40635681152344","Minneapolis Marriott Southwest ","","False","MN","55343","public","0","40"
"2","1461977062000","<p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here:  <b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>Registration begins at 5:30 PM and the discussion starts at 6:30 PM; food and drinks will be served. You must register for this event. </p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/apache-sparktm-maker-community-event-registration-24742595770?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">HERE</a></b>. </p> <p>Can't attend in person? We'll be live streaming this event on a computer screen near you! Register for the  <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1363601061000","7667362","open","44.97999954223633","-93.2699966430664","Big Data Developers in Minneapolis","Big-Data-Developers-in-Minneapolis","Developers","","230756439","https://www.meetup.com/Big-Data-Developers-in-Minneapolis/events/230756439/","","Apache Spark Maker Community Event","","","","past","1465252200000","1465268287000","-18000000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","12"
