"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"0","1383437464000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <b><a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/"">InfoSphere Streams V3.2</a></b> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a></b>.</p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","148839842","https://www.meetup.com/Big-Data-Developers-in-Paris/events/148839842/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470282000","3600000","See Description for Details","BDU University","San Jose","us","16729312","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","5"
"0","1415644916000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","218598422","https://www.meetup.com/Big-Data-Developers-in-Paris/events/218598422/","","Big Data for Social Good Challenge","","","","past","1415660400000","1415672400000","3600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","3"
"1","1415738835000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","218622384","https://www.meetup.com/Big-Data-Developers-in-Paris/events/218622384/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425420000000","1425432055000","3600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","73"
"0","1434249754000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:</p> <p>•  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","223230456","https://www.meetup.com/Big-Data-Developers-in-Paris/events/223230456/","","IBM | Spark - The start of something big in data & design (Web Conference Only)","","","","past","1434420000000","1434524722000","7200000","","","","","","","","","","","","","","public","0","48"
"0","1462051370000","<p><i><b>THIS MEETUP AND LIVE STREAMING IS US PACIFIC STANDARD TIME (PST). PLEASE CONVERT TO YOUR TIME ZONE.</b></i></p> <p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here: </p> <p><b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>We realize you may not be able to attend in person, however, we are <b>live streaming</b> the event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","230773338","https://www.meetup.com/Big-Data-Developers-in-Paris/events/230773338/","","Apache Spark Maker Community Event","","","","past","1465227000000","1465244772000","7200000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","46"
"5","1467021778000","<p>En cette semaine de Cloud Week Paris 2016, nous organisons une nouvelle session du meetup dédié à Apache Spark - framework open source de manipulation de données très prisé dans le monde du Big Data -. Venez découvrir les investissements faits pour encourager l’innovation open source, pour faire évoluer la data science, pour accélérer le développement d’applications basées sur des données … Lors de ce meetup, nous vous ouvrirons les portes d’un environnement de développement qui contient tout ce dont un data scientist, un développeur ou un Engineer, a besoin pour innover avec succès. Notre Meetup Spark se tiendra au Village by CA , dont nous remercions toute l'équipe d'animation pour son accueil. Voici donc l'agenda que nous vous proposons :</p> <p>Overview Agenda</p> <p>1) L'écosystème Apache Spark 2) L'intégration d’Apache Spark sur la plateforme de développement IBM Bluemix - Démonstration 3) Extension de l'usage de SPSS Modeler avec Apache Spark - Démonstration 4) Du prototype à la production : industrialisation de vos projets avec Apache Spark - Témoignage de Capgemini 5) The IBM Data Science Experience 6) Q&amp;A - Clôture - Pot Detailed Agenda</p> <p>Notre meetup est prévu de démarrer à 18h00 précises. Les participants seront accueillis à partir de 17h45.<br/>1) L'écosystème Apache Spark Qu'est-ce que Spark ? Pourquoi l'utiliser ? Aperçu de l'histoire, des spécificités et de l'écosystème du projet Apache Spark. Speaker : Victor Hattinguais, Ingénieur Avant-Vente Big Data 2) L'intégration d’Apache Spark sur la plateforme de développement IBM Bluemix - Démonstration Nous vous proposons une introduction à la plateforme de développement IBM Bluemix et des services disponibles autour des données, en particulier le service Apache Spark qui permet de développer rapidement des applications de data science et de machine learning avec le notebook Jupyter.</p> <p>Speaker : Victor Hattinguais, Ingénieur Avant-Vente Big Data</p> <p>3) Extension de l'usage de SPSS Modeler avec Apache Spark - Démonstration</p> <p><br/>L'objectif de cette présentation est de montrer aussi aux analystes statisticiens utilisant déjà la solution d’analyse prédictive SPSS Modeler, qu'il est désormais possible de profiter de la puissance de parallélisation offerte par Spark (et Python) depuis leur interface préférée et de manière simplifiée.</p> <p>Speaker : Christophe Burgaud, Architecte Big Data &amp; Data Scientist - Mathématicien et ancien chercheur, Christophe a passé presque 15 ans chez Oracle en tant qu'expert Database Performance (Benchmaker) et a participé au développement de l'option Oracle Data Mining. Depuis 5 ans, il travaille chez IBM comme Architecte Big Data &amp; Data Scientist.</p> <p>4) Du prototype à la production : industrialisation de vos projets avec Apache Spark - Témoignage de Capgemini Dans un projet Big Data, valider une idée prometteuse à l’aide d’un prototype est une étape cruciale. Transformer le prototype en application utilisable au quotidien en est une autre.</p> <p>Découvrez comment Capgemini a mis en œuvre Apache Spark pour construire People Analytics, une solution Big Data et Analytics destinée aux départements Ressources Humaines.</p> <p>Renforcez la robustesse, les performances et la maintenabilité de votre application en capitalisant sur ce partage d’expérience, de code et de bonnes pratiques.</p> <p>Speaker : Jean-Baptiste Martin, Chef de Produit, Capgemini -8 ans d’expérience dans le domaine de la Business Intelligence, du Big Data et de l’Analytics. Créateur en 2014 de People Analytics, solution Big Data et Analytics développée par Capgemini, en partenariat avec IBM, et destinée aux départements RH des entreprises de toutes tailles. Dirigeant d’une startup dans le domaine de la donnée professionnelle depuis 2016.</p> <p>5) The IBM Data Science Experience Découvrez en live ce nouvel environnement de développement autour de Spark, disponible dans le Cloud sur IBM Bluemix. Cette plateforme donne un accès rapide à 250 jeux de données, fournit des outils open source -tels que H2O, Jupyter Notebook, RStudio- et propose un espace de travail collaboratif pour permettre aux data scientists de trouver, et de partager avec les développeurs, de nouvelles idées.</p> <p>Speaker : Zied Abidi, Architecte Big Data &amp; Data Scientist- Jeune ingénieur expérimenté dans la mise en place de solutions Big Data &amp; Analytics. Zied a fait ses premières armes dans différentes startups en créant des services innovants autour des données avant de se passionner pour la data science qu'il a appliqué dans des projets d'envergure. Depuis 2015 chez IBM, il occupe le rôle d'architecte Big Bata et de Data Scientist.</p> <p>6) Q&amp;A - Clôture du meetup avec le cocktail comme à l'accoutumée.</p> <p>============ INFOS PRATIQUES =============</p> <p>Horaires : Heure de début : 18h00 - Heure de fin prévue : 20h00</p> <p>Adresse :Le Village By CA</p> <p>55 rue de la boëtie, Paris Comment y aller ?</p> <p>Metro : Miromesnil, ligne 9 ou ligne 13 - Bus : 28, 32, 52, 80, 83, 93 - Parking : À 7 min du parking Haussmann-Berri</p> ","7200000","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","232192958","https://www.meetup.com/Big-Data-Developers-in-Paris/events/232192958/","","Apache Spark & Bluemix","","","","past","1467820800000","1467835123000","7200000","55, Rue de la Boëtie","","Paris","fr","23742028","48.87337875366211","France","2.3128139972686768","Le Village by CA","","False","","","public","0","127"
"0","1464834292000","<p><b>THIS IS A GLOBAL ON-LINE HACKATHON THAT BEGINS MAY 23, 2016 AND <i>NOW ENDS AUGUST 23, 2016</i>.  SUBMISSIONS DUE AUGUST 23rd BY 5:00 PM EST. </b></p> <p><b>We’re extending the hackathon deadline to August 23</b> - that’s 20 additional days to build your Spark enterprise app. (View the revised competition calendar <b><a href=""http://apachespark.devpost.com/details/dates"">HERE</a></b><b>.  </b>We're giving you more time because....</p> <p>We’re adding <b>new enterprise data resources</b> to the site and we want to give you a chance to incorporate these into your projects, if you so choose.  Our awesome data co-sponsors <b><a href=""http://www.yelp.com/nyc"">Yelp</a></b> and <b><a href=""https://uncharted.software/"">Uncharted Software</a></b> have generously shared some of their enterprise data sets for you to use during the hackathon.</p> <p>Yelp’s data includes 2.2M reviews by 552K users for 77K businesses. The Uncharted data includes Bitcoin network transactions from processing the Bitcoin blockchain as of mid-2014 <i>and</i> Amazon product reviews from 1995 through 2003. For a fuller description and data access, visit our <b><a href=""http://apachespark.devpost.com/details/resources#datasets"">resources page</a></b>.</p> <p>Uncharted Software also has a couple cool Spark data visualization libraries you should check out: <b><a href=""http://unchartedsoftware.github.io/salt/"">Salt</a></b> and <b><a href=""http://unchartedsoftware.github.io/sparkpipe-core/"">SparkPipe.</a></b></p> <p>And, in case you’d like to weigh the effects of weather on business operations, we’re also offering access to the full suite of <b><a href=""http://apachespark.devpost.com/details/weather_data"">Weather Company APIs</a></b> for the duration of the hackathon.</p> <p>Finally, if you’re looking for a hosting solution for your Spark app, we’re now offering <b>extended Bluemix trials for all hackathon participants</b>. Using Bluemix services to build your project is <b><i>totally optional</i></b>, but might be a good way to get your app up and running — particularly with the IBM Analytics for Apache Spark service.</p> <p><b><a href=""http://apachespark.devpost.com/details/bluemix_promo"">You can request your extended Bluemix trial code here.</a> </b> For all hackathon participants, trials will extend through November 1, 2016. <i>Now go forth and optimize for the enterprise!</i></p> <p>---------------------</p> <p>Build an Apache Spark application to address a real business problem or core concern related to customer care, marketing, risk management or operations. Join IBM and Devpost for a global hackathon using <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">Apache Spark Makers Build</a></b>.  There are $100,000 in cash prizes.  Submissions can be sent in up to August 23rd.</p> <p><i>Participation Details: </i>To participate in the global virtual hackathon, you can <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">register here</a></b>.  Please review all registration guidelines.</p> <p>For the hack, you will apply Apache Spark's powerful analytics capabilities to enterprise and other relevant data so data scientists and software developers can build an analytics or mobile/web app that tackles a key business problem in marketing, customer case, operations or risk management.  The grand prize is $50,000, and the top three winners each get a meeting with the judge or<br/>Spark community expert of their choice; the judging panel includes data experts from Tesla, Netflix, and Silicon Valley Data Science.</p> <p>Go to <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">apachespark.devpost.com</a></b> for full details and registration.  Please review all registration rules.</p> <p><b> <i>Questions?</i></b></p> <p>We're here to help. If you have any questions about the hackathon, post on the <b><a href=""http://apachespark.devpost.com/forum_topics"">discussion forum</a></b> or email <b><i>support@devpost.com</i></b> and we'll respond as soon as we can.</p> ","","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","231584069","https://www.meetup.com/Big-Data-Developers-in-Paris/events/231584069/","","Show Us Your Apps - Apache Spark Maker Build Global Hackathon","","","","past","1471964400000","1471977241000","7200000","Any Street","","Any City","us","24581652","36.77825927734375","USA","-119.41793060302734","Global Online Hackathon","","False","CA","","public","0","29"
"0","1472499194000","<p>On September 27, 2016, leading minds in data and analytics will come together and unveil the latest in cloud technology, enabling you to more efficiently put data to work. Experience how Spark, Hadoop, Python, and more are being used to bring together all types of data professionals –from data engineers, to data scientists, developers and business analysts –to work in new collaborative ways.</p> <p>The IBM DataFirst Launch Event will unite data and analytics leaders and practitioners from the open source community, startups, and enterprises. Check the <i><b><a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html"">event site</a></b></i> for the latest lineup of guest speakers. The event takes place @ 6pm at the Hudson Mercantile Building, NYC.</p> <p>Here’s the plan:<br/>• The Big Reveal –Experience new ways to work for data engineers, data scientist, developers, and business analysts, both individually and collectively.</p> <p>•Hands-on sessions – With interactive experiences for each of these professions.</p> <p>•Use Cases –Community leaders and guest speakers will share their expertise and vision<br/>•Networking Opportunity – Food, drinks, data, collaborative demos, and a party on the rooftop</p> <p>Learn more here:<a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html#"">  <i><b>DataFirst Launch Event</b></i></a></p> <p>Check-in and networking begins at 6:00 PM.  Food and drinks will be served. You must register for this event.</p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/ibm-datafirst-launch-event-registration-26725283041"">HERE</a></b>.  </p> <p>Can't attend in person? We'll be live streaming this event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-ibm-datafirst-launch-event-registration-26906650516"">LIVE STREAM </a></b>and we'll send you a calendar update and login link. </p> ","14400000","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","zip 10018","233718305","https://www.meetup.com/Big-Data-Developers-in-Paris/events/233718305/","","DataFirst Launch Event – Experience new ways to put your data to work","","","","past","1474992000000","1475009051000","7200000","500 West 36th Street","","New York","us","24745891","40.755863189697266","USA","-73.99864959716797","Hudson Mercantile Bldg","","False","NY","","public","0","11"
"0","1475750769000","<p>Rendez-vous le 18 octobre au Carrousel du Louvre pour <b>un parcours Développeurs à ne pas manquer !</b></p> <p><br/><b>Hands-on <a href=""http://www-05.ibm.com/fr/businessconnect/agenda/developpeurs/?cm_mmc=Earned-_-Cross+IBM+Events_2016+Cross+IBM+Connect+Events-_-FR_FR-_-Meetup&amp;cm_mmca1=000003ID&amp;cm_mmca2=10001376&amp;"">sur inscription</a></b><a href=""http://www-05.ibm.com/fr/businessconnect/agenda/developpeurs/?cm_mmc=Earned-_-Cross+IBM+Events_2016+Cross+IBM+Connect+Events-_-FR_FR-_-Meetup&amp;cm_mmca1=000003ID&amp;cm_mmca2=10001376&amp;"">&lt;/a&gt; - 13h30/17h<i> - Apportez votre poste de travail personnel. </i></p> <p><br/>• Développement d’applications dans le Cloud avec Apache Spark ou d'applications Internet des Objets avec IBM Bluemix et Watson IoT Platform...</p> <p>• Exercices pratiques sur l’utilisation des outils nécessaires à la sécurisation des applications web ou sur les API Watson à travers l’outil open source Node–RED...</p> <p><b>Grande Finale Sparkathon IBM </b>- 12h30/13h30</p> <p><br/>Venez suivre les pitchs des trois équipes finalistes et la remise des prix de ce challenge IBM + Spark mené en partenariat avec la BRED Banque Populaire sur le thème de la connaissance client augmentée. [&lt;a href=""http://ibm.biz/SparkathonIBM""&gt;En savoir plus sur le <b>Sparkathon</b></a>]</p> <p><b>Le parcours Développeurs, c’est aussi des ateliers, démos, conférence IT… </b></p> <p>• Vision d’IBM, témoignages d’experts, de clients et de start-up sur l’évolution de l’IT et les tendances du moment : DevOps, Open source, plateformes d’innovation, APIs, IoT, apps mobiles, Big Data, deep learning, Blockchain…</p> <p>• Découvrez des technologies et méthodes novatrices pour écourter le cycle de développement et la mise à jour de vos applications. </p> <p><br/>• Explorez, à travers des scénarios d’usage métier et animations expérientielles, toutes les innovations cognitives et numériques d’IBM.</p> <p>A bientôt,</p> <p><b><a href=""http://www-05.ibm.com/fr/businessconnect/agenda/developpeurs/?cm_mmc=Earned-_-Cross+IBM+Events_2016+Cross+IBM+Connect+Events-_-FR_FR-_-Meetup&amp;cm_mmca1=000003ID&amp;cm_mmca2=10001376&amp;"">INSCRIVEZ-VOUS</a></b> sur le site IBM BusinessConnect 2016</p> <p><br/><img src=""http://photos4.meetupstatic.com/photos/event/6/2/3/6/600_454825142.jpeg"" /></p> ","27000000","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","234665528","https://www.meetup.com/Big-Data-Developers-in-Paris/events/234665528/","","IBM BusinessConnect : Explorez des technologies innovantes !","","","","past","1476775800000","1476818235000","7200000","Rue de Rivoli","","Paris","fr","793610","48.856536865234375","France","2.355556011199951","Carrousel du Louvre","","False","","","public","0","37"
"2","1475786878000","<p>Join The Brussels Data Science Community, <a href=""https://spark-summit.org/eu-2016/"">Spark Summit Europe</a> attendees, and Spark ML and machine learning experts Nick Pentreath and Jean-Francois Puget for a talk on an Apache Spark–based, end-to-end machine learning system. A round of Spark and machine learning lightning talks will follow.</p> <p>Many resources are available for building basic recommendation models using Spark. But how does a practitioner go from the basics to creating an end-to-end machine learning system, including deployment and management of models for real-time serving? In this session, we’ll demonstrate how to build such a system based on Spark ML and Elasticsearch. In particular, we’ll focus on how to go from data ingestion to model training to a real-time predictive system.</p> <p><b>Agenda</b></p> <p>18:30 – Welcome, food and drink</p> <p>18:40 – Update on the preparation and workshops of the <a href=""http://www.denguehack.org/"">Data4Good Hackathon</a>, and <a href=""https://datasciencebe.com/tag/philippe-van-impe/"">Philippe Van Impe</a>, founder, European Data Innovation Hub and the Brussels Data Science Community</p> <p>18:50 – Introduction: <a href=""https://spark-summit.org/eu-2016/speakers/berni-schiefer/"">Berni Schiefer</a>, IBM Fellow</p> <p>19:00 – Creating an end-to-end Recommender System with Spark ML: <a href=""https://spark-summit.org/eu-2016/speakers/nick-pentreath/"">Nick Pentreath</a>, principal engineer at the IBM Spark Technology Center, Apache Spark PMC member and author of Machine Learning with Spark, and <a href=""https://www.linkedin.com/in/jfpuget"">Jean-François Puget</a>, distinguished engineer at IBM and chief architect for IBM Analytics Solutions.</p> <p>19:45 – Lightning talks: 10 minute Spark and machine learning discussions, including new projects from Belgium. Details are coming soon. </p> <p>20:45 – Networking and refreshments</p> <p><b>PARKING - at GRAND PLACE</b><br/>Rue Marché aux Herbes 104, 1000 Brussels<br/>Boulevard de l'Impératrice - Keizerinlaan Brussels</p> ","9000000","1363373117000","7633692","open","48.86000061035156","2.3399999141693115","Big Data Developers in Paris","Big-Data-Developers-in-Paris","Developers","","234677645","https://www.meetup.com/Big-Data-Developers-in-Paris/events/234677645/","","Spark and Machine Learning","","","","past","1477585800000","1477596263000","7200000","Rue Marché aux Herbes 110","","Brussels 1000","be","24839304","50.846458435058594","Belgium","4.355463981628418","NH CARREFOUR DE L'EUROPE ","","False","","","public","0","40"
