"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"0","1383574764000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","149076342","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/149076342/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470283000","-18000000","See Description for Details","BDU University","San Jose","us","16729432","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","8"
"4","1400098505000","<p><b>REGISTRATION IS NOW CLOSED.  YOU MAY REGISTER ONSITE AT BIG DATA DEVELOPER DAY IN MALVERN.  BREAKFAST AND LUNCH PROVIDED. </b></p> <p><br/>Join us and participate in an exclusive Big Data Developer Day <b>hosted by the IBM Big Data team and Micro Strategies Inc</b>.</p> <p><br/>Open source Apache Hadoop is a great framework for distributed processing of large data sets. But there’s a difference between ""playing"" with big data versus solving real problems. The reality is that Hadoop alone might not be enough. Experience IBM’s <b>enterprise-class Hadoop</b> product, InfoSphere BigInsights, which enhances open source Hadoop with required enterprise capabilities including: analytics, visualization, security, standard SQL, enterprise HBase, developer/admin tools, learn about the role of <b>Big Data in Motion, Big Data Exploration</b> and more. The morning session will include interactive <a href=""http://www-01.ibm.com/software/data/bigdata/use-cases.html"">Big Data use case</a> discussions, an overview of what is big data, live demonstrations of key Big Data components (Big Data at Rest, Big Data in Motion).</p> <p>


<a href=""https://www.youtube.com/watch?feature=player_embedded&amp;v=B27SpLOOhWw"" class=""embedded"">https://www.youtube.com/watch?feature=player_embedded&amp;v=B27SpLOOhWw</a></p> <p><br/>In the afternoon, get hands-on with Big Data using <a href=""http://ibm.co/quickstart"">InfoSphere BigInsights Quick Start Edition </a> and<a href=""http://ibm.co/streamsqs"">InfoSphere Streams Quick Start Edition</a> with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p><b>This event is <i>FREE</i>.</b> Breakfast, Lunch and snacks will be provided.</p> <p><b>Agenda (subject to change) </b></p> <p><br/>9:00 am to 9:30 am Breakfast &amp; Registration</p> <p>9:30 am to 10:30 am Welcome and Keynote - <b>Big Data Overview</b></p> <p>10:30 am to 11:15 am <b>Big Data: Data Warehouse Modernization &amp; Demo</b></p> <p>11:15 am to 11:30 am Break</p> <p>11:30 am to 12:15 pm <b>Big Data: Streams Real Time Analytics &amp; Demo</b></p> <p>12:15 pm to 1:00 pm Lunch</p> <p>1:00 pm to 5:00 pm <b>Hands-on Labs</b></p> <p><br/>            Getting started with Hadoop<br/>                  - Leveraging the full power of SQL with Hadoop, Text Analytics, etc ..</p> <p>            Get started with Stream Analytics</p> <p>Labs will use <a href=""http://ibm.co/quickstart"">BigInsights Quickstart VM</a> and <a href=""http://ibm.co/streamsqs"">Streams Quickstart VM</a>.  Here is a video on how to <a href=""http://www.youtube.com/watch?v=imIVJjUhrVo"">setup the BigInsights Quickstart VM</a>. To learn more before hand and get hands on go to <a href=""http://bigdatauniversity.com/"">Big Data University</a>. </p> <p>5:00 PM Close Thank You for Attending </p> <p>Seating is limited, please adjust your RSVP accordingly.</p> <p>T<b>o confirm your seat, you <i>must</i> <i>register here</i>:</b> <b><a href=""http://bit.ly/1jpq16m""><a href=""http://bit.ly/1jpq16m"" class=""linkified"">http://bit.ly/1jpq16m</a></a></b></p> <p>We look forward to seeing you there.<b><br/></b></p> <p>


Big Data Development Team</p> ","28800000","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","183107492","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/183107492/","","Big Data Developer Day","","","","past","1402405200000","1402524250000","-14400000","1200 Atwater Drive","East Entrance, Suite 170","Malvern","us","20126392","40.07128143310547","USA","-75.52626037597656","Micro Strategies Inc - ATS Group Classroom","","False","PA","19355","public","0","25"
"2","1407246662000","<p>Big Data represents a new era in data exploration and utilization, and Hadoop offers an inexpensive, highly scalable solution for tackling the ever-increasing volumes and varieties of data. However, performing detailed reporting and analysis against data stored in Hadoop can be challenging. In order to provide an easy on-ramp for querying data managed by Hadoop, developers can now use standard SQL syntax to exploit Hadoop-based technologies. Right now, users have an excellent opportunity to jump into the world of Big Data with the introduction of SQL on Hadoop.</p> <p>Please join us on Wednesday, August 20, at 6:00 PM for the next Philadelphia Big Data Developers Meetup, where IBM Big Data Architect Scott Gray will discuss how you can achieve unmatched simplicity, performance and security using SQL on Hadoop.</p> <p>Following the session, please join us for hors d’evours and cocktails, where you will have the opportunity to network with others from IBM and the Big Data community. Location to follow shortly.</p> ","","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","199121852","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/199121852/","","SQL on Hadoop","","","","past","1408572000000","1408817256000","-14400000","30 S 17th St # 14","","Philadelphia","us","13542432","39.952022552490234","USA","-75.16865539550781","IBM","","False","PA","19103","public","0","65"
"2","1410457406000","<p>The introduction of Big Data and Hadoop has resulted in a paradigm shift in the field of data analytics. New analytics opportunities also bring new challenges: analyzing unstructured data, exploiting social media, making fast decisions on massive data volumes and more. R is a flexible programming language designed to facilitate predictive data analysis, but unlocking the value of Big Data with R can be complex. Businesses are looking for ways to remove this complexity, and combine unstructured or semi-structured data for improved predictions and optimal performance.</p> <p>Join us on October 7, 2014 as we explore ways to make predictive analytics with R more accessible to business users and discuss the solutions needed to capitalize on the promise of Big Data.</p> <p>Following the session, please join us for beverages and hors d’evours, where you will have the opportunity to network with others from IBM and the Big Data community.</p> ","","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","206645692","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/206645692/","","Big Data Analytics with R (registration now closed)","","75","","past","1412719200000","1413216050000","-14400000","30 S 17th St # 14","","Philadelphia","us","13542432","39.952022552490234","USA","-75.16865539550781","IBM","","False","PA","19103","public","0","88"
"0","1415643030000","<p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","218597856","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/218597856/","","Big Data for Social Good Challenge","","","","past","1415646000000","1415656924000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","4"
"10","1415126877000","<p>Hadoop is becoming an established component in today’s data centers. But, still misconceptions exist about how it works, where its best suited, and what its capable of.  Join us on November 18 for this special session with Dirk deRoos, the author of <i>Hadoop for Dummies</i>, as he explains the basic concepts of Hadoop at an introductory level.</p> <p>Seating is limited, so please register soon.</p> <p><img src=""http://photos2.meetupstatic.com/photos/event/2/8/d/e/600_429970462.jpeg"" /></p> <p><a href=""http://amzn.to/1qnEv7p""><a href=""http://amzn.to/1qnEv7p"" class=""linkified"">http://amzn.to/1qnEv7p</a></a></p> ","7200000","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","217612702","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/217612702/","","Understanding the Foundations of Hadoop - an IBM Insight Encore Presentation","","60","","past","1416351600000","1416435202000","-18000000","30 S 17th St # 14","","Philadelphia","us","13542432","39.952022552490234","USA","-75.16865539550781","IBM","","False","PA","19103","public","0","55"
"3","1418321139000","<p>It is estimated that over 80% of enterprise data is unstructured and most organizations have no way to capture and analyze it.  There is a need to build applications for big data that provide continuous ingestion and analysis of information from emerging sources such as GPS, video, social media, audio, and machine and sensor data.  Enterprises are looking for ways to analyze data in motion to empower decision making and deliver real-time responses, without the need to store data.</p> <p>Please join us on Wednesday, January 21, 2015 for an interactive session on capturing and analyzing big data in motion.  This Meetup will include an informative discussion on real-time, streaming data and sample use cases, as well as a demonstration in which we will ask you to participate. So bring your smartphone or tablet if you would like to be part of the action!  We will show how applications can quickly ingest and correlate information, as it arrives from real-time sources, and enables faster and smarter decision making.</p> <p>Space is limited so sign up today.</p> ","","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","219194306","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/219194306/","","Big Data in Motion: Extracting Insight from Real-time, Streaming Data","","60","","past","1421881200000","1421893427000","-18000000","30 S 17th St # 14","","Philadelphia","us","13542432","39.952022552490234","USA","-75.16865539550781","IBM","","False","PA","19103","public","0","60"
"0","1415734874000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","218620908","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/218620908/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425441600000","1425453335000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","42"
"4","1424964834000","<p>In large organizations, it can take several weeks for a DBMS instance to be provisioned for a new development project, which limits innovation and agility. Mobile application developers need to concentrate more on development, and less on managing database infrastructure or growth. NoSQL Database-as-a-Service (DBaaS) eliminates complexity, and enables instant provisioning of your data layer, so that you can begin new development quickly.</p> <p>Now, developers can leverage the availability, elasticity, and reach of the cloud to create a data delivery network that enables applications to scale larger and remain available to users wherever they are.</p> <p>Please join us on Thursday, March 19, 2015 as we discuss different NoSQL database genres, and how DBaaS will enable you to focus on app development, knowing that NoSQL in the cloud can scale to meet surging data needs. We will also cover JSON, the open standard format for data transmission, and how it integrates with a NoSQL cloud environment.</p> <p>Space is limited, so sign up today.</p> ","5400000","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","","220777999","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/220777999/","","Big Data in Motion II: Enabling mobile app developers with NoSQL in the Cloud","","60","","past","1426804200000","1429037044000","-14400000","30 S 17th St # 14","","Philadelphia","us","13542432","39.952022552490234","USA","-75.16865539550781","IBM","","False","PA","19103","public","0","38"
"0","1434169728000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p><br/>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p><br/>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:<br/>  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1374711772000","9505612","open","39.95000076293945","-75.16000366210938","Big Data Developers in Philadelphia","Big-Data-Developers-in-Philadelphia","Members","Web Conference Only","223215554","https://www.meetup.com/Big-Data-Developers-in-Philadelphia/events/223215554/","","IBM | Spark - The start of something big in data & design (Web Conference Only))","","","","past","1434420000000","1434428596000","-14400000","","","","","","","","","","","","","","public","0","36"
