"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"0","1411986958000","<p>The future belongs to Developers! IBM believes in this and has dedicated one day in XCITE 2014, ASEAN's signature event to talk to Developers and Technepreneurs. We will start the day with a live band, followed by a live demo showcasing how easy it is to build apps on Bluemix, IBM's Platform as a Service. We are using Drones, Foosball, Gaming, Connected Cars, Jaguar Land Rover virtual customer experience and Watson to showcase our technology in a very fun, interactive, and experiential manner. We have also organized hands-on Tech Sandbox sessions for attendees where they can learn about progamming drones, building apps on Bluemix, building mobile apps among other things.</p> <p><b>Tech Sandbox: Interactive lab experience</b></p> <p> • Develop Apps on Bluemix</p> <p> • Learn, define &amp; build your own cloud with SoftLayer</p> <p> • Learn to build Mobile Apps - Fast!</p> <p> • Control the Data Layer on the Cloud</p> <p><b>Solution Zone: Immerse yourself in hands-on fun</b></p> <p> • Customize your own Jaguar Land Rover</p> <p> • Gaming on cloud</p> <p> • Program the Parrot Drone</p> <p> • Geospatial analytics &amp; Big Data connecting Cars</p> <p><b>Smartcamp: Watch innovative ideas come alive</b></p> <p> • Connect with the venture community</p> <p> • Access a huge portfolio of IBM software</p> <p> • Test, validate and be part of the IBM Innovation Center program</p> <p><b>Venue:</b> Marina Bay Sands Expo &amp; Convention Centre, Level 5,10 Bayfront Avenue, Singapore 018956</p> <p>The event is supported by IDA, Spring Singapore, SiTF and A*STAR ETPL. Seats are limited. Register now to attend this event. Email at <b>XCITE2014_Developer@gpj.com or call us at +65 6690 0459+65 6690 0459</b> to register now!</p> <p>Looking forward to welcoming you.</p> ","","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","Register @ http://www.ekkko.com/xcite_developer/","210196062","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/210196062/","","Register now to attend @ http://www.ekkko.com/xcite_developer/","","","","past","1413334800000","1413347412000","28800000","10 Bayfront Avenue, Singapore 018956","","Singapore","sg","22667702","1.2816799879074097","Singapore","103.85875701904297","Marina Bay Sands Expo & Convention Centre, Level 5","","False","","","public","0","35"
"0","1415645434000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","","218598634","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/218598634/","","Big Data for Social Good Challenge","","","","past","1415685600000","1415697613000","28800000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","4"
"6","1423739480000","<p>Dear Big Data Enthusiast,<br/>Join Singapore Big Data Meetup on 27th February to learn the latest on Big Data and Analytics driven cutting edge insight, business intelligence and ROI.<br/>The Meetup discussions will have specific focus on Introduction to Enterprise Big Data Platform, Big Data Analytics Demo, Taming Streaming data. Technology and culture all need to be in place and working cohesively to maximize the return of big data and analytics.<br/>The only requirement is to RSVP and stay connected with Singapore Big Data community.<br/>Additionally, you may invite your friends, colleagues, customers to this Meetup<br/>Time: 27th February 2015 from 9 am to 12 noon<br/>Venue: TEC room, Level 1, 9 Changi Business Park Central 1, The IBM Place, Singapore 486048<br/>Agenda:<br/>• 9 am to 9:30 am Registration<br/>• 9:30 am to 10 am Keynote by Anup Kumar on Introduction to Enterprise Big Data Platform - A quick overview of what are the various tools and capability available from IBM for taming Big Data .<br/>• 10 am to 10:30 am Big Data Analytics Demo - How to leverage BigR, BigSheet , BigSQL and other Hadoop technology to gain Insight from variety of data.<br/>• 10:30 am to 11:30 am Taming Streaming data - How to leverage various big data tools and capability to build application that require handling geo spatial, switch and sensors data.<br/>• 11:30 to 12 noon Tea Break/Networking</p> ","10800000","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","","220478327","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/220478327/","","Welcome to Data savvy, Insight driven, Big Data Meetup on 27th February ","","","","past","1424998800000","1425018754000","28800000","TEC room, Level 1, 9 Changi Business Park Central 1, The IBM Place, Singapore 486048","","Singapore","sg","23635948","1.3362400531768799","Singapore","103.9647216796875","IBM Singapore","","False","","","public","0","59"
"4","1415739288000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","","218622561","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/218622561/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425394800000","1425406717000","28800000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","60"
"4","1434339354000","<p>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW. </p> <p><br/>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more.</p> <p><br/>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.</p> <p>That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value. On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:</p> <p>-  Edd Dumbill, VP Strategy, Silicon Valley Data Science</p> <p>-  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize</p> <p>-  Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science</p> <p>-  Haoyuan Li, CEO and Founder of Tachyon Nexus</p> <p>-  Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM</p> <p>-  Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p>To get additional details about Spark and access the live-stream, you can sign up now for a reminder.  Please go to :</p> <p><br/><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></p> <p>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></p> <p><br/>Happy Sparking.</p> ","","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","","223251511","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/223251511/","","IBM | SPARK -The start of something big in data and design","","","","past","1434416400000","1434428569000","28800000","","","","","","","","","","","","","","public","0","28"
"4","1434694508000","<p>IBM is placing its biggest bet on open source innovation since we led the adoption of Linux through hundreds of business solutions. We are announcing our commitment to Apache Spark, an in-memory compute engine that delivers eye-opening speed and flexibility to data scientists and developers working with big data at scale.</p> <p>In fact, we are bringing the speed, agility and power of Spark into our Analytics Platform to make sure we're meeting the emerging needs of data-driven enterprises.</p> <p>After our initial launch we will be hosting a regional Spark Signature Moment Event in Singapore on Thursday July 2, 2015</p> <p>Join Us for an Update &amp; Lunch to Learn About IBM’s Commitment to Open Source &amp; Spark Innovation</p> <p>Agenda: Reception and introductions by IBM regional Executive<br/>Highlights from IBM Signature Moment Round Table in San Francisco<br/>Presentation:<br/>o The use cases for Big Data platform and the benefits of Apache Spark<br/>o  IBM’s innovations for Apache Spark, hybrid architecture<br/>o Open Data Platform (ODP)<br/>o IBM’s Analytics Platform for Apache Spark<br/>Lunch</p> <p>Check us out at: ibm.co/ibmspark RSVP by June 25th – LIMITED SEATING</p> ","","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","","223352471","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/223352471/","","IBM | Spark Signature Moment Singapore Event","PT168H","30","","past","1435807800000","1436101902000","28800000","No.6 Tampines Industrial Ave 5 ,Singaore 528760","","Singapore","sg","23911905","1.3731499910354614","Singapore","103.92919921875","IBM Client Centre","","False","","","public","0","28"
"0","1448391682000","<p>Spark Singapore Meetup group is hosting a Meetup during the Strata+Hadoop World Conference on Dec 1 (Tues) 6:30 pm at Suntec City convention Centre Room 321/322.  This is part of a series of meetups held during the week of Strata+Hadoop World, in collaboration with the rest of the Big Data/Data Science communities in Singapore.</p> <p><br/>Note, registration for the Strata+Hadoop World Conference is not required to attend this Meetup.  This Meetup will feature speakers from IBM, Databricks, Tachyon Nexus and Cloudera who will share their expertise and experience. Also a great opportunity for you to network.</p> <p><br/>For those wishing to attend the conference, there is a 20% special discount code IBM20 for registration. You can purchase your tickets at <b><a href=""http://conferences.oreilly.com/strata/big-data-conference-sg-2015"">Strata+Hadoop Singapore</a></b>.</p> <p>---------------------------------------------</p> <p><br/>December Meetup during Strata! <a href=""http://www.meetup.com/Spark-Singapore/events/219039180/"">Tell a friend</a> <a href=""http://www.meetup.com/Spark-Singapore/events/219039180/"">Share</a> Tuesday, December 1, 2015</p> <p>6:30 PM</p> <p>Singapore""&gt;</p> <p><a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Suntec+City+%2C+Singapore%2C+sg"">Suntec Convention &amp; Exhibition Center , No 1 Raffles Boulevard </a></p> <p>Suntec City , Singapore (<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Suntec+City+%2C+Singapore%2C+sg"">map</a>) Room 321/322</p> <p>We will have speakers from Databricks, IBM, Tachyon Nexus and Cloudera!  Special thanks to O'Reilly Media for the room to host this meetup.</p> <p>We have a FREE pass to give away. Come join the <a href=""http://www.meetup.com/Spark-Singapore/events/226693775/"">meetup</a> together with PyData Singapore on Nov 17 to have a chance to win, proudly sponsored by O'Reilly Media.</p> <p>=============</p> <p>Speaker: <b>Reynold Xin</b> is a committer on Apache Spark. He is also a co-founder of Databricks. Before Databricks, he was pursuing a Ph.D. in the University of California-Berkeley AMPLab.</p> <p>Title: State of Spark, and where it is going.</p> <p>Abstract:<br/>In his extended version of his keynote talk, Reynold will look back and review Spark’s growth in adoption, use cases, and development. He will then look forward and discuss both technical initiatives and the evolution of the Spark community for 2016.</p> <p>2015 is the year of data science and platformization for Apache Spark. With new high-level APIs (e.g. DataFrames, machine learning pipelines, R) and extension points, Spark is accessible to a wider set of users and can plug in a myriad of data sources, algorithms, and external packages. 2015 also marks the beginning of Project Tungsten, a major revamp of Spark’s execution engine to improve its robustness and performance. In 2016, we will continue pushing the boundaries of these dimensions, making Spark even easier and more powerful.</p> <p>=============</p> <p>Speaker:  <b>Chris Fregly</b> is a Principal Data Solutions Engineer for the newly-formed IBM Spark Technology Center, an Apache Spark Contributor, a Netflix Open Source Committer, as well as the Organizer of the global Advanced Apache Spark Meetup and Author of the Upcoming Book, Advanced Spark.  Previously, Chris was a Data Solutions Engineer at Databricks and a Streaming Data Engineer at Netflix.</p> <p>Title: Spark After Dark 1.5: Deep Dive Into Latest Perf and Scale Improvements in Spark Ecosystem</p> <p>Abstract:<br/>Combining the most popular and technically-deep material from his wildly popular Advanced Apache Spark Meetup, Chris Fregly will provide code-level deep dives into the latest performance and scalability advancements within the Apache Spark Ecosystem by exploring the following:</p> <p>1) Building a Scalable and Performant Spark SQL/DataFrames Data Source Connector such as Spark-CSV, Spark-Cassandra, Spark-ElasticSearch, and Spark-Redshift</p> <p>2) Speeding Up Spark SQL Queries using Partition Pruning and Predicate Pushdowns with CSV, JSON, Parquet, Avro, and ORC</p> <p>3) Tuning Spark Streaming Performance and Fault Tolerance with KafkaRDD and KinesisRDD</p> <p>4) Maintaining Stability during High Scale Streaming Ingestion using Approximations and Probabilistic Data Structures from Spark, Redis, and Twitter's Algebird</p> <p>5) Building Effective Machine Learning Models using Feature Engineering, Dimension Reduction, and Natural Language Processing with MLlib/GraphX, ML Pipelines, DIMSUM, Locality Sensitive Hashing, and Stanford's CoreNLP</p> <p>6) Tuning Core Spark Performance by Acknowledging Mechanical Sympathy for the Physical Limitations of OS and Hardware Resources such as CPU, Memory, Network, and Disk with Project Tungsten, Asynchronous Netty, and Linux epoll</p> <p>Demos:<br/>This talk features many interesting and audience-interactive demos - as well as code-level deep dives into many of the projects listed above.</p> <p>All demo code is available on Github at the following link: &lt;a&gt;<a href=""https://github.com/fluxcapacitor/pipeline/wiki­&lt;/a&gt"" class=""linkified"">https://github.com/fluxcapacitor/pipeline/wiki­&lt;/a&gt</a>;</p> <p>In addition, the entire demo environment has been Dockerized and made available for download on Docker Hub at the following link: &lt;a&gt;<a href=""https://hub.docker.com/r/fluxcapacitor/pipeline/­&lt;/a&gt"" class=""linkified"">https://hub.docker.com/r/fluxcapacitor/pipeline/­&lt;/a&gt</a>;</p> <p>=============</p> <p>Speaker: <b>Bin Fan</b> is a software engineer at Tachyon Nexus. He is one of the top committers in the open source community of Tachyon project. Prior to Tachyon Nexus, he worked in Google to build the next-generation storage infrastructure and won Google's Technical Infrastructure award.  Bin had publication in most prestigious acadmic conferences in Computer Science including SIGCOMM, SOSP, NSDI, and got his PhD in Computer Science from Carnegie Mellon University</p> <p>Title: Introduction to Memory-centric Distributed Storage System Tachyon and Its Use Case</p> <p>Abstract:<br/>Memory is the key to fast Big Data processing. This has been realized by many, and frameworks such as Spark and Shark already leverage memory performance. As data sets continue to grow, storage is increasingly becoming a critical bottleneck in many workloads.</p> <p>To address this need, we have developed Tachyon, a memory centric fault-tolerant distributed file system, which enables reliable file sharing at memory-speed across cluster frameworks, such as Spark and MapReduce. Tachyon caches working set files in memory, and enables different jobs/queries and frameworks to access cached files at memory speed. Different from traditional replication scheme, Tachyon achieves fault-tolerance by leveraging lineage information.</p> <p>Over two years of research and production deployment, Tachyon as an open-source system has more than 160 contributors from over 50 institutions, including IBM, Yahoo, Intel, Redhat, Baidu, and Tachyon Nexus. We had a major release, version 0.8 in October 2015, including numerous new features. In particular, the latest version support mounting of multiple under storage systems and transparent naming enables more exciting use cases for Tachyon users,  remote write to allow users to write to Tachyon through remote workers, detailed monitoring of the master and workers, and integration with Yarn and Mesos. In the presentation, we will also explore several potential industry use cases enabled by the new features. </p> <p>============= </p> <p>Speaker:  <b>Kostas Sakellis</b> is a Software Engineer and contributor to Apache Spark. Previous to that, he contributed to the extensibility effort on Cloudera Manager. Before Cloudera, Kostas did a 6 year stint at Amazon working across various teams including platform infrastructure. Kostas has a Bachelors of Mathematics in Computer Science from the University of Waterloo.</p> <p><br/>Title: Apache Spark 101: Taming Big Data</p> <p>Abstract:<br/>Apache Spark has become a very popular data processing framework due to its speed and easy of use. In this talk we will start at the beginning and give a brief technical introduction to key Spark concepts and differentiators. We will dive deep into the core architecture of Spark and discuss improvements over MapReduce. We will conclude with a few examples of Spark being used to solve real world problems. </p> <p>=============</p> ","","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","Room 321/322","226995364","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/226995364/","","December Meetup during Strata!","","","","past","1448965800000","1448984089000","28800000","#1 Raffles Blvd","","Suntec City","sg","24226661","1.3520829677581787","Singapore","103.81983947753906","Suntec Convention & Exhibition Center","","False","","","public","0","71"
"3","1462039861000","<p><i><b>THIS MEETUP AND LIVE STREAMING IS US PACIFIC STANDARD TIME (PST). PLEASE CONVERT TO YOUR TIME ZONE.</b></i></p> <p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here: </p> <p><b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>We realize you may not be able to attend in person, however, we are <b>live streaming</b> the event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","","230770185","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/230770185/","","Apache Spark Maker Community Event","","","","past","1465205400000","1465220984000","28800000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","43"
"0","1472498720000","<p>On September 27, 2016, leading minds in data and analytics will come together and unveil the latest in cloud technology, enabling you to more efficiently put data to work. Experience how Spark, Hadoop, Python, and more are being used to bring together all types of data professionals –from data engineers, to data scientists, developers and business analysts –to work in new collaborative ways.</p> <p>The IBM DataFirst Launch Event will unite data and analytics leaders and practitioners from the open source community, startups, and enterprises. Check the <i><b><a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html"">event site</a></b></i> for the latest lineup of guest speakers. The event takes place @ 6pm at the Hudson Mercantile Building, NYC.</p> <p>Here’s the plan:<br/>• The Big Reveal –Experience new ways to work for data engineers, data scientist, developers, and business analysts, both individually and collectively.</p> <p>•Hands-on sessions – With interactive experiences for each of these professions.</p> <p>•Use Cases –Community leaders and guest speakers will share their expertise and vision<br/>•Networking Opportunity – Food, drinks, data, collaborative demos, and a party on the rooftop</p> <p>Learn more here:<a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html#"">  <i><b>DataFirst Launch Event</b></i></a></p> <p>Check-in and networking begins at 6:00 PM.  Food and drinks will be served. You must register for this event.</p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/ibm-datafirst-launch-event-registration-26725283041"">HERE</a></b>.  </p> <p>Can't attend in person? We'll be live streaming this event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-ibm-datafirst-launch-event-registration-26906650516"">LIVE STREAM </a></b>and we'll send you a calendar update and login link. </p> ","14400000","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","zip 10018","233718073","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/233718073/","","DataFirst Launch Event – Experience new ways to put your data to work","","","","past","1474970400000","1474986043000","28800000","500 West 36th Street","","New York","us","24745891","40.755863189697266","USA","-73.99864959716797","Hudson Mercantile Bldg","","False","NY","","public","0","37"
"0","1479310055000","<p>IBM values our community of clients and business partners. Each year, we support and build our community by working closely with IBM advocates and helping them to become </p> <p><b><a href=""http://www.ibm.com/developerworks/champion/"">IBM Champions</a></b></p> <p>IBM Champions are a select group of external advocates made up of clients, business partners and independent consultants who make exceptional contributions to the technical community by speaking at conferences, running or actively participating in user groups, evangelizing relevant technical topics via social media, and helping our clients make the most of IBM technology. </p> <p>We are looking for clients and business partners to join the program and are looking for applications in the areas of data science, data engineering, application development, and business analytics.</p> <p><b>Nominations are due by Monday, November 28, 2016</b></p> <p>The Champion program is open to candidates worldwide, and candidates may self-nominate or be nominated by someone else. IBM employees are not eligible for the program.  Some benefits of the IBM Champion program: <br/>- IBM Champions advocate IBM offerings in the community with competence and credibility (content, blogs, presentations, customer references, analyst/press, videos/podcasts, etc.)<br/>- IBM Champions share knowledge with and provide support to the IBM user community (books, articles, blogs, forums, presentations, education, beta programs and customer advisory councils etc.)<br/>- IBM Champions support IBM as brand ambassadors who build awareness, share product knowledge, and provide product feedback as users and beta testers</p> <p>Read this  <b><a href=""https://www.ibm.com/developerworks/community/blogs/ibmchampion/entry/Nominate_an_IBM_Champion_Nominations_OPEN?lang=en"">blog post</a> </b> for full IBM Champion program criteria, guidelines and the <b>&lt;a&gt;nomination form&lt;/a&gt;</b>.</p> <p>To learn more about the IBM Champion program from current Champions and Worldwide IBM Champion coordinator Libby Ingrassia, listen to this <a href=""https://ibm2.webex.com/ec3100/eventcenter/recording/recordAction.do?theAction=poprecord&amp;siteurl=ibm2&amp;entappname=url3100&amp;internalRecordTicket=4832534b00000002ed04dabb7c4dfbe255318214758c39900441e206be2ecb71765e9832f1af34b8&amp;renewticket=0&amp;isurlact=true&amp;format=short&amp;rnd=3315557804&amp;RCID=3855f080a3a7e1133bcd207eefd89727&amp;rID=52765987&amp;needFilter=false&amp;recordID=52765987&amp;apiname=lsr.php&amp;AT=pb&amp;actappname=ec3100&amp;&amp;SP=EC&amp;entactname=%2FnbrRecordingURL.do&amp;actname=%2Feventcenter%2Fframe%2Fg.do""><b>webcast</b></a>. Be sure to share the blog and webcast with clients and colleagues who would make great IBM Champions.</p> ","","1391781826000","12764782","open","1.2999999523162842","103.8499984741211","Big Data Developers in Singapore","Big-Data-Developers-in-Singapore","Members","","235622257","https://www.meetup.com/Big-Data-Developers-in-Singapore/events/235622257/","","IBM Champions - Call for Nominations","","","","past","1480417200000","1480428870000","28800000","Any Street","","Any City","us","24904123","32.16562271118164","USA","-82.90007781982422","On-Line Only","","False","GA","","public","0","23"
