"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"3","1383575443000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","149077812","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/149077812/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384475566000","-18000000","See Description for Details","BDU University","San Jose","us","16729432","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","19"
"24","1381345653000","<p><i><b>REGISTRATION WILL CLOSE END OF DAY TOMORROW (TUESDAY).  IF YOU HAVE NOT ALREADY REGISTERED, PLEASE DO SO RIGHT AWAY.  PLEASE USE THE LINK BELOW TO REGISTER FOR BIG DATA DEVELOPER DAY IN TORONTO ON MARCH 27TH.  SEATING CAPACITY IS LIMITED. </b></i></p> <p><i><b><br/></b></i></p> <p><b><a href=""http://ibm.co/1nLalZA""><a href=""http://ibm.co/1nLalZA"" class=""linkified"">http://ibm.co/1nLalZA</a></a></b></p> <p><b><a href=""http://ibm.co/1nLalZA""><br/></a></b></p> <p>Join us and participate in an exclusive Big Data Developer Day hosted by the IBM Big Data team.   Open source Apache Hadoop is a great framework for distributed processing of large data sets. But there’s a difference between ""playing"" with big data versus solving real problems. The reality is that Hadoop alone might not be enough. Experience IBM’s <b>enterprise-class Hadoop</b> product, InfoSphere BigInsights, which enhances open source Hadoop with required enterprise capabilities including: analytics, visualization, security, standard SQL, enterprise HBase, developer/admin tools, learn about the role of <b>Big Data in Motion</b>, <b>Big Data Exploration</b> and more. The morning session will include interactive <a href=""http://www-01.ibm.com/software/data/bigdata/use-cases.html"">Big Data use case</a> discussions, an overview of what is big data, live demonstrations of key Big Data components (Big Data at Rest, Big Data in Motion).</p> <p><a href=""http://www.youtube.com/watch?v=B27SpLOOhWw&amp;list=PL7FnN5oi7Ez_p0XyFGI_XDF6C8Hj4R6-k&amp;index=18"" class=""embedded"">http://www.youtube.com/watch?v=B27SpLOOhWw&amp;list=PL7FnN5oi7Ez_p0XyFGI_XDF6C8Hj4R6-k&amp;index=18</a></p> <p>and, in the afternoon, get hands-on with Big Data using <a href=""http://ibm.co/quickstart"">InfoSphere BigInsights Quick Start Edition</a> and <a href=""http://ibm.co/streamsqs"">InfoSphere Streams Quick Start Edition</a> with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p><b>This event is <i>FREE</i>.</b> Breakfast, Lunch and snacks will be provided.</p> <p>Agenda (subject to change)</p> <p><br/>9:00 am to 9:30 am Breakfast &amp; Registration</p> <p>9:30 am to 10:30 am Welcome and Keynote - <b>Big Data Overview</b></p> <p>10:30 am to 11:15 am <b>Big Data @ Rest (Hadoop) &amp; Demo</b></p> <p>11:15 am to 11:30 am Break</p> <p>11:30 am to 12:15 pm <b>Big Data in Motion &amp; Demo (Streams)<br/></b></p> <p>12:15 pm to 1:00 pm Lunch</p> <p>1:00 pm to 5:00 pm <b>Hands-on Lab</b> -</p> <p><br/>- Track 1     <b>Hadoop</b><br/>** maximize throughput leveraging Adaptive MapReduce<br/>** leveraging full power of SQL with Hadoop</p> <p>- Track 2     <b>Streams</b><br/>** the Programming Model for real time analytics<br/>** integration with Analytics technologies...SPSS, R, etc.</p> <p><br/>5:15 PM Close Thank You for Attending</p> <p><br/>Labs will use <a href=""http://bm.co/quickstart"">BigInsights Quickstart VM</a> and <a href=""http://ibm.co/streamsqs"">Streams Quickstart VM</a>.  Here is a video on how to <a href=""http://www.youtube.com/watch?v=imIVJjUhrVo"">setup the BigInsights Quickstart VM</a>. To learn more before hand and get hands on go to <a href=""http://bigdatauniversity.com/"">Big Data University</a>. </p> <p>Seating is limited, please adjust your RSVP accordingly.</p> <p><b>To guarantee your seat, you must register here: </b></p> <p><b>    </b> <b><a href=""http://ibm.co/1nLalZA""><a href=""http://ibm.co/1nLalZA"" class=""linkified"">http://ibm.co/1nLalZA</a></a></b></p> <p><br/>Registration is required.  This event is limited to only 50 seats. You may let others know that you are going to this event by clicking on the YES RSVP button on this Meetup page—however— your seat can not be guaranteed until you officially register at the link above.</p> <p>Thanks and we look forward to seeing you soon!</p> ","29700000","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","144728522","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/144728522/","","Big Data Developer Day","","","","past","1395925200000","1395976885000","-14400000","3600 Steeles Ave. East","","Markham","ca","10069012","43.817996978759766","Canada","-79.33522033691406","IBM","","False","ON","","public","0","94"
"5","1398090752000","<p><b>Join us for our next Big Data Developer Meetup to be held at the IBM Lab in Markham on Wednesday, May 7th.  RSVP on this meetup.<br/></b></p> <p>Hear from the development team about the latest SQL for Hadoop features in <b><a href=""http://www.ibm.com/developerworks/library/bd-bigsql/"">Big SQL</a>.  </b> Big SQL delivers some exciting capabilities including comprehensive SQL functionality that leverages advanced SQL compiler/runtime all with low latency and high performance. If you attended the Big Data Developer Day in Markham on March 27th, you would have heard a very brief introduction to the power of Big SQL an how it can enhance your Big Data projects.</p> <p><br/>Learn more about <a href=""http://www.livestream.com/newchannel/popoutplayer?channel=ibmiod&amp;clip=pla_e4b28ad8-f647-4a02-88ad-6679b78f7e8b&amp;time=1481"">Big SQL here.</a></p> <p>



We will also offer a parallel track on <b><a href=""http://www-03.ibm.com/software/products/en/infosphere-streams/"">Streams</a></b> where you will be able to continue to enhance your practical knowledge of how you can leverage real time analytics.   The agenda for this track will be to give an overview of the new capabilities in InfoSphere Streams 3.2.1, Introduce Streams open development on <a href=""https://github.com/IBMStreams"">github</a> and Q&amp;A.</p> <p>Want to learn how to get stared with Real Time analytics?  Check out the <a href=""https://www.ibmdw.net/streamsdev/docs/category/getting-started/"">Getting Started with Streams</a> links.</p> <p>


<b>Agenda </b></p> <p>6:00pm - 7:00pm          Registration, Dinner, Welcome &amp;<br/>                                           Networking<br/>7:00pm - 9:00pm          SQL for Hadoop<br/>                                           - Presentation, demos<br/>                                           <b>or</b><br/>                                           Streams Track<br/>                                           - Presentation, demo, hands on lab<br/>                                           - InfoSphere Streams 3.2.1 update<br/>                                              -- overview of new features<br/>                                           - InfoSphere Streams open development<br/>                                              -- discuss open toolkit development<br/>                                              -- what is currently under development<br/>                                              -- how to get involved<br/>                                              -- brainstorm on new toolkits, new operators<br/>                                           - Question and Answer</p> ","10800000","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","178343772","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/178343772/","","SQL for Hadoop","","100","","past","1399500000000","1399814233000","-14400000","8200 Warden Avenue","","Markham","ca","3709592","43.84918212890625","Canada","-79.33843231201172","IBM Toronto Lab","","False","ON","","public","0","76"
"10","1398554433000","<p><b>Join us for our next Big Data Developer Meetup to be held at the IBM Lab in Markham on Wednesday, May 7th.  RSVP on this meetup.<br/></b></p> <p>


Come learn, see demos and discuss what's in Real Time Analytics powered by <a href=""http://www-03.ibm.com/software/products/en/infosphere-streams/"">Streams</a> .   This session will help you to continue to enhance your practical knowledge of how you can leverage real time analytics.  The agenda for this track will be to give an overview of the new capabilities in InfoSphere Streams 3.2.1, Introduce Streams open development on <a href=""https://github.com/IBMStreams"">github</a> and Q&amp;A.</p> <p><br/>Want to learn how to get stared with Real Time analytics?  Check out the <a href=""https://www.ibmdw.net/streamsdev/docs/category/getting-started/"">Getting Started with Streams</a> links.</p> <p>


We will also have a parallel track on the latest SQL for Hadoop features in <a href=""http://www.ibm.com/developerworks/library/bd-bigsql/"">Big SQL</a>.   Big SQL delivers some exciting capabilities including comprehensive SQL functionality that leverages advanced SQL compiler/runtime all with low latency and high performance. If you attended the Big Data Developer Day in Markham on March 27th, you would have heard a very brief introduction to the power of Big SQL an how it can enhance your Big Data projects.</p> <p><br/>Learn more about <a href=""http://www.livestream.com/newchannel/popoutplayer?channel=ibmiod&amp;clip=pla_e4b28ad8-f647-4a02-88ad-6679b78f7e8b&amp;time=1481"">Big SQL here.</a></p> <p>


<b>Agenda </b></p> <p>6:00pm - 7:00pm          Registration, Dinner, Welcome &amp;<br/>                                           Networking<br/>7:00pm - 9:00pm          Streams Track<br/>                                           - Presentation, demo, hands on lab<br/>                                           - InfoSphere Streams 3.2.1 update<br/>                                              -- overview of new features<br/>                                           - InfoSphere Streams open development<br/>                                              -- discuss <a href=""https://github.com/IBMStreams"">open toolkit development</a><br/>                                              -- what is currently under development<br/>                                              -- how to get involved</p> <p><br/>                                              -- brainstorm on new toolkits, new operators</p> <p>                                          <b>or </b></p> <p>                                          SQL for Hadoop</p> <p>                                              -- Presentation, demos</p> <p>                                              -- Question and Answer</p> ","10800000","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","179485442","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/179485442/","","Real Time Analytics and Streams Open Development","","100","","past","1399500000000","1399515562000","-14400000","8200 Warden Avenue","","Markham","ca","3709592","43.84918212890625","Canada","-79.33843231201172","IBM Toronto Lab","","False","ON","","public","0","35"
"1","1406040391000","<p>This will be the agenda for this event: 6:00 - 6:05pm - Registration and Welcome!</p> <p>6:05 - 6:15pm - Recap from prior meetup events</p> <p>6:15 - 7:00pm - <a href=""https://developer.ibm.com/hadoop/videos/text-analytics/"">Introducing Text Analytics</a> with a use case and demo</p> <p><a href=""https://www.youtube.com/watch?v=pMNkP0zxbo4"" class=""embedded"">https://www.youtube.com/watch?v=pMNkP0zxbo4</a></p> <p>7:00 - 7:45pm - Introducing <a href=""https://developer.ibm.com/hadoop/videos/bigsheets/"">spreadsheet-like analytics</a> with a use case and demo </p> <p>


7:45 - 8:00pm - Networking Free refreshments/snacks will be available.</p> <p>Join our sibling meetup for more in-depth knowledge about SMAC:</p> <p><a href=""http://www.meetup.com/Toronto-SMAC-Social-Mobile-Analytics-Cloud-Meetup/""><a href=""http://www.meetup.com/Toronto-SMAC-Social-Mobile-Analytics-Cloud-Meetup/"" class=""linkified"">http://www.meetup.com/Toronto-SMAC-Social-Mobile-Analytics-Cloud-Meetup/</a></a></p> ","","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","196386532","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/196386532/","","An Intro to Text Analytics on Big Data with a use case","","","","past","1406239200000","1406252208000","-14400000","252 Bloor Street West (St. George Subway Station)","","Toronto","ca","20905662","43.66844177246094","Canada","-79.39862823486328","University of Toronto - OISE Building - Room 4422","","False","ON","","public","0","52"
"2","1414688380000","<p><img src=""http://photos4.meetupstatic.com/photos/event/8/0/d/6/600_419012982.jpeg"" /></p> <p>One of the sources of Big Data are IoT and Wearable technology applications. For example, the Kiwi device collects 50 measurements per second.  Participate in this meetup to learn how you can collect data from wearables and analyze them.</p> <p>This meetup has been created to support SportsHack 2014 (<a href=""http://sportshackweekend.org/"">sportshackweekend.org</a>) the very first wearable tech hack specific to Sports in Toronto. It's a great chance to network and potentially form teams for the hack which will happen on Nov 14 - 16, 2014.  If you will not be participating in the Hack, you are still invited!</p> <p>Remember to <a href=""http://ibm.biz/TOMeetup"">register</a> and use the 30 day <a href=""http://ibm.biz/TOMeetup"">Bluemix</a> free trial. </p> <p>Agenda:</p> <p>5:00pm - Network / Optionally form teams for SportsHack, hands-on with wearables</p> <p>6:30pm - Technical presentation about wearables to be used on the SportsHack</p> <p>7:00pm - Network / Optionally form teams for SportsHack, hands-on with wearables</p> <p>10:00pm - End of event</p> <p><i><b>Bring your laptops</b></i> if you want to play with the wearables, and bring any wearable you may want to use in the SportsHack.  There will be Internet connectivity.</p> <p>Four stations will be set up in this meetup:</p> <p>Station #1: Muse (<a href=""http://www.choosemuse.com/"">InteraXon</a>)</p> <p>Station #2: Myo (<a href=""https://www.thalmic.com/en/myo/"">Thalmic Labs</a>)</p> <p>Station #3: Kiwi Device (<a href=""http://kiwiwearables.com/"">Kiwi Wearables</a>)</p> <p>Station #4: Other wearables and devices that can complement a solution with wearables (Oculus Rift, bring your own!, Freescale devices)</p> <p>Each station will have a number of wearable devices to try, and where you'll have a chance to write code using the wearable 's SDK (first come, first served). There will be mentors at each station that can help you speed up your learning process, and they can also demo apps they've written.  <i>Feel free to arrive at any time between 5pm and 10pm. You can rotate between stations.</i> In order to give a chance to everyone to play with the devices, the organizers may limit the time participants have per station.</p> <p>Join us and have fun! </p> <p><i>Refreshments / snacks will be provided</i></p> <p>Brought to you by:</p> <p><img src=""http://photos1.meetupstatic.com/photos/event/5/4/5/8/600_419001592.jpeg"" /></p> <p>Thanks to the DMZ (Ryerson University) for providing the venue and helping with logistics for this event</p> <p><img src=""http://photos4.meetupstatic.com/photos/event/a/a/9/8/600_419143672.jpeg"" /></p> ","","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","Yonge/Dundas (Closest subway station: Dundas)","216591602","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/216591602/","","Hands-on: Develop with wearable technology and analyze big data","","","","past","1415142000000","1415153608000","-18000000","10 Dundas St. E. - 6th Floor","","Toronto","ca","22717372","43.656681060791016","Canada","-79.38065338134766","Ryerson University - Digital Media Zone (DMZ)","","False","ON","","public","0","65"
"0","1415640818000","<p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p> </p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p> </p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p> </p> <p>Register here:<b><a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></b></p> <p> </p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p> </p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p> </p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> <p> </p> ","","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","218597065","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/218597065/","","Big Data for Social Good Challenge","","","","past","1415646000000","1415656924000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","8"
"2","1415207123000","<p><img src=""http://photos4.meetupstatic.com/photos/event/8/0/d/6/600_419012982.jpeg"" /></p> <p>This is the second meetup created in support of SportsHack 2014 (<a href=""http://sportshackweekend.org/"">sportshackweekend.org</a>), the very first wearable tech hack specific to Sports in Toronto. In this meetup we will cover <a href=""http://ibm.biz/TOMeetup"">Bluemix</a> in more detail, and show you how to get different wearable devices connected to several <a href=""http://ibm.biz/TOMeetup"">Bluemix</a> services, including dashDB (Analytics warehouse), and Analytics for Hadoop. <a href=""http://ibm.biz/TOMeetup"">Bluemix</a> is the required platform to use for <a href=""http://sportshackweekend.org/"">SportsHack</a>. For info on the first meetup in support of SportsHack 2014, check this <a href=""http://www.meetup.com/Toronto-SMAC-Social-Mobile-Analytics-Cloud-Meetup/events/210697712/"">link</a>.</p> <p>Remember to <a href=""http://ibm.biz/TOMeetup"">register</a> and use the 30 day <a href=""http://ibm.biz/TOMeetup"">Bluemix</a> free trial prior to attending this meetup.  Bring your computer to work on the labs! - Internet access will be available. </p> <p><b>Agenda</b></p> <p>6:00pm - 6:15pm Welcome - <a href=""http://ibm.biz/TOMeetup"">Bluemix</a> tour</p> <p>6:15pm - 6:25pm IoT &amp; NodeRed demo </p> <p>6:25pm - 6:35pm IoT &amp; NodeRed QuickLab </p> <p>6:35pm - 6:45pm CF Tool </p> <p>6:45pm - 6:55pm CF Tool Quicklab</p> <p>6:55pm - 7:05pm DevOps services demo </p> <p>7:05pm - 7:15pm DevOps services QuickLab</p> <p>7:15pm - 7:20pm Using Bluemix Eclipse plug-in </p> <p>7:20pm - 7:35pm Using dashDB/Analytics for Hadoop </p> <p>7:35pm - 7:45pm Using dashDB QuickLab</p> <p>7:45pm - 7:55pm Freescale to Bluemix demo </p> <p>7:55pm - 8:05pm Muse to Bluemix demo</p> <p>8:05pm - 8:15pm Muse to Bluemix Quicklab</p> <p>8:15pm - 8:25pm Myo to Bluemix demo </p> <p>8:25pm - 8:35pm Raspberry Pi to Bluemix demo </p> <p>8:35pm - 8:45pm Kiwi to Bluemix demo </p> <p>8:45pm - 8:55pm Kiwi to Bluemix QuickLab</p> <p>Snacks/refreshments will be provided</p> <p>Remember to register for your 30 day <a href=""http://ibm.biz/TOMeetup"">Bluemix</a> free trial.  (30 days begins the day you register.) </p> ","10800000","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","217816942","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/217816942/","","Hands-on: Bluemix Workshop - Wearables and Big Data on Bluemix","","","","past","1415746800000","1415808160000","-18000000","9 King's College Circle","","Toronto","ca","23474225","43.662208557128906","Canada","-79.39407348632812","UofT: Gerstein Science Information Centre (2nd Floor) - Sigmund Samuel Library Building","","False","ON","","public","0","37"
"3","1416260388000","<p>The InfoSphere Streams development team continues to push the envelope of what's possible in the realm of Real Time Analytics! A number of interesting new features have been added to Streams and can all be previewed in the Streams 3.2.2 Beta VM image which is now available for download.</p> <p><br/>The main themes in 3.2.2 are:<br/>1. IBM InfoSphere Streams for Microsoft Excel<br/>2. Automated High Availability and Next Generation Architecture<br/>3. Application Resiliency</p> <p>See demonstrations of the new features and join in the discussion of the use cases and provide feedback to the development team who will be present at this session. The new features will be demonstrated, use cases discussed and provide feedback to the development team on the new features.</p> <p>Come to the Meetup with the Beta installed and you will be able to follow along with many of the demos the presenter's will be stepping through.</p> <p><a href=""https://developer.ibm.com/streamsdev/2014/10/24/streams-3-2-2-open-beta-now-available/"" class=""linkified"">https://developer.ibm.com/streamsdev/2014/10/24/streams-3-2-2-open-beta-now-available/</a></p> <p>Agenda:</p> <p>1:00 Introductions<br/>1:15: Streams 3.2.2 Beta Image basics<br/>1:30 Streams for Microsoft Excel<br/>2:00 Domains High Availability and Console<br/>2:45 break<br/>3:00 Application Resiliency<br/>3:45 Discussion:  Use cases, feedback. Q&amp;A with Toronto Streams development team members.<br/>4:30 Wrap-up</p> <p>Visit the StreamsDev web site to keep up to date with the latest and greatest on IBM's InfoSphere Streams: <a href=""https://developer.ibm.com/streamsdev/"" class=""linkified"">https://developer.ibm.com/streamsdev/</a></p> <p>Refreshments will be served.</p> ","12600000","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","218743342","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/218743342/","","Cutting Edge Real Time Analytics!","","40","","past","1417024800000","1417038172000","-18000000","120 Bloor Street East","","Toronto","ca","19046962","43.67129898071289","Canada","-79.38381958007812","IBM Centre for Solution Innovation","","False","ON","","public","0","40"
"2","1421787342000","<p><b>ABSTRACT</b></p> <p><br/>IBM dashDB is a new data warehousing solution on the cloud which allows the user to visualize their data and perform data analysis through built-in analytics, R predictive modeling and other BI and ETL tools.</p> <p>Design thinking is defined as combining empathy for the context of a problem, creativity in the generation of insights and solutions, and rationality in analyzing and fitting various solutions to the problem context.</p> <p>In this meetup learn more about design thinking, and how it is being used to improve dashDB.</p> <p><b>AGENDA</b>:</p> <p><br/>WELCOME (6:00 - 6:25pm)</p> <p>LET'S THINK TOGETHER (6:25pm - 6:45pm)</p> <p>INTRO TO DESIGN THINKING (6:45pm- 7:15pm)</p> <p>- Use case scenario example : IBM dashDB</p> <p>- Description of the Design Thinking steps</p> <p>HANDS-ON WORK IN GROUPS (7:15pm - 8:30pm)</p> <p>Discussion: who do you think would benefit from using dashDB? · Brainstorm: what does this user want to achieve with this app? how can we make their experience great?</p> <p>A step by step walk through to create personas, use cases and empathy maps to help empathize with users and design apps to better suit their needs</p> <p><br/><b>PRESENTER'S BIOS:</b></p> <p><b>Maria Attarian</b></p> <p>Maria is a software engineer working for IBM Canada Ltd. She is currently working on IBM dashDB, a role that required direct learning and application of all the principles of Design Thinking upon a real software product, within a fast pace environment based on continuous delivery and Agile development</p> <p><b>Helen Kontozopoulos</b></p> <p><br/>Helen is a design thinking strategist who advises early stage startups on crafting software and hardware companies with design thinking, anthropology, marketing and lean startup business development tools. As a Co-Founder and General Partner of SMART LAUNCH she is integral in creating Canada's top seed funding and startup program for early-stage Internet of Things (IoT) &amp; Artificial Intelligence (AI) companies which come out of Canadian universities.<br/>She is the Director and Co-Founder of the technology conference, SMARTWEEK 2014/2015, an Internet of Things and Artificial Intelligence conference based in Toronto with Global partnered events.<br/>Helen is a Lecturer at the University of Toronto, in the Department of Computer Science, where she teaches lean startup methodologies, design thinking and business innovation. She is on the UofT/IBM Watson teaching team.</p> <p><b>Anna Kop</b></p> <p><br/>Anna is a user experience designer, applying principles of design thinking daily to improve healthcare apps. Feel free to reach out at @annakopster</p> ","","1374711411000","9505562","open","43.65999984741211","-79.4000015258789","Big Data Developers in Toronto","Big-Data-Developers-in-Toronto","Members","","219965195","https://www.meetup.com/Big-Data-Developers-in-Toronto/events/219965195/","","An intro to IBM dashDB and design thinking","","","","past","1421967600000","1422032900000","-18000000","9 King's College Circle","","Toronto","ca","23474225","43.662208557128906","Canada","-79.39407348632812","UofT: Gerstein Science Information Centre (2nd Floor) - Sigmund Samuel Library Building","","False","ON","","public","0","30"
