"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"0","1372076502000","<p>Infoschool<br/>5/1 3b richhomes richmond road<br/>Bangalore -25</p> ","","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","126175192","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/126175192/","","Big DATA","","","","past","1372480200000","1372491924000","19800000","5/1 3b Rich Buildings Richmond Road Bangalore -25 Ph 9980566805","","Bangalore","in","14165262","12.971598625183105","India","77.59456634521484","Info School","","False","","","public","0","1"
"31","1371577094000","<p>Participate in IBM Big Data Meetup</p> <p> </p> <p><b>AGENDA</b></p> <p><b>10:00 A.M to 10:30 A.M</b> - <b>Big Data Overview; Why does Big Data matter to you?</b><br/><b>10:30 A.M to 11:30 A.M - Looking below the Hood - Key Engines of IBM Big Data</b><br/><b>11:30 A.M to 1:00 P.M - Machine Data Accelerator Demo/Lab</b></p> <p> </p> <p><b>PREREQUISITE READ UP</b><br/>Core Hadoop (HDFS, Map/Reduce, Hive, Hadoop job execution).<br/>Following resources are available if you need any quick refreshers.<br/>1. What is? list:<br/><a href=""http://www.youtube.com/playlist?list=PL7FnN5oi7Ez9_S0N5H2cu2de2sJNC1FXN"" class=""embedded"">http://www.youtube.com/playlist?list=PL7FnN5oi7Ez9_S0N5H2cu2de2sJNC1FXN</a><br/>2. Use Case list:<br/><a href=""http://www.youtube.com/playlist?list=PL7FnN5oi7Ez90xxvS53HluODkRT1usKb9"" class=""embedded"">http://www.youtube.com/playlist?list=PL7FnN5oi7Ez90xxvS53HluODkRT1usKb9</a><br/>3. BigInsights List:<br/><a href=""http://www.youtube.com/playlist?list=PLD018347FAFE3F161"" class=""embedded"">http://www.youtube.com/playlist?list=PLD018347FAFE3F161</a><br/>4. Review Big Data University Courses:<br/><a href=""https://bigdatauniversity.com/"" class=""linkified"">https://bigdatauniversity.com/</a></p> <p> </p> <p><b>PREREQUISITE DOWNLOAD FOR LAB (optional)<br/></b></p> <p>If you wish to participate in hands-on lab, please carry your laptop with the following prerequisite with the InfoSphere BigInsights Quick Start Edition downloaded and setup in order to save time.</p> <p>64-Bit Linux Operating System Minimum RAM: 4 GB Minimum free disk space: 30 GB Processor: x86 64-bit systems <b>InfoSphere BigInsights Quick Start Edition download link</b></p> <p><a href=""https://www14.software.ibm.com/webapp/iwm/web/preLogin.do?source=swg-ibmibqsevmw"" class=""linkified"">https://www14.software.ibm.com/webapp/iwm/web/preLogin.do?source=swg-ibmibqsevmw</a></p> <p><b>Lab Sample Data Download Link</b></p> <p><a href=""http://www.ibm.com/developerworks/apps/download/index.jsp?contentid=819530&amp;filename=sampleData.zip&amp;method=http&amp;locale"" class=""linkified"">http://www.ibm.com/developerworks/apps/download/index.jsp?contentid=819530&amp;filename=sampleData.zip&amp;method=http&amp;locale</a>=</p> <p>Please bring along your own data card - in case you wish to access the tutorial online.</p> ","12600000","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","125255232","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/125255232/","","IBM Big Data Meetup on July 06th","","","","past","1373083200000","1373304441000","19800000","IBM India Private Limited, Embassy Golf Links,"," Off Indira Nagar-Koramangala Intermediate Ring Road","Bangalore","in","14083242","12.953020095825195","India","77.64331817626953","IBM India Pvt Ltd - A Block ","","False","","","public","0","173"
"71","1379507413000","<p>2nd IBM Big Data Meetup on Sep 28th<br/>When: Sep 28th, Saturday at 9:30 AM<br/>Where: IBM ""Block A' cafeteria, Embassy Golf Links Business Park,. Off Indiranagar -Koramangala Intermediate Ring Road,. Bangalore – 560071.<br/>AGENDA<br/>10:00 A.M to 10:45 A.M – Bigdata Stack and Real Life, Cross Domain Big Data Use Cases<br/>10:45 A.M to 11:30 A.M - Apache Hadoop, HDFS and Map Reduce Overview<br/>11:30 A.M to 11:45 A.M – Snacks / Refreshment &amp; Networking<br/>11:45 A.M to 12:30 P.M - Big Data in Action (Problem Solving / White Boarding - Break into groups; Put on your thinking caps; and solve a real-life customer scenario using the Big Data techniques)<br/>12:30 P.M to 1:15 P.M - SQL on Hadoop<br/>Point to note: Free parking available at the venue</p> ","13500000","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","140875172","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/140875172/","","2nd IBM Big Data Meetup on Sep 28th ","","","","past","1380340800000","1380540195000","19800000","IBM India Private Limited, Embassy Golf Links,"," Off Indira Nagar-Koramangala Intermediate Ring Road","Bangalore","in","14083242","12.953020095825195","India","77.64331817626953","IBM India Pvt Ltd - A Block ","","False","","","public","0","280"
"8","1383576257000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","149079662","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/149079662/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384488531000","19800000","See Description for Details","BDU University","San Jose","us","16729132","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","45"
"39","1384408844000","<p><i><b>AGENDA</b></i></p> <p>• 10:00 A.M – Welcome<br/>• 10:10 A.M - 10:50 A.M - <b>Harnessing Enterprise Big Data Information in Real-Time</b> - Introduction to concepts of Data in Motion Analytics<br/>• 10:55 - 11:30 – <b>Real-Life Customer Scenarios &amp; Use Cases </b> (Overview of cross-industry real-time success stories )<br/>• 11:30 – 11:40 - Break<br/>• 11:40 – 12:00 – <b>Quiz Time!</b><br/>• 12:00 - 13:00 - <b>Solution Workshop &amp; Hands on Demo</b><br/>             (A problem statement will be given to each group. Think through, debate, brainstorm and come up with innovative solutions!)</p> <p>

<i><b>PREREQUISITE READ-UP</b></i></p> <p><br/>Following resources are available if you need any quick refreshers.</p> <p><br/>• 1. Introduction to Streams  - <a href=""http://www.youtube.com/watch?v=74-Jx2jfHug&amp;list=PLCF04A48C22F34B19&amp;index=5"" class=""embedded"">http://www.youtube.com/watch?v=74-Jx2jfHug&amp;list=PLCF04A48C22F34B19&amp;index=5</a><br/>• 2. InfoSphere streams overview - <a href=""http://www.youtube.com/watch?v=eQpFgLYXr_E"" class=""embedded"">http://www.youtube.com/watch?v=eQpFgLYXr_E</a><br/>• 3. Usecases list - <a href=""http://www.youtube.com/watch?v=eQpFgLYXr_E&amp;list=PLqA2A_x7TDHbAvOC8butk6DbrFaSbqTh8"" class=""embedded"">http://www.youtube.com/watch?v=eQpFgLYXr_E&amp;list=PLqA2A_x7TDHbAvOC8butk6DbrFaSbqTh8</a></p> <p> </p> <p><br/><i><b>PREREQUISITE DOWNLOAD FOR LAB</b></i></p> <p>If you wish to participate in hands-on lab, please carry your laptop with the following prerequisite with the InfoSphere Streams Quick Start Edition downloaded and setup in order to save time.</p> <p>• Operating System: 64-bit operating system that supports VMware (Apple Mac OS X, Linux, Microsoft Windows)<br/>• Memory: 2 GB<br/>• Disk space: 8 GB<br/>• VMware product: VMware product that runs on a 64-bit operating system</p> <p><i><b>IBM InfoSphere Streams Quick Start Edition Link</b></i></p> <p><a href=""http://www-01.ibm.com/software/data/infosphere/streams/quick-start/downloads.html""><a href=""http://www-01.ibm.com/software/data/infosphere/streams/quick-start/downloads.html"" class=""linkified"">http://www-01.ibm.com/software/data/infosphere/streams/quick-start/downloads.html</a></a></p> ","","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","150842822","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/150842822/","","Real-Time Big Data Analytics Meetup","","","","past","1385784000000","1385802015000","19800000","IBM India Private Limited, Embassy Golf Links,"," Off Indira Nagar-Koramangala Intermediate Ring Road","Bangalore","in","14083242","12.953020095825195","India","77.64331817626953","IBM India Pvt Ltd - A Block ","","False","","","public","0","330"
"16","1397477051000","<p>The Bangalore Big Data Meetup is hosting a Big Data Techathon Event in Bangalore. This is half a day event on April 19, 2014. The event comprises of Big Data Knowledge Sessions on the latest in the Industry and a 90-minute “HACKATHON”.  For more information about what a Hackathon really is <a href=""http://en.wikipedia.org/wiki/Hackathon"">CLICK HERE</a>. It is a first ever Hackathon being conducted in this meet up forum, in which Big Data developers and enthusiasts will develop SQL Access and Visualization Solutions for Big Data Hadoop. The software code contest will be around Open Source Hive, HBase or IBM BigInsights Big SQL and Big Sheets. Brush up your Big Data skills and take part in the Techathon alone or can bring along a team of maximum 3 people.</p> <p>Note: No Registration Fee. Contest winners and runner-ups will be announced on the big Data meet-up <a href=""http://www.meetup.com/Big-Data-Developers-in-Bangalore/events/177050042/"">web site</a>.  Participants will be provided with required software tools and infrastructure to develop code in the event.  </p> ","","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","177050042","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/177050042/","","Big Data Techathon - Come, Code, Conquer!","","","","past","1397878200000","1398345191000","19800000","IBM India Private Limited, Embassy Golf Links,"," Off Indira Nagar-Koramangala Intermediate Ring Road","Bangalore","in","14083242","12.953020095825195","India","77.64331817626953","IBM India Pvt Ltd - A Block ","","False","","","public","0","83"
"22","1404988048000","<p>We will discuss about various SQL on Hadoop  and explore why such technologies have become an area of keen interest for many organizations. We will share customer use cases for Data Warehouse Modernization and the role of SQL for Hadoop in this space, as well as discuss performance characteristics of SQL on Hadoop when running common query workloads.  </p> <p>Also hear from the team what are the technical challenges they faced developing their SQL on Hadoop solution, how they addressed those challenges and what are the next set of challenges they see in the evolution of SQL on Hadoop.  We will provide an intro to <a href=""http://www.ibm.com/developerworks/library/bd-bigsql/"">Big SQL</a> and demo.   Big SQL  delivers some exciting capabilities including comprehensive SQL functionality that leverages advanced SQL compiler/runtime all with low latency and high performance.</p> <p><b>Agenda:</b></p> <p><b>1) </b> <b>Overview of BigData</b></p> <p>·  <i>Big Data Landing Zone Ecosystem &amp; Data Warehouse Modernization<br/></i></p> <p><b>2) </b> <b>Overview of the  Big Data platform</b></p> <p>·  <i>Big SQL 3.0 </i></p> <p><b>3) </b> <b>Architecture of Big SQL 3.0</b></p> <p>·  <i>Overview of architecture</i></p> <p>·  <i>Enterprise security features</i></p> <p>·  <i>Other Enterprise features like - Federation, Workload Management, Open integration with Business analytic tools etc</i></p> <p><b>4) </b> <b>Performance of Big SQL 3.0</b></p> <p><b>5) </b> <b>Best Practices on Big SQL 3.0</b></p> ","11700000","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","194094032","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/194094032/","196","Big Data Meetup on July 19th - Sat (10am-1.15pm)","","","","past","1405744200000","1405940630000","19800000","IBM India Private Limited, Embassy Golf Links,"," Off Indira Nagar-Koramangala Intermediate Ring Road","Bangalore","in","14083242","12.953020095825195","India","77.64331817626953","IBM India Pvt Ltd - A Block ","","False","","","public","0","197"
"1","1406702145000","<p>Our clients are acquiring new customers with data. How is possible to get business insights from data ? Let's find out. Join in for a Big data and Analytics session with IBM.</p> <p><br/>Date - Monday, 4th August 2014</p> <p>Time - 3 PM onwards</p> <p>Venue - IBM Innovation Center, IBM A Block. Embassy Golf Links Business Park. Inner Ring Road. Bangalore - 37.</p> <p><br/>Agenda Overview -</p> <p>- Opening Address - Mona Bhardwaj. Manager, IBM Innovation Center. Bangalore.</p> <p>- Keynote by Shyam Mudambi, Big Data and Analytics Expert.  </p> <p>- Deep dive / Demo - Big Data</p> <p>- Q &amp; A / Networking followed by hi-tea</p> <p>- This is Free event</p> <p>



RSVP - Neha N - nehan1@in.ibm.com</p> <p>

Speaker profile -</p> <p><br/>Shyam Mudambi is the Development Director for InfoSphere BigInsights, IBM's Enterprise Hadoop distribution. Shyam has been in the parallel computing world since the late 80s, when he worked on optimal scheduling of parallel processes on early NUMA (Non-Uniform Memory Architecture) machines. He came into IBM as part of the Ascential acquisition, where he led the DataStage and Parallel DataFlow Engine (aka PX Engine) teams. Prior to Ascential, Shyam ran engineering at Torrent Systems, where he was also one of early engineers who developed the shared memory transport for the PX Engine and DB2/Oracle connectors. Shyam received his PhD in Computer Science from Brandeis University and has worked in several research labs in the area of parallel languages, including Argonne National Labs (Chicago), the European Computer Industry Research Center (Munich) and GTE Labs (Waltham, MA).</p> <p>


<a href=""https://www.youtube.com/watch?v=CmOoGF4k5to""><a href=""https://www.youtube.com/watch?v=CmOoGF4k5to"" class=""embedded"">https://www.youtube.com/watch?v=CmOoGF4k5to</a></a></p> ","7200000","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","IBM Innovation Center, IBM A Block. Embassy Golf Links Business Park. Inner Ring Road. Bangalore - 37.","197906502","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/197906502/","","Big data and Analytics session","","","","past","1407144600000","1407152493000","19800000","IBM A Block. Embassy Golf Links Business Park. Inner Ring Road. Bangalore - 37.","","Bangalore","in","21519462","0.0","India","0.0","IBM Innovation Center, ","","False","","","public","0","60"
"0","1415642695000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","218597761","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/218597761/","","Big Data for Social Good Challenge","","","","past","1415644200000","1415656877000","19800000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","5"
"19","1415380898000","<p>Dear Big Data Enthusiast,</p> <p>Join Bangalore Big Data Meetup on 15th November to learn the latest with <b><i>Hadoop on the Cloud</i></b> for Big Data and Analytics driven cutting edge insight, business intelligence and ROI.</p> <p>The meetup discussions will have specific focus on Cloud driven Big Data architecture, solutions and use cases. Data analytics, infrastructure, process, technology and culture all need to be in place and working cohesively to maximize the return of big data and analytics.</p> <p>IBM Bluemix is the Cloud Platform for the World’s ideas. Learn more on IBM’s Platform as a Service Cloud solution  (Bluemix) for BigInsights Hadoop. The Hands on Lab exercises will bring you to speed to get started on big data analytics on cloud.</p> <p>The only requirement is to sign-up at above-mentioned link to RSVP and stay connected with Bangalore Big Data community.</p> <p>Additionally, you may invite your customers as well as post the enclosed event brochure at your customer locations too.</p> <p><b>****************************</b><b>**************</b><b>**************</b></p> <p><br/><b>Please carry your laptops to the meetup to actively participate in the hands on lab sessions. There will be free Internet connectivity provided at the venue during the meetup.<br/></b></p> <p><b>****************************</b><b>**************</b><b>**************</b></p> <p>BlueMix Links</p> <p><br/><a href=""https://ace.ng.bluemix.net/"">1. BlueMix Registration Link: <a href=""https://ace.ng.bluemix.net/"" class=""linkified"">https://ace.ng.bluemix.net/</a></a></p> <p>2. Tutorial Link - <a href=""https://developer.ibm.com/hadoop/docs/tutorials/analytics-hadoop-bluemix/""><a href=""https://developer.ibm.com/hadoop/docs/tutorials/analytics-hadoop-bluemix/"" class=""linkified"">https://developer.ibm.com/hadoop/docs/tutorials/analytics-hadoop-bluemix/</a></a></p> <p><a href=""https://www.ng.bluemix.net/docs/#services/AnalyticsforHadoop/index.html#analyticsforhadoop"">3. Analytics for Hadoop docs link - <a href=""https://www.ng.bluemix.net/docs/#services/AnalyticsforHadoop/index.html#analyticsforhadoop"" class=""linkified"">https://www.ng.bluemix.net/docs/#services/AnalyticsforHadoop/index.html#analyticsforhadoop</a></a></p> <p><br/><b>Venue:</b> Embassy Golf Links Business Park. ‘A’ Block Cafeteria Inner Ring Road. Bangalore - 37.</p> <p><b>Time:</b> 15th November, 2014 from 10.00 AM through 1 PM</p> <p><b>Agenda:</b></p> <p>9:30 am to 10:00 am   <b>Registration</b></p> <p>10:00 am to 10:15 am   <b>Keynote by Bharat Gera, IBM Big Data Evangelist  – Big cloud. Big data.</b></p> <p>10:15 am to 11:30 am   <b>Introduction to Hadoop on the Cloud using BigInsights on BlueMix</b></p> <p>Session Coverage:</p> <p>a.  IBM’s Hadoop Distribution</p> <p>b.  IBM’s Platform as a Service (PaaS) cloud solution (Bluemix)</p> <p>c.  Analytics for Hadoop in the Cloud</p> <p>11:30 am to 11:45 am   <b>Tea Break</b></p> <p>11:45 am to 1 pm   <b>Demo and Get hands-on</b></p> <p>Session Coverage (Exercises):</p> <p>a.  Bluemix: bluemix.net</p> <p>b.  Exploring the Web Console</p> <p>c.  Analyzing data with BigSheets</p> <p>d.  Querying data with IBM Big SQL</p> ","12600000","1363882301000","7722222","open","12.970000267028809","77.55999755859375","Bangalore Spark Enthusiasts","Bangalore-Spark-Enthusiasts","Spark Enthusiasts","","218266142","https://www.meetup.com/Bangalore-Spark-Enthusiasts/events/218266142/","","Big Data Meetup on Nov 15th - Sat (9.30am-1.00pm) at EGL""A"" Block Cafeteria""","","","","past","1416024000000","1416299712000","19800000","IBM India Private Limited, Embassy Golf Links,"," Off Indira Nagar-Koramangala Intermediate Ring Road","Bangalore","in","14083242","12.953020095825195","India","77.64331817626953","IBM India Pvt Ltd - A Block ","","False","","","public","0","140"
