"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"0","1383415819000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <b><a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/"">InfoSpere Streams V3.2</a></b> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time</b>.</p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a></b>.</p> <p><b><i>NOTE: There will be no physical location for this meetup and it will all be online.</i></b></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","148795922","https://www.meetup.com/Big-Data-Analytics-in-London/events/148795922/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470282000","0","See Description for Details","BDU University","San Jose","us","16729312","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","14"
"29","1382024106000","<p>Join us and participate in an exclusive Big Data and Analytics Developer Evening hosted by the IBM Big Data and Analytics team.   Open source Apache Hadoop is a great framework for distributed processing of large data sets. But there’s a difference between ""playing"" with big data versus solving real problems. The reality is that Hadoop alone might not be enough. Experience IBM’s <b>enterprise-class Hadoop</b> product, InfoSphere BigInsights, which enhances open source Hadoop with required enterprise capabilities including: analytics, visualisation, security, standard SQL, enterprise HBase, developer/admin tools.</p> <p>We will kick off with <a href=""http://www-01.ibm.com/software/data/bigdata/use-cases.html"">Big Data use case</a> discussions and an overview of what big data really is, and then move quickly to get hands-on with Big Data using <a href=""http://ibm.co/quickstart"">InfoSphere BigInsights Quick Start Edition</a> with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organisation.</p> <p><b>This event is <i>FREE</i>.</b> Drinks and some food will be provided.</p> <p>Agenda (subject to change) <br/>6.30pm to 7pm Arrivals &amp; Registration</p> <p>7pm to 7.15pm Welcome and Keynote - <b>Big Data Overview</b></p> <p>7.15pm to 7.30pm <b>Big Data @ Rest (Hadoop)</b></p> <p>7.30pm to 9pm <b>Hands-on Lab</b> - tentative labs</p> <p>            • Lever the full power of SQL with Hadoop</p> <p>Labs will use <a href=""http://www-01.ibm.com/software/data/infosphere/biginsights/quick-start/"">BigInsights Quick Start VM</a>.  To learn more beforehand and get hands on go to <a href=""http://bigdatauniversity.com/"">Big Data University</a>.  By downloading the IBM BigInsights Quick Start Edition VM <b>in advance,</b> participants will have the chance to get hands on with IBM's enterprise-class Hadoop distribution. A facilitated lab exercise will walk through the process of generating and loading data and then creating the necessary structures to query it using IBM's full ANSI standard SQL interface. This will demonstrate some of the power and flexibility of IBM's platform.</p> <p>9pm Close and Thank You for Attending </p> <p>Seating is limited, please adjust your RSVP accordingly.</p> <p>Registration is required.  This event is limited to only 60 seated and 40 standing. You may let others know that you are going to this event by clicking on the YES RSVP button on this Meetup page—however— your seat can not be guaranteed until you officially register at the link above.</p> <p>Thanks and we look forward to seeing you soon!</p> ","9000000","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","146058592","https://www.meetup.com/Big-Data-Analytics-in-London/events/146058592/","","Inaugural Big Data and Analytics Developer Meetup","PT26H30M","100","","past","1384972200000","1385034222000","0","76/78 Upper Ground","Southbank","London","gb","1432252","51.50695037841797","United Kingdom","-0.11143799871206284","IBM Southbank (SE1 9PZ)","","False","","","public","0","83"
"6","1399026302000","<p>Based on feedback from our members, we're going to focus in on real-time streaming technology as well as discuss the latest opportunities to collaborate with the cognitive analytics system called Watson.  We also want to include a war stories round-table, so if you have a story you want to share, let the organisers know through a private email and we'll sort out how to give you your moment of fame to share with the group.</p> <p>We can now confirm that we will be at Birkbeck, University of London from 630pm-9pm on June 11th . Room MAL541.</p> <p>Places are limited so we will be operating on a first-come, first-served basis - make sure to arrive on time so that you don't miss out on a place in the room!</p> <p><br/>We'll be posting a full agenda up at the end of today. In the meantime here's a link to the Streams technology we will be sampling on the day. If you are able to download this ready for the event, that would be great!</p> <p><b><a href=""http://www.ibm.com/developerworks/downloads/im/streamsquick/""><a href=""http://www.ibm.com/developerworks/downloads/im/streamsquick/"" class=""linkified"">http://www.ibm.com/developerworks/downloads/im/streamsquick/</a></a></b></p> <p><br/>Looking foward to seeing you there!</p> <p>


-The team</p> ","9000000","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","We'll be meeting in 'MAL541' in the main Birkbeck Building (Building 1 on this map: http:\/\/www.bbk.ac.uk\/downloads\/centrallondon.pdf) . Entrance Torrington Square. Ask reception for directions when you arrive and you'll be shown to the room","180682272","https://www.meetup.com/Big-Data-Analytics-in-London/events/180682272/","","Big Data Developers Meet-Up > Real-Time Streams and What's Up Watson?","","100","","past","1402507800000","1404850805000","3600000","Malet St WC1E 7HX","","London","gb","20350782","51.5210075378418","United Kingdom","-0.12785600125789642","Birkbeck, University of London","","False","","","public","0","98"
"12","1405793629000","<p>Following successful meetups in Silicon Valley, New York and Toronto, IBM is pleased to come to London and discuss the latest on SQL on Hadoop.</p> <p>We will discuss the various SQL on Hadoop alternatives and explore why such technologies have become an area of keen interest for many organizations.  We will discuss the various alternatives (Drill, Impala, Hive, Hadapt, Tajo, Shark, HAWQ, Presto, Phoenix, Big SQL) and their pros/cons.  We will share customer use cases for Warehouse Modernization and the role of SQL for Hadoop in this space, as well as discuss performance characteristics of SQL on Hadoop when running common query workloads. </p> <p>We will provide an intro to <a href=""http://www.ibm.com/developerworks/library/bd-bigsql/"">Big SQL</a> and demo.   Big SQL  delivers some exciting capabilities including comprehensive SQL functionality that leverages advanced SQL compiler/runtime all with low latency and high performance.</p> <p>Learn more about <a href=""http://www.livestream.com/newchannel/popoutplayer?channel=ibmiod&amp;clip=pla_e4b28ad8-f647-4a02-88ad-6679b78f7e8b&amp;time=1481"">Big SQL here</a>.   Check out new <a href=""http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?subtype=WH&amp;infotype=SA&amp;appname=SWGE_SW_SW_USEN&amp;htmlfid=SWW14019USEN&amp;attachment=SWW14019USEN.PDF#loaded"">SQL on Hadoop white paper.</a></p> <p>In order to satisfy some security requirements for this IBM location, please answer the questions in the RSVP application. </p> ","","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","195862592","https://www.meetup.com/Big-Data-Analytics-in-London/events/195862592/","","A Leap Forward for SQL on Hadoop","","80","","past","1407951000000","1408039353000","3600000","76/78 Upper Ground","Southbank","London","gb","1432252","51.50695037841797","United Kingdom","-0.11143799871206284","IBM Southbank (SE1 9PZ)","","False","","","public","0","80"
"0","1415644245000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","218598222","https://www.meetup.com/Big-Data-Analytics-in-London/events/218598222/","","Big Data for Social Good Challenge","","","","past","1415664000000","1415676036000","0","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","6"
"1","1415738476000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","218622275","https://www.meetup.com/Big-Data-Analytics-in-London/events/218622275/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425423600000","1425435790000","0","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","33"
"9","1433257601000","<p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine?</p> <p><br/>IBM does.  Emphatically.  That’s why we’re committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p><br/>Join us on June 17th to understand what Spark is, how it is being used and the investments IBM is making to ensure we're meeting the emerging needs of data-driven enterprises.   </p> <p>


7:00 pm Registration and drinks</p> <p>7:30 pm Take your seats please!</p> <p><b>What is Spark and how is IBM supporting?</b><br/>John Gairhan, Global Big Data Sales Leader, IBM Analytics</p> <p><b>Spark in Action </b><br/>• Spark + Hadoop + Zeppelin = Data Science<br/>Simon Ball, Solutions Engineer, Hortonworks</p> <p>• Event Sourced/CQRS Application Architecture with Spark<br/>Ramon Buckland, Consultant, Cake Solutions</p> <p>• Apache Spark: A Data Scientist's view<br/>Mohammad Fawad Alam, Principal Data Scientist, SAS</p> <p><b>Machine Learning and Spark<br/></b>Frank Ketelaars, Big Data Tech Lead, IBM Europe<br/>Juan Caravaca, Data Scientist, IBM</p> <p><b>Networking and drinks (until 10pm)</b></p> <p>If you are already using Spark please contact me and we may ask you to say a few words!  eMail: bob_yelland@uk.ibm.com</p> ","9000000","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","222961135","https://www.meetup.com/Big-Data-Analytics-in-London/events/222961135/","","Lighting the Spark!","PT49H30M","200","","past","1434565800000","1434633877000","3600000","76/78 Upper Ground","Southbank","London","gb","1432252","51.50695037841797","United Kingdom","-0.11143799871206284","IBM Southbank (SE1 9PZ)","","False","","","public","0","127"
"7","1442309754000","<p>This is short notice because I am promoting a joint event with MBN Solutions where we have a handful of places left.  The event is aimed at Data Scientists.</p> <p>If you would like to attend please eMail: <b>georgia@mbnsolutions.com</b></p> <p>


18.00 Registration &amp; Drinks </p> <p>18.30 Introduction: Paul Forrest, Chairman – MBN Solutions </p> <p>18.40 Using data to ‘get’ the customer connected: Martin Squires, Head of Insight – Boots </p> <p>19.10 How STFC help UK companies take advantage of data and analytics: David Moss, Advanced Technologies Solutions Manager – Science &amp; Technology Facilities Council  </p> <p>19.40 How we used Data to generate Insight at Wimbledon: Chris Nott, CTO Big Data &amp; Analytics – IBM </p> <p>20:10 Closing Remarks: Paul Forrest, Chairman – MBN Solutions </p> <p>20:20 Drinks, Pizza &amp; Networking</p> ","","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","225365859","https://www.meetup.com/Big-Data-Analytics-in-London/events/225365859/","","Gaining Insight from Data","","25","","past","1442511000000","1442568538000","3600000","76/78 Upper Ground","Southbank","London","gb","1432252","51.50695037841797","United Kingdom","-0.11143799871206284","IBM Southbank (SE1 9PZ)","","False","","","public","0","20"
"6","1449156941000","<p>This is a joint meetup with <a href=""https://skillsmatter.com/"">SkillsMatter</a> and <a href=""http://www.cakesolutions.net/"">Cake Solutions</a>.  To register you need to join (for Free) SkillsMatter <b><a href=""https://skillsmatter.com/meetups/7692-machine-learning-and-apache-spark-introduction-and-case-study"">here</a>, </b>please also RSVP here so we know how many of our group will be going.</p> <p>


<i>Are you interested in getting to grips with machine learning, and how it can be used to create an Internet of Things system with IBM SystemML and Apache Spark? </i></p> <p>


Nikolay Manchev (Big Data Technical Specialist, IBM Analytics) will cover IBM's commitment to Spark, how IBM SystemML can help advance machine learning, how to roll out machine learning algorithms in production and how to achieve shorter development times and increased algorithm performance</p> <p>



Jan Machacek (Cake Solutions) will explore the latest developments of the MUVR project. After a brief introduction on the nature of distributed systems (from distributed databases, through distributed state, to distributed computation), you will learn how to use Akka Cluster and Akka Persistence to implement such distributed systems. Once the data is safely stored in a journal, it is important to be able to perform deeper analysis. To do so, Jan will show you how to access the data in the journal in a distributed computation program running in Apache Spark.</p> <p>With the mechanics done, Jan will explain how to use (deep) neural networks that can be very easily trained to recognize patterns in the ingested data.</p> <p>You will learn the advantages and traps of designing distributed domains, data and computation: systems that may become the next generation of financial systems, bringing elasticity, resilience and responsiveness. You will look in particular at systems that consume data from IoT / wearables, and that perform immediate and batch analyses.</p> <p>


Registration from 6pm, talks begin at 6:30pm.  As always this is followed with the opportunity to network with the speakers and your peers.</p> ","","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","To reach CodeNode from Moorgate Station, exit Moorgate station, turn right onto Moorgate, turn right again onto South Place. Walk down on South Place until you reach number 10 on your right.","227186710","https://www.meetup.com/Big-Data-Analytics-in-London/events/227186710/","","Machine Learning, Deep Learning, SystemML & Apache Spark","","","","past","1450290600000","1450345894000","0","London","","EC2M 7EB","gb","24214872","51.51856231689453","United Kingdom","-0.08624500036239624","CodeNode - 10 South Place","","False","","","public","0","190"
"14","1456849046000","<p>To kick off the year (yes, I know it is March), I thought it would be good to listen to a number of successful data science projects created for large enterprises in the UK. We may not be able to mention all companies by name....but we can explain the data challenge and the solution devised.</p> <p>7pm to 7:45pm<br/>How the London Data Science Studio delivers transformative insights to business decision-makers</p> <p>Members of IBM's London Data Science studio will describe recent projects delivering behaviour based customer insight and Lift Analytics solutions as well as specific projects run for Financial Services and Distribution sector clients. Lift Analytics helps retail clients make better product, pricing and placement decisions and are part of IBM's Industry Analytics Solutions. These are pre-built predictive analytics, data preparation and user dashboards enabling clients to get started and go faster, using fewer resources, by using our pre-built expertise.</p> <p>London Data Science Studio's mission is to design, build &amp; help implement differentiated, advanced analytics solutions for IBM clients in a wide variety of industries. The Data Science Studios are a client collaboration hub to apply IBM advanced analytics solutions, and rapidly demonstrate value to our clients. The studios also serve as an intellectual hub for data science solutions – uniting clients, analytics Subject Matter Experts (SMEs), researchers, academics from the area and analytics experts from industry.</p> <p>7:45pm to 8:30pm<br/>Simple Search Service with Cloudant</p> <p><br/>NoSQL allows scalability and schema-flexibility but it can be hard to make the leap from a relational database to a NoSQL solution. This demonstration shows how to move data from CSV files into a NoSQL database and make it searchable using free, open-source software. This enables you to implement a powerful search engine within your app or website and is much easier than you think.</p> <p><br/>8:30 onwards - networking</p> ","","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","229257460","https://www.meetup.com/Big-Data-Analytics-in-London/events/229257460/","","A Melee of Data Science projects","","","","past","1458759600000","1458813944000","0","76/78 Upper Ground","Southbank","London","gb","1432252","51.50695037841797","United Kingdom","-0.11143799871206284","IBM Southbank (SE1 9PZ)","","False","","","public","0","152"
