"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"3","1363121209000","<p>Limited seating of 50—to guarantee a seat, register today at <b><a href=""http://www.ibm.com/events/bigdatadevdayatlanta2013"">www.ibm.com/events/bigdatadevdayatlanta2013</a>.</b> Participate in an exclusive Big Data Developer Day hosted by the IBM Big Data Development team. Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data for social media and log analytics, then get hands-on with text analytics, stream computing, and app development with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p>Registration is required on <b><a href=""http://www.ibm.com/events/bigdatadevdayatlanta2013"">www.ibm.com/events/bigdatadevdayatlanta2013</a>.</b> This event is limited to only 50 seats.</p> <p> </p> ","","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","108937472","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/108937472/","","IBM Big Data Developer Day—Atlanta","","1","","past","1364472000000","1364483259000","-14400000","","","","","","","","","","","","","","public","0","3"
"0","1369941327000","<p>Imagine What You Could Do with Enterprise NoSQL</p> <p>Data can be an enabler — or an inhibitor – depending on the tools you have to manage and manipulate it. As new data types flood organizations, the pressure is on to take all this any structured data and find value in it.<br/>Learn how organizations of all sizes, across all industries, are using the power of Enterprise NoSQL to create an agile database platform that allows them to quickly turn data into actionable information to make better decisions, create new products, comply with laws or provide access to their citizens and customers. Hear from industry experts from MarkLogic, Reed Construction, Avalon Consulting and Smarlogic. To register, go to <a href=""http://info.marklogic.com/2013-BDN-Tour-Atlanta.html"" class=""linkified"">http://info.marklogic.com/2013-BDN-Tour-Atlanta.html</a></p> ","10800000","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","122053912","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/122053912/","","MarkLogic Big Data Nation - Imagine What You Could Do with Enterprise NoSQL","","","","past","1370980800000","1370992361000","-14400000","361 17ᵗʰ Street NW","","Atlanta","us","13724922","33.89054870605469","USA","-84.3934326171875","Twelve Hotel Atlantic Station","","False","GA","30327","public","0","7"
"1","1383575981000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","149078992","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/149078992/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470283000","-18000000","See Description for Details","BDU University","San Jose","us","16729132","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","5"
"5","1386692835000","<p><b>UPDATE: Visitor parking is on the 4th floor of the parking garage which leads to the 1st level of Building A (on the left when coming from the parking garage).  See you on the 17th!!<br/></b></p> <p><b><br/></b></p> <p><b>DON'T MISS THIS GREAT OPPORTUNITY.  RSVP HERE ON THIS MEETUP.  MEETING WILL BE FIRST FLOOR OF THE IBM BUILDING ON BARFIELD.</b> </p> <p><br/>Big data exploration addresses the challenge faced by every large organization: business information is spread across multiple systems and silos and people need access to that data to meet their job requirements and make important decisions. Big Data Exploration enables you to explore and mine big data to find, visualize, and understand all your data to improve decision making. By creating a unified view of information across all data sources - both inside and outside of your organization - you gain enhanced value and new insights.</p> <p><br/>Ask yourself:</p> <p>• Are you struggling to manage and extract value from the growing volume and variety of data and need to unify information across federated sources?</p> <p><br/>• Are you unable to relate “raw” data collected from system logs, sensors, or click streams with customer and line-of-business data managed in your enterprise systems?</p> <p>• Do you risk exposing unsecure personal information and/or privileged data due to lack of information awareness?</p> <p>If you answered yes to any of the above questions, the big data exploration use case is the best starting point for your big data journey.   Join us to learn more about this use case via a technical presentation and demo.</p> ","10800000","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","TBD","154904792","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/154904792/","16","Big Data Exploration and Search","","70","","past","1387317600000","1387333834000","-18000000","6303 Barfield Road","","Atlanta","us","17317892","33.927974700927734","USA","-84.35977935791016","IBM","","False","GA","30328","public","0","17"
"0","1409117704000","<p><b>REGISTRATION IS NOW CLOSED.  IF YOU ARE PLANNING ON ATTENDING BUT HAVE NOT YET REGISTERED THROUGH THE LINK BELOW, PLEASE SEND AN EMAIL TO: NANCY BERLIN (NBERLIN@US.IBM.COM).  YOU WILL HAVE TO FILL OUT AN ON-SITE REGISTRATION FORM.</b></p> <p><b><a href=""http://ibm.co/1nncMSG""><a href=""http://ibm.co/1nncMSG"" class=""linkified"">http://ibm.co/1nncMSG</a></a><br/></b></p> <p>Join us and participate in an exclusive Big Data and Analytics Developer Day hosted by <b>MarketStreet Solutions</b> and IBM Big Data team. This Developer Day will be held in <b>Chattanooga, Tennessee at BlueCross BlueShield of Tennessee.</b></p> <p>MarketStreet Solutions is a Premier IBM Business Partner working in the business analytics and predictive ananlytics space.  More information about MarketStreet Solutions can be found here:  <b><a href=""http://www.marketstreetsolutions.com/home""><a href=""http://www.marketstreetsolutions.com/home"" class=""linkified"">http://www.marketstreetsolutions.com/home</a></a></b></p> <p><br/><b>To register and confirm your seat click this link:</b></p> <p><b> <a href=""http://ibm.co/1nncMSG""><a href=""http://ibm.co/1nncMSG"" class=""linkified"">http://ibm.co/1nncMSG</a></a><br/></b></p> <p><b>This pre-conference session is free.  You do not have to be registered for the conference to attend.<br/></b></p> <p><i><b>The Chattanooga Big Data and Analytics Developer Day will be conducted as a Pre-Conference event to the Symposium on Healthcare and Analytics in Research and Practice (SHARP2014) Conference hosted by the University of Tennessee at Chattanooga College of Business. The SHARP 2014 Conference will bring together academic professionals and industry representatives who share a common passion for application, research, and education innovation in the field of analytics.  More information on SHARP2014 can be found at: <a href=""http://www.utc.edu/college-business/sharp/""><a href=""http://www.utc.edu/college-business/sharp/"" class=""linkified"">http://www.utc.edu/college-business/sharp/</a></a></b></i><br/><b><a href=""http://bit.ly/1dNZIpR"">&lt;/a&gt;</b></p> <p>MarketStreet Solutions is a Premier IBM Business Partner working in the business analytics and predictive ananlytics space.  More information about MarketStreet Solutions can be found here:  <b>&lt;a href=""http://www.marketstreetsolutions.com/home""&gt;<a href=""http://www.marketstreetsolutions.com/home"" class=""linkified"">http://www.marketstreetsolutions.com/home</a></a></b></p> <p><b>Open source Apache Hadoop is a great framework for distributed processing of large data sets. But there’s a difference between ""playing"" with big data versus solving real problems. The reality is that Hadoop alone might not be enough. Experience IBM’s enterprise-class Hadoop</b> product, <b>InfoSphere BigInsights</b>, which enhances open source Hadoop with required enterprise capabilities including: analytics, visualization, security, standard SQL, enterprise HBase, developer/admin tools, Big Data Exploration and more. The morning session will include interactive <a href=""http://www-01.ibm.com/software/data/bigdata/use-cases.html""><b>Big</b> <b>Data use case</b></a> discussions, an overview of what is big data, live demonstrations of key Big Data and Analytic components.</p> <p>


<a href=""https://www.youtube.com/watch?feature=player_embedded&amp;v=B27SpLOOhWw"" class=""embedded"">https://www.youtube.com/watch?feature=player_embedded&amp;v=B27SpLOOhWw</a></p> <p><br/>In the afternoon, get hands-on with Big Data using <b><a href=""http://www-01.ibm.com/software/data/infosphere/biginsights/quick-start/"">InfoSphere BigInsights Quick Start Edition</a></b>, with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p><br/>This event is FREE. Breakfast, Lunch and snacks will be provided.</p> <p><b>Agenda</b> (subject to change)</p> <p>9:00 am to 9:30 am - Breakfast, Registration and Introductions</p> <p><br/>9:30 am to 10:30 am - Welcome and Keynote - Big Data Overview</p> <p><br/>10:30 am to 11:30 am - Adding Value to your Organization Beyond Hadoop: An Enterprise View of Big Data</p> <p>11:30 am to 12:30 pm - Analytics for Everyone: Addressing the Analytic needs of the Enterprise</p> <p>12:30 pm to 1:30 pm - Lunch</p> <p><br/>-- Demo Overview of BlueMix during Lunch</p> <p><br/>1:30 pm to 5:00 pm - Lab 1 - BigInsights Quick Start Edition Hands-on Lab (please bring your own laptop if you plan to participate) </p> <p>OR</p> <p><br/>1:30 pm to 5:00 pm - Lab 2 - Analytics Hands-on Lab (Limited number of machines will be available)</p> <p><br/>5:00 PM Close Thank You for Attending</p> <p>Labs will use BigInsights Quickstart VM. Here is a video on how to setup the BigInsights Quickstart VM. To learn more before hand and get hands on go to Big Data University.</p> <p>Seating is limited.  Please register at this URL in order to confirm your seat.</p> <p><b><a href=""http://ibm.co/1nncMSG""><a href=""http://ibm.co/1nncMSG"" class=""linkified"">http://ibm.co/1nncMSG</a></a></b></p> <p><br/>Thanks and we look forward to seeing you at the event.</p> ","30600000","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","203418982","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/203418982/","","Big Data & Analytics Developer Day","","","","past","1413378000000","1413409799000","-14400000","1 Cameron Hill Circle","","Chattanooga","us","22024702","35.053279876708984","USA","-85.31764221191406","BlueCross BlueShield of Tennessee","","False","TN","37402","public","0","8"
"0","1415643869000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","218598115","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/218598115/","","Big Data for Social Good Challenge","","","","past","1415646000000","1415656925000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","2"
"0","1415737856000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","218622025","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/218622025/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425441600000","1425453335000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","30"
"7","1426645405000","<p><b>REGISTRATION WILL CLOSE TODAY.  HAVE YOU REGISTERED FOR THE EVENT?  IN ORDER TO RECEIVE CONFIRMATION AND SOFTWARE DOWNLOAD INSTRUCTIONS, PLEASE REGISTER AT THIS LINK:<br/></b></p> <p><b><a href=""http://ibm.co/1ECCgIy""><a href=""http://ibm.co/1ECCgIy"" class=""linkified"">http://ibm.co/1ECCgIy</a></a></b></p> <p>Join us on April 21st for an exciting Big Data &amp; Analytics Developer Day.  Learn about new features and functions for both InfoSphere BigInsights and InfoSphere Streams.  Our keynote will be delivered by Paul Zikopoulos, Vice President, Worldwide Big Data.  Paul will walk through the exciting new features in the recently announced Big Data portfolio.  In the afternoon, you will also be able to get hands-on lab experience with the technology, guided by our technical experts.</p> <p><br/>To confirm your seat at this event, you must register here: </p> <p><b><a href=""http://ibm.co/1ECCgIy""><a href=""http://ibm.co/1ECCgIy"" class=""linkified"">http://ibm.co/1ECCgIy</a></a></b></p> <p><b>InfoSphere Insights</b></p> <p>:  A growing number of organizations today recognize Apache Hadoop as a powerful technology for collecting and economically storing a very large set of highly variable data.  There is a need to quickly find relevant information as well as making it easy for IT to manage and deploy for everyone to use.  With the new release of BigInsights , it provides a broad data science toolset to query, visualize, and explore data and conduct distributed machine learning at scale.</p> <p><br/><b>InfoSphere Streams</b>: With smart phones and fully instrumented cars, the amount of data we can collect from moving objects is growing at staggering rates.  With Big Data volume comes Big Data challenges.  The opportunity for applying all of this data in real-time to problems with transportation, congestion management, emergency response, microweather prediction, supply chain management and so on, is tremendous.  With the new features and functions of IBM InfoSphere Streams, clients will be enabled to perform analytics on fast moving data at scale.  InfoSphere Streams helps organizations achieve solid business outcomes, including increased business agility, higher application resiliency and more efficient IT operations, spanning IT administrators and developers.</p> <p><br/>There will be a collection of hands-on labs offered in the afternoon, based on BigInsights and Streams.  <b>Seating is limited</b> so you must confirm that you want a seat in the lab.  There will be a limited number of machines available with images pre-loaded, however, you may want to bring your own laptop in order to take the technology home with you.  Download instructions will be included in your confirmation email. </p> <p><br/><b>Agenda (subject to change)</b></p> <p><br/>9:00 am to 9:30 am - Breakfast, Registration and Introductions</p> <p><br/>9:30 am to 11:00 am - Welcome and Keynote - Big Data Overview</p> <p><br/>11:00 am to 12:00 pm  - Adding Value to your Organization - Big Data Use Case</p> <p><br/>12:00 pm to 1:00 pm - Lunch and Bluemix Demo Overview</p> <p><br/>1:00 pm to 5:00 pm - Hands-on Labs <i><b>(pre-register.  Limited Space Available)</b></i></p> <p><br/>  * BigInsights Quick Start Edition - limited machines will be provided</p> <p><br/>  * Analytics/Streams - limited machines will be provided</p> <p><br/>5:00 PM - Close Thank You for Attending</p> <p>To confirm your seat, please register here:</p> <p><br/><b><a href=""http://ibm.co/1ECCgIy""><a href=""http://ibm.co/1ECCgIy"" class=""linkified"">http://ibm.co/1ECCgIy</a></a></b><br/><b>&lt;a href=""http://ibm.co/1ECCgly""&gt;&lt;/a&gt;</b></p> <p>Be sure to indicate if you plan on attending the hands-on labs in the afternoon.</p> <p>We look forward to seeing you there.</p> ","28800000","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","221226275","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/221226275/","","Big Data & Analytics Developer Day","","","","past","1429621200000","1429651251000","-14400000","6303 Barfield Road","","Atlanta","us","17317892","33.927974700927734","USA","-84.35977935791016","IBM","","False","GA","30328","public","0","37"
"0","1430876967000","<p><b>REMINDER: </b></p> <p><br/><b>In order to reserve your spot, register here: <a href=""https://www.eventbrite.com/e/the-future-of-analytics-in-action-atlanta-registration-16658865114""><a href=""https://future-of-analytics-atlanta.eventbrite.com"" class=""linkified"">https://future-of-analytics-atlanta.eventbrite.com</a></a> </b></p> <p><br/>Information has become one of the world’s most valuable natural resources.  We’re swimming in data, but it can be challenging to capitalize on it. </p> <p>Now is the time to harness your data in game-changing ways.  If your company is exploring new approaches to innovate with systems of insight and customer engagement to improve operational decision making and generate new revenue streams, then The Future of Analytics in Action is a must-attend event.</p> <p>Come hear how a comprehensive set of integrated cloud data services covering content, database, and analytics capabilities is creating new opportunities to transform industries, including financial services, insurance, automotive, healthcare, food services, media and entertainment, and more. </p> <p>Attendees will:<br/>- hear real-world client examples of companies leveraging Bluemix, Cloud Data Services, and Watson Analytics to disrupt their industries;<br/>- see demonstrations of how IBM’s cloud-based services deliver a rich developer experience and a fast on-ramp to bring offerings to market in as little as 90 days.<br/>- network with peers to understand how companies are deploying these new technologies in cost-efficient ways to create competitive advantage</p> <p><b>Agenda </b></p> <p>8:30am  - Registration and Continental Breakfast<br/>9:00am  - The Future of Analytics in Action: The Art of the<br/>                    Possible<br/>10:00am - Demonstration<br/>10:30am  - Break<br/>10:45am  - Real World Insights: A Client's Perspective<br/>11:15am    - Open Q&amp;A<br/>12:00pm  - Lunch and Networking<br/>1:00pm    h- Close and thank you for attending.</p> <p><b>In order to reserve your spot, register here:<br/></b></p> <p><b><a href=""https://www.eventbrite.com/e/the-future-of-analytics-in-action-atlanta-registration-16658865114""><a href=""https://future-of-analytics-atlanta.eventbrite.com"" class=""linkified"">https://future-of-analytics-atlanta.eventbrite.com</a></a><br/></b></p> ","16200000","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","222336367","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/222336367/","","The Future of Analytics in Action","","","","past","1432816200000","1432834991000","-14400000","6303 Barfield Road","","Atlanta","us","17317892","33.927974700927734","USA","-84.35977935791016","IBM","","False","GA","30328","public","0","26"
"0","1434248003000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:</p> <p>•  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","92700000","1362746690000","7520772","open","33.86000061035156","-84.4000015258789","Big Data Developers in Atlanta","Big-Data-Developers-in-Atlanta","Developers","","223230072","https://www.meetup.com/Big-Data-Developers-in-Atlanta/events/223230072/","","IBM | Spark - The start of something big in data & design (Web Conference Only))","","","","past","1434420000000","1434513724000","-14400000","","","","","","","","","","","","","","public","0","27"
