"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"5","1351264272000","<p>Register today! <b><a href=""http://www.ibm.com/events/ibmbigdatadeveloperdayaustin"">www.ibm.com/events/ibmbigdatadeveloperdayaustin</a></b>. Participate in an exclusive Big Data Developer Day hosted by the IBM Big Data Development team. Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data for social media and log analytics, then get hands on with Hadoop scripting and text analytics with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p>Registration is required...clicking the confirm button on this Meetup page will NOT guarantee a spot! Only 50 seats available!<br/><b><a href=""http://www.ibm.com/events/ibmbigdatadeveloperdayaustin"">www.ibm.com/events/ibmbigdatadeveloperdayaustin</a></b></p> ","36000000","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","88669662","https://www.meetup.com/Big-Data-Developers-in-Austin/events/88669662/","","IBM Big Data Developer Day—Austin, TX","","","","past","1352988000000","1353083385000","-21600000","","","","","","","","","","","","","","public","0","12"
"0","1383576101000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","149079362","https://www.meetup.com/Big-Data-Developers-in-Austin/events/149079362/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470283000","-21600000","See Description for Details","BDU University","San Jose","us","16729132","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","4"
"4","1414609682000","<p>IBM is hosting a Big Data and Analytics Day on November 5th at the Austin IBM Innovation Center. This is a great opportunity to learn more about IBM's Big Data and Analytics. Join us for a hands-on technical session to learn all about the key capabilities in the IBM Big Data and Analytics portfolio. We will also feature Watson Analytics, how to get started via our Cloud-based Bluemix tools, and how these offerings can solve real business problems. All of these key capabilities are illustrated via a real life Internet of Things application which was developed especially for this event. The IBM Big Data &amp; Analytics Day is offered as two half day sessions: Essentials overview and demo is targeted at business types and executives, and the Hands-on Workshop is the key component for IBM Big Data &amp; Analytics Day designed with developers as the target audience. These events are tailored for developers and business leaders to understand the value and essentials of the IBM Big Data &amp; Analytics portfolio. Through demonstrations and hands-on labs you will see the Architecture of the Solution, Open Cloud environment with IBM Bluemix, Connected devices, Utilization of Cloudant DBaaS, Hadoop and MapReduce, Building the Analytics layer with SPSS and R. 1. Sign up for Big Data &amp; Analytics Essentials here: <a href=""http://www-304.ibm.com/events/idr/idrevents/detail.action?meid=19137&amp;ieid=12199&amp;cmp=pw&amp;cpb=pw&amp;ct=pwrss&amp;cr=pwiic&amp;ccy=zz"" class=""linkified"">http://www-304.ibm.com/events/idr/idrevents/detail.action?meid=19137&amp;ieid=12199&amp;cmp=pw&amp;cpb=pw&amp;ct=pwrss&amp;cr=pwiic&amp;ccy=zz</a></p> <p>2. Sign up for Big Data &amp; Analytics Hands-on Workshop here: <a href=""http://www-304.ibm.com/events/idr/idrevents/detail.action?meid=19137&amp;ieid=12386&amp;cmp=pw&amp;cpb=pw&amp;ct=pwrss&amp;cr=pwiic&amp;ccy=zz"" class=""linkified"">http://www-304.ibm.com/events/idr/idrevents/detail.action?meid=19137&amp;ieid=12386&amp;cmp=pw&amp;cpb=pw&amp;ct=pwrss&amp;cr=pwiic&amp;ccy=zz</a></p> ","23400000","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","216397072","https://www.meetup.com/Big-Data-Developers-in-Austin/events/216397072/","","Big Data and Analytics Day","","","","past","1415201400000","1415229297000","-21600000","11501 Burnet Road","Building 904","Austin","us","23269102","30.401634216308594","USA","-97.71556854248047","IBM Innovation Center","","False","TX","78759","public","0","8"
"0","1415644016000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","218598167","https://www.meetup.com/Big-Data-Developers-in-Austin/events/218598167/","","Big Data for Social Good Challenge","","","","past","1415649600000","1415661776000","-21600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","2"
"1","1415732404000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><br/><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","218620089","https://www.meetup.com/Big-Data-Developers-in-Austin/events/218620089/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425445200000","1425456465000","-21600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","15"
"3","1425053352000","<p>Discover IBM Big Data &amp; Analytics and get fresh insights.</p> <p>Register at: <a href=""https://ibm.biz/BdECkW"" class=""linkified"">https://ibm.biz/BdECkW</a> Key concepts: Open Cloud with IBM Bluemix, Cloudant DBaaS, Hadoop and MapReduce, Building the Analytics layer with SPSS and R Detail:</p> <p>Capture the time-value of data and act with confidence. The Hands-on Workshop - designed for developers and includes demonstrations and hands-on labs built on Bluemix. Details showing the architecture behind the solution being demonstrated, Open Cloud environment with IBM Bluemix, Connected devices, Utilization of Cloudant DBaaS, Hadoop and MapReduce, Building the Analytics layer with SPSS and R will be covered. We welcome business types and executives that are interested in a deeper dive of Big Data &amp; Analytics Cloud offerings.</p> <p><br/>Register on <a href=""https://ibm.biz/BdECkW"" class=""linkified"">https://ibm.biz/BdECkW</a> prior to the event and become familiar with Bluemix at ibm.biz/BluemixATX to have a deeper experience at the event.<br/>Highlights Include:<br/>Architecture of the solution<br/>Open Cloud environment with<br/>Wednesday, March 4, 2015</p> <p><br/>IBM Bluemix<br/>Connected devices<br/>Usage of Bluemix services, Cloudant DBaaS and Hadoop<br/>Building the Analytics layer with SPSS<br/>Hands on Lab (attendees can choose from a selection of Bluemix based labs)<br/>SPSS demo<br/>Extending the demo scenario<br/>Sign up the Hands-on Workshop to learn about key capabilities and how the IBM Big Data &amp; Analytics portfolio can help you solve real business problems. IBM will be providing lunch.</p> ","18000000","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","220802241","https://www.meetup.com/Big-Data-Developers-in-Austin/events/220802241/","","IBM - Big Data & Analytics workshop with hands on lab","","","","past","1425484800000","1425504630000","-21600000","11501 Burnet Road","Building 904","Austin","us","23269102","30.401634216308594","USA","-97.71556854248047","IBM Innovation Center","","False","TX","78759","public","0","11"
"1","1430846848000","<p><b>REMINDER:</b></p> <p><i>In order to reserve your spot, register here: </i></p> <p><b><a href=""http://www.eventbrite.com/e/the-future-of-analytics-in-action-austin-registration-16658524094""><a href=""http://future-of-analytics-austin.eventbrite.com"" class=""linkified"">http://future-of-analytics-austin.eventbrite.com</a></a></b></p> <p>Information has become one of the world’s most valuable natural resources.  We’re swimming in data, but it can be challenging to capitalize on it.  Now is the time to harness your data in game-changing ways.  If your company is exploring new approaches to innovate with systems of insight and customer engagement to improve operational decision making and generate new revenue streams, then The Future of Analytics in Action is a must-attend event.</p> <p>Come hear how a comprehensive set of integrated cloud data services covering content, database, and analytics capabilities is creating new opportunities to transform industries, including financial services, insurance, automotive, healthcare, food services, media and entertainment, and more. </p> <p>Attendees will:<br/>- hear real-world client examples of companies leveraging Bluemix, Cloud Data Services, and Watson Analytics to disrupt their industries;<br/>- see demonstrations of how IBM’s cloud-based services deliver a rich developer experience and a fast on-ramp to bring offerings to market in as little as 90 days.<br/>- network with peers to understand how companies are deploying these new technologies in cost-efficient ways to create competitive advantage</p> <p><b>Agenda </b></p> <p>8:30am  - Registration and Continental Breakfast<br/>9:00am  - The Future of Analytics in Action: The Art of the<br/>                   Possible<br/>10:00am - Demonstration<br/>10:30am  - Break<br/>10:45am  - Real World Insights: A Client's Perspective<br/>11:15am    - Open Q&amp;A<br/>12:00pm  - Lunch and Networking<br/>1:00pm    - Close and thank you for attending.</p> <p><br/><b>In order to reserve your spot, register here: </b></p> <p><a href=""http://www.eventbrite.com/e/the-future-of-analytics-in-action-austin-registration-16658524094""><a href=""http://future-of-analytics-austin.eventbrite.com"" class=""linkified"">http://future-of-analytics-austin.eventbrite.com</a></a></p> ","16200000","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","222324812","https://www.meetup.com/Big-Data-Developers-in-Austin/events/222324812/","","The Future of Analytics in Action","","","","past","1431437400000","1431456227000","-18000000","11501 Burnet Road","Building 903","Austin","us","23813514","30.40008544921875","USA","-97.7187271118164","IBM Executive Briefing Center","","False","TX","78758","public","0","12"
"0","1434249106000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:</p> <p>•  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","223230236","https://www.meetup.com/Big-Data-Developers-in-Austin/events/223230236/","","IBM | Spark - The start of something big in data & design (Web Conference Only)","","","","past","1434420000000","1434428597000","-18000000","","","","","","","","","","","","","","public","0","19"
"0","1451589911000","<p><i><b>*Note</b>, expedite check in and  <b><a href=""https://www.eventbrite.com/e/austin-ds-meetup-2-great-machine-learning-talks-tickets-20302409052"">register here</a> </b>in advance<br/>This Meetup is jointly hosted with the <b><a href=""http://www.meetup.com/Austin-Data-Science/"">Austin Data Science Meetup.</a></b></i></p> <p><b>Talk 1: Predict whether a mobile ad will be clicked using Spark MLlib</b></p> <p>Online advertising is a multibillion dollar industry. The goal is to get users to click on online ads, which ultimately generates revenue for the ad sponsors. This is a hard problem to solve, given the magnitude of combinations of users, webpages and ad sponsors. It is also a great success story for scalable Machine Learning. </p> <p>In this talk, we discuss the Kaggle competetion on click through rate prediction, which is an important metric for evaluating online ad performance. Using the dataset from Kaggle, we use Spark MLLib to create a pipeline for data parsing, feature extraction, model creation, model evaluation and finally prediction.""</p> <p><b>Prerequisites / Level: </b><br/>This is an Intermediate level talk, where attendee is expected to know the basics of Spark and Machine Learning.</p> <p><b>What to Bring: </b><br/>Laptop (optional)</p> <p><b>Meet Your Speaker: </b><br/>Manisha Sule is a software engineer currently working with IBM's Spark Technology Center. She is a data science enthusiast with a passion for Machine Learning and Spark. </p> <p>After a Master's in Computer Science and building distributed and highly available software for the B2B industry, Manisha joined IBM Analytics with a focus on using Apache Spark to turn data into deeper insights. She also works to educate and enable IBM customers, data scientists and data engineers on Apache Spark.</p> <p>Manisha is passionate about women in technology and children's education.</p> <p><b>Talk 2: How to Program Yourself Out of a Job: Machine Learning at Datafiniti</b><br/>At Datafiniti, we transform content on web pages into highly structured data feeds on businesses, products, real estate, and more.  Traditionally, this process has required extensive, human-driven development of web crawlers and scrapers, but as we continue to innovate, we're using machine learning to automate more and more extraction.  For this talk, we'll provide a quick intro into our crawling and database architecture and then follow up with how we're using machine learning to dramatically scale our operations.</p> <p><b>Prerequisites / Level:  The talk will range from beginner to intermediate topics.  Exposure to web crawling and machine learning will help, but is not required. </b></p> <p><b>Meet the Speaker:  Shion Deysarkar is the CEO &amp; founder of <a href=""https://twitter.com/datafiniti"">Datafiniti</a>. </b></p> <p><b>Thanks to Sponsors: </b><br/>Special thanks to IBM for sponsoring food and drink for the evening and thanks to Datafiniti for hosting. Please note, this event is limited to the first 85 people who show up.</p> <p><i><b> *Note</b>, expedite check in and <a href=""https://www.eventbrite.com/e/austin-ds-meetup-2-great-machine-learning-talks-tickets-20302409052"">register here</a> in advance.</i></p> ","","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","","227743235","https://www.meetup.com/Big-Data-Developers-in-Austin/events/227743235/","","2 Great Machine Learning Talks","","","","past","1452729600000","1452741554000","-21600000","Austin TX 78701","","Austin","us","24190787","30.272920608520508","USA","-97.744384765625","Datafiniti, 800 Brazos, Ste. 240, ","","False","TX","","public","0","24"
"1","1458608278000","<p>Datapalooza is a full day immersive experience for the data science community. Join IBM, Galvanize and a diverse community of data professionals and create inspirational data products.</p> <p>Want to build super-powered data products? Want to have algorithmic inspiration with new data sources like Weather, Twitter and more? Trying to figure out what to do with Internet of Things, machine learning and other emerging technologies? </p> <p>This will be an amazing of forum for learning how to be a data innovator. Whether you’ve been a data scientist for years or whether you are just getting started, we have experts from leading research institutes and industry leaders.</p> <p>Register &amp; check out more information here:</p> <p><br/><b><a href=""https://www.eventbrite.com/e/datapalooza-austin-tickets-23116366675"">                   Datapalooza - Austin - April 28th</a></b></p> <p><br/><i><b>Call for speakers is open through April 12th. Submit your data science, data engineering or app dev session today!</b></i></p> <p><br/>If you want to submit a talk, submit it here:</p> <p><br/>                                <b><a href=""http://goo.gl/forms/xs2mz3g0Ly"">Call for Speakers</a></b></p> ","43200000","1351263366000","5570792","open","30.3799991607666","-97.70999908447266","Big Data Developers in Austin","Big-Data-Developers-in-Austin","Developers","Zip 78701","229776183","https://www.meetup.com/Big-Data-Developers-in-Austin/events/229776183/","","Datapalooza Austin","","","","past","1461850200000","1461895523000","-18000000","118 Nueces St.","","Austin","us","24441331","30.266389846801758","USA","-97.74968719482422","Galvanize","","False","TX","","public","0","21"
