"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"4","1357314650000","<p>Register today at <b><a href=""http://www.ibm.com/events/bigdatadevdaychicago2013"">www.ibm.com/events/bigdatadevdaychicago2013</a></b>. Participate in an exclusive Big Data Developer Day hosted by the IBM Big Data Development team. Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data for social media and log analytics, then get hands on with Hadoop scripting and text analytics with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p>Registration is required on <b><a href=""http://www.ibm.com/events/bigdatadevdaychicago2013"">www.ibm.com/events/bigdatadevdaychicago2013</a>.</b> This event is limited to only 50 seats. You may let others know that you are going to this event by clicking on the RSVP button on this Meetup page—however—this <b>does NOT validate</b> that you are registered for this event and <b>you will NOT</b> be guaranteed a seat!</p> <p> </p> ","","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","97875892","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/97875892/","","IBM Big Data Developer Day—Chicago","","","","past","1359640800000","1359829011000","-21600000","","","","","","","","","","","","","","public","0","21"
"1","1374522106000","<p> </p> <p><b>Register Today For the IBM Big Data Developer Day-</b> <b><a href=""http://ibm.co/152iodP"" class=""linkified"">http://ibm.co/152iodP</a></b> <b>Note -Clicking the YES attending button does not confirm your registration for this event - only registration at the above URL.</b></p> <p>Participate in an exclusive Big Data Developer Day hosted by the IBM Big Data Development team.</p> <p>Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data for social media and log analytics, then get hands on with Hadoop scripting and text analytics with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p><b>Registration is required on</b> <b><a href=""http://ibm.co/152iodP"" class=""linkified"">http://ibm.co/152iodP</a></b></p> <p>This event is limited to <b>only 30 seats</b>. You may let others know that you are going to this event by clicking on the YES RSVP button on this Meetup page—however— your seat can not be guaranteed until you officially register at the link above.</p> <p>Thanks and we look forward to seeing you soon!</p> <p> </p> ","28800000","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","Downtown Chicago - exact address provided in confirmation email","130843152","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/130843152/","","IBM Big Data Developer Day - Chicago - IBM Registration Required to Attend","","30","","past","1376488800000","1376525288000","-18000000","","","","","","","","","","","","","","public","0","19"
"0","1383576389000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","149079882","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/149079882/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470283000","-21600000","See Description for Details","BDU University","San Jose","us","16729132","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","12"
"2","1403106658000","<p>We will discuss the various SQL on Hadoop alternatives and explore why such technologies have become an area of keen interest for many organizations. We will discuss the various alternatives (Drill, Impala, Hive, Hadapt, Tajo, Shark, HAWQ, Presto, Phoenix, Big SQL) and their pros/cons. We will share customer use cases for Warehouse Modernization and the role of SQL for Hadoop in this space, as well as discuss performance characteristics of SQL on Hadoop when running common query workloads. We will provide an intro to <a href=""http://www.ibm.com/developerworks/library/bd-bigsql/"">Big SQL</a> and demo. Big SQL delivers some exciting capabilities including comprehensive SQL functionality that leverages advanced SQL compiler/runtime all with low latency and high performance.</p> <p><br/>This will be a hands on event.   Please download the <a href=""http://ibm.co/quickstart"">BigInsights Hadoop distribution</a> to get hands on with Big SQL.  </p> <p>Learn more about <a href=""http://www.livestream.com/newchannel/popoutplayer?channel=ibmiod&amp;clip=pla_e4b28ad8-f647-4a02-88ad-6679b78f7e8b&amp;time=1481"">Big SQL</a> here. Check out new <a href=""http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?subtype=WH&amp;infotype=SA&amp;appname=SWGE_SW_SW_USEN&amp;htmlfid=SWW14019USEN&amp;attachment=SWW14019USEN.PDF#loaded"">SQL on Hadoop white paper</a>.</p> <p>Lunch will be provided at the end of the event.   Please keep you RSVP updates so we can order the right amount of food.</p> <p>In order to provide IBM building security with a full list of attendees, please respond to the RSVP questions.   Thank you for your cooperation.</p> ","14400000","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","189788472","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/189788472/","","A Leap Forward for SQL on Hadoop","","","","past","1406728800000","1406765147000","-18000000","71 S Wacker Drive 6th Floor","","Chicago","us","21132322","41.88112258911133","USA","-87.63666534423828","IBM Chicago Office","","False","IL","","public","0","59"
"0","1415645255000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","218598554","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/218598554/","","Big Data for Social Good Challenge","","","","past","1415649600000","1415661776000","-21600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","4"
"2","1415845154000","<p>To enroll, please check here:</p> <p><b><a href=""http://www-304.ibm.com/events/idr/idrevents/register.action?meid=19137&amp;ieid=12501""><a href=""http://www-304.ibm.com/events/idr/idrevents/register.action?meid=19137&amp;ieid=12501"" class=""linkified"">http://www-304.ibm.com/events/idr/idrevents/register.action?meid=19137&amp;ieid=12501</a></a></b></p> <p><br/>Find out how to apply all kinds of <b>analytics</b> to all types of data with IBM Big Data &amp; Analytics so you can discover fresh insights, capture the time-value of data and act with confidence.</p> <p>There are two different events offered to show you how to gain competitive advantage with IBM Big Data &amp; Analytics:</p> <p>Essentials event - overview and demo targeted for business types and executives to understand the value and essentials of the IBM Big Data &amp; Analytics portfolio. We welcome developers to attend this event for the big picture overview. Hands-on Workshop - designed for developers and includes demonstrations and hands-on labs built on Bluemix. Details showing the architecture behind the solution being demonstrated, Open Cloud environment with IBM Bluemix, Connected devices, Utilization of Cloudant DBaaS, Hadoop and MapReduce, Building the Analytics layer with SPSS and R will be covered. We welcome business types and executives that are interested in a deeper dive of Big Data &amp; Analytics Cloud offerings.</p> <p><b>Register on</b></p> <p><b><a href=""https://ibm.biz/BdEiQ6""><a href=""https://ibm.biz/BdEiQ6"" class=""linkified"">https://ibm.biz/BdEiQ6</a></a></b></p> <p><b>prior to the event and become familiar with Bluemix to have a deeper experience at the event.</b></p> <p><b>Big Data &amp; Analytics Essentials agenda:</b></p> <p>- Big Data Introduction</p> <p>- Big Data Live Demo</p> <p><br/>- The Big Data Analytics Value Proposition</p> <p>- The Big Data Market</p> <p>- Industry Use Cases</p> <p>- Into the Future with Big Data with Watson Analytics <b><br/></b></p> ","7200000","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","218652707","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/218652707/","","Big Data and Analytics Essentials","","","","past","1417708800000","1417717161000","-21600000","71 S Wacker Drive 6th Floor","","Chicago","us","21132322","41.88112258911133","USA","-87.63666534423828","IBM Chicago Office","","False","IL","","public","0","29"
"0","1415845562000","<p>To enroll, please click here:</p> <p><b><a href=""http://www-304.ibm.com/events/idr/idrevents/register.action?meid=19137&amp;ieid=12502""><a href=""http://www-304.ibm.com/events/idr/idrevents/register.action?meid=19137&amp;ieid=12502"" class=""linkified"">http://www-304.ibm.com/events/idr/idrevents/register.action?meid=19137&amp;ieid=12502</a></a></b></p> <p><br/>Find out how to apply all kinds of <b>analytics</b> to all types of data with IBM Big Data &amp; Analytics so you can discover fresh insights, capture the time-value of data and act with confidence.</p> <p>There are two different events offered to show you how to gain competitive advantage with IBM Big Data &amp; Analytics:</p> <p>Essentials event - overview and demo targeted for business types and executives to understand the value and essentials of the IBM Big Data &amp; Analytics portfolio. We welcome developers to attend this event for the big picture overview. Hands-on Workshop - designed for developers and includes demonstrations and hands-on labs built on Bluemix. Details showing the architecture behind the solution being demonstrated, Open Cloud environment with IBM Bluemix, Connected devices, Utilization of Cloudant DBaaS, Hadoop and MapReduce, Building the Analytics layer with SPSS and R will be covered. We welcome business types and executives that are interested in a deeper dive of Big Data &amp; Analytics Cloud offerings.</p> <p><b>Register on</b></p> <p><b><a href=""https://ibm.biz/BdEiQ6""><a href=""https://ibm.biz/BdEiQ6"" class=""linkified"">https://ibm.biz/BdEiQ6</a></a></b></p> <p><b>prior to the event and become familiar with Bluemix to have a deeper experience at the event.</b></p> <p><b>Big Data &amp; Analytics Technical Breakdown agenda:<br/></b></p> <p>- Architecture of the solution</p> <p>- Open Cloud environment with IBM Bluemix</p> <p>- Connected devices</p> <p>- Usage of Bluemix services, Cloudant DBaaS and Hadoop</p> <p>- Building the Analytics layer with SPSS</p> <p>- Hands on Lab (attendees can choose from a selection of Bluemix based labs)</p> <p>- SPSS demo</p> <p>- Extending the demo scenario <b><br/></b></p> ","14400000","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","218652804","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/218652804/","","Big Data and Analytics Hands-on Workshop","","","","past","1417719600000","1417734331000","-21600000","71 S Wacker Drive 6th Floor","","Chicago","us","21132322","41.88112258911133","USA","-87.63666534423828","IBM Chicago Office","","False","IL","","public","0","32"
"0","1415739177000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","218622522","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/218622522/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425445200000","1425456465000","-21600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","17"
"0","1430854070000","<p><b>REMINDER:</b></p> <p><i>In order to reserve your spot, register here: </i></p> <p><b> <a href=""http://www.eventbrite.com/e/the-future-of-analytics-in-action-chicago-registration-16616899594""> <a href=""http://future-of-analytics-chicago.eventbrite.com"" class=""linkified"">http://future-of-analytics-chicago.eventbrite.com</a></a> </b><br/>Information has become one of the world’s most valuable natural resources.  We’re swimming in data, but it can be challenging to capitalize on it. </p> <p>Now is the time to harness your data in game-changing ways.  If your company is exploring new approaches to innovate with systems of insight and customer engagement to improve operational decision making and generate new revenue streams, then The Future of Analytics in Action is a must-attend event.</p> <p>Come hear how a comprehensive set of integrated cloud data services covering content, database, and analytics capabilities is creating new opportunities to transform industries, including financial services, insurance, automotive, healthcare, food services, media and entertainment, and more. </p> <p>Attendees will:<br/>- hear real-world client examples of companies leveraging Bluemix, Cloud Data Services, and Watson Analytics to disrupt their industries;<br/>- see demonstrations of how IBM’s cloud-based services deliver a rich developer experience and a fast on-ramp to bring offerings to market in as little as 90 days.<br/>- network with peers to understand how companies are deploying these new technologies in cost-efficient ways to create competitive advantage</p> <p><b>Agenda </b></p> <p>8:30am  - Registration and Continental Breakfast<br/>9:00am  - The Future of Analytics in Action: The Art of the<br/>                    Possible<br/>10:00am - Demonstration<br/>10:30am  - Break<br/>10:45am  - Real World Insights: A Client's Perspective<br/>11:15am    - Open Q&amp;A<br/>12:00pm  - Lunch and Networking<br/>1:00pm    - Close and thank you for attending.</p> <p><b>In order to reserve your spot, register here:<br/></b></p> <p><b><a href=""http://www.eventbrite.com/e/the-future-of-analytics-in-action-chicago-registration-16616899594""> <a href=""http://future-of-analytics-chicago.eventbrite.com"" class=""linkified"">http://future-of-analytics-chicago.eventbrite.com</a></a><br/></b></p> ","16200000","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","222327633","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/222327633/","","The Future of Analytics in Action","","","","past","1431523800000","1431541319000","-18000000","71 S Wacker Drive 6th Floor","","Chicago","us","21132322","41.88112258911133","USA","-87.63666534423828","IBM Chicago Office","","False","IL","","public","0","19"
"0","1434248545000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:</p> <p>•  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1355849621000","6285502","open","41.880001068115234","-87.63999938964844","Big Data Developers in Chicago","Big-Data-Developers-in-Chicago","Developers","","223230144","https://www.meetup.com/Big-Data-Developers-in-Chicago/events/223230144/","","IBM | Spark - The start of something big in data & design (Web Conference Only))","","","","past","1434420000000","1434428597000","-18000000","","","","","","","","","","","","","","public","0","27"
