"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"4","1351262084000","<p>Register today! <b><a href=""http://www.ibm.com/events/ibmbigdatadeveloperdaydc"">www.ibm.com/events/ibmbigdatadeveloperdaydc</a></b>. Participate in an exclusive Big Data Developer Day hosted by the IBM Big Data Development team. Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data for social media and log analytics, then get hands on with Hadoop scripting and text analytics with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p>Registration is required...clicking the confirm button on this Meetup page will NOT guarantee a spot! Only 50 seats available!<br/><b><a href=""http://www.ibm.com/events/ibmbigdatadeveloperdaydc"">www.ibm.com/events/ibmbigdatadeveloperdaydc</a></b></p> ","32400000","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","","88665642","https://www.meetup.com/Big-Data-Developers-in-DC/events/88665642/","","IBM Big Data Developer Day—Washington, DC","","","","past","1352381400000","1352469784000","-18000000","","","","","","","","","","","","","","public","0","14"
"2","1363205396000","<p>Limited seating of 50—to guarantee a seat, register today at <b><a href=""http://www.ibm.com/events/bigdatadevdaydc2013"">www.ibm.com/events/bigdatadevdaydc2013</a>.</b> Participate in an exclusive Big Data Developer Day hosted by the IBM Big Data Development team. Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data for social media and log analytics, then get hands-on with text analytics, stream computing, and app development with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p>Registration is required on <b><a href=""http://www.ibm.com/events/bigdatadevdayatlanta2013"">www.ibm.com/events/bigdatadevdaydc2013</a></b>. This event is limited to only 50 seats.</p> <p> </p> <p> </p> ","","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","","109108312","https://www.meetup.com/Big-Data-Developers-in-DC/events/109108312/","","IBM Big Data Developer Day—DC  2013","","","","past","1367497800000","1367509195000","-14400000","","","","","","","","","","","","","","public","0","17"
"0","1383576969000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","","149081422","https://www.meetup.com/Big-Data-Developers-in-DC/events/149081422/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470284000","-18000000","See Description for Details","BDU University","San Jose","us","16729132","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","11"
"7","1389812201000","<p><b>REMINDER:  REGISTER AT LINK BELOW TO GUARANTEE YOUR SEAT.  SEATING IS LIMITED - REGISTER NOW.<br/></b></p> <p><b><a href=""http://ibm.co/19APszk""><a href=""http://ibm.co/19APszk"" class=""linkified"">http://ibm.co/19APszk</a></a></b></p> <p><br/>Hive is a runtime Hadoop® support structure that allows anyone who is already fluent with SQL (which is commonplace for relational database developers) to leverage the Hadoop platform right out of the gate.  Hive allows SQL developers to write Hive Query Language (HQL) statements that are similar to  standard SQL statements.  HQL statements are broken down by the Hive service into MapReduce jobs and executed across a Hadoop cluster.</p> <p><br/>IBM® Big SQL is a data warehouse system for Hadoop that you use to summarize, query, and analyze data.  Big SQL provides SQL access to data that is stored in InfoSphere® BigInsights™ by using JDBC or ODBC connections.  Big SQL provides broad SQL support that is typical of commercial databases. You can issue JDBC queries or ODBC queries to access data that is stored in InfoSphere BigInsights, in the same way that you access databases from your enterprise applications.</p> <p><br/>You can use Big SQL to issue queries of any size, including concurrent queries. Big SQL provides support for large ad-hoc queries by using MapReduce parallelism and point queries, which are low-latency queries that return information quickly to reduce response time and provide improved access to data.  </p> <p>


HBase is a column-oriented database management system that runs on top of HDFS. It is well suited for sparse data sets, which are common in many big data use cases. Unlike relational database systems, HBase does not support a structured query language like SQL; in fact, HBase isn’t a relational data store at all.  HBase applications are typically written in Java much like a MapReduce application or in other languages by using Apache Thrift.  However, HBase can be queried with SQL when combined with Hive and or Big SQL!</p> <p>


Apache Accumulo, like HBase, derives from Google's BigTable technology.  While the two technologies are similar in architecture, Accumulo excels in security right down to the cell level.  Attendees will receive an introduction to Apache Accumulo and hear about IBM's Accumulo research project.</p> <p>

<b>Join us from 11:00am - 6:00pm on February the 4th to learn about Big SQL, Hive and HBase. Register at: <a href=""http://ibm.co/19APszk""><a href=""http://ibm.co/19APszk"" class=""linkified"">http://ibm.co/19APszk</a></a></b></p> <p>


Attendees will learn how these three technologies complement each other and experience hands-on </p> <p>lab exercises to enhance your understanding.  Attendees will leverage the BigInsights Quick Start Edition for all lab exercises and be able to continue using the Hadoop based technology after the Meetup. You must register at: <b><a href=""http://ibm.co/19APszk""><a href=""http://ibm.co/19APszk"" class=""linkified"">http://ibm.co/19APszk</a></a></b> in order to guarantee a seat at this Big Data Developer Day event.</p> ","25200000","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","","160742952","https://www.meetup.com/Big-Data-Developers-in-DC/events/160742952/","","Let's get hands on with SQL for Hadoop & HBase - Developer Day","","","","past","1391529600000","1391630788000","-18000000","6710 Rockledge Road","","Bethesda","us","17862252","39.02969741821289","USA","-77.13333129882812","IBM","","False","MD","20817","public","0","33"
"2","1405369858000","<p><b>ALL - room is in Building A, 2nd floor, Room 305.</b></p> <p><br/>Join IBM and Jeskell Systems LLC on Tuesday, July 29th at 6:30 pm to learn about, “Text-Analytics and Visualization using IBM Big Data Technologies""</p> <p>Have you ever wondered what your customers are saying about you in Social Media, and the impact it might have on your day to day operations? How about enhancing Public Safety by empowering first responders with near-real time information in the context of fire, floods and other natural disasters.</p> <p>As enterprises seek to gain operational efficiencies and competitive advantage through greater use of analytics, much of the new information they need to analyze is found in text documents, increasingly, in a wide variety of social media sites and portals.</p> <p>During this meet-up, we will demonstrate two major Hadoop components:</p> <p>•  Text Analytics in Hadoop powered by Annotator Query Language (AQL).  AQL is a powerful declarative, rule-based language for the extraction of information from text documents. </p> <p>• Spreadsheet for Hadoop powered by BigSheets.   BigSheets is a unique visualization and analysis tool designed to quickly build and publish charts and graphs for Big Data Applications.</p> <p>We will have several demos.  The demos will show you how you can store and analyze large volumes of current &amp; historical social media and reference data. You'll see how raw datasets can be ingested and analyzed in real time. This talk and demo will provide an introduction to Text-Analytics and BigSheets, and how it is used within the IBM Big Data platform.</p> <p>This Meetup is FREE.  Food and Beverages will also be provided.</p> <p>Agenda:<br/>6:00 – 6:30 PM – Registration</p> <p>6:30 – 7:45 PM – Overview of IBM Big Data Platform and Accelerator for Social Data Analytics</p> <p>7:45 – 8:00 PM – Demo of Election Analysis App on Mobile</p> <p>8:00 – 8:15 PM – Break and Networking</p> <p><b><i>Get a behind the scenes tour </i></b></p> <p>8:00 – 8:15 PM – Text Analytics using AQL</p> <p>8:15 – 8:30 PM – Visualize Data using BigSheets</p> <p>8:30 – 8:45 PM – Q&amp;A</p> ","9000000","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","Look for A Building - on front of building - free parking","194902582","https://www.meetup.com/Big-Data-Developers-in-DC/events/194902582/","","Social Text-Analytics and Visualization using Hadoop & Streams Computing","","60","","past","1406673000000","1406690589000","-14400000","6710 Rockledge Road","","Bethesda","us","17862252","39.02969741821289","USA","-77.13333129882812","IBM","","False","MD","20817","public","0","40"
"0","1415643133000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","","218597882","https://www.meetup.com/Big-Data-Developers-in-DC/events/218597882/","","Big Data for Social Good Challenge","","","","past","1415646000000","1415656925000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","4"
"1","1414004887000","<p>The introduction of Big Data and Hadoop has resulted in a paradigm shift in the field of data analytics. New analytics opportunities also bring new challenges: analyzing unstructured data, exploiting social media, making fast decisions on massive data volumes and more. R is a flexible programming language designed to facilitate predictive data analysis, but unlocking the value of Big Data with R can be complex. Businesses are looking for ways to remove this complexity, and combine unstructured or semi-structured data for improved predictions and optimal performance.</p> <p>Join us on November 18, 2014 as we explore ways to make predictive analytics with R more accessible to business users and discuss the solutions needed to capitalize on the promise of Big Data.</p> <p><b>This event is <i>FREE</i>.</b> Snacks/Refreshments will be provided.</p> <p><b>Agenda</b></p> <p>6:00 - 6:30 pm    Registration/Dinner</p> <p>6:30 – 7:30 pm   Presentation and Discussion</p> <p>·  R and its growing popularity in the world of predictive analytics</p> <p>·  Challenges in scaling R with Big Data</p> <p>·  Big R and its seamless integration with Hadoop</p> <p>7:30 - 7:45 pm    Interactive Demo(s)</p> <p>7:45 - 8:15 pm    Questions/Next Steps</p> <p>Please <b>RSVP</b>. Seats are limited. Parking is available in covered parking - approximate cost is $3.00.</p> ","9000000","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","Building A - 2nd floor - Room 304","215019882","https://www.meetup.com/Big-Data-Developers-in-DC/events/215019882/","","Big Data Analytics with R","","70","","past","1416351600000","1416421068000","-18000000","6710 Rockledge Dr","","Bethesda","us","23486371","39.02969741821289","USA","-77.13333129882812","IBM","","False","MD","","public","0","55"
"6","1422313301000","<p>It is estimated that over 80% of enterprise data is unstructured and most organizations have no way to capture and analyze it.  There is a need to build applications for big data that provide continuous ingestion and analysis of information from emerging sources such as GPS, video, social media, audio, and machine and sensor data.  Enterprises are looking for ways to analyze data in motion to empower decision making and deliver real-time responses, without the need to store data.</p> <p>

Please join us on Wednesday, February 11, 2015 for an interactive session on capturing and analyzing big data in motion.  This Meetup will include an informative discussion on real-time, streaming data and sample use cases, as well as a demonstration in with an opportunity for you to participate. So bring your smartphone or tablet if you would like to be part of the action!  We will show how applications can quickly ingest and correlate information, as it arrives from real-time sources, and enables faster and smarter decision making.</p> <p>

Space is limited so sign up today.</p> <p>

<b>This event is <i>FREE</i>.</b> Refreshments will be provided.</p> <p>

<b>Agenda</b></p> <p>

6:00 - 6:30 pm    Registration/Refreshments</p> <p>

6:30 – 7:30 pm   Presentation and Discussion</p> <p>

- Importance of analyzing interactions/events need to real-time</p> <p>

- Big Data at Rest vs Big Data In Motion</p> <p>

- Big Data Platform (overview)</p> <p>

- Real-Time Analytics Capabilities</p> <p>

7:30 - 7:45 pm    Interactive Demo</p> <p>

7:45 - 8:15 pm    Questions/Resources/Next Steps</p> <p>

Please <b>RSVP</b>. Seats are limited.</p> ","9000000","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","","220100849","https://www.meetup.com/Big-Data-Developers-in-DC/events/220100849/","","Big Data in Motion: Extracting Insight from Real-time, Streaming Data","","","","past","1423695600000","1423710485000","-18000000","6710 Rockledge Drive","","Bethesda","us","22789472","39.02969741821289","USA","-77.13333129882812","IBM Building - 6710A - 2nd Floor","","False","MD","","public","0","58"
"0","1415735007000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","","218620949","https://www.meetup.com/Big-Data-Developers-in-DC/events/218620949/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425441600000","1425453335000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","28"
"3","1434253260000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:<br/>  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1351195109000","5560562","open","38.90999984741211","-77.02999877929688","Big Data Developers in DC","Big-Data-Developers-in-DC","Developers","","223231122","https://www.meetup.com/Big-Data-Developers-in-DC/events/223231122/","","IBM | Spark - The start of something big in data & design (Web Conference Only)","","","","past","1434420000000","1434428598000","-14400000","","","","","","","","","","","","","","public","0","39"
