"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"0","1383418363000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <b><a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/"">InfoSphere Streams V3.2</a></b> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time</b>.</p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a></b>.</p> <p><b><i>NOTE: There will be no physical location for this meetup and it will all be online.</i></b></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","","148801932","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/148801932/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470282000","-21600000","See Description for Details","BDU University","San Jose","us","16729312","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","5"
"13","1391106916000","<p>Participe en un exclusivo Big Data Developer Day, organizado por el equipo de Big Data de IBM. El proyecto open source de Apache Hadoop es un excelente framework para proceso distribuído de grandes volúmenes de datos. Pero hay una diferencia entre ""jugar"" con big data y resolver problemas de verdad. La realidad es que sólo  Hadoop puede que no sea suficiente. Experimente Hadoop de clase empresarial con el producto de IBM, InfoSphere BigInsights, que mejora la versión de open source de Hadoop con capacidades empresariales incluyendo: analíticos, visualización, seguridad, SQL estándar, HBase, herramientas de desarrollo/administración. Aprenda del conceptos como ""Big Data in Motion"", ""Big Data Exploration"" y más. La sesión de la mañana incluirá discusiones de <a href=""http://www-01.ibm.com/software/data/bigdata/use-cases.html"">casos de uso de Big Data</a>, una vista general de lo que es Big Data, demostraciones en vivo de los componentes clave para manejar datos en movimiento y datos en reposo.</p> <p>


<a href=""http://www.youtube.com/watch?v=B27SpLOOhWw&amp;list=PL7FnN5oi7Ez_p0XyFGI_XDF6C8Hj4R6-k&amp;index=18"" class=""embedded"">http://www.youtube.com/watch?v=B27SpLOOhWw&amp;list=PL7FnN5oi7Ez_p0XyFGI_XDF6C8Hj4R6-k&amp;index=18</a></p> <p>En la sesión de la tarde, use el producto IBM InfoSphere BigInsights Quick Start Edition con la guía de expertos en desarrollo. Es un una oportunidad única para desarrollar habilidades y aprender de nuevas y excitantes tecnologías y técnicas que puede usar inmediatamente en su empresa.</p> <p><br/>Este evento es completamente GRATIS. La comida es por cuenta propia de los participantes. Para los asistentes que utilicen transporte particular, pueden usar el estacionamiento del ITAM (el costo es por cuenta del participante).</p> <p><br/>Agenda</p> <p><br/>09:00 - 09:30  Registro</p> <p><br/>09:30 - 10:00  Bienvenida y conferencia de apertura</p> <p>10:00 - 10:45  Big Data para datos en reposo (Hadoop) y demo</p> <p>10:45 - 11:00  Receso</p> <p>11:00 - 11:45 Big Data para datos en movimiento y demo</p> <p>11:45 - 12:15  Tutorial 1: Conocer el ambiente de IBM InfoSphere BigInsights</p> <p><br/>12.15 - 13:00 Tutorial 2: Importando datos para el análisis</p> <p><br/>13:00 - 14:00  Comida</p> <p>14:00 - 14:45 Tutorial 3: Analizando bigdata con BigSheets</p> <p><br/>14:45 - 15:30 Tutorial 4: Desarrollando tu primer aplicación BigData</p> <p><br/>15:30 - 16:15  Tutorial 5: BigSQL</p> <p><br/>16:15 - 17:00 Tutorial 6: Text Analytics</p> <p><br/>17:00 - 17:30  Cierre del evento</p> <p>Los laboratorios se harán con la máquina virtual (VM) de <a href=""http://www-01.ibm.com/software/data/infosphere/biginsights/quick-start/"">BigInsights Quick Start Edition</a>. Haga click en la <a href=""https://www.youtube.com/watch?v=imIVJjUhrVo"">liga</a> para ver el video de como preparar la <a href=""https://www.youtube.com/watch?v=imIVJjUhrVo"">VM de BigInsights</a>. Para aprender más antes del evento vaya a <a href=""http://bigdatauniversity.com"">Big Data University</a>:</p> <p>Liga para bajar la VM:</p> <p><a href=""http://www-01.ibm.com/software/data/infosphere/biginsights/quick-start/""><a href=""http://www-01.ibm.com/software/data/infosphere/biginsights/quick-start/"" class=""linkified"">http://www-01.ibm.com/software/data/infosphere/biginsights/quick-start/</a></a></p> <p>Liga del video de preparación de VM:</p> <p><a href=""https://www.youtube.com/watch?v=imIVJjUhrVo""><a href=""https://www.youtube.com/watch?v=imIVJjUhrVo"" class=""embedded"">https://www.youtube.com/watch?v=imIVJjUhrVo</a></a></p> <p>Big Data University</p> <p><a href=""http://bigdatauniversity.com""><a href=""http://bigdatauniversity.com"" class=""linkified"">http://bigdatauniversity.com</a></a></p> <p><br/>Los lugares son limitados, así que reserve a tiempo.</p> <p><br/>El registro es requerido. Reserve haciendo click en el boton de YES RSVP de este Meetup.</p> <p><br/>¡Gracias y esperamos verlo pronto!</p> ","30600000","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","http://goo.gl/maps/kPiav","163501462","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/163501462/","50","Big Data Developer Day - Let's get together to get an intro and get hands-on","","100","","past","1394118000000","1394230941000","-21600000","Av. Camino a Sta. Teresa No. 930, Col. Heroes de Padierna México D.F. 10730","","México City","mx","18308742","19.3110408782959","Mexico","-99.22341918945312","ITAM","","False","","","public","0","100"
"2","1402528963000","<p>Apreciable:</p> <p>IBM te invita a participar en el developerWorks day, foro en el cual descubrirás y aprenderás sobre las últimas tendencias de la Nube que beneficiarán tu desarrollo profesional.</p> <p>El cómputo en la Nube basa su potencial en ahorrar costos de inversión en infraestructura, tiempo en el desarrollo e implementación de aplicaciones.</p> <p>18 de Junio 2014 / 8:30 am a 13:00 hrs.<br/>Salón Los Candiles Polanco<br/>Av. Ejército Nacional No. 613 Mezzanine<br/>Col. Polanco, c.p. 11560; México D.F.</p> <p>Beneficios de asistir:</p> <p>- Conocer el ambiente de Plataforma como Servicio (PaaS), con base en estándares abiertos para construir, ejecutar y administrar aplicaciones web y móviles en la Nube.<br/>- Familiarizarse con la escritura de aplicaciones web en un ambiente de desarrollo de Node.js de manera sencilla.<br/>- Aprender la primera plataforma de gestión de datos para aprovechar la disponibilidad, elasticidad y alcance de la Nube para crear una red de distribución global de datos.</p> <p>AGENDA:<br/>Registro<br/>8:30 – 9:00<br/>Introducción a Cloud Computing y a BlueMix<br/>9:00 – 10:00<br/>Desarrollo en Node.js sobre BlueMix. (Demo de cómo desarrollar un servicio web sobre BlueMix)<br/>10:10 – 11:00<br/>Evolución de las bases de datos. Repositorios No-SQL<br/>11:00 – 12:00<br/>Demostración en vivo de Cloudant<br/>12:00 - 13:00 ¿A quién está dirigido?<br/>Orientado a Profesionales de Tecnología y en general cualquier persona interesada en comprender el valor y las capacidades de la Nube: Desarrollador de diversos orígenes (tradicionales, nacidos en la nube, desarrolladores móviles, entre otros) Técnicos profesionales en IT Emprendedores Integradores de sistemas ISV que buscan hacer sus servicios disponibles en la Nube</p> <p>Link de registro:<br/><a href=""http://www.eventbrite.com/e/developerworks-day-tickets-11755993493"" class=""linkified"">http://www.eventbrite.com/e/developerworks-day-tickets-11755993493</a></p> ","16200000","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","","188556752","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/188556752/","","Te Invitamos al IBM developerWorks Day sobre Cloud Computing","","","","past","1403098200000","1403114494000","-18000000","Av. Ejército Nacional No. 613 Mezzanine Col. Polanco, c.p. 11560; México D.F.","","México City","mx","20653602","19.438329696655273","Mexico","-99.1946792602539","Salón Los Candiles Polanco","","False","","","public","0","23"
"6","1405091390000","<p>Discutiremos las diferentes alternativas de SQL en Hadoop y exploraremos por qué esas tecnologías se han convertido en un área de alta relevancia para muchas organizaciones. Se abordarán las alternativas (Drill, Impala, Hive, Hadapt, Tajo, Shark, HAWQ, Presto, Phoenix y BigSQL) y sus pros y contras. Compartiremos casos de clientes para Modernización de Warehouse y el rol de SQL para Hadoop en esta área, así como las características de desempeño de SQL en Hadoop cuando se corren queries de cargas de trabajo comunes.</p> <p><br/>También escucharemos del equipo de IBM cuáles son los retos técnicos cuando se desarrollan soluciones de SQL en Hadoop, cómo se resolvieron esos retos y cuáles son el siguiente conjunto de situaciones a enfrentar en la evolución de SQL en Hadoop. Se proveerá una introducción a <a href=""http://www.ibm.com/developerworks/library/bd-bigsql/"">Big SQL</a> y una demo. IBM Big SQL entrega muchas capacidades muy interesantes incluyendo funcionalidad completa de SQL que toma ventaja del compilador/runtime avanzado de SQL con baja latencia y alto desempeño.</p> <p>Aprenda más de <a href=""http://www.livestream.com/newchannel/popoutplayer?channel=ibmiod&amp;clip=pla_e4b28ad8-f647-4a02-88ad-6679b78f7e8b&amp;time=1481"">Big SQL aquí</a>. Lea el nuevo white paper de <a href=""http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?subtype=WH&amp;infotype=SA&amp;appname=SWGE_SW_SW_USEN&amp;htmlfid=SWW14019USEN&amp;attachment=SWW14019USEN.PDF#loaded"">SQL en Hadoop</a>.</p> <p>Pruebe Big SQL por Usted mismo, ya sea en la <a href=""http://bigsql.imdemocloud.com/"">nube</a> o en una <a href=""http://ibm.co/quickstart"">VM</a>.</p> ","","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","Sala Turing","194328882","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/194328882/","57","SQL en Hadoop, un gran paso adelante!","","65","","past","1409925600000","1410313127000","-18000000","Av. Camino a Sta. Teresa No. 930, Col. Heroes de Padierna México D.F. 10730","","México City","mx","18308742","19.3110408782959","Mexico","-99.22341918945312","ITAM","","False","","","public","0","66"
"0","1415645149000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","","218598518","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/218598518/","","Big Data for Social Good Challenge","","","","past","1415649600000","1415661776000","-21600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","6"
"2","1415739050000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","","218622483","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/218622483/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425445200000","1425456465000","-21600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","39"
"0","1434249854000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:</p> <p>•  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","","223230472","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/223230472/","","IBM | Spark - The start of something big in data and design (Web Only)","","","","past","1434420000000","1434428597000","-18000000","","","","","","","","","","","","","","public","0","31"
"8","1448299881000","<p>¿Qué es Spark? Spark es un potente motor de código abierto, fácil de usar y para análisis sofisticados. La ingeniería de Apache Spark hace posible el analizar todos los datos sin importar en dónde se encuentren y mucho más rápido que las aplicaciones típicas.</p> <p><b><a href=""https://www-950.ibm.com/events/wwe/grp/grp026.nsf/v17_agenda?openform&amp;seminar=728T5MES&amp;locale=es_MX"">Agenda y registro</a></b></p> <p><br/><img src=""https://www-950.ibm.com/events/wwe/grp/grp026.nsf/LookupElementsImage/Banner%20Spark/$FILE/Banner%20556x200.jpg"" /></p> ","","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","","226971101","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/226971101/","","IBM & Apache Spark : La combinación de datos, diseño y velocidad","","","","past","1448580600000","1448805304000","-21600000","Miguel de Cervantes Saavedra 303, Polanco 11529, México City","","México City","mx","24224544","19.441137313842773","Mexico","-99.20420837402344","Carolo (Plaza Carso)","","False","","","public","0","38"
"3","1462040191000","<p><i><b>THIS MEETUP AND LIVE STREAMING IS US PACIFIC STANDARD TIME (PST). PLEASE CONVERT TO YOUR TIME ZONE.</b></i></p> <p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here: </p> <p><b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>We realize you may not be able to attend in person, however, we are <b>live streaming</b> the event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","","230770280","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/230770280/","","Apache Spark Maker Community Event","","","","past","1465252200000","1465268288000","-18000000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","32"
"0","1464834219000","<p><b>THIS IS A GLOBAL ON-LINE HACKATHON THAT BEGINS MAY 23, 2016 AND <i>NOW ENDS AUGUST 23, 2016</i>.  SUBMISSIONS DUE AUGUST 23rd BY 5:00 PM EST. </b></p> <p><b>We’re extending the hackathon deadline to August 23</b> - that’s 20 additional days to build your Spark enterprise app. (View the revised competition calendar <b><a href=""http://apachespark.devpost.com/details/dates"">HERE</a></b><b>.  </b>We're giving you more time because....</p> <p>We’re adding <b>new enterprise data resources</b> to the site and we want to give you a chance to incorporate these into your projects, if you so choose.  Our awesome data co-sponsors <b><a href=""http://www.yelp.com/nyc"">Yelp</a></b> and <b><a href=""https://uncharted.software/"">Uncharted Software</a></b> have generously shared some of their enterprise data sets for you to use during the hackathon.</p> <p>Yelp’s data includes 2.2M reviews by 552K users for 77K businesses. The Uncharted data includes Bitcoin network transactions from processing the Bitcoin blockchain as of mid-2014 <i>and</i> Amazon product reviews from 1995 through 2003. For a fuller description and data access, visit our <b><a href=""http://apachespark.devpost.com/details/resources#datasets"">resources page</a></b>.</p> <p>Uncharted Software also has a couple cool Spark data visualization libraries you should check out: <b><a href=""http://unchartedsoftware.github.io/salt/"">Salt</a></b> and <b><a href=""http://unchartedsoftware.github.io/sparkpipe-core/"">SparkPipe.</a></b></p> <p>And, in case you’d like to weigh the effects of weather on business operations, we’re also offering access to the full suite of <b><a href=""http://apachespark.devpost.com/details/weather_data"">Weather Company APIs</a></b> for the duration of the hackathon.</p> <p>Finally, if you’re looking for a hosting solution for your Spark app, we’re now offering <b>extended Bluemix trials for all hackathon participants</b>. Using Bluemix services to build your project is <b><i>totally optional</i></b>, but might be a good way to get your app up and running — particularly with the IBM Analytics for Apache Spark service.</p> <p><b><a href=""http://apachespark.devpost.com/details/bluemix_promo"">You can request your extended Bluemix trial code here.</a> </b> For all hackathon participants, trials will extend through November 1, 2016. <i>Now go forth and optimize for the enterprise!</i></p> <p>---------------------</p> <p>Build an Apache Spark application to address a real business problem or core concern related to customer care, marketing, risk management or operations. Join IBM and Devpost for a global hackathon using <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">Apache Spark Makers Build</a></b>.  There are $100,000 in cash prizes.  Submissions can be sent in up to August 23rd.</p> <p><i>Participation Details: </i>To participate in the global virtual hackathon, you can <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">register here</a></b>.  Please review all registration guidelines.</p> <p>For the hack, you will apply Apache Spark's powerful analytics capabilities to enterprise and other relevant data so data scientists and software developers can build an analytics or mobile/web app that tackles a key business problem in marketing, customer case, operations or risk management.  The grand prize is $50,000, and the top three winners each get a meeting with the judge or<br/>Spark community expert of their choice; the judging panel includes data experts from Tesla, Netflix, and Silicon Valley Data Science.</p> <p>Go to <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">apachespark.devpost.com</a></b> for full details and registration.  Please review all registration rules.</p> <p><b> <i>Questions?</i></b></p> <p>We're here to help. If you have any questions about the hackathon, post on the <b><a href=""http://apachespark.devpost.com/forum_topics"">discussion forum</a></b> or email <b><i>support@devpost.com</i></b> and we'll respond as soon as we can.</p> ","","1364206095000","7770862","open","19.43000030517578","-99.13999938964844","Big Data Developers in Mexico City","Big-Data-Developers-in-Mexico-City","Developers","","231584051","https://www.meetup.com/Big-Data-Developers-in-Mexico-City/events/231584051/","","Show Us Your Apps - Apache Spark Maker Build Global Hackathon","","","","past","1471989600000","1472002196000","-18000000","Any Street","","Any City","us","24581652","36.77825927734375","USA","-119.41793060302734","Global Online Hackathon","","False","CA","","public","0","27"
