"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"6","1350081319000","<p>Register today! www.ibm.com/events/bigdatadeveloperdayny. Participate in an exclusive Big Data Developer Day hosted by the IBM Big Data Development team. Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data for social media and log analytics, then get hands on with Hadoop scripting and text analytics with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization. Registration is required.. clicking the confirm button on this page will not guarantee a spot! Only 50 seats available - www.ibm.com/events/bigdatadeveloperdayny</p> ","32400000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","","86740812","https://www.meetup.com/Big-Data-Developers-in-NYC/events/86740812/","","IBM Big Data Developer Day - New York, Oct. 22, 2012","","","","past","1350910800000","1350943663000","-14400000","Provided once you register","","New York","us","9779182","40.714351654052734","USA","-74.00597381591797","IBM","","False","NY","","public","0","46"
"1","1358898317000","<p>Register: <a href=""http://bit.ly/U2aKfd"" class=""linkified"">http://bit.ly/U2aKfd</a></p> <p>Live Webcast: Bigger Data on a Budget - Get a better understanding of what Big Data is, what all is involved for companies that are quickly accumulating exceedingly large amounts of complex data, what the options are to handle this information and most importantly, what this data can do for the company once translated into a usable format. Also, how to do all that on a budget. Lastly, get an introduction to Hadoop from leading Open Source Big Data provider Hortonworks. Register: <a href=""http://bit.ly/U2aKfd"" class=""linkified"">http://bit.ly/U2aKfd</a></p> ","","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","","100897882","https://www.meetup.com/Big-Data-Developers-in-NYC/events/100897882/","","Bigger Data on a Budget","","","","past","1360782000000","1360793771000","-18000000","online","","New York","us","11311402","40.751182556152344","USA","-73.98030090332031","online","","False","NY","10016","public","0","29"
"11","1375121778000","<p>Register Today For the IBM Big Data Developer Day- <a href=""http://ibm.co/152iodP"">&lt;/a&gt;<b>&lt;a href=""http://ibm.co/13jry2k""&gt;<a href=""http://ibm.co/13jry2k"" class=""linkified"">http://ibm.co/13jry2k</a></a></b></p> <p>

<b>Note -Clicking the YES attending button does not confirm your registration for this event - only registration at the above URL will.</b></p> <p>Experience IBM’s enterprise-class big data platform that allows you to address the full spectrum of big data business challenges. The morning will include interactive discussions and live demonstrations of big data at rest and big data in motion, then get hands on with Hadoop scripting and text analytics with guidance from development experts.  Registration is required on <a href=""http://ibm.co/13jry2k""><a href=""http://ibm.co/13jry2k"" class=""linkified"">http://ibm.co/13jry2k</a></a></p> <p>This event is limited to only 50 seats. You may let others know that you are going to this event by clicking on the YES RSVP button on this Meetup page—however— your seat can not be guaranteed until you officially register at the link above.</p> <p>Thanks and we look forward to seeing you soon!</p> ","28800000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","","131999272","https://www.meetup.com/Big-Data-Developers-in-NYC/events/131999272/","","Big Data Developer Day - hands on lab!","","50","","past","1377781200000","1377898320000","-14400000","Provided once you register","","New York","us","9779182","40.714351654052734","USA","-74.00597381591797","IBM","","False","NY","","public","0","50"
"7","1380822574000","<p><b>Big Data Developers.  The Big Data Developer Day - Big Data and the Evolving Data Warehouse, October 31st, registration site is closed. If you have not registered and would like to attend as a walk-in, please email Nancy Berlin - nberlin@us.ibm.com.</b></p> <p>


REMINDER:  YOU MUST REGISTER AT <b><a href=""http://ibm.com/1b6XM9m""><a href=""http://ibm.com/1b6XM9m"" class=""linkified"">http://ibm.com/1b6XM9m</a></a></b> TO SECURE A SEAT AT THE BIG DATA DEVELOPER DAY - BIG DATA AND THE EVOLVING DATA WAREHOUSE.  SPACE IS LIMITED - REGISTER SOON.</p> <p>


Once you have joined the Meetup in NYC, please be sure to register at:</p> <p><br/><b><a href=""http://ibm.co/1b6XM9m""><a href=""http://ibm.co/1b6XM9m"" class=""linkified"">http://ibm.co/1b6XM9m</a></a></b> in order to secure your space in the Big Data Developer Day on 10/31/13.  Space is limited so please register soon.</p> <p>Join us on Oct 31, 2013 to participate in an exclusive Big Data Developer Day hosted by the IBM Big Data team.   Open source Apache Hadoop is a great framework for distributed processing of large data sets. But there’s a difference between ""playing"" with big data versus solving real problems. The reality is that Hadoop alone might not be enough. Experience IBM’s enterprise-class Hadoop product, InfoSphere BigInsights, which enhances open source Hadoop with required enterprise capabilities including: analytics, visualization, security, standard SQL, enterprise HBase, developer/admin tools, and more. The morning session will include interactive discussions and live demonstrations of IBM's view of the evolving Enterprise Data Warehouse and the role of hadoop (aka <a href=""http://www-01.ibm.com/software/data/bigdata/use-cases/data-warehouse.html"">Data Warehouse Augmentation</a>); </p> <p><a href=""http://www.youtube.com/watch?v=JcCWvVIAAMA"" class=""embedded"">http://www.youtube.com/watch?v=JcCWvVIAAMA</a></p> <p>and, in the afternoon, get hands-on with <a href=""http://ibm.co/quickstart"">InfoSphere BigInsights Quick Start Edition</a>  with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p><b>This event is <i>FREE</i>.</b>  Breakfast, Lunch and snacks will be provided.</p> <p>Agenda (subject to change)<br/>9:00 am to 9:30 am Breakfast &amp; Registration</p> <p>9:30 am to 10:30 am Welcome and Keynote - <b>Big Data &amp; the Evolving Warehouse</b></p> <p>10:30 am to 11:15 am <b>SQL for Hadoop - Demo</b></p> <p>11:15 am to 11:30 am Break</p> <p>11:30 am to 12:15 pm <b>Enterprise ready HBase</b></p> <p>12:15 pm to 1:00 pm Lunch</p> <p>1:00 pm to 5:00 pm <b>Hands-on Lab</b> - tentative labs</p> <p>            •  Getting started with Hive</p> <p>            •  Leveraging the full power of SQL with Hadoop</p> <p>            •  Simplifying HBase queries with IBM Big SQL</p> <p>Labs will use <a href=""http://bm.co/quickstart"">BigInsights Quickstart VM</a>.  To learn more before hand try Big SQL on the <a href=""http://bigsql.imdemocloud.com"">cloud</a> or <a href=""http://bigdatauniversity.com"">Big Data University</a>. </p> <p>5:30 PM Close Thank You for Attending</p> <p>



Seating is limited, please adjust your RSVP accordingly.</p> <p>To guarantee your seat, you must register here: </p> <p><b>     </b><a href=""http://ibm.co/1b6XM9m""><a href=""http://ibm.co/1b6XM9m"" class=""linkified"">http://ibm.co/1b6XM9m</a>  </a></p> ","30600000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","To get the downtown NYC location you must register here:  http://ibm.co/1b6XM9m","143660022","https://www.meetup.com/Big-Data-Developers-in-NYC/events/143660022/","58","Big Data and the Evolving Data Warehouse","","65","","past","1383224400000","1383306164000","-14400000","Provided once you register","","New York","us","9779182","40.714351654052734","USA","-74.00597381591797","IBM","","False","NY","","public","0","60"
"0","1383399535000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <b><a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/"">InfoSphere Streams V3.2</a></b> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a>.</b> The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a>.</b></p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","","148758542","https://www.meetup.com/Big-Data-Developers-in-NYC/events/148758542/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470281000","-18000000","See Description for Details","BDU University","San Jose","us","16729132","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","18"
"13","1395688454000","<p><b>Hadoop Developer Day -- Let's get hands-on with Hadoop</b></p> <p><b>REGISTRATION IS CLOSED.   WE CURRENTLY HAVE A WAITLIST AND IF THERE ARE CANCELLATIONS, WE CAN ACCOMMODATE ADDITIONAL PEOPLE.  <i>HOWEVER, OUR SEATING CAPACITY IS LIMITED FOR THIS EVENT</i> SO IF YOU HAVE NOT BEEN <i>CONFIRMED</i> <i>THROUGH THE IBM REGISTRATION</i> FOR THIS EVENT, PLEASE CHECK BACK WITH THE MEETUP GROUP FOR ADDITIONAL EVENTS IN THE NEAR FUTURE.<br/></b></p> <p>Want to learn more about Hadoop and the Big Data Problems it can solve? How about the key open source components related to Hadoop? Or, understand how Big Data solutions can work in the cloud? Or understand the components of Hadoop and how to leverage HDFS? Then this Hadoop Developer Day is for you. You will learn what the essential steps are involved with implementing a MapReduce program that runs in Hadoop as well as use IBM InfoSphere BigInsights tools to simplify the development and deployment of MapReduce programs. You will learn how to use Hive to implement data warehousing solutions in a Hadoop environment (using HiveQL), understand the IBM BigSQL approach to managing structured data in Hadoop and use IBM BigSQL to store and query large data sets in Hadoop.</p> <p><i><b>REGISTER EARLY - SEATING IS LIMITED: </b></i> <b><a href=""http://bit.ly/1pZdHeu""><a href=""http://bit.ly/1pZdHeu"" class=""linkified"">http://bit.ly/1pZdHeu</a></a></b></p> <p><br/>This Hadoop Developer Day will cover all this and more in this live classroom delivery. To participate in the Hands-on-Labs, you will need to bring your own laptop, pre-load the IBM BigInsights <a href=""http://ibm.co/QuickStart"">QuickStart VM</a>.</p> <p>This event is FREE.  Breakfast and Lunch will be provided.</p> <p><br/><b>Agenda</b> (subject to change). </p> <p><br/>8:00 am - Registration &amp; Welcome</p> <p>9:00 am - Big Data Overview</p> <p>9:30 am - Introduction to Hadoop</p> <p><br/>10:15 am - Hadoop Architecture (MR and HDFS)</p> <p>11:15 am -  Hands-on Lab: MapReduce &amp; HDFS</p> <p>12:15 pm - Lunch </p> <p>1:15 pm -  Data Warehouse Modernization</p> <p>2:15 pm - Hands-on Lab: Visualize data using BigSheets</p> <p>3:30 pm - SQL for Hadoop</p> <p>4:30 pm - Hands-on Lab: SQL for Hadoop</p> <p>5:30 pm - Close and Thank you for Attending.</p> <p>You must bring your laptop to participate in the Hands-on Labs.  Please download the following prior to the event.</p> <p><br/>Download the VM image (single-node): <a href=""http://ibm.co/QuickStart""><a href=""http://ibm.co/QuickStart"" class=""linkified"">http://ibm.co/QuickStart</a></a></p> <p>Watch the VM setup demo: <a href=""http://www.youtube.com/watch?v=imIVJjUhrVo&amp;list=PLKXuYvvzzm-RIL1g279a0b95sjY3tYKqn&amp;index=2"">YouTube Video</a></p> <p>For Windows - VMware Player (free download) is required to run a VMware image: <a href=""https://my.vmware.com/web/vmware/free#desktop_end_user_computing/vmware_player/6_0""><a href=""https://my.vmware.com/web/vmware/free#desktop_end_user_computing/vmware_player/6_0"" class=""linkified"">https://my.vmware.com/web/vmware/free#desktop_end_user_computing/vmware_player/6_0</a></a></p> <p>For Mac - VMware Fusion (free trial) <a href=""https://www.vmware.com/products/fusion/""><a href=""https://www.vmware.com/products/fusion/"" class=""linkified"">https://www.vmware.com/products/fusion/</a></a></p> <p>Presentations and Lab Guides: <a href=""http://bigdatauniversity.com/courses/course/view.php?id=313""><a href=""http://bigdatauniversity.com/courses/course/view.php?id=313"" class=""linkified"">http://bigdatauniversity.com/courses/course/view.php?id=313</a></a></p> <p><i><b>REGISTER EARLY - SEATING IS LIMITED: </b></i> <b><a href=""http://bit.ly/1pZdHeu""><a href=""http://bit.ly/1pZdHeu"" class=""linkified"">http://bit.ly/1pZdHeu</a></a></b></p> ","30600000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","","173144062","https://www.meetup.com/Big-Data-Developers-in-NYC/events/173144062/","94","Hadoop Developer Day","","","","past","1399381200000","1399483636000","-14400000","Provided once you register","","New York","us","9779182","40.714351654052734","USA","-74.00597381591797","IBM","","False","NY","","public","0","96"
"3","1403008545000","<p>We will discuss the various SQL on Hadoop alternatives and explore why such technologies have become an area of keen interest for many organizations.  We will discuss the various alternatives (Drill, Impala, Hive, Hadapt, Tajo, Shark, HAWQ, Presto, Phoenix, Big SQL) and their pros/cons.  We will share customer use cases for Warehouse Modernization and the role of SQL for Hadoop in this space, as well as discuss performance characteristics of SQL on Hadoop when running common query workloads. </p> <p><br/>We will provide an intro to <a href=""http://www.ibm.com/developerworks/library/bd-bigsql/"">Big SQL</a> and demo.   Big SQL  delivers some exciting capabilities including comprehensive SQL functionality that leverages advanced SQL compiler/runtime all with low latency and high performance.</p> <p>Learn more about <a href=""http://www.livestream.com/newchannel/popoutplayer?channel=ibmiod&amp;clip=pla_e4b28ad8-f647-4a02-88ad-6679b78f7e8b&amp;time=1481"">Big SQL here</a>.   Check out new <a href=""http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?subtype=WH&amp;infotype=SA&amp;appname=SWGE_SW_SW_USEN&amp;htmlfid=SWW14019USEN&amp;attachment=SWW14019USEN.PDF#loaded"">SQL on Hadoop white paper.</a></p> <p>In order to satisfy some security requirements for this IBM location, please answer the questions in the RSVP application. </p> ","10800000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","","189542182","https://www.meetup.com/Big-Data-Developers-in-NYC/events/189542182/","","A Leap Forward for SQL on Hadoop","","","","past","1405375200000","1405534521000","-14400000","590 Madison Avenue (at 57th Street)","","New York","us","18658942","40.76219177246094","USA","-73.97249603271484","IBM Plaza","","False","NY","","public","0","104"
"6","1404164798000","<p><b>REMINDER - THE ENTRANCE TO THE BUILDING IS ON 28TH STREET. <br/></b></p> <p><b>BOTH DAYS (10TH AND 11TH) ARE AT REGISTRATION CAPACITY. <br/></b></p> <p><b>QUESTIONS: CONTACT NANCY BERLIN (NBERLIN@US.IBM.COM).<br/></b></p> <p><b><a href=""http://ibm.co/1APn8Uf"">ibm.co/1APn8Uf</a></b></p> <p>

Got Big Data?  Want to analyze it with SQL?   Spend a day exploring what you can do with Big Data on Hadoop using industry-standard SQL.  Through a series of presentations and hands-on lab exercises, you'll learn how to use IBM's new Big SQL technology to model, query, and analyze Big Data.  Using free, publicly downloadable software installed on supplied laptops, you'll see how easy it is create Big SQL tables and views, load data, and execute complex SQL queries against Big Data managed in InfoSphere BigInsights, a popular Hadoop distribution.  </p> <p><br/><b>Agenda</b> (may be subject to change)</p> <p>9:00 - 9:15 Welcome / Registration/Introduction</p> <p>9:15 - 10:15 SQL on Hadoop overview</p> <p>10:15 - 10:30 Introduction to Lab 1 (Getting started with SQL on Hadoop)</p> <p>10:30 - 12:00 Hands-on Lab 1.</p> <p>12:00 – 1:00 Lunch</p> <p>1:00 - 1:30 Exploring Big SQL</p> <p>1:30 - 1:45 Introduction to Lab 2 (Querying structured data with Big SQL)</p> <p>1:45 - 3:15 Hands-on Lab 2.</p> <p>3:15 - 4:00 Advanced Features: visualization, security, etc.</p> <p>4:00 - 4:15 Summary</p> <p>4:15 - 5:00 Discussion / open Q&amp;A</p> <p><br/>Come learn how you can apply existing SQL skills to the world of Big Data.  Bring your laptop if you want to copy the VMware image to it for later use.  </p> <p><b>TO CONFIRM YOUR SEAT, YOU MUST REGISTER THROUGH THE IBM SYSTEM AT THIS LINK.  SEPTEMBER 10TH HAS REACHED CAPACITY - PLEASE REGISTER FOR SEPTEMBER 11TH (SAME LOCATION/AGENDA):</b></p> <p><b><a href=""http://ibm.co/1APn8Uf"">ibm.co/1APn8Uf</a><br/></b></p> <p>


Big Data Developer Team.</p> ","28800000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","","192247282","https://www.meetup.com/Big-Data-Developers-in-NYC/events/192247282/","","Get Hands-on with Big SQL on Hadoop","","","","past","1410354000000","1410477674000","-14400000","28 East 28th Street","CBS Sports Bldg - 8th floor","New York","us","21561512","40.743873596191406","USA","-73.98550415039062","IBM Technical Center","","False","NY","10016","public","0","84"
"4","1406904762000","<p><b>REMINDER - ENTRANCE TO THE TEC BUILDING IS ON 28TH STREET. <br/></b></p> <p><b>BOTH DAYS (10TH AND 11TH) HAVE REACHED REGISTRATION CAPACITY.</b></p> <p><b>QUESTIONS - CONTACT NANCY BERLIN (NBERLIN@US.IBM.COM)</b></p> <p><br/><b><a href=""http://ibm.co/1APn8Uf"">ibm.co/1APn8Uf</a></b>  - <b>closed</b></p> <p><br/>Got Big Data?  Want to analyze it with SQL?  Spend a day exploring what you can do with Big Data on Hadoop using industry-standard SQL.  Through a series of presentations and hands-on lab exercises, you'll learn how to use IBM's new Big SQL technology to model, query, and analyze Big Data.  Using free, publicly downloadable software installed on supplied laptops, you'll see how easy it is create Big SQL tables and views, load data, and execute complex SQL queries against Big Data managed in InfoSphere BigInsights, a popular Hadoop distribution. </p> <p><br/><b>Agenda</b> (may be subject to change)</p> <p>9:00 - 9:15 Welcome / Registration/Introduction</p> <p>9:15 - 10:15 SQL on Hadoop overview</p> <p>10:15 - 10:30 Introduction to Lab 1 (Getting started with SQL on Hadoop)</p> <p>10:30 - 12:00 Hands-on Lab 1.</p> <p>12:00 – 1:00 Lunch</p> <p>1:00 - 1:30 Exploring Big SQL</p> <p>1:30 - 1:45 Introduction to Lab 2 (Querying structured data with Big SQL)</p> <p>1:45 - 3:15 Hands-on Lab 2.</p> <p>3:15 - 4:00 Advanced Features: visualization, security, etc.</p> <p>4:00 - 4:15 Summary</p> <p>4:15 - 5:00 Discussion / open Q&amp;A Come learn how you can apply existing SQL skills to the world of Big Data.  Bring your laptop if you want to copy the VMware image to it for later use.</p> <p><br/><b>TO CONFIRM YOUR SEAT, YOU MUST REGISTER THROUGH THE IBM SYSTEM AT THIS LINK:</b></p> <p><b><a href=""http://ibm.co/1APn8Uf"">ibm.co/1APn8Uf</a></b></p> ","28800000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","","198371082","https://www.meetup.com/Big-Data-Developers-in-NYC/events/198371082/","","Get Hands-on with Big SQL on Hadoop","","","","past","1410440400000","1410471424000","-14400000","28 East 28th Street","CBS Sports Bldg - 8th floor","New York","us","21561512","40.743873596191406","USA","-73.98550415039062","IBM Technical Center","","False","NY","10016","public","0","84"
"6","1412622226000","<p>IBM® Cloudant™ database service delivers high availability, elastic scalability and innovative mobile device synchronization. The Cloudant JSON cloud-based data service allows mobile and web developers to quickly and easily store and access the rapidly increasing amount of mobile data using an application programming interface (API) that is significantly easier to use than alternatives. Increasingly, developers have embraced NoSQL databases because of their flexibility, and JSON has become thepredominant NoSQL database technology for mobile and web app developers. This session consists of both presentations and hands-on lab exercises.</p> <p><br/>This session introduces Cloudant and how it differs from other data management platforms. Key features are described, including Cloudant Query, MapReduce and integrated Lucene Search along with RESTful HTTP API. </p> <p><b>Agenda  </b></p> <p>• NoSQL landscape  </p> <p>• Database as a service  </p> <p>• JSON primer  </p> <p>• Cloudant dashboard</p> <p>• Replication</p> <p>• RESTful APIs  </p> <p>• Primary indexes</p> <p>• Cloudant query  </p> <p>• Secondary indexes or MapReduce  </p> <p>• Search indexes Accessing Cloudant from an application</p> <p>This event is free. Complimentary refreshments including continental breakfast and lunch will be provided.  For your convenience, registration and continental breakfast begins at 8:30 a.m. The session starts at 9:00 a.m. and ends at approximately 5:00 p.m. </p> <p><b>To guarantee your seat, register <a href=""https://docs.google.com/forms/d/1L8e7fubDSiHddg5Em5WOUECz0Snql_jemELqdsbiqkE/viewform"">here </a>and receive a confirmation. </b></p> ","28800000","1349980140000","5347552","open","40.77000045776367","-73.98999786376953","Big Data Developers in NYC","Big-Data-Developers-in-NYC","Developers","63 Madison Avenue(28th Street Entrance)","211789172","https://www.meetup.com/Big-Data-Developers-in-NYC/events/211789172/","","A Technical Introduction to Cloudant : A JSON Data Layer in the Cloud","","","","past","1413464400000","1413493951000","-14400000","63 Madison Avenue","","New York","us","22819112","40.743465423583984","USA","-73.98538208007812","IBM","","False","NY","","public","0","37"
