"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"2","1401303572000","<p>Hear about the latest SQL for Hadoop features in <b><a href=""http://www-01.ibm.com/software/data/infosphere/biginsights/"">InfoSphere BigInsights</a></b> component called Big SQL. It introduces a shared-nothing database architecture that leverages state of the art relational database technology from IBM. It provides a logical view of the data by allowing storage and management of metadata and a view of query compilation.</p> <p>There is a leap forward with massive parallel processing SQL engine. It deploys directly on the physical Hadoop Distributed File System (HDFS) cluster. It introduces 'beyond Map Reduce' low latency parallel execution infrastructure that can access Hadoop data natively for reading and writing.</p> <p>This session requires prior understanding of <b><a href=""http://hive.apache.org/"">Hive</a></b> relational database, SQL querying and <b><a href=""http://hadoop.apache.org/"">Hadoop</a></b>/<b><a href=""http://hadoop.apache.org/docs/r1.2.1/mapred_tutorial.html"">MapReduce</a></b> capabilities.</p> <p><br/>Download InfoSphere BigInsights <b><a href=""http://www.ibm.com/developerworks/downloads/im/biginsightsquick/"">Quick Start VM</a></b> to get started on Big SQL capability.</p> <p>



<b>Agenda</b></p> <p>5:30 - 6:00 pm      Registration/Refreshments</p> <p>6:00 - 6:15 pm       Introduction to Hadoop - BigInsights</p> <p>6:15 - 6:30 pm        SQL for Hadoop &amp; Hive Landscape</p> <p>6:30 - 7:15 pm        IBM SQL Querying<br/>                                      -What is it?<br/>                                      -SQL capability<br/>                                      -Architecture<br/>                                      -Application Integration<br/>                                      -Enterprise Capability<br/>                                      -Performance</p> <p>7:15 - 7:30 pm       Questions/Next Steps</p> <p>


Please <b>RSVP</b>. Seats are limited.</p> <p><b><br/></b></p> <p><b>Address</b>: 3039 East Cornwallis Rd., Durham, NC 27709</p> <p><b>Directions</b></p> <p>1) Take I-40 West and take the Davis Dr. Exit #280. Turn right at the ramp.</p> <p>3) Go 1.2 miles on Davis Drive to stoplight at Cornwallis Rd.</p> <p>4) Go straight and enter IBM property through the Main Gate <b>Visitor</b> Entrance.</p> <p>5) Inform security you are going to B002 Main Lobby.<br/>6) Follow signs to Executive Briefing Centers and park at B002 visitor lot.</p> ","","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","Join us to learn more about the SQL for Hadoop capability - Big SQL 3.0","185688162","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/185688162/","42","SQL for Hadoop","","45","","past","1402953300000","1407200935000","-14400000","3039 East Cornwallis Rd.","","Durham","us","20551662","35.90854263305664","USA","-78.86307525634766","IBM RTP - Executive Briefing Center","","False","NC","","public","0","42"
"1","1403539495000","<p>Join us to hear about real world Hadoop usage patterns from NC State and IBM.</p> <p>While much of the big data activity in the market up to now has been experimenting and learning about big data technologies, IBM has been focused on also helping organizations understand what problems big data can address.   There are 5 key and evolving <a href=""https://developer.ibm.com/hadoop/videos/category/overview-series/"">big data use cases</a> that are emerging.    John Choi will focus on the Hadoop usage pattern in these uses cases and will provide an updated view giving the quickly evolving Hadoop lanscape.   </p> <p>



Dr. Kowolenko has been leveraging <a href=""https://www.youtube.com/watch?v=VrFtC4Zwxv4"">hadoop to analyze unstructured patent data</a> to improve its ability to find a suitor for its patents.   He will show case how companies our <a href=""https://www.youtube.com/watch?v=6BO0s51XOpE"">getting value from big data</a>.</p> <p>


Our speakers:</p> <p><br/>John Choi - is Director of Big Data Product Management at IBM Software Group where he is responsible for product direction and strategy for the Big Data software portfolio. Prior to this role, he has held various product/portfolio management and strategy responsibilities in IBM including Information Management and WebSphere with a focusing on portfolio strategy and emerging technologies. John received his BA and MBA from Yale University.</p> <p><br/>Dr. Michael Kowolenko, Ph.D - is an Industry Fellow in the Center of Innovation Management Studies and Assistant Teaching Professor in the Departments of Accounting and Management at North Carolina State University Poole College of Management.  His research and teaching activities focus on models of integrating data analytics in the area of critical thinking and decision-making.  Dr. Kowolenko has been awarded multiple grants from IBM for his work in developing decision models enabled by Big Data.  In addition, he has consulted with and instructed multiple companies in the use of analytics in business decision making.</p> <p>Agenda</p> <p>5:30 pm - 6:00 pm          Registration/Refreshments</p> <p>6:00 pm - 6:30 pm          John Choi (Speaker) - Hadoop Use Case Discussion</p> <p><br/>6:30 pm - 7:00 pm          Michael Kowolenko (Speaker) - Analytics Discussion</p> <p><br/>7:00 pm - 7:30 pm          Questions/Next Steps</p> <p>


Please <b>RSVP</b>. Seats are limited.</p> <p><br/><b>Address</b>: 3039 East Cornwallis Rd., Durham, NC 27709</p> <p><b>Directions</b></p> <p>1) Take I-40 West and take the Davis Dr. Exit #280. Turn right at the ramp.</p> <p>2) Go 1.2 miles on Davis Drive to stoplight at Cornwallis Rd.</p> <p>3) Go straight and enter IBM property through the Main Gate <b>Visitor</b> Entrance.</p> <p>4) Inform security you are going to B002 Main Lobby.<br/>5) Follow signs to Executive Briefing Centers and park at B002 visitor lot.</p> ","8100000","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","","190759242","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/190759242/","","NC State and IBM discussion of Hadoop Usage Patterns","","35","","past","1404162900000","1407200920000","-14400000","3039 East Cornwallis Rd.","","Durham","us","20551662","35.90854263305664","USA","-78.86307525634766","IBM RTP - Executive Briefing Center","","False","NC","","public","0","31"
"8","1406642696000","<p><b>MAXIMUM CAPACITY HAS BEEN REACHED AND REGISTRATION IS NOW CLOSED.  ANY QUESTIONS CAN BE DIRECTED TO NANCY BERLIN (NBERLIN@US.IBM.COM). <br/></b></p> <p><b><a href=""http://ibm.co/1m5MkvS""><a href=""http://ibm.co/1m5MkvS"" class=""linkified"">http://ibm.co/1m5MkvS</a></a></b></p> <p><br/>Join us and participate in an exclusive Big Data Developer Day hosted by the IBM Big Data team.</p> <p><br/>Open source Apache Hadoop is a great framework for distributed processing of large data sets. But there’s a difference between ""playing"" with big data versus solving real problems. The reality is that Hadoop alone might not be enough. Experience IBM’s <b>enterprise-class Hadoop</b> product, InfoSphere BigInsights, which enhances open source Hadoop with required enterprise capabilities including: analytics, visualization, security, standard SQL, enterprise HBase, developer/admin tools, learn about the role of <b>Big Data in Motion, Big Data Exploration</b> and more. The morning session will include interactive <b><a href=""http://www-01.ibm.com/software/data/bigdata/use-cases.html"">Big Data use case</a></b> discussions, an overview of what is big data, live demonstrations of key Big Data components (Big Data at Rest, Big Data in Motion).</p> <p>In the afternoon, get hands-on with Big Data using <a href=""http://ibm.co/quickstart""><b>InfoSphere BigInsights Quick Start Edition</b></a> and <a href=""http://ibm.co/streamsqs""><b>InfoSphere Streams Quick Start Edition</b></a> with guidance from development experts. This is a unique opportunity to develop skills and learn about exciting technologies and techniques that you can immediately take back to your organization.</p> <p><b>This event is <i>FREE</i>.</b> Breakfast, Lunch and snacks will be provided.</p> <p><b>Agenda (subject to change) </b></p> <p><br/>9:00 am to 9:30 am Breakfast &amp; Registration</p> <p>9:30 am to 10:30 am Welcome and Keynote - <b>Big Data Overview</b></p> <p>10:30 am to 11:15 am <b>Big Data: Data Warehouse Modernization &amp; Demo</b></p> <p>11:15 am to 11:30 am Break</p> <p>11:30 am to 12:15 pm <b>Big Data: Streams Real Time Analytics &amp; Demo</b></p> <p>12:15 pm to 1:00 pm Lunch</p> <p>1:00 pm to 5:00 pm <b>Hands-on Labs</b></p> <p>     Getting started with Hadoop<br/>            - Leveraging the full power of SQL with Hadoop, Text Analytics, etc ..</p> <p>     Get started with Stream Analytics</p> <p>Labs will use <b><a href=""http://ibm.co/quickstart"">BigInsights Quickstart VM</a></b> and <b><a href=""http://ibm.co/streamsqs"">Streams Quickstart VM</a></b>.  Here is a video on how to <a href=""http://www.youtube.com/watch?v=imIVJjUhrVo"">setup the BigInsights Quickstart VM</a>. To learn more before hand and get hands on go to <a href=""http://bigdatauniversity.com/"">Big Data University</a>. </p> <p>5:00 PM Close Thank You for Attending </p> <p>Seating is limited, please adjust your RSVP accordingly.</p> <p><b>To confirm your seat, you <i>must</i> <i>register here</i>:</b> <b><a href=""http://ibm.co/1m5MkvS""><a href=""http://ibm.co/1m5MkvS"" class=""linkified"">http://ibm.co/1m5MkvS</a></a></b></p> <p>We look forward to seeing you there.</p> <p>Big Data Development Team</p> ","28800000","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","","197731892","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/197731892/","","RTP - Big Data Developer Day","","60","","past","1409230800000","1409272443000","-14400000","3039 East Cornwallis Rd.","","Durham","us","20551662","35.90854263305664","USA","-78.86307525634766","IBM RTP - Executive Briefing Center","","False","NC","","public","0","53"
"4","1411672597000","<p>IBM's <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to<b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources.</p> <p><br/>Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p>JOIN US to hear about the exciting features of this platform at the IBM - Executive Briefing Center.</p> <p><b>This event is <i>FREE</i>.</b> Dinner and Snacks will be provided.</p> <p>


<b>Agenda</b></p> <p>

5:30 - 6:00 pm    Registration/Dinner</p> <p>6:00 - 6:45 pm     Introduction to Streams</p> <p>                                        - Architecture Overview</p> <p>                                        - Real Time Processing</p> <p>                                        - Programming Model</p> <p>                                        - Run-time View</p> <p>                                        - High Availability</p> <p>6:45 - 7:15 pm     Interactive Demo(s)</p> <p>7:15 - 7:30 pm     Questions/Next Steps</p> <p><br/>Please <b>RSVP</b>. Seats are limited.</p> <p>


<b>Address</b>: 3039 East Cornwallis Rd., Durham, NC 27709</p> <p><b>Directions</b></p> <p>1) Take I-40 West and take the Davis Dr. Exit #280. Turn right at the ramp.</p> <p>3) Go 1.2 miles on Davis Drive to stoplight at Cornwallis Rd.</p> <p>4) Go straight and enter IBM property through the Main Gate <b>Visitor</b> Entrance.</p> <p>5) Inform security you are going to B002 Main Lobby.<br/>6) Follow signs to Executive Briefing Centers and park at B002 visitor lot.</p> ","","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","","209503802","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/209503802/","","Data in Motion: Real-time Analytics with Streams","","45","","past","1413234900000","1413294094000","-14400000","3039 East Cornwallis Rd.","","Durham","us","20551662","35.90854263305664","USA","-78.86307525634766","IBM RTP - Executive Briefing Center","","False","NC","","public","0","45"
"3","1414592544000","<p><b><a href=""http://www-01.ibm.com/software/data/infosphere/biginsights/"">InfoSphere BigInsights</a></b> is IBM's solution to leverage the power of <b><a href=""http://hadoop.apache.org/"">Hadoop</a></b> to manage a wide variety of structured, unstructured and semi-structured data. It augments open source Hadoop with enterprise capabilities such as: performance optimization, development tooling, analytic accelerators, visualization, security etc.</p> <p><b><a href=""http://www.sas.com/en_us/software/analytics.html"">SAS High performance Analytics</a></b> has different levels of Hadoop support within the BigInsights environment. BigInsights is used as a data-sourcing environment that allows you to utilize information in structures such as Hive.</p> <p>Please JOIN us to hear about this integration capability and how SAS Analytics and IBM's hadoop distribution can facilitate load on servers, storage, network and provide a simplified management of analytic data. </p> <p><b>This event is <i>FREE</i>.</b> Dinner and Snacks will be provided.</p> <p><b>Agenda</b></p> <p><br/>5:30 - 6:00 pm    Registration/Dinner</p> <p>6:00 - 6:10 pm     Quick Introduction to BigInsights</p> <p>6:10 - 6:45 pm     BigInsights integration with SAS</p> <p><br/>                                   - Technology Overview</p> <p><br/>                                   - SAS Analytics Components</p> <p><br/>                                   - SAS Architecture (In-memory &amp; In-database)</p> <p><br/>                                   - BigInsights leveraging SAS</p> <p><br/>                                   - Processing</p> <p><br/>                                   - Similarities &amp; Differences</p> <p><br/>6:45 - 7:15 pm     Integration Demo</p> <p>7:15 - 7:30 pm     Questions/Next Steps</p> <p><br/>Please <b>RSVP</b>. Seats are limited.</p> <p><b>Address</b>: 3039 East Cornwallis Rd., Durham, NC 27709</p> <p><b>Directions</b></p> <p>1) Take I-40 West and take the Davis Dr. Exit #280. Turn right at the ramp.</p> <p>3) Go 1.2 miles on Davis Drive to stoplight at Cornwallis Rd.</p> <p>4) Go straight and enter IBM property through the Main Gate <b>Visitor</b> Entrance.</p> <p>5) Inform security you are going to B002 Main Lobby.<br/>6) Follow signs to Executive Briefing Centers and park at B002 visitor lot.</p> ","","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","","216339952","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/216339952/","","IBM's Hadoop integration with SAS Analytics: using Hive","","45","","past","1415312100000","1415377580000","-18000000","3039 East Cornwallis Rd.","","Durham","us","20551662","35.90854263305664","USA","-78.86307525634766","IBM RTP - Executive Briefing Center","","False","NC","","public","0","42"
"0","1415643797000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","","218598096","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/218598096/","","Big Data for Social Good Challenge","","","","past","1415646000000","1415656925000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","2"
"1","1415737717000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","","218621919","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/218621919/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425441600000","1425453335000","-18000000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","21"
"1","1434248417000","<p><i><b>THIS IS A WEB CONFERENCE ONLY.  TIME OF WEB CONFERENCE LOCALLY IS BASED ON LIVE-STREAM START - PACIFIC DAYLIGHT TIME. DETAILS TO CONNECT TO LIVE-STREAM ARE INDICATED BELOW.  </b></i></p> <p>Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative.</p> <p>Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets. This means more people can apply deep intelligence into applications to make everything smarter, including the Internet of Things (IoT), machine learning, web, mobile, social, business process and more. </p> <p>Do you believe in the value of Spark, in the speed, efficiency and flexibility of this in-memory compute engine? IBM does.  Emphatically.That's why we're committed to do everything we can to accelerate the adoption of Spark for enterprise analytics, where Spark promises seemingly unlimited value.</p> <p>On June 15, 2015, IBM will host a Spark Community event in San Francisco, California: IBM | Spark - The Start of Something Big in Data and Design. There will be a live demo showcase, refreshments, and a Town Hall discussion featuring some of the most trail-blazing data scientists in today's Spark Community, including:</p> <p>•  Edd Dumbill, VP Strategy, Silicon Valley Data Science<br/>•  Mike Tamir, Chief Science Officer &amp; VP of Data Science &amp; Education at Galvanize<br/>•   Fernando Perez, Staff Scientist at Lawrence Berkeley National Laboratory &amp; Founding Investigator of the Berkeley Institute for Data Science<br/>•   Haoyuan Li, CEO and Founder of Tachyon Nexus<br/>•   Shankar Venkataraman, Distinguished Engineer &amp; CTO, IBM Analytics Platform at IBM<br/>•   Paco Nathan, Director, Community Evangelism, Databricks</p> <p>Spark Community members will also deliver 5-minute lightning talks to describe exciting projects they're working on.</p> <p>We will provide a livestream presentation of what these Spark leaders have to say.</p> <p><b>Live Streaming Link:</b></p> <p><b>To get additional details about Spark you can sign up now for a reminder at:</b></p> <p><b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></b></p> <p><b>Scroll down to ""Can't attend in Person""?  Sign up for a reminder and add it to your calendar.</b></p> <p>Additional information on Spark:</p> <p>Link to Spark Fundamentals Course in Big Data University</p> <p><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/""><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"" class=""linkified"">http://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/</a></a></p> <p>Link to Spark Technology Information</p> <p><a href=""http://www.ibm.com/analytics/us/en/technology/spark/""><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"" class=""linkified"">http://www.ibm.com/analytics/us/en/technology/spark/</a></a></p> <p>Happy Sparking.</p> ","6300000","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","","223230122","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/223230122/","","IBM | Spark - The start of something big in data & design (Web Conference Only))","","","","past","1434420000000","1434471374000","-14400000","","","","","","","","","","","","","","public","0","28"
"3","1463492085000","<p>IBM is looking for smart, talented and self-driven individuals.</p> <p>This session will provide perspective on the new <b>hiring </b>positions within <b>IBM</b>’s Analytics - <b>Open Source</b> team.</p> <p>We will explain the expectations, interview process and how these positions can benefit you to jumpstart your career in new lucrative direction.</p> <p>The target audience for this session are: recent M.S./Ph.D graduates, Data Scientists, Open Source Enthusiasts, Technical Sales Representatives etc.</p> <p>This session is <b>free </b>of charge. Optional: please bring your most recent resume and be ready to give a soft and hard copy.</p> <p><b>PLEASE NOTE</b>: This event has limited number of seating. Please do not RSVP if you're not planning to attend.</p> <p><br/><b>Agenda</b></p> <p><br/>5:30 - 6:00 pm Registration &amp; Introductions</p> <p><br/>6:00 - 6:15 pm Open positions at IBM</p> <p>6:15 - 6:30 pm Interview Expectations</p> <p>6:30 - 6:45 pm IBM Workplace Discovery</p> <p><br/>7:00 - 7:15 pm Questions/Next Steps</p> <p>UPDATE:<br/>Here are the directions to get to the IBM - TEC location.</p> <p>1) Take I-40 West and take the Davis Dr. Exit #280. Turn right at the ramp.</p> <p>3) Go 1.2 miles on Davis Drive to stoplight at Cornwallis Rd.</p> <p>4) Go straight and enter IBM property through the Main Gate Visitor Entrance.</p> <p>5) Inform security you are going to B002 Main Lobby.</p> <p>6) Follow signs to Executive Briefing Centers and park at B002 visitor lot.</p> ","5400000","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","Building 002 IBM RTP Main Campus","231188627","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/231188627/","","IBM is Hiring... looking for innovative Open Source (Big Data) Candidates","PT24H","50","","past","1464298200000","1464305318000","-14400000","3039 E Cornwallis Rd","","Durham","us","24552431","35.90505599975586","USA","-78.85645294189453","IBM RTP - Technical Exploration Center","","False","NC","","public","0","38"
"7","1461977505000","<p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here:  <b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>Registration begins at 5:30 PM and the discussion starts at 6:30 PM; food and drinks will be served. You must register for this event. </p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/apache-sparktm-maker-community-event-registration-24742595770?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">HERE</a></b>. </p> <p>Can't attend in person? We'll be live streaming this event on a computer screen near you! Register for the  <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1397076013000","13827012","open","35.77000045776367","-78.63999938964844","Big Data Developers in Raleigh","Big-Data-Developers-in-Raleigh","Members","","230756657","https://www.meetup.com/Big-Data-Developers-in-Raleigh/events/230756657/","","Apache Spark Maker Community Event","","","","past","1465248600000","1465263857000","-14400000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","23"
