"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"1","1402445581000","<p>Seattle Area... join us on Monday, June 23rd at 6:30pm in the lively WeWork South Lake Union location! </p> <p>Are you a born-on-the-web and mobile developer, or startup/entrepreneur, or an independent software vendor looking to make services available in the cloud? Are you looking to leverage Big Data in a fast and friendly manner? Maybe you need to iterate on something quickly. Maybe you want to experiment with different technologies. Maybe you just want to build, extend, and deploy with the efficiency of a cold-blooded cyborg. Whatever you want to do, Bluemix offers a single solution environment that lets you develop, deploy and manage apps of all types (web, mobile, big data, new smart devices) across multiple domains.  If the answer is yes to any of these questions, you don't want to miss this meetup session. You will learn how to deploy your application and have it running in a matter of hours. </p> ","","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","188359882","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/188359882/","","Building Applications using Open Cloud Platform as a Service","","","","past","1403573400000","1403584647000","-25200000","500 Yale Avenue North","","Seattle","us","17661602","47.62327575683594","USA","-122.33035278320312","WeWork Seattle","","False","WA","","public","0","4"
"7","1406934596000","<p><b>REGISTRATION IS NOW CLOSED.  IF YOU ARE PLANNING TO ATTEND AND HAVE NOT REGISTERED AT THE LINK BELOW, YOU WILL NEED TO FILL OUT AN ON-SITE REGISTRATION AT THE EVENT.</b></p> <p><b><a href=""http://ibm.co/1u9QE3b""><a href=""http://ibm.co/1u9QE3b"" class=""linkified"">http://ibm.co/1u9QE3b</a></a></b></p> <p><br/>Hadoop has extended the analysis of large data sets beyond that of traditional Data Warehouses.  But as IT professionals begin to migrate traditional BI/DW services (e.g., OLAP, ROLAP, Ad-Hoc, etc.) to the Hadoop environment, they are presented with a challenge regarding how best to integrate traditional BI tools with their Hadoop environment.</p> <p>This session will discuss Hadoop in general, and then we will explore the use SQL to access data persisted in the HDFS.  Next, we will take a detailed look at ""BigSQL"" &amp; ""BigSheets"" -- two tools that are bundled with IBM's Hadoop offering, known as ""BigInsights."" Each overview session will follow with a demonstration of the technology.</p> <p>This event is free and lunch will be provided.</p> <p>Agenda (subject to change).</p> <p>11:00 am - Registration &amp; Welcome</p> <p>11:30 am - Lunch</p> <p>12:00 pm - Big Data / Data Warehousing / Hadoop Overview</p> <p>12:45 pm - Introduction to BigInsights (IBM's distribution of Hadoop)</p> <p>1:15 pm – Demonstration of BigInsights</p> <p>1:45 pm - Introduction to SQL on Hadoop (BigSQL) &amp; spreadsheet-like analysis / visualizing of data (BigSheets) on Hadoop</p> <p>2:15 pm – Demonstration of BigSheets and BigSQL</p> <p>3:00 pm – Closing Remarks</p> <p><br/>TO CONFIRM YOUR SEAT IN THIS EVENT, PLEASE REGISTER HERE:  <b><a href=""http://ibm.co/1u9QE3b""><a href=""http://ibm.co/1u9QE3b"" class=""linkified"">http://ibm.co/1u9QE3b</a></a></b></p> <p><br/>We look forward seeing you there.</p> ","18000000","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","198462582","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/198462582/","","Getting started with SQL on Hadoop","","","","past","1411495200000","1411594817000","-25200000","1200 5th Ave","","Seattle","us","21689712","47.60808181762695","USA","-122.3331527709961","IBM Corporation","","False","WA","98101","public","0","49"
"0","1415647154000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","218599304","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/218599304/","","Big Data for Social Good Challenge","","","","past","1415656800000","1415668413000","-28800000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","4"
"0","1415748388000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","218625471","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/218625471/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425452400000","1425463534000","-28800000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","12"
"0","1433295297000","<p>Right now, IBM is placing its biggest bet on open source innovation since we led the adoption of Linux through hundreds of business solutions. On June 15th, we are announcing our commitment to Apache Spark, an in-memory compute engine that delivers eye-opening speed and flexibility to data scientists and developers working with big data at scale.</p> <p><br/>In fact, we are bringing the speed, agility and power of Spark into our Analytics Platform to make sure we're meeting the emerging needs of data-driven enterprises.</p> <p><br/>After our initial launch on June 15th in San Francisco, we will be hosting a <b>regional Spark Signature Moment Event in Seattle on June 17th, 2015</b>.</p> <p><br/>Join Us for lunch to Learn More About Our Commitment to Open Source and How to Spark Innovation</p> <p><br/><b>Agenda</b></p> <p><br/>*   Reception and introduction by IBM regional executive<br/>*   Highlights from IBM Signature Moment Round Table in San Francisco<br/>*   Presentation by IBM Apache Spark Expert<br/>     - The use cases for Big Data platform and the benefits of Apache Spark<br/>     -  Why IBM? IBM’s innovations for Apache Spark, hybrid architecture<br/>     -  Open Data Platform (ODP)<br/>     -  IBM’s Analytics Platform for Apache Spark<br/>*    Lunch<br/>*</p> <p>    Real customer use cases and signature business partners</p> <p><b>Time: </b>      June 17th 2015, Noon to 2:00pm</p> <p><b>Where:</b>    Downtown Seattle Restaurant</p> <p>Contact <b>Kyle Ferraioli</b> - <b>kferr@us.ibm.com</b> - Tel: 908-268-2548 to RSVP and Confirm your participation for this event and to get details about the restaurant location.</p> <p>We look forward to having you join us and Sparking your own Innovation as part of something big for data and design! </p> <p><b>#SparkInsight</b></p> ","7200000","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","222976342","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/222976342/","","IBM | Spark - The start of something big in data and design.","","20","","past","1434567600000","1434577051000","-25200000","","","","","","","","","","","","","","public","0","20"
"0","1438649502000","<p>You are invited--Seattle tech summer party!  This event is in partnership with IBM and Pivotal Labs.</p> <p><br/>Join us for great drinks, delicious food, and a celebration of our growing entrepreneur and tech community in Seattle. We'll be raising a glass and toasting a vision of making Seattle the best place in the world for entrepreneurs, data science talent, and technical expertise.</p> <p><b>You must register for this event:</b></p> <p><b><a href=""https://www.eventbrite.com/e/galvanize-seattle-tech-summer-party-tickets-17787553050""><a href=""https://www.eventbrite.com/e/galvanize-seattle-tech-summer-party-tickets-17787553050"" class=""linkified"">https://www.eventbrite.com/e/galvanize-seattle-tech-summer-party-tickets-17787553050</a></a></b></p> <p><br/>We've been working hard to set up a beautiful multi-use startup, student and event space in Pioneer Square to serve this vision for Seattle. From startups, data science students, technical talent, partners and companies who are hiring, we are looking forward to officially christening the building with you and other insiders from the Seattle tech community.</p> <p>As part of the event, members of the startup community including Galvanize will also be sharing an exciting update about a mutual commitment to train and support the next generation of data scientists in Seattle.</p> <p>Schedule:</p> <p>6:00-10:00pm<br/>- Local dishes Curated by Maxime Bilet of Imagine Food, including Taylor Shellfish and The London Plane<br/>- Rooftop Cocktails provided by E. Smith Mercantile<br/>- Whiskey Tastings by Westland Distillery<br/>- Live Local Music<br/>- Galvanize Start-up Member Expo<br/>- Open House for Galvanize Web Development and Data Science<br/>- Awesome announcements from IBM and Pivotal Labs</p> <p><i><b>About Galvanize:</b></i></p> <p>Galvanize is an education company that blends the lines between learning and working. We believe in creating easy access for anyone who has the drive and determination to jump into the tech world - especially in entrepreneurship, engineering, and data science. Our campuses are home to founders, students, VCs, mentors, and other folks who are engaged and excited to level up their career.</p> <p><i><b>In Partnership with IBM:</b></i></p> <p>IBM is focused on educating today's data scientists and data engineers by providing the skills that will propel these roles forward in the enterprise. Following the recent commitment IBM made to the Apache Spark project, IBM and Galvanize have teamed up to lower the barrier of entry to the field of data science. The IBM team will discuss brand new initiatives to bring exceptionally skilled contributors into the data science mainstream through accessible education.</p> <p><i><b>About Pivotal Labs:</b></i></p> <p>Pivotal Labs is the agile development services unit of Pivotal. We help transform the way the world builds software. Through education, training, tools and our rigorously tested methodologies, our team of world-class product managers, designers, data scientists and agile developers work in concert with customers to solve real problems and transform digital experiences. Because we work collaboratively, our customers learn cutting-edge technology and best practices. At Pivotal Labs, we're dedicated to giving back to the communities in which we live and work and are proud of our close partnership with Galvanize.</p> <p>Attendees will include:</p> <p>- 400 Entrepreneurs, Engineers, and Students<br/>- Corporate Technology Leaders in Seattle and beyond<br/>- Technology Investors and VCs<br/>- Seattle Policy Makers<br/>- The Arts, Music, and Food Community of Seattle<br/>- Press / Media</p> <p><b>REGISTER FOR THIS EVENT:</b></p> <p><b><a href=""https://www.eventbrite.com/e/galvanize-seattle-tech-summer-party-tickets-17787553050""><a href=""https://www.eventbrite.com/e/galvanize-seattle-tech-summer-party-tickets-17787553050"" class=""linkified"">https://www.eventbrite.com/e/galvanize-seattle-tech-summer-party-tickets-17787553050</a></a></b></p> ","14400000","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","224388770","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/224388770/","","Galvanize Seattle Tech Opening","","","","past","1438995600000","1439011893000","-25200000","111 S. Jackson Street","","Seattle","us","24005344","47.59917449951172","USA","-122.33366394042969","Galvanize ","","False","WA","98104","public","0","21"
"0","1443721545000","<p><b>FLASH SALES - GET A 50% DISCOUNT ON YOUR TICKET.  USE <i>PROMO CODE STC50</i> BY NOVEMBER 5TH.<br/></b></p> <p><b>CHECK OUT OUR NEW AGENDA ITEMS:  <a href=""http://www.spark.tc/datapalooza/full-topics/""><a href=""http://www.spark.tc/datapalooza/full-topics/"" class=""linkified"">http://www.spark.tc/datapalooza/full-topics/</a></a></b></p> <p><b>SPACE IS LIMITED - GET YOUR TICKET SOON - 20% DISCOUNT FOR MEETUP MEMBERS!! USE PROMO CODE: MEETUPDISC - REGISTER AT URL BELOW:</b></p> <p><b><i><a href=""https://www.eventbrite.com/e/datapalooza-tickets-18259176689"">Datapalooza - 11/10/15</a></i></b></p> <p>Are you ready to change the way your company works with data?  Are you ready to inspire groundbreaking data products?  Join us for</p> <p><b><a href=""http://www.spark.tc/datapalooza/"">Datapalooza</a></b></p> <p>in San Francisco on November 10-12, 2015.</p> <p>Datapalooza is a three-day (3 day) immersive experience for the data science community.  If you are a data scientist, data engineer or a data app developer, Datapalooza will help you take your skills to the next level, all while listening to some great music and learning among a diverse community of your fellow data science professionals.</p> <p><a href=""https://www.youtube.com/watch?v=sfCniMsPClU"" class=""embedded"">https://www.youtube.com/watch?v=sfCniMsPClU</a></p> <p>Working with the<a href=""http://www.spark.tc/?cm_mc_uid=32344930583214135108183&amp;cm_mc_sid_50200000=1443647616""> <b>Spark Technology Center</b></a> and <b><a href=""http://www.ibm.com/analytics/us/en/technology/spark/"">IBM</a></b>, plus leading industry experts including <b><a href=""http://www.galvanize.com/"">Galvanize</a></b>, <b><a href=""http://www.svds.com/"">Silicon Valley Data Science</a></b>, <b><a href=""https://www.typesafe.com/"">Typesafe</a></b> and others, you'll be able to craft a business-ready data product in JUST THREE DAYS.  Yes...a data product in just 3 days!</p> <p>Did we mention music?  Come for the data products...stay for the concert.  The Band <b>""Big Data""</b> will be performing a concert for<b><a href=""http://www.spark.tc/datapalooza/""> Datapalooza</a></b> on November 11th.</p> <p>Use Promotion Code <b>MeetupDisc</b> and get a 20% discount if you get your ticket soon.  To get your ticket,<b><a href=""https://www.eventbrite.com/e/datapalooza-tickets-18259176689""> click here</a></b>.</p> <p><i><b>Don't miss this event - Rock Your Data ... join us on November 10th.</b></i></p> ","201600000","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","225756701","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/225756701/","","ROCK YOUR DATA at Datapalooza...Build a data product in 3 days!","PT192H","","","past","1447171200000","1447373655000","-28800000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","4"
"2","1453316961000","<p><a href=""https://www-950.ibm.com/events/ast/data/16datapal.nsf/enrollall?openform"">&lt;/a&gt; <b> THE FLASH SALE IS OVER BUT IF YOU ARE STILL WANTING TO ATTEND YOU NEED TO REGISTER BY TOMORROW END OF DAY.  REGISTRATION WILL CLOSE ON SATURDAY AT 11:59 PM EST.  USE DISCOUNT CODE: DISC100 TO REGISTER FOR A FREE TICKET.</b> </p> <p><br/><b>Use this URL to register:</b></p> <p><i><b>&lt;a href=""https://www-950.ibm.com/events/ast/data/16datapal.nsf/enrollall?openform""&gt;Datapalooza - Seattle</a></b></i></p> <p><br/>Are you ready to change the way your company works with data?  Are you ready to inspire groundbreaking data products?  We have an exciting <i><b><a href=""http://www.spark.tc/datapalooza/seattle"">agenda</a></b></i> for you at <b><a href=""http://www.spark.tc/datapalooza/seattle"">Datapalooza</a></b> in Seattle. </p> <p>Datapalooza is a three-day (3 day) immersive experience for the data science community.  If you are a data scientist, data engineer or a data app developer, Datapalooza will help you take your skills to the next level, all while listening to some great music and learning among a diverse community of your fellow data science professionals.</p> <p>Learn how to build data products with sessions in data science and data engineering given from experts and makers like you   Meet data professionals to share tips and tricks on the latest technologies like Spark, NLP, Machine Learning, Scala and more.  Participate with <b><a href=""http://www.galvanize.com/"">Galvanize</a>, <a href=""http://bigdatauniversity.com/"">Big Data University</a>, <a href=""http://www.typesafe.com/"">Typesafe</a>, <a href=""https://www.gonitro.com/"">Nitro</a>, <a href=""http://www.spark.tc/"">IBM</a></b> as well as other leading industry experts. You'll learn the skills to craft a business-ready data product in JUST THREE DAYS. </p> <p><br/>Did we mention music?  Come for the data products...stay for the concert.  Enjoy local Seattle band <b>Pickwick</b>, a Spark community meetup, and get hands-on guidance from mentors.  Your ticket includes admission to all of this.  You won't want to miss this one.</p> <p>REGISTER NOW AND GET A 100% DISCOUNT OFF YOUR REGISTRATION:</p> <p><i><b>  <a href=""https://www-950.ibm.com/events/ast/data/16datapal.nsf/enrollall?openform"">CLICK HERE</a></b></i></p> <p><br/><i><b>Don't miss this event - Rock Your Data ... join us on February 9th.</b></i></p> ","192600000","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","228233391","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/228233391/","","Datapalooza Blast - Seattle","","","","past","1455048000000","1455276443000","-28800000","111 S. Jackson Street","","Seattle","us","24005344","47.59917449951172","USA","-122.33366394042969","Galvanize ","","False","WA","98104","public","0","25"
"0","1461977425000","<p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here:  <b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>Registration begins at 5:30 PM and the discussion starts at 6:30 PM; food and drinks will be served. You must register for this event. </p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/apache-sparktm-maker-community-event-registration-24742595770?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">HERE</a></b>. </p> <p>Can't attend in person? We'll be live streaming this event on a computer screen near you! Register for the  <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","230756634","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/230756634/","","Apache Spark Maker Community Event","","","","past","1465259400000","1465275351000","-25200000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","27"
"1","1464822945000","<p><b>THIS IS A GLOBAL ON-LINE HACKATHON THAT BEGINS MAY 23, 2016 AND <i>NOW ENDS AUGUST 23, 2016</i>.  SUBMISSIONS DUE AUGUST 23rd BY 5:00 PM EST. </b></p> <p><b>We’re extending the hackathon deadline to August 23</b> - that’s 20 additional days to build your Spark enterprise app. (View the revised competition calendar <b><a href=""http://apachespark.devpost.com/details/dates"">HERE</a></b><b>.  </b>We're giving you more time because....</p> <p>We’re adding <b>new enterprise data resources</b> to the site and we want to give you a chance to incorporate these into your projects, if you so choose.  Our awesome data co-sponsors <b><a href=""http://www.yelp.com/nyc"">Yelp</a></b> and <b><a href=""https://uncharted.software/"">Uncharted Software</a></b> have generously shared some of their enterprise data sets for you to use during the hackathon.</p> <p>Yelp’s data includes 2.2M reviews by 552K users for 77K businesses. The Uncharted data includes Bitcoin network transactions from processing the Bitcoin blockchain as of mid-2014 <i>and</i> Amazon product reviews from 1995 through 2003. For a fuller description and data access, visit our <b><a href=""http://apachespark.devpost.com/details/resources#datasets"">resources page</a></b>.</p> <p>Uncharted Software also has a couple cool Spark data visualization libraries you should check out: <b><a href=""http://unchartedsoftware.github.io/salt/"">Salt</a></b> and <b><a href=""http://unchartedsoftware.github.io/sparkpipe-core/"">SparkPipe.</a></b></p> <p>And, in case you’d like to weigh the effects of weather on business operations, we’re also offering access to the full suite of <b><a href=""http://apachespark.devpost.com/details/weather_data"">Weather Company APIs</a></b> for the duration of the hackathon.</p> <p>Finally, if you’re looking for a hosting solution for your Spark app, we’re now offering <b>extended Bluemix trials for all hackathon participants</b>. Using Bluemix services to build your project is <b><i>totally optional</i></b>, but might be a good way to get your app up and running — particularly with the IBM Analytics for Apache Spark service.</p> <p><b><a href=""http://apachespark.devpost.com/details/bluemix_promo"">You can request your extended Bluemix trial code here.</a> </b> For all hackathon participants, trials will extend through November 1, 2016. <i>Now go forth and optimize for the enterprise!</i></p> <p>---------------------</p> <p>Build an Apache Spark application to address a real business problem or core concern related to customer care, marketing, risk management or operations. Join IBM and Devpost for a global hackathon using <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">Apache Spark Makers Build</a></b>.  There are $100,000 in cash prizes.  Submissions can be sent in up to August 23rd.</p> <p><i>Participation Details: </i>To participate in the global virtual hackathon, you can <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">register here</a></b>.  Please review all registration guidelines.</p> <p>For the hack, you will apply Apache Spark's powerful analytics capabilities to enterprise and other relevant data so data scientists and software developers can build an analytics or mobile/web app that tackles a key business problem in marketing, customer case, operations or risk management.  The grand prize is $50,000, and the top three winners each get a meeting with the judge or<br/>Spark community expert of their choice; the judging panel includes data experts from Tesla, Netflix, and Silicon Valley Data Science.</p> <p>Go to <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">apachespark.devpost.com</a></b> for full details and registration.  Please review all registration rules.</p> <p><b> <i>Questions?</i></b></p> <p>We're here to help. If you have any questions about the hackathon, post on the <b><a href=""http://apachespark.devpost.com/forum_topics"">discussion forum</a></b> or email <b><i>support@devpost.com</i></b> and we'll respond as soon as we can.</p> ","","1397834356000","13979092","open","47.61000061035156","-122.33000183105469","Big Data Developers in Seattle","Big-Data-Developers-in-Seattle","Big Data Enthusiasts","","231578433","https://www.meetup.com/Big-Data-Developers-in-Seattle/events/231578433/","","Show Us Your Apps - Apache Spark Maker Build Global Hackathon","","","","past","1471996800000","1472025039000","-25200000","Any Street","","Any City","us","24581652","36.77825927734375","USA","-119.41793060302734","Global Online Hackathon","","False","CA","","public","0","19"
