"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"0","1414550789000","","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","216270902","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/216270902/","","BigData meetup for Tongji University","","","","past","1414648800000","1414660234000","28800000"," 399 Keyuan Road, Pudong New District","","Shanghai","cn","23256612","0.0","China","0.0","Building 10","","False","","","public","0","3"
"0","1415064001000","<p>Agenda</p> <p>Duration 3 hours.</p> <p><br/>Data Minning methodology</p> <p>IBM Data Minning products.</p> <p>IBM Data Minning  and open source software like R.</p> <p>IBM PMQ(Predictive Maintenance and Quality) solution</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","217475122","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/217475122/","","BigData meetup for data minning of Xi'An","","","","past","1415151000000","1415163429000","28800000","No.262, Fenghao East Road, District Lianhu, Xi'an","","xi'an","cn","23363982","0.0","China","0.0","Sheraton Hotel Xi'an","","False","","","public","0","3"
"0","1415064225000","<p>Agenda</p> <p>Duration 2 hours</p> <p>IBM Cognos new features introduce</p> <p>IBM Cognos mobile demo</p> <p>IBM TM1 and financial forecast</p> <p>Team discussion and Q&amp;A</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","217475572","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/217475572/","","BigData meetup for Business Analytics of Xi'An","","","","past","1415167200000","1415178571000","28800000","No.262, Fenghao East Road, District Lianhu",""," Xi'an","cn","23364072","0.0","China","0.0","Sheraton Hotel Xi'an","","False","","","public","0","3"
"1","1415112782000","<p>Format is a business and value proposition overview followed by a technical overview, all centered around a demonstration to cover key capabilities as well as Watson Analytic.</p> <p><br/>Duration: 3 hours</p> <p>Agenda</p> <p><br/>Introduction - The Path to New Value with IBM Big Data &amp; Analytics Connecting our Bodies to the Cloud<br/>Demonstration - Avert Critical Health Conditions<br/>     Real-time streaming data combining the Internet of things with a connected device streaming data via a smartphone to the cloud to store data and perform analytical operations and analysis</p> <p><br/>Demo breakdown high-level overview</p> <p><br/>The Big Data Analytics Value Proposition</p> <p><br/>The Big Data Market §Industry Use Cases Into the future with Big Data Analytics</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","217566252","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/217566252/","","Big Data and Analytics Essentials","","","","past","1415235600000","1415247736000","28800000","No.262, Fenghao East Road, District Lianhu","","Xi'an","cn","23374242","0.0","China","0.0","Sheraton Hotel Xi'an","","False","","","public","0","7"
"0","1415112844000","<p>Agenda</p> <p><br/>Duration: 3-4 hours</p> <p>§Connecting our Bodies to the Cloud - Technical Breakdown</p> <p><br/>§Architecture of the Solution</p> <p><br/>§Open Cloud environment with IBM Bluemix</p> <p><br/>§Connected devices</p> <p><br/>§Usage of IBM Bluemix Services</p> <p><br/>§Building the Analytics layer</p> <p>§Hands on Lab</p> <p><br/>§SPSS Demo</p> <p><br/>§Wrap up</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","217566502","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/217566502/","","Big Data Analytics in Detail","","","","past","1415251800000","1415263086000","28800000","No.262, Fenghao East Road, District Lianhu","","Xi'an","cn","23374302","0.0","China","0.0","Sheraton Hotel Xi'an","","False","","","public","0","3"
"0","1415243127000","<p>Agenda<br/>Big Data &amp; Analytics architecture design<br/>Social Business &amp; Big Data<br/>Big Data use case - public opinion analysis<br/>Discussion.</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","217948062","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/217948062/","","Big Data & Social Business","","","","past","1415323800000","1415335519000","28800000","Chang Zhang Road No. 1","","Xi'an","cn","23412122","0.0","China","0.0","Future plaza","","False","","","public","0","1"
"0","1415649588000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","218600285","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/218600285/","","Big Data for Social Good Challenge","","","","past","1415653200000","1415664138000","28800000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","1"
"0","1415930087000","<p>Big Data Foundation<br/>Smart Power Grids<br/>Streaming computing &amp; data minning<br/>discussion</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","218672877","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/218672877/","","Big Data & Smart Power Grids for Shanghai University Of Engineering Science","","","","past","1416549600000","1416560458000","28800000","399 Ke Yuan Road, Zhangjiang Hi-Tech Park","","Shanghai","cn","23478563","0.0","China","0.0","7/F, Building 10","","False","","","public","0","4"
"0","1416990014000","<p>Big Data overview<br/>Automobile Manufacturing quality control use Big Data<br/>PMQ (Predictive Maintenance and Quality)</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","218906276","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/218906276/","","Big Data for Automobile Manufacturing","","","","past","1417066200000","1417077443000","28800000","399 Ke Yuan Road, Zhangjiang Hi-Tech Park","","Shanghai","cn","23478563","0.0","China","0.0","7/F, Building 10","","False","","","public","0","2"
"0","1416925339000","<p>Big Data roadmap;<br/>Securities Trading compliance and Big Data;<br/>Anti-fraud and Big Data;</p> ","","1414503432000","17917152","open","31.229999542236328","121.47000122070312","Big Data Developers in Shanghai","Big-Data-Developers-in-Shanghai","Members","","218890279","https://www.meetup.com/Big-Data-Developers-in-Shanghai/events/218890279/","","Big Data for Securities Trading","","","","past","1417154400000","1417165901000","28800000","Zhangjiang Hight-Tech Park","","Shanghai","cn","23499714","0.0","China","0.0","Liangjing Road No. 210","","False","","","public","0","6"
