"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"6","1379563382000","<p>For those of you who have registered using the link provided, we have sent <b>confirmation</b> <b>mails</b>.</p> <p>Unfortunately due to over subscription to the event we are unable to offer a place to everyone who registered for the Big Data Developer Day on October 8th.</p> <p>We were required to award places on a first in basis.</p> <p>We hope to run an additional session shortly, and will advise you of that as soon as possible.</p> <p>Thank you for registering your interest.</p> <p>

IBM would like to extend an invitation for you to attend a Big Data Developer day to be held in Sydney on October 8th, 2013 at our St Leonard's office.</p> <p>The Big Data Developer Day is at no cost to you.</p> <p><b>Only way to guarantee seat is to register here:</b> </p> <p><br/><a href=""https://www-950.ibm.com/events/swgeer/swgeer06.nsf/signin?openform&amp;seminar=kwodhan9ax3a6&amp;lang=en""><a href=""https://www-950.ibm.com/events/swgeer/swgeer06.nsf/signin?openform&amp;seminar=kwodhan9ax3a6&amp;lang=en"" class=""linkified"">https://www-950.ibm.com/events/swgeer/swgeer06.nsf/signin?openform&amp;seminar=kwodhan9ax3a6&amp;lang=en</a></a></p> <p>

Agenda</p> <p>8:30 am – 9:00 am   Arrival and Registration</p> <p><br/>9:00 am –10:00 am   Welcome &amp; Overview of IBM’s Big Data Platform</p> <p>10:00 am – 10:15 am   Break</p> <p>10:15 am – 12:00 pm    Social Media Demo, Machine Analytics Demo &amp; Real-Time Analytics Demo</p> <p>12:00 pm – 1:00 pm    Lunch</p> <p>1:00 pm – 5:00 pm   Hands-On Labs: Big Data Use Cases</p> <p>

On the day you have two choices for the lab exercises:</p> <p>   Either bring your own laptop to run the VMware images - your laptop will need to have a minimum of 8Gb RAM, 30Gb minimum free  hard disk space and VMware Player 5 or later installed.</p> <p>    or</p> <p>   Use one of the workstations in the training room, then take the VMware image you have worked on with you on DVD.</p> <p>... either way, you get to take home your work to play further!</p> <p>Registration is open now for the event, so be quick to register - places are limited. Confirmations for attendance will be sent out approximately one week form the event date..</p> <p>We look forward to seeing you there.</p> <p><a href=""https://www-950.ibm.com/events/swgeer/swgeer06.nsf/signin?openform&amp;seminar=kwodhan9ax3a6&amp;lang=en""><a href=""https://www-950.ibm.com/events/swgeer/swgeer06.nsf/signin?openform&amp;seminar=kwodhan9ax3a6&amp;lang=en"" class=""linkified"">https://www-950.ibm.com/events/swgeer/swgeer06.nsf/signin?openform&amp;seminar=kwodhan9ax3a6&amp;lang=en</a></a></p> ","28800000","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","","141047162","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/141047162/","","IBM Big Data Developer Day","","","","past","1381183200000","1381349739000","39600000","601 Pacific Highway, St Leonards NSW 206","","St Lenoards","au","1546849","-33.823936462402344","Australia","151.19297790527344","IBM Centre","","False","","","public","0","24"
"0","1383575745000","<p><b>THIS IS A WEB CONFERENCE ONLY - TIME INDICATED IS LOCAL START TIME. SEE BELOW FOR DETAILS.</b></p> <p>IBM <a href=""http://www-03.ibm.com/software/products/us/en/infosphere-streams/""><b>InfoSphere Streams V3.2</b></a> (referred to as Streams) delivers a highly scalable, agile software infrastructure to <b><a href=""http://www-01.ibm.com/software/data/infosphere/stream-computing/"">perform in-motion analytics</a></b> on a wide variety of relational and non-relational data types that enter the enterprise at unprecedented volumes and speed, and from thousands of real-time sources. Streams V3.2 includes new features and functions designed to instantly analyze and fuse massive volumes of data and integrates with existing infrastructures. It delivers new capabilities to improve usability, support enterprise readiness, and streamline enterprise integration.</p> <p><b>WHAT:</b></p> <p>The following new features and functions, which will be covered during the Streams Developer Conference:</p> <p><i>Usability:</i><br/>• Remote Development with Streams Studio for Windows and Linux<br/>• User Defined Parallelism<br/>• Java Streams development simplification</p> <p><i>Enterprise readiness:</i><br/>• Operational Decision Management adapter for business rules<br/>• Access to application data using Representational State Transfer (REST)</p> <p><i>Enterprise integration:</i><br/>• MQTT adapters<br/>• Hadoop Big SQL support<br/>• HP Vertica Analytic Database support</p> <p><b>Who should attend:</b></p> <p>The event assumes you are familiar with Streams. If you are not, please either try the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/stream-computing-i/"">Big Data University Streams course</a></b> or review some of the <b><a href=""http://www.youtube.com/user/ibmbigdata/search?query=streams"">Streams videos on YouTube</a></b>.</p> <p><b>WHEN:</b></p> <p><b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">Webcast</a></b> on Thursday <b>November 14, 2013</b> from <b>10:00AM to 6:00PM U.S. Eastern Standard Time.</b></p> <p><b>WHERE:</b></p> <p>The webcast will be recorded and posted to Big Data University (BDU) at the following <b><a href=""https://bigdatauniversity.com/courses/auth/openid/login.php"">Big Data University course ID</a>.</b></p> <p><i><b>NOTE: There will be no physical location for this meetup and it will all be online.</b></i></p> <p>To get more info, download presentations, get detailed agenda and to register for the event check out the <b><a href=""http://bigdatauniversity.com/bdu-wp/bdu-course/ibm-infosphere-streams-3-2-developers-conference/"">BDU Streams Developers Virtual Conference landing page</a></b>.</p> <p>The detailed agenda will be posted at the BDU class/event page after Oct 31.</p> <p>Please join us on the live LotusLive meeting <b><a href=""https://www.webdialogs.com/join/?schedid=2058889"">webcast</a></b>. The conference ID is 2058889. Audio in listen only mode will be available on the webcast.</p> <p>To ask questions during Q&amp;A periods, please use the following conference information:</p> <p>USA Toll-Free: 1-888-426-6840</p> <p>USA Caller Paid: 1-215-861-6239</p> <p>For Other Countries call in numbers use this <b><a href=""https://www.teleconference.att.com/servlet/glbAccess?process=1&amp;accessCode=7821035&amp;accessNumber=2158616239"">link</a></b>.</p> <p>Participant Code: 7821035</p> <p>We look forward to sharing details about these new capabilities.</p> ","28800000","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","","149078462","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/149078462/","","Streams 3.2 Developers Virtual Conference","","","","past","1384441200000","1384470283000","39600000","See Description for Details","BDU University","San Jose","us","16729432","37.38999938964844","USA","-121.9000015258789","WEB CONFERENCE ONLY","","False","CA","95101","public","0","3"
"1","1415646255000","<p>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","","218599025","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/218599025/","","Big Data for Social Good Challenge","","","","past","1415674800000","1415686207000","39600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","4"
"2","1415746487000","<p><i><b>THE BIG DATA FOR SOCIAL GOOD CHALLENGE BEGINS NOVEMBER 10, 2014 AND CONTINUES TO MARCH 3, 2015. </b></i></p> <p><b>CALLING ALL DEVELOPERS .... JOIN THE BIG DATA FOR SOCIAL GOOD CHALLENGE</b></p> <p>Big data exists in just about everything we use and do. It comes from phones, cars, roads, power lines, waterways, food crates, and innumerable other items you’d never think of as computers. This data speaks volumes about our collective behavior and society – so let’s use it to do something incredible! IBM invites developers and data enthusiasts to take a deep dive into real world civic issues using big data and the IBM Bluemix <a href=""https://ace.ng.bluemix.net/"">Analytics for Hadoop service</a>. Analyze one of our curated datasets or bring your own (provided it meets these requirements)! Use Hadoop and your data to create a clickable and interactive data visualization to highlight insights that you’ve found.</p> <p>Ready to get started? $40,000 in prizes will be awarded....</p> <p>Register here:<a href=""http://ibmhadoop.challengepost.com/""><a href=""http://ibmhadoop.challengepost.com/"" class=""linkified"">http://ibmhadoop.challengepost.com/</a></a></p> <p>What to Create: Participants must create a working, clickable, and interactive data visualization utilizing the <a href=""http://www.ibm.com/developerworks/library/ba-analytics-for-hadoop1/index.html"">Analytics for Hadoop service</a> on IBM Bluemix.</p> <p>Data Requirements: Your data visualization must analyze one or more datasets included in the curated list of datasets on the Data page OR meet the data size, content, and licensing requirements described on the <a href=""http://ibmhadoop.challengepost.com/details/data"">Data page</a>. The total size of the Datasets analyzed must be between 500MB - 7GB in size.</p> <p>Check out the requirements then go get your IBM Bluemix extended promo code and check out the <a href=""http://ibmhadoop.challengepost.com/details/data"">datasets</a>!</p> ","","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","","218624720","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/218624720/","","Big Data for Social Good Challenge (See Details for Start/End)","","","","past","1425384000000","1425395598000","39600000","Web only","","Global","us","23442562","33.86000061035156","USA","-84.4000015258789","Big Data for Social Good Challenge","","False","GA","","public","0","20"
"5","1435672600000","<p><img src=""http://photos1.meetupstatic.com/photos/event/e/5/8/a/600_439258762.jpeg"" /></p> <p>Your Invitation to a briefing on IBM's announcement to embed Apache® Spark™ into its Analytics platforms.</p> <p>On June 15 in San Francisco, IBM made its most significant Open Source announcement since the 1990s, with a commitment to accelerate the adoption of Apache® Spark™ .</p> <p>Spark is an open source processing engine built around speed, ease of use, and analytics. Spark performs at speeds up to 100 times faster than Hadoop for the Map Reduce function which is commonly used by Data Scientists for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development. Spark allows data scientists to build models quickly and supports iterative jobs on distributed datasets.</p> <p>This meetup is targeted at Data scientists, developers, and anyone engaged with reporting and analytics.</p> <p><b>At this meetup we will delve deeper into this announcement and provide you with guidance and materials to get started on Spark.</b></p> <p><b>Agenda:</b></p> <p>The event will start at 6:00pm sharp and conclude around 8:00pm</p> <p><b>6:00pm - 7:00pm</b></p> <p><b>- Recap of announcements made in San Francisco</b></p> <p><b> -- IBM's Commitment to Spark</b></p> <p>• Benefits of Apache Spark<br/>• Demonstrations of common use cases for Spark<br/>• IBM's innovations for Big Data, hybrid architecture, and Open Data Platform (ODP)<br/>• Timeline for availability of Spark support in IBM's analytics platform</p> <p><b>- Helping you get started with Spark</b><br/><b> -- </b><a href=""https://bigdatauniversity.com/bdu-wp/bdu-course/spark-fundamentals/"">Spark education for free at Big Data University</a></p> <p><a href=""http://www.slideshare.net/databricks/sparkcamp-strata-ca-intro-to-apache-spark-with-handson-tutorials""> -- Getting a hands-on start to Spark today with access to trial Spark code.</a></p> <p><b>7:00pm - 8:00pm</b></p> <p><b>- Networking drinks and nibbles</b></p> ","7200000","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","Seminar Room - Level 13     (The foyer door is keypass protected after hours, so there will be someone there to let you in and send you up in the lift)","223601616","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/223601616/","","IBM's announcement to embed Apache® Spark™ into its Analytics platforms","","","","past","1436860800000","1436922209000","36000000","601 Pacific Highway, St Leonards NSW 206","","St Lenoards","au","1546849","-33.823936462402344","Australia","151.19297790527344","IBM Centre","","False","","","public","0","46"
"0","1462127550000","<p><i><b>THIS MEETUP AND LIVE STREAMING IS US PACIFIC STANDARD TIME (PST). PLEASE CONVERT TO YOUR TIME ZONE.</b></i></p> <p>On June 6, 2016, leading minds in data and analytics from Tesla, Netflix, Silicon Valley Data Science, and IBM will come together to demonstrate how open data and analytics technologies such as R, Spark, Python and more are forming a vibrant ecosystem.  The community has a shared goal of working with all data to build unexpected insights and launch new business applications.</p> <p>The Apache Spark Maker Community Event will bring together data scientists, data engineers, data developers, and data designers June 6th @ 6pm at Galvanize, San Francisco. Here’s the plan:   </p> <p>- The Big Reveal – New sample Apache Spark apps and tools</p> <p>- Use Cases – Monsanto will share how they are using R and Spark to optimize their supply chain</p> <p>- Learning Session - Hear from experts working on Spark projects and building the Spark ecosystem of open data and analytics technologies</p> <p>- Networking Opportunity – Food, drinks and data, explore a Hall of Innovation showcasing Spark demos</p> <p>Join us. Learn more here: </p> <p><b><i><a href=""http://www.ibm.com/analytics/us/en/events/apache-spark/"">Apache Spark Maker Community Event</a></i></b> </p> <p>We realize you may not be able to attend in person, however, we are <b>live streaming</b> the event.  Register for the <b><a href=""https://www.eventbrite.com/e/livestream-apache-sparktm-maker-community-event-registration-24790223225?cm_mc_uid=39680333471514613509392&amp;cm_mc_sid_50200000=1461961944"">live stream</a></b> and we'll send you a calendar update and login link.</p> ","14400000","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","","230792571","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/230792571/","","Apache Spark Maker Community Event","","","","past","1465198200000","1465213792000","36000000","44 Tehama Street","","San Francisco","us","24126294","37.78749465942383","USA","-122.39653015136719","Galvanize U","","False","CA","","public","0","21"
"0","1464835288000","<p><b>THIS IS A GLOBAL ON-LINE HACKATHON THAT BEGINS MAY 23, 2016 AND <i>NOW ENDS AUGUST 23, 2016</i>.  SUBMISSIONS DUE AUGUST 23rd BY 5:00 PM EST. </b></p> <p><b>We’re extending the hackathon deadline to August 23</b> - that’s 20 additional days to build your Spark enterprise app. (View the revised competition calendar <b><a href=""http://apachespark.devpost.com/details/dates"">HERE</a></b><b>.  </b>We're giving you more time because....</p> <p>We’re adding <b>new enterprise data resources</b> to the site and we want to give you a chance to incorporate these into your projects, if you so choose.  Our awesome data co-sponsors <b><a href=""http://www.yelp.com/nyc"">Yelp</a></b> and <b><a href=""https://uncharted.software/"">Uncharted Software</a></b> have generously shared some of their enterprise data sets for you to use during the hackathon.</p> <p>Yelp’s data includes 2.2M reviews by 552K users for 77K businesses. The Uncharted data includes Bitcoin network transactions from processing the Bitcoin blockchain as of mid-2014 <i>and</i> Amazon product reviews from 1995 through 2003. For a fuller description and data access, visit our <b><a href=""http://apachespark.devpost.com/details/resources#datasets"">resources page</a></b>.</p> <p>Uncharted Software also has a couple cool Spark data visualization libraries you should check out: <b><a href=""http://unchartedsoftware.github.io/salt/"">Salt</a></b> and <b><a href=""http://unchartedsoftware.github.io/sparkpipe-core/"">SparkPipe.</a></b></p> <p>And, in case you’d like to weigh the effects of weather on business operations, we’re also offering access to the full suite of <b><a href=""http://apachespark.devpost.com/details/weather_data"">Weather Company APIs</a></b> for the duration of the hackathon.</p> <p>Finally, if you’re looking for a hosting solution for your Spark app, we’re now offering <b>extended Bluemix trials for all hackathon participants</b>. Using Bluemix services to build your project is <b><i>totally optional</i></b>, but might be a good way to get your app up and running — particularly with the IBM Analytics for Apache Spark service.</p> <p><b><a href=""http://apachespark.devpost.com/details/bluemix_promo"">You can request your extended Bluemix trial code here.</a> </b> For all hackathon participants, trials will extend through November 1, 2016. <i>Now go forth and optimize for the enterprise!</i></p> <p>---------------------</p> <p>Build an Apache Spark application to address a real business problem or core concern related to customer care, marketing, risk management or operations. Join IBM and Devpost for a global hackathon using <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">Apache Spark Makers Build</a></b>.  There are $100,000 in cash prizes.  Submissions can be sent in up to August 23rd.</p> <p><i>Participation Details: </i>To participate in the global virtual hackathon, you can <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">register here</a></b>.  Please review all registration guidelines.</p> <p>For the hack, you will apply Apache Spark's powerful analytics capabilities to enterprise and other relevant data so data scientists and software developers can build an analytics or mobile/web app that tackles a key business problem in marketing, customer case, operations or risk management.  The grand prize is $50,000, and the top three winners each get a meeting with the judge or<br/>Spark community expert of their choice; the judging panel includes data experts from Tesla, Netflix, and Silicon Valley Data Science.</p> <p>Go to <b><a href=""http://apachespark.devpost.com/?utm_source=facebook-partner&amp;utm_medium=wall-post&amp;utm_campaign=apachespark"">apachespark.devpost.com</a></b> for full details and registration.  Please review all registration rules.</p> <p><b> <i>Questions?</i></b></p> <p>We're here to help. If you have any questions about the hackathon, post on the <b><a href=""http://apachespark.devpost.com/forum_topics"">discussion forum</a></b> or email <b><i>support@devpost.com</i></b> and we'll respond as soon as we can.</p> ","","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","","231584402","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/231584402/","","Show Us Your Apps - Apache Spark Maker Build Global Hackathon","","","","past","1471935600000","1471948174000","36000000","Any Street","","Any City","us","24581652","36.77825927734375","USA","-119.41793060302734","Global Online Hackathon","","False","CA","","public","0","17"
"4","1471489183000","<p>IBM is offering a free proof of technology for clients and practitioners on Apache Spark, at the 2016 IDUG Tech Conference in Australia. This is a full day of education on Spark with hands-on exercises instructed in person by Spark experts. The course will provide a detail overview of Apache Spark with real world hands on examples of data wrangling and machine learning. The exercises will be done in Jupyter notebooks with publicly available datasets. Participants will use IBM’s fully managed free Cloud platform available for educational purposes.</p> <p><b>Title:</b><br/>Hands on Introduction to Apache Spark for Data Engineers, Data Scientist and Developers</p> <p><b> Who should go:</b><br/>Anyone interested in learning more about Apache Spark.</p> <p><b> Prerequisite:</b><br/>A working knowledge of Coding (Preferred Python and/or Scala), understand distributed computing, Spark and SQL.</p> <p><b> What to expect:</b><br/>Expect to spend a full day of lecture and hands on exercises attacking real-world data challenges using Apache Spark. In 8 hours you will learn the basic essentials of Apache Spark and why it's important to your organization. This workshop will focus on data wrangling and machine learning.</p> <p><b>Full Day Agenda:</b></p> <p>• 8:30am - 9:00am Registration, Welcome, Socialize </p> <p>• 9:00am - 10:00am Kick-off, Apache Spark Overview </p> <p>• 10:00am - 11:00am Lab 1, Hello Spark - Hands on Exercise </p> <p>• 11:00am - 12:00pm Apache Spark SQL Overview </p> <p>• 12:00pm - 1:00pm Lunch </p> <p>• 1:00pm - 2:00pm   Lab 2, Spark SQL - Hands on Exercises   </p> <p>• 2:00pm - 3:00pm Overview of Data Science &amp; Machine Learning with Apache Spark </p> <p>• 3:00pm - 4:00pm Lab 3, Machine Learning with Spark - Hands on Exercises </p> <p>• 4:00pm - 4:30pm Wrap Up - Feedback from Attendees</p> <p>More details about IDUG Australia 2016 and registration is available at: <a href=""http://www.idug.org/p/cm/ld/fid=1051""><a href=""http://www.idug.org/p/cm/ld/fid=1051"" class=""linkified"">http://www.idug.org/p/cm/ld/fid=1051</a></a></p> ","28800000","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","Saxons Conference Facility","233436346","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/233436346/","","Apache SPARK Day @ IDUG Australia (Sept 13, 2016)","PT120H","40","PT528H","past","1473719400000","1473753860000","36000000","Level 5, 207 Kent Street","","Sydney","au","5682172","-33.863956451416016","Australia","151.20399475097656","The Portside Centre, ","","False","","","public","0","32"
"0","1472420583000","<p>On September 27, 2016, leading minds in data and analytics will come together and unveil the latest in cloud technology, enabling you to more efficiently put data to work. Experience how Spark, Hadoop, Python, and more are being used to bring together all types of data professionals –from data engineers, to data scientists, developers and business analysts –to work in new collaborative ways.</p> <p>The IBM DataFirst Launch Event will unite data and analytics leaders and practitioners from the open source community, startups, and enterprises. Check the <i><b><a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html"">event site</a></b></i> for the latest lineup of guest speakers. The event takes place @ 6pm at the Hudson Mercantile Building, NYC.</p> <p>Here’s the plan:<br/>• The Big Reveal –Experience new ways to work for data engineers, data scientist, developers, and business analysts, both individually and collectively.</p> <p>•Hands-on sessions – With interactive experiences for each of these professions.</p> <p>•Use Cases –Community leaders and guest speakers will share their expertise and vision<br/>•Networking Opportunity – Food, drinks, data, collaborative demos, and a party on the rooftop</p> <p>Learn more here:<a href=""http://www.ibm.com/analytics/us/en/events/datafirst/index.html#"">  <i><b>DataFirst Launch Event</b></i></a></p> <p>Check-in and networking begins at 6:00 PM.  Food and drinks will be served. You must register for this event.</p> <p>To get your ticket, and attend in person, click <b><a href=""https://www.eventbrite.com/e/ibm-datafirst-launch-event-registration-26725283041"">HERE</a></b>.  </p> <p>Can't attend in person? We'll be live streaming this event.  Register for the<br/><b><a href=""https://www.eventbrite.com/e/livestream-ibm-datafirst-launch-event-registration-26906650516"">LIVE STREAM</a></b> and we'll send you a calendar update and login link. </p> ","14400000","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","zip 10018","233694733","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/233694733/","","DataFirst Launch Event – Experience new ways to put your data to work","","","","past","1474963200000","1474979347000","36000000","500 West 36th Street","","New York","us","24745891","40.755863189697266","USA","-73.99864959716797","Hudson Mercantile Bldg","","False","NY","","public","0","22"
"0","1479310268000","<p>IBM values our community of clients and business partners. Each year, we support and build our community by working closely with IBM advocates and helping them to become </p> <p><b><a href=""http://www.ibm.com/developerworks/champion/"">IBM Champions</a></b></p> <p>IBM Champions are a select group of external advocates made up of clients, business partners and independent consultants who make exceptional contributions to the technical community by speaking at conferences, running or actively participating in user groups, evangelizing relevant technical topics via social media, and helping our clients make the most of IBM technology. </p> <p>We are looking for clients and business partners to join the program and are looking for applications in the areas of data science, data engineering, application development, and business analytics.</p> <p><b>Nominations are due by Monday, November 28, 2016</b></p> <p>The Champion program is open to candidates worldwide, and candidates may self-nominate or be nominated by someone else. IBM employees are not eligible for the program.  Some benefits of the IBM Champion program: <br/>- IBM Champions advocate IBM offerings in the community with competence and credibility (content, blogs, presentations, customer references, analyst/press, videos/podcasts, etc.)<br/>- IBM Champions share knowledge with and provide support to the IBM user community (books, articles, blogs, forums, presentations, education, beta programs and customer advisory councils etc.)<br/>- IBM Champions support IBM as brand ambassadors who build awareness, share product knowledge, and provide product feedback as users and beta testers</p> <p>Read this  <b><a href=""https://www.ibm.com/developerworks/community/blogs/ibmchampion/entry/Nominate_an_IBM_Champion_Nominations_OPEN?lang=en"">blog post</a> </b> for full IBM Champion program criteria, guidelines and the <b>&lt;a&gt;nomination form&lt;/a&gt;</b>.</p> <p>To learn more about the IBM Champion program from current Champions and Worldwide IBM Champion coordinator Libby Ingrassia, listen to this <a href=""https://ibm2.webex.com/ec3100/eventcenter/recording/recordAction.do?theAction=poprecord&amp;siteurl=ibm2&amp;entappname=url3100&amp;internalRecordTicket=4832534b00000002ed04dabb7c4dfbe255318214758c39900441e206be2ecb71765e9832f1af34b8&amp;renewticket=0&amp;isurlact=true&amp;format=short&amp;rnd=3315557804&amp;RCID=3855f080a3a7e1133bcd207eefd89727&amp;rID=52765987&amp;needFilter=false&amp;recordID=52765987&amp;apiname=lsr.php&amp;AT=pb&amp;actappname=ec3100&amp;&amp;SP=EC&amp;entactname=%2FnbrRecordingURL.do&amp;actname=%2Feventcenter%2Fframe%2Fg.do""><b>webcast</b></a>. Be sure to share the blog and webcast with clients and colleagues who would make great IBM Champions.</p> ","","1374712042000","9505632","open","-33.869998931884766","151.2100067138672","Big Data Developers in Sydney","Big-Data-Developers-in-Sydney","Members","","235622313","https://www.meetup.com/Big-Data-Developers-in-Sydney/events/235622313/","","IBM Champions - Call for Nominations","","","","past","1480406400000","1480418731000","39600000","Any Street","","Any City","us","24904123","32.16562271118164","USA","-82.90007781982422","On-Line Only","","False","GA","","public","0","1"
