"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"13","1401205901000","<p>Join us for our FIRST Big Data Developer event in Vancouver!  </p> <p>** As this session is full, <b>we've just added a 2nd session in the same venue that starts at 6pm</b> immediately following this session. If the 6pm session is more convenient for you, please <b>un-register</b> yourself from this session before you RSVP to the other session. This will help us balance out the audience between the two sessions. Thanks! **</p> <p>Open source Apache Hadoop is a great framework for distributed processing of large data sets. At this event, you'll learn Hadoop fundamentals and how IBM makes open souce Hadoop enterprise ready while making it easier to get real work done! </p> <p>There is no charge for this event, <b>but RSVP is required</b> (space is limited). Each event is limited to 35 seats. <i><b>Drinks and Snacks will be served!</b></i></p> <p><b>Agenda (3 hours, subject to change):</b></p> <p>• Reception, food &amp; drink (30 mins)</p> <p>• Introduction to Hadoop and BigInsights (75 mins)</p> <p>• Introduction to R on Hadoop (Big R) (15 mins)</p> <p><br/>• Data Warehouse Modernization in a Big Data World (60 mins)</p> <p>Is downtown too far? This event will also be held in Burnaby on the same week. (same agenda for both). RSVP to the event that is most convenient for you (but please do not RSVP to both).</p> <p>Want to Learn more about Big Data? Watch this video:</p> <p>


<a href=""https://www.youtube.com/watch?v=B27SpLOOhWw"" class=""embedded"">https://www.youtube.com/watch?v=B27SpLOOhWw</a></p> ","12600000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","","185418912","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/185418912/","","Big Data *Kickoff* in Vancouver (Downtown)","","45","","past","1401832800000","1402141669000","-25200000","375 Water St","","Vancouver","ca","20350762","49.28498077392578","Canada","-123.11083984375","SteamWorks Brewing Company (Restaurant)","","False","BC","","public","0","42"
"5","1401393505000","<p>**** Due to exceptionally high demand demand, we're adding a second (repeat) session for this meetup in the same venue - immediately following. </p> <p>We will just hit <b>CTRL+ALT+DEL</b> (""reset"", for those born after 1985) at 6:00pm and serve a fresh set of food/drink to kick it off.</p> <p>======================================<br/>Open source Apache Hadoop is a great framework for distributed processing of large data sets. At this event, you'll learn Hadoop fundamentals and how IBM makes open souce Hadoop enterprise ready while making it easier to get real work done! </p> <p>There is no charge for this event, <b>but RSVP is required</b> (space is limited). Each event is limited to 35 seats. Drinks and Snacks will be served!</p> <p>Agenda (3 hours, subject to change):</p> <p>• Reception, food &amp; drink (30 mins)</p> <p>• Introduction to Hadoop and BigInsights (75 mins)</p> <p>• Introduction to scaling R on Hadoop with <b>""Big R""</b> (15 mins)</p> <p>• Data Warehouse Modernization in a Big Data World (60 mins)</p> <p>Is downtown too far? This event will also be held in Burnaby on the same week. (same agenda for both). RSVP to the event that is most convenient for you (but please do not RSVP to both).</p> ","10800000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","","185939252","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/185939252/","","Big Data *Kickoff* in Vancouver (Downtown) - 2nd Session","","45","","past","1401843600000","1402243142000","-25200000","375 Water St","","Vancouver","ca","20350762","49.28498077392578","Canada","-123.11083984375","SteamWorks Brewing Company (Restaurant)","","False","BC","","public","0","45"
"12","1401206304000","<p>Join us for our FIRST Big Data Developer event in Vancouver! </p> <p>Open source Apache Hadoop is a great framework for distributed processing of large data sets. At this event, you'll learn Hadoop fundamentals and how IBM makes open souce Hadoop enterprise ready while making it easier to get real work done! </p> <p>There is no charge for this event, <b>but RSVP is required</b> (space is limited). Each event is limited to 35 seats. </p> <p><b>Hot Breakfast, Juice/Coffee/Tea will be served!</b></p> <p><br/><b>Agenda (3 hours, subject to change):</b></p> <p>• Breakfast Reception (30 mins)</p> <p>• Introduction to Hadoop and BigInsights (75 mins)</p> <p>• Introduction to R on Hadoop - ""Big R""  (15 mins)</p> <p><br/>• Data Warehouse Modernization in a Big Data World (60 mins)</p> <p>Is Burnaby too far? This event will also be held in downtown Vancouver on the same week. (same agenda for both). RSVP to the event that is most convenient for you (but please do not RSVP to both).</p> <p>Want to Learn more about Big Data? Watch this video:</p> <p>


<a href=""https://www.youtube.com/watch?v=B27SpLOOhWw"" class=""embedded"">https://www.youtube.com/watch?v=B27SpLOOhWw</a></p> ","12600000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","","185420062","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/185420062/","","Big Data *Kickoff* with Breakfast in Vancouver (Burnaby)","","45","","past","1401895800000","1402141693000","-25200000","6083 McKay Ave","","Burnaby","ca","1143644","49.228538513183594","Canada","-123.0039291381836","Hilton Hotel Metrotown","(604) 722-2009","False","BC","V5H 2N7","public","0","34"
"12","1401942961000","<p>Building on the success of our events this week, we're excited to plan a follow-on meetup next week to help you get hands-on with Hadoop. </p> <p><b>Agenda</b></p> <p>• Hadoop/BigInsights Quick Refresher (30 mins)</p> <p>• Lab 1: Working with/Navigating BigInsights </p> <p>• Lab 2: BigSheets - working with data</p> <p>• Lab 3: Open Labs Choice of (or all of them)</p> <p>• R on Hadoop</p> <p>• SQL on Hadoop</p> <p>• Text Analytics Lab</p> <p>• Working with Social Data</p> <p>• Working with Log Data</p> <p>Be ready to be hands on! </p> <p>Space is limited, so please RSVP to confirm your attendance. Light snacks and beverages will be served.</p> <p>Attendees must bring own laptop with minimum 8 GB of memory and 30 GB of free space for hadoop virtual machine. Operating system should be Windows 7 or 8 with VMware player or, for Apple, please have fusion available to run VMware virtual machine.</p> ","10800000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","3rd Floor, REFLECT Lounge","187270552","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/187270552/","","Hands on Hadoop","","25","","past","1402423200000","1404503123000","-25200000","6083 McKay Ave","","Burnaby","ca","1143644","49.228538513183594","Canada","-123.0039291381836","Hilton Hotel Metrotown","(604) 722-2009","False","BC","V5H 2N7","public","0","21"
"22","1402011821000","<p>*** We're thrilled to see the original session filled in less than 24 hours. So we've shortened the original session to 3 hours and opened up this 2nd session. Please do not RSVP to more than one session.<br/>---------------------------------------------------<br/>Building on the success of our events this week, we're excited to plan a follow-on meetup next week to help you get hands-on with Hadoop. </p> <p>Agenda</p> <p>• Hadoop/BigInsights Quick Refresher (30 mins)</p> <p>• Lab 1: Working with/Navigating BigInsights </p> <p>• Lab 2: BigSheets - working with data</p> <p>• Lab 3: Open Labs Choice of (or all of them)</p> <p>• R on Hadoop</p> <p>• SQL on Hadoop</p> <p>• Text Analytics Lab</p> <p>• Working with Social Data</p> <p>• Working with Log Data</p> <p>Be ready to be hands on! </p> <p>Space is limited, so please RSVP to confirm your attendance. Light snacks and beverages will be served.</p> <p>Attendees must bring own laptop with minimum 8 GB of memory and 30 GB of free space for hadoop virtual machine. Operating system should be Windows 7 or 8 with VMware player or, for Apple, please have fusion available to run VMware virtual machine.</p> ","10800000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","3rd Floor, REFLECT Lounge","187431282","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/187431282/","","Hands on Hadoop - 2nd Session","","25","","past","1402434000000","1402458930000","-25200000","6083 McKay Ave","","Burnaby","ca","1143644","49.228538513183594","Canada","-123.0039291381836","Hilton Hotel Metrotown","(604) 722-2009","False","BC","V5H 2N7","public","0","20"
"6","1403166269000","<p><b>WHY IN THE WORLD</b> would we have a party about this? Come and find out at our next event. Based on past events we've run, seats fill up pretty quickly so RSVP early! </p> <p>Drinks and light snacks will be provided. Agenda and location to be confirmed, but we'd like to lock down this date on your calendars. You can expect, as usual, that we'll get to some significant technical detail and get a peak under the covers of ""how stuff works"".</p> <p><b>REQUEST:</b> All members, please give us your feedback (post message to this event) if you'd like to do Steamworks again or can recommend an alternate venue.</p> <p>Please RSVP to only one session.</p> ","10800000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","","189972172","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/189972172/","40","SQL on Hadoop Party - Downtown Session 1","","45","","past","1405026000000","1415566574000","-25200000","375 Water St","","Vancouver","ca","20350762","49.28498077392578","Canada","-123.11083984375","SteamWorks Brewing Company (Restaurant)","","False","BC","","public","0","41"
"2","1403166512000","<p>***This is a Repeat of Session 1, for those who find the time more convenient.</p> <p><b>WHY IN THE WORLD</b> would we have a party about this? Come and find out at our next event. Based on past events we've run, seats fill up pretty quickly so RSVP early! </p> <p>As usual, light drinks and snacks will be provided. Agenda and location to be confirmed, but we'd like to lock down this date on your calendars. You can expect, as usual, that we'll get to some significant technical detail and get a peak under the covers of ""how stuff works"".</p> <p><b>REQUEST:</b> All members, please give us your feedback (post message to this event) if you'd like to do Steamworks again or can recommend an alternate venue.</p> <p>Please RSVP to only one session.</p> ","10800000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","","189972362","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/189972362/","42","SQL on Hadoop Party - Downtown Session 2","","45","","past","1405040400000","1415566880000","-25200000","375 Water St","","Vancouver","ca","20350762","49.28498077392578","Canada","-123.11083984375","SteamWorks Brewing Company (Restaurant)","","False","BC","","public","0","45"
"0","1403167195000","<p>** This event is a repeat of the downtown event for those who find the date/time/location more convenient.</p> <p><b>WHY IN THE WORLD</b> would we have a party about this? Come and find out at our next event. Based on past events we've run, seats fill up pretty quickly so RSVP early! </p> <p>Drinks and light snacks will be provided. Agenda to be confirmed, but we'd like to lock down this date on your calendars. You can expect, as usual, that we'll get to some significant technical detail and get a peak under the covers of ""how stuff works"".</p> <p>Please RSVP to only one session.</p> ","10800000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","3rd Floor, Reflect Lounge","189972822","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/189972822/","23","SQL on Hadoop Party (Burnaby) - Session 3","","30","","past","1405098000000","1415567397000","-25200000","6083 McKay Ave","","Burnaby","ca","1143644","49.228538513183594","Canada","-123.0039291381836","Hilton Hotel Metrotown","(604) 722-2009","False","BC","V5H 2N7","public","0","24"
"0","1408643405000","<p><b>REMINDER:  EVEN THO YOU HAVE RSVP'D HERE, YOU MUST REGISTER AT THE LINK BELOW TO CONFIRM YOUR SEAT.</b></p> <p>Join us for our next Big Data Developer Meetup at our regular, <b>very popular</b> local brewery.  We will do two sessions - AM and PM.  Please register for only one session.</p> <p><br/><b>For this event, you must register at the link below in order to confirm your seat.  Space is limited so even if you've RSVP'd here, register soon:</b></p> <p><b><a href=""http://ibm.co/YcfrsC""><a href=""http://ibm.co/YcfrsC"" class=""linkified"">http://ibm.co/YcfrsC</a></a></b></p> <p><br/><i>This topic has been scheduled due to requests from past attendees - you know who you are.. we look forward to seeing you!</i></p> <p>Come learn, see demos and discuss what's in Real Time Analytics powered by <a href=""http://www-03.ibm.com/software/products/en/infosphere-streams/"">Streams</a> .   </p> <p>How does it work? When does it make sense? Learn about real-life applications. </p> <p>Want to learn how to get stared with Real Time analytics?  Check out the <a href=""https://www.ibmdw.net/streamsdev/docs/category/getting-started/"">Getting Started with Streams</a> links.</p> <p>If you like, <b>bring your laptops</b> - we'll be passing out VM images to set you up with your own VM environment.</p> <p><b>Agenda (subject to change)</b></p> <p>• 10:00 am - 10:15 am - Meet &amp; Greet</p> <p><br/>• 10:15 am - 11:00 am - Introduction to Stream Computing &amp; Real-time Analytics</p> <p>• 11:00 am - 11:15 am - Applied Use Cases for various industries</p> <p>• 11:15 am - 11:30 am - Technical Demonstration &amp; Discussion</p> <p>• 11:30 am - 11:45 am - InfoSphere Streams <a href=""https://github.com/IBMStreams"">open toolkit development</a>  Discussion</p> <p><br/>• 11:45 am to 1:00 pm - Hands-on Lab - Getting started with your own Streams Virtual Machine (sandbox)</p> <p><br/>Please register at this link to confirm your seat:</p> <p><b><a href=""http://ibm.co/YcfrsC""><a href=""http://ibm.co/YcfrsC"" class=""linkified"">http://ibm.co/YcfrsC</a></a></b></p> <p><br/>Snacks and refreshments will be provided prior to the lab.</p> ","10800000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","Look for us in the private event rooms","202337652","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/202337652/","","Real-Time Analytics and Stream Computing (Session 1)","","45","","past","1411664400000","1411756037000","-25200000","375 Water St","","Vancouver","ca","20350762","49.28498077392578","Canada","-123.11083984375","SteamWorks Brewing Company (Restaurant)","","False","BC","","public","0","37"
"2","1408643754000","<p><b>REMINDER:  EVEN THO YOU HAVE RSVP'D HERE, YOU MUST REGISTER AT THE LINK BELOW TO CONFIRM YOUR SEAT.</b></p> <p>Join us for our next Big Data Developer Meetup at our regular, <b>very popular</b> local brewery.  We will do two sessions - AM and PM.  Please register for only one session.</p> <p><b>For this event, you must register at the link below in order to confirm your seat.  Space is limited so even if you've RSVP'd here, register soon:</b></p> <p><b><a href=""http://ibm.co/1w7fctT""><a href=""http://ibm.co/1w7fctT"" class=""linkified"">http://ibm.co/1w7fctT</a></a></b></p> <p><br/><i>This topic has been scheduled due to requests from past attendees - you know who you are.. we look forward to seeing you!</i></p> <p>Come learn, see demos and discuss what's in Real Time Analytics powered by <a href=""http://www-03.ibm.com/software/products/en/infosphere-streams/"">Streams</a> .  </p> <p>How does it work? When does it make sense? Learn about real-life applications. </p> <p>Want to learn how to get stared with Real Time analytics?  Check out the <a href=""https://www.ibmdw.net/streamsdev/docs/category/getting-started/"">Getting Started with Streams</a> links.</p> <p>If you like, <b>bring your laptops</b> - we'll be passing out VM images to set you up with your own VM environment.</p> <p><b>Agenda (subject to change)</b></p> <p>• 2:00 pm - 2:15 pm - Meet &amp; Greet</p> <p>• 2:15 pm - 3:00 pm - Introduction to Stream Computing &amp; Real-time Analytics</p> <p>• 3:00 pm - 3:15 pm - Applied Use Cases for various industries</p> <p>• 3:15 pm - 3:30 pm - Technical Demonstration &amp; Discussion</p> <p>• 3:30 pm - 3:45 pm - InfoSphere Streams <a href=""https://github.com/IBMStreams"">open toolkit development</a>  Discussion</p> <p>• 3:45 pm - 5:00 pm - Hands-on Lab - Getting started with your own Streams Virtual Machine (sandbox)</p> <p>Register at this link to confirm your seat:</p> <p><b><a href=""http://ibm.co/1w7fctT""><a href=""http://ibm.co/1w7fctT"" class=""linkified"">http://ibm.co/1w7fctT</a></a></b></p> <p><br/>Snacks and refreshments will be provided prior to the lab.</p> ","10800000","1398141265000","14038802","open","49.279998779296875","-123.12000274658203","Big Data Developers in Vancouver","Big-Data-Developers-in-Vancouver","Big Data Enthusiasts","Look for us in the private event rooms","202339012","https://www.meetup.com/Big-Data-Developers-in-Vancouver/events/202339012/","","Real-Time Analytics and Stream Computing (Session 2)","","45","","past","1411678800000","1411755974000","-25200000","375 Water St","","Vancouver","ca","20350762","49.28498077392578","Canada","-123.11083984375","SteamWorks Brewing Company (Restaurant)","","False","BC","","public","0","24"
