"comment_count","created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","rsvp_open_offset","status","time","updated","utc_offset","venue_address_1","venue_address_2","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_phone","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"3","1408633656000","<p>                                      Join us for our BI &amp; Analytics Kickoff Party!  </p> <p>Zain Khandwala, the founding executive director of the Institute for Advanced Analytics at Bellarmine University will share with us Bellarmine's vision for Data Science.</p> <p><img src=""http://photos3.meetupstatic.com/photos/event/8/7/9/8/600_405334712.jpeg"" /></p> <p>“There have been a number of fields and sub-disciplines around the better use of data to help businesses do those things,” he said. “Operations research, marketing research, managerial science, actuarial science – these are all inherently quantitative disciplines that served business well for a number of decades.”</p> <p><br/>But what ended up happening was the “datafication” of the world, said Mr. Khandwala. “More automated processes, enhanced technologies, our increasing capacity to store data and the development of the web” led to a data revolution. “As a result, organizations are looking at their data assets, their data warehouses, and trying to better understand how to leverage it – to answer some of the questions we felt were unanswerable in the past,” he said.</p> <p>&lt;a href=""http://www.bellarminemagazine.com/wp-content/uploads/2014/07/Zain.jpg""&gt;&lt;/a&gt;This new way of thinking about data isn’t just about volume, storage or retrieval; it’s also about timeliness and what Mr. Khandwala calls holistic thinking. “In the past, you might meet to make decisions based on a report from a month ago. Now data is at your fingertips, it’s being produced and collated in real time and accessible – if only we have the wherewithal and talent to leverage it,” he said.</p> <p>To help prepare a new generation of data decision-makers, the Institute is launching a Master of Science in Analytics (MSA) degree this fall. Future plans include cross-disciplinary analytics coursework, certification programs, corporate training, and research and consulting services. Mr. Khandwala will hire faculty and staff, but the Institute will also benefit from the wealth of faculty talent in other disciplines at Bellarmine.</p> <p>The MSA program is an intensive 10-month, full-time, STEM master’s degree, focusing on business and organizations (as opposed to scientific and engineering data analysis). The program is modeled on a pioneering degree at North Carolina State University, where Mr. Khandwala earned his MSA. (He also holds an MBA in management science and marketing from the University of Toronto and a BS in computer science from the University of British Columbia.)</p> <p>A native of Calgary, Alberta, Canada, he attended high school in Kuala Lumpur, Malaysia. Before coming to Bellarmine, he was a researcher and lecturer for various education programs and, most recently, an analytics recruiter for J.P. Morgan Chase.</p> <p>He hopes to enroll 20 students for the first-year program at Bellarmine and escalate to 40 students within three years. Students will come from Louisville, of course, but he will also recruit regionally and nationally and establish industry partnerships.</p> <p>Indications are that there is a huge demand. Conjecturally, almost any organization can make better use of digital data. “Banks, insurance companies and telcos [telecommunications companies] were quickest to datafy their world,” said Mr. Khandwala. Louisville’s major corporations have substantial and exponentially growing data challenges and opportunities.</p> <p>But small organizations, governments and nonprofits can also make use of better analytics. “The Gartner Report says that by 2018 there will be a shortage of 200,000 to 400,000 analytics professionals or data-savvy professionals across the country,” he said. So it’s not just big business that stands to gain. “A lot of charitable organizations with limited resources use analytics to figure out who they’re likely to get the fastest and best response from,” he said.</p> <p>And analytics, much like the PC, Internet and smartphone revolutions that preceded and helped spawn it, even comes with its own rock stars. “President Obama’s re-election campaign was a celebrated use of analytics – the data scientists who worked on that campaign were very savvy people. They are celebrities in our community now,” said Mr. Khandwala.</p> <p>So, who are these future data rock stars? “A lot of our candidates will come straight out of undergrad,” said Mr. Khandwala. “People with quantitative aptitude, quantitative training and business understanding. There will also be a lot of career changers – people who recognize that this is the hot new space. There are organizations clamoring for the position and paying very well for it. And a lot are people who are already doing data work – business intelligence, producing reports, telling stories with data – but who want to elevate their skill sets.”</p> <p>One way Bellarmine will do that is by teaching what Mr. Khandwala calls the “art and culture” of analytics. “You could approach data science or analytics in a purely scientific way,” he said. “You could say, ‘Here’s how you run certain models; here’s how you extract data; here’s how you write the SQL code; here’s how you get outputs.’ That’s the science behind analytics.</p> <p>“To me, the art behind analytics is equally important. It is working with the business partners and the other stakeholders in an organization. It’s helping them understand what the organizational needs are, what the challenges are, what business problems they face and working with them to figure out what the priorities should be. How can we better manage our data assets? Which of these problems are most solvable using the data?</p> <p>“That’s the art of analytics. The culture of analytics is an organizational thing. How do we become more data inquisitive? How do we get to a place where all of our conversations can be data-driven? How do we go from thinking deterministically to probabilistically? How do you create a culture where an organization is continually learning about itself from data?”</p> <p>One way students will think deeply about the art and culture of analytics is through intensive, eight-week internships at local organizations. This is a part of the program that benefits the students, benefits the businesses or organizations, and is a foundational concept behind creating an institute and not simply a new master’s degree. “I have no doubt that we can create experiences that are valuable for the student – working with real data in a real-world situation – but also create substantive value for the organizations,” said Mr. Khandwala.</p> <p>“One advantage we have as an institute is to help advance the use of analytics within our organization itself. After the internship, we can bring the students back in to work for a couple of months on a capstone project that is in service to the university.”</p> <p>Another discipline in keeping with Bellarmine’s values is the incorporation of ethics into the program. There are infamous examples of ethical lapses in the era of digital data, from derivatives shenanigans to high-frequency trading, to government spying, to creepy examples like a famous 2012 incident involving Target. The retailer got in hot water by using its data to correctly identify a high school girl as being pregnant – and sending her coupons for maternity clothes and baby products – before she had even told her family.</p> <p>“There are hard questions, not just about security and privacy – those are germane and beginning to be well understood – but there are questions that go beyond that: What does it mean to target ethically? How do you incorporate social justice? How do you differentiate without prejudicing? Ethics will be a component of what we’re calling ‘analytical leadership,’ ” he said.</p> <p>“There are three foundational courses of the program: Analytical Leadership, the Analytical Organization and Foundations to Analytical Thought. This is where we involve the liberal arts – how do you think analytically, how do you think creatively, what is the right application of logic and the quantitative sciences – to arrive at what we might loosely call truths.”</p> <p>If that all sounds like a complex turn around the dance floor, consider Mr. Khandwala’s hobby: He’s a Latin dancer. Once a competitive dancer and a teacher of salsa and merengue dancing, he now dances socially. “I’ve found that Louisville has a great community for it. Thursday nights at Sky Bar above Saints in St. Matthews – it’s the big night for dancing here!” he said. “I’m also going to be the faculty sponsor for a Latin-dance club here on campus. That’s a big passion of mine.”</p> ","7200000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","Library Room B24","202307712","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/202307712/","","Louisville BI & Big Data Analytics KickOff!","","30","","past","1411682400000","1412015827000","-14400000","2001 Newburg Road","","Louisville","us","9095122","38.220733642578125","USA","-85.70416259765625","Bellarmine University","","False","KY","40205","public","0","15"
"0","1412183627000","<p>Large-scale, customer-facing applications are the very heart of what we do at Actuate.</p> <p>• Deliver personalized analytics and insights to millions of users easily and securely. </p> <p>• Gain and retain customers by delivering a differentiated online experience. </p> <p>• Access multiple data sources simultaneously, and provide the information in real-time through interactive data visualizations</p> <p><br/>The two most challenging aspects of delivering a personalized, data-driven customer experience are:</p> <p>1. Scaling a large, complex, data-rich application to more than a few users, in a secure way. <br/>2. Fulfilling on the promise of personalization by providing the right level of analytics on the required data set to each consumer – <br/>especially in the context of a large scale application such as a customer-facing deployment.</p> <p>These are the most difficult kinds of applications to deliver. Some companies provide tailored dashboards to small user populations. Others provide static reports to the masses. Only Actuate delivers highly personalized data visualization and analytics securely to millions of users.</p> <p>Companies in every industry rely on Actuate to build web and mobile self-service analytics applications that give their clients direct, interactive access to their own account information. Providing high quality customer interaction improves satisfaction, retention and ultimately profitability. </p> ","9000000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","","210752232","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/210752232/","","How do you Visualize your Data? Data visualization made easy with Actuate BIRT","PT24H","50","","past","1413496800000","1413563648000","-14400000","204 South Floyd Street","","Louisville","us","18296902","38.25377655029297","USA","-85.74844360351562","iHub","","False","KY","","public","0","15"
"2","1413564516000","<p>Crucial decisions depend on solid business intelligence.  Build a vivid picture leveraging all your data, even the data you didn’t think you could visualize!  </p> <p>For more than 25 years, data management has been relegated to IT back rooms and limited to strict structure. But in a world where data is king (and also changing and growing at a lightning pace), you have to rethink the technologies you use to empower your organization to monetize and extract value from all that data. </p> <p>In this session, you’ll learn how this new shift in IT — <i><b>data emerging as the next killer app</b></i> — requires a new generation of database. </p> <p>• You’ll learn about new features and capabilities that will unlock the potential in your data, and enable you to do things you never thought possible. </p> <p>• You’ll hear how enterprises are benefiting from today’s modern technology, and how they’ve moved beyond data headaches to getting a head start in this new data and information economy</p> <p>JOIN us for dinner &amp; an exploration of BIG DATA : Headache or Head Start with MarkLogic!!</p> ","7200000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","","214036622","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/214036622/","","Big Data: Headache or Head Start?","","50","","past","1416526200000","1417040963000","-18000000","204 South Floyd Street","","Louisville","us","18296902","38.25377655029297","USA","-85.74844360351562","iHub","","False","KY","","public","0","19"
"3","1417040295000","<p>Over the last few years, Hadoop has emerged as the de facto standard for storing and processing huge amounts of data, both structured and unstructured. Join Ian Wrigley, Director of Educational Curriculum at Cloudera, for an introduction to Hadoop and the ecosystem of open source projects that surround it. We'll discuss just how Hadoop stores data reliably, and what tools are available to process that data. Find out how you can get actionable insights from big data using skills you already have.</p> <p>Ian Wrigley was the second hire in Cloudera's Educational Services department, and has taught thousands of people how to install, manage, and develop on Hadoop clusters. He authored the extremely popular Udacity Hadoop online course, which has had over 50,000 participants, as well as several instructor-led courses on Hadoop and its ecosystem of tools. As Director of Educational Curriculum, he currently manages the team responsible for creating all of Cloudera's training materials.</p> ","7200000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","","218916789","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/218916789/","","An Introduction to Hadoop for Big Data Analysis","","50","","past","1418945400000","1420744935000","-18000000","204 South Floyd Street","","Louisville","us","18296902","38.25377655029297","USA","-85.74844360351562","iHub","","False","KY","","public","0","22"
"1","1423084898000","<p>People are at the heart of every successful business initiative. At TEKsystems, a leading provider of IT staffing, IT talent management and IT services, we understand people. Every year we deploy over 80,000 IT professionals at 6,000 client sites across North America, Europe and Asia. Our deep insights into the IT labor market enable us to help clients achieve their business goals—while optimizing their IT workforce strategies.</p> <p>

Join Thomas Kent, Technical Recruiter, ERP Support Services at TEKsystems &amp; </p> <p>

Erica Sturgill, Technical Recruiter at TEKsystems  </p> <p>

for pizza, swag &amp; WHO KNOWS! You may get recruited!! :) </p> ","7200000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","Main level conference room - down main hallway to the left","220307826","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/220307826/","","TEK Talk","","40","","past","1424386800000","1424450436000","-18000000","700 N. Hurstbourne Pkwy The 700 Room","","Louisville","us","23619238","38.254859924316406","USA","-85.76640319824219","TEK Systems ","","False","KY","","public","0","14"
"2","1421776349000","<p>Bring data, applications, and analytics together to lower costs and unlock the value of your digital assets.</p> <p>In the face of interconnected mobile devices, rich media, web content, and growth in traditional file workflows, organizations the world over are faced with an IT dilemma: how to manage the amount of unstructured data that is doubling in size every two years.</p> <p>And for those growth-minded organizations looking to improve their business results, the dilemma takes on an added dimension—analytics. How can they achieve a flexible infrastructure that allows them to unlock the business value of their data and gain new insight?</p> <p>The answer to the big data problem</p> <p>The answer to this problem is a holistic approach that brings data, applications, and analytics together—in other words, a data lake.  With this solution, data is ingested, catalogued, inventoried, and controlled, regardless of the source or destination.</p> <p>But, to achieve a Data Lake, organizations first need to consolidate and eliminate their inefficient storage silos. This requires a foundation—a Data Lake Foundation—which provides the underlying data storage infrastructure that powers a Data Lake.</p> <p>With a Data Lake Foundation, you can provide your customers a solution that will:</p> <p>Eliminate storage silos to reduce costs and simplify storage managementProvide a flexible scale-out architecture for massive scalabilitySupport a wide range of traditional and next generation (3rd Platform) workloadsEnable cost-efficient, in-place big data analytics via support for protocols such as HDFSOffer efficient and resilient backup, disaster recovery, and security options</p> <p>Introduction to the Advantages of an EMC Data Lake Foundation sponsored by EMC : </p> <p>Tom Snyder</p> <p>Regional Territory Manager</p> <p>EMC – Isilon Scale-Out Division</p> <p>Experienced professional dedicated to the application of information technology to solve business needs.  Primary focus:  understanding customer's business first; and utilizing my experience to develop technology solutions which will improve revenue, increase productivity, enhance efficiency, and provide return on investment.  Past 12 months have focused on the evolution of the “Data Lake” concept and the use of analytics to leverage information to expand and/or create business opportunities.</p> <p>Specialties:  Scale-out solutions for Analytics, Information Management, storage, backup and recovery, archive, advanced networking (MPLS,IP), cloud computing and application support, storage and virtual applications.</p> ","7200000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","Next to the Churchill Downs building on Hurstbourne Ln. near U of L's Shelby Campus - Front Entrance - Left hallway","219960984","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/219960984/","","What is a Data Lake? Introduction to the Advantages of an EMC Data Lake","","","","past","1426804200000","1426831791000","-14400000","700 N. Hurstbourne Pkwy The 700 Room","","Louisville","us","23619238","38.254859924316406","USA","-85.76640319824219","TEK Systems ","","False","KY","","public","0","12"
"1","1428614381000","<p>Come on out for a Spring Social!  </p> <p>No sponsor - No speaker - just a rowdy bunch of Data Junkies getting together for Happy Hour!</p> <p><br/>MON-FRI HAPPY HOUR</p> <p><br/>2 for 1 Beers &amp; Cocktails from 4pm - 7pm</p> <p>Thursday</p> <p><br/>$1.50 Domestic BTLS<br/>$2.50 Shots of Fireball<br/>$2 LITS</p> <p><a href=""http://baxters942.com/our-menu/""><a href=""http://baxters942.com/our-menu/"" class=""linkified"">http://baxters942.com/our-menu/</a></a></p> ","","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","","221736714","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/221736714/","","Spring Social","","","","past","1429218000000","1429231393000","-14400000","942 Baxter Ave","","Louisville","US","23754959","38.24074172973633","USA","-85.72480010986328","Baxter's 942","","False","","","public","0","6"
"0","1442949860000","<p>To RSVP: Please email me at flandin@us.ibm.com with your name, title and direct phone # or call Fatima at 1-703-483-5804</p> <p><br/>Intros and Kickoff - 'So What?' and 'Why IBM'<br/>        Gary Pranger - Tech Specialist<br/>Cloudant - Build more and grow more with Cloudant DBaaS<br/>         Zoltan Mesko - SaaS Solution Leader<br/>         DEMO: Leslie Rodriguez - Cloud SaaS Tech Specialist<br/>DashDB Analytics in the Cloud - Harness your data for building more wiht IBM dashDB<br/>        Andrew Buckler - WW Tech Specialist for Cloud Data Services<br/>         DEMO: Leslie Rodriguez - Cloud SaaS Tech Specialist<br/>TWC and Twitter Partnerships - Leveraging weather and social media data for actional insights<br/>         Zoltan Mesko - SaaS Solution Leader</p> <p><br/>BREAK</p> <p>Watson Analytics - IBM's single interface for data discovery and analytics for business and data scientists<br/>          Lindsey Smith - Tech Specialist/Watson Analytics Evangelist<br/>Spark - The hottest open source project that exists right now<br/>          Gary Pranger - Tech Specialist<br/>Q&amp;A</p> <p>To RSVP: Please email me at flandin@us.ibm.com with your name, title and direct phone # or call Fatima at 1-703-483-5804</p> ","10800000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","","225540983","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/225540983/","","Smarter Analytics in the Cloud","","","","past","1443114000000","1443128035000","-14400000","1 Central Avenue","","Louisville","us","4241882","38.20541000366211","USA","-85.76720428466797","Churchill Downs","","False","KY","","public","0","1"
"0","1442418483000","<p>REGISTER FOR THIS EVENT NOW - SEE LINK BELOW.  REGISTRATION WILL CLOSE ON SUNDAY, 10/18.</p> <p><b>In order to confirm your seat at this event (space is limited), you must register at this URL: <a href=""http://ibm.co/1Lmx35Z"">ibm.co/1Lmx35Z</a></b><br/>Join us for a very exciting Internet of Things (IoT) Developer Day at the Kentucky Speedway on Tuesday, October 20th at 8:30 am in Sparta, Kentucky.</p> <p>This Developer Day will be co-sponsored by CloudOne, a premier IBM Business Partner,  and the IBM Big Data &amp; Analytics team.  <b><i>Please note that this is a customer event only.</i></b></p> <p>CloudOne helps the world’s best companies make their things for the Internet of Things. The company brings enterprise applications to the cloud, enabling global collaborative development, production and analysis of software and products in real time on individual, secure, private hybrid cloud environments. Trusted by leading brands, CloudOne’s scalable technology is supported by a team of experts and partners who share a passion for making it easier, faster and more economical to make things for the Internet of Things. For more information, visit <a href=""http://www.oncloudone.com""><a href=""http://www.oncloudone.com"" class=""linkified"">http://www.oncloudone.com</a></a>.</p> <p><b>In order to confirm your seat at this event (space is limited), you must register at this URL: <a href=""http://ibm.co/1Lmx35Z"">ibm.co/1Lmx35Z</a></b></p> <p><i><b>SPECIAL NOTE:  The first 30 customers to enroll through the registration link and be confirmed in this event will receive a free Pace Car ride during the afternoon of the event.  </b></i><i><b>(click <a href=""http://www.kentuckyspeedway.com/handler.cfm/template,video/cat_id,48166?med_id=1542431"">Pace Car</a> to get an idea of what it will be like)</b></i></p> <p> The Internet of Things (IoT) is hot, but many are tired of the chatter and ready for action.  Today’s applications are expected to manage a variety of structured and unstructured data, accessed by massive networks of users, devices, and business locations, or even sensors, vehicles and Internet-enabled goods.</p> <p>In today’s continuously changing, always connected business environment, you must make the best possible decisions and put them into action immediately. Real-time actionable insight provides the robust big data and analytics capabilities that allow you to capture, analyze and act on all relevant data, including the stream of data generated by the myriad devices that make up the Internet of Things. Marketers, sales managers, financial analysts and other business users gain the insights they need to act in real time based on timely, trusted data.</p> <p>As you expand big data and analytics capabilities throughout your organization, you need to empower all of your business users to access and analyze data for faster insight. Taking delivery of software, solutions, infrastructure, platforms and services on the cloud can accelerate the value of big data and analytics capabilities, offering scalability with limited upfront investment.</p> <p>Join us to learn about how IBM and CloudOne are helping clients rapidly deliver solutions to Capture, Analyze and Act on IoT data in Real-Time.  The Developer Day kicks off at 8:30am with food and beverages/registration. Bring your laptop because after the morning session, our subject matter experts will help you get hands-on with the technology. </p> <p><b>Agenda (subject to change)</b></p> <p>08:30-09:00 - Registration, Networking &amp; Breakfast<br/>09:00-10:00 - Keynote - IoT Solutions Overview<br/>10:00-12:00 - Capture, Analyze &amp; Act on IoT Data in Real-time<br/>    - Internet of Things (IoT) Foundation Overview<br/>    - Predictive Maintenance &amp; Quality Overview<br/>    - Data Platform for the Internet of Things (IoT)<br/>12:00-01:00 - Lunch &amp; Bluemix Overview/Demo<br/>01:00-04:00 - Hands-on Labs</p> <p>The event will be held at the Kentucky Speedway.  The first 30 people who enroll through the registration link and are confirmed, will receive a free PACE CAR ride on the track.  This event is FREE. Breakfast, Lunch and snacks will be provided. </p> <p><b>Seating is limited.  In order to confirm your seat, you must register at this URL: <a href=""http://ibm.co/1Lmx35Z"">ibm.co/1Lmx35Z</a> </b></p> <p><b> Thank you and we look forward to seeing you at the event</b></p> ","27000000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","Bluegrass Room","225396497","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/225396497/","","Big Data & Analytics for the Internet of Things (IoT)","","","","past","1445344200000","1445374455000","-14400000","1 Speedway Drive","","Sparta","us","24083298","38.70556640625","USA","-84.92398071289062","Kentucky Speedway","","False","KY","41086","public","0","5"
"0","1444071249000","<p><img src=""http://photos1.meetupstatic.com/photos/event/7/d/e/600_442742014.jpeg"" /></p> <p>PLEASE REGISTER ONLINE HERE: <a href=""https://ibm.biz/BdHDt8""><a href=""https://ibm.biz/BdHDt8"" class=""linkified"">https://ibm.biz/BdHDt8</a></a><br/><i>Seating is limited.</i></p> <p>This event is in Indianapolis, if you are up for a short road trip.</p> <p><br/>Join us at this small, hands-on workshop free of charge to discover the unique business value of forward looking business intelligence.</p> <p><br/>If you’re familiar with the value of business intelligence (BI) or you’re just learning how you can dramatically improve your business decisions with BI, you’ll want to attend this hands-on workshop about Forward Looking Business Intelligence (FLBI) led by Cedric Fillmore and Jason Spackman.</p> <p><br/>Through instructor-led hands-on exercises and interactive demos, you’ll discover:</p> <p>• Why you should consider FLBI – the wide range of business challenges you can master with the right analytics</p> <p>• How IBM’s FLBI solutions will improve decision making across your organization</p> <p>• How to progress from knowing what happened before and what is happening now (descriptive and diagnostic analytics), to what is likely to happen next (predictive analytics)</p> <p><br/>And, you’ll see how to integrate this Advanced Analytics content into a meaningful dashboard that “tells a better dashboard story” and encourages rapid analysis by users through an interactive, self-service experience. We will also discuss Spark and how IBM leverages the technology to deliver higher performance analytics. </p> <p><b>Bring your laptops </b>- <b>Lunch will be provided</b> PLEASE REGISTER ONLINE HERE: <a href=""https://ibm.biz/BdHDt8""><a href=""https://ibm.biz/BdHDt8"" class=""linkified"">https://ibm.biz/BdHDt8</a></a><br/><i>Seating is limited.</i></p> ","15300000","1408631611000","16526912","open","38.2599983215332","-85.75","Louisville Business Intelligence & Big Data Analytics Meetup","Louisville-BI-Big-Data-Analytics-Meetup","Members","","225851162","https://www.meetup.com/Louisville-BI-Big-Data-Analytics-Meetup/events/225851162/","","Forward Looking Businees Intelligence (FLBI) Workshop with a Spark","","10","","past","1445528700000","1445546278000","-14400000","9100 Keystone Crossing","","Indianapolis","us","24133794","39.918968200683594","USA","-86.11116027832031","Keystone at the Crossing","","False","IN","","public","0","3"
